word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,427,47,"(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Christmas; Blue Moon; Blue Moon of Kentucky; Burning Love; Can’t Help Falling in Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; How Great Thou Art; I Believe; I Can’t Stop Loving You; I Just Can’t Help Believin’; If I Can Dream; In the Garden; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me; Love Me Tender; Loving You; Marguerita; Memories; My Way; Mystery Train; Peace In The Valley; Return to Sender; Stuck on You; Suspicious Minds; Take My Hand, Precious Lord; That’s All Right; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me",9.09,True,1
you,you,PRON,353,40,(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Christmas; Blue Moon; Blue Moon of Kentucky; Blue Suede Shoes; Burning Love; Can’t Help Falling in Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; Hound Dog; I Can’t Stop Loving You; In the Ghetto; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me; Love Me Tender; Loving You; Memories; My Way; Stuck on You; Suspicious Minds; That’s All Right; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me,8.82,True,2
the,the,DET,262,44,"(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Christmas; Blue Moon of Kentucky; Blue Suede Shoes; Burning Love; Can’t Help Falling in Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; Hound Dog; How Great Thou Art; I Believe; I Just Can’t Help Believin’; If I Can Dream; In the Garden; In the Ghetto; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me Tender; Marguerita; Memories; My Way; Mystery Train; Peace In The Valley; Return to Sender; Stuck on You; Suspicious Minds; Take My Hand, Precious Lord; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart",5.95,True,3
a,a,DET,240,37,(Let Me Be Your) Teddy Bear; A Little Less Conversation; All Shook Up; Are You Lonesome Tonight?; Blue Christmas; Blue Moon; Burning Love; Can’t Help Falling in Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; Hound Dog; I Believe; I Can’t Stop Loving You; I Just Can’t Help Believin’; If I Can Dream; In the Ghetto; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me; Marguerita; My Way; Peace In The Valley; Return to Sender; Stuck on You; Suspicious Minds; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me,6.49,True,4
and,and,CCONJ,223,46,"(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Christmas; Blue Moon of Kentucky; Blue Suede Shoes; Burning Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; Hound Dog; How Great Thou Art; I Can’t Stop Loving You; I Just Can’t Help Believin’; If I Can Dream; In the Garden; In the Ghetto; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me; Love Me Tender; Loving You; Marguerita; Memories; My Way; Mystery Train; Peace In The Valley; Return to Sender; Stuck on You; Suspicious Minds; Take My Hand, Precious Lord; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me",4.85,True,5
me,i,PRON,201,42,"(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; Are You Lonesome Tonight?; Blue Christmas; Blue Moon; Blue Moon of Kentucky; Blue Suede Shoes; Burning Love; Crying In the Chapel; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; I Can’t Stop Loving You; I Just Can’t Help Believin’; If I Can Dream; In the Garden; In the Ghetto; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me; Love Me Tender; Loving You; Marguerita; My Way; Peace In The Valley; Return to Sender; Stuck on You; Suspicious Minds; Take My Hand, Precious Lord; That’s All Right; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me",4.79,True,6
n't,not,PART,195,33,(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Christmas; Blue Suede Shoes; Burning Love; Can’t Help Falling in Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Hound Dog; I Can’t Stop Loving You; I Just Can’t Help Believin’; If I Can Dream; In the Ghetto; It’s Now or Never; Jailhouse Rock; Little Sister; Loving You; Stuck on You; Suspicious Minds; That’s All Right; Trouble; Trying to Get to You; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me,5.91,True,7
my,my,PRON,168,40,"(Let Me Be Your) Teddy Bear; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Moon; Blue Moon of Kentucky; Blue Suede Shoes; Burning Love; Can’t Help Falling in Love; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; How Great Thou Art; I Can’t Stop Loving You; I Just Can’t Help Believin’; If I Can Dream; In the Garden; It’s Now or Never; Jailhouse Rock; Little Sister; Love Me; Love Me Tender; Loving You; Marguerita; Memories; My Way; Mystery Train; Return to Sender; Stuck on You; Take My Hand, Precious Lord; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me",4.2,True,8
to,to,ADP,166,41,"(Let Me Be Your) Teddy Bear; (You’re the) Devil in Disguise; A Little Less Conversation; All Shook Up; Always On My Mind; An American Trilogy; Are You Lonesome Tonight?; Blue Suede Shoes; Burning Love; Can’t Help Falling in Love; Crying In the Chapel; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; Heartbreak Hotel; How Great Thou Art; I Believe; I Can’t Stop Loving You; If I Can Dream; In the Garden; In the Ghetto; Jailhouse Rock; Little Sister; Love Me; Love Me Tender; Loving You; Marguerita; Memories; My Way; Return to Sender; Stuck on You; Suspicious Minds; Take My Hand, Precious Lord; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Viva Las Vegas; Wooden Heart; You Don’t Have to Say You Love Me",4.05,True,9
do,do,VERB,143,25,(Let Me Be Your) Teddy Bear; A Little Less Conversation; All Shook Up; An American Trilogy; Are You Lonesome Tonight?; Blue Suede Shoes; Burning Love; Don’t; Don’t Be Cruel; Fever; Hard Headed Woman; In the Ghetto; Jailhouse Rock; Little Sister; Loving You; My Way; Stuck on You; Suspicious Minds; That’s All Right; The Wonder of You; Trouble; Trying to Get to You; Unchained Melody; Wooden Heart; You Don’t Have to Say You Love Me,5.72,True,10
