word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,5145,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,51.97,True,1
the,the,DET,2885,98,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,29.44,True,2
you,you,PRON,2759,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,27.87,True,3
a,a,DET,2260,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,22.83,True,4
to,to,PART,2197,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,22.19,True,5
and,and,CCONJ,2092,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,21.13,True,6
it,it,PRON,1701,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,17.18,True,7
s,'s,PART,1632,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,16.48,True,8
m,be,AUX,1476,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,14.91,True,9
n't,not,PART,1418,99,8 Mile; 8 Mile: B-Rabbit vs Papa Doc; Antichrist; Ass Like That; Asshole; Bad Guy; Beautiful; Beautiful Pain; Believe; Berzerk; Bitch Please 2; Brain Damage; Brainless; Business; Campaign Speech; Chloraseptic (Remix); Cleanin’ Out My Closet; Criminal; Darkness; Detroit Vs. Everybody; Drug Ballad; Déjà Vu; Evil Twin; FACK; Fall; Fuel; Gnat; Godzilla; Good Guy; Guilty Conscience; Guts Over Fear; Habits; Hailie’s Song; Headlights; Houdini; Infinite; I’m Back; Just Don’t Give a Fuck; Just Lose It; Kamikaze; Kill You; Killshot; Kim; Kings Never Die; Leaving Heaven; Legacy; Like Toy Soldiers; Lose Yourself; Love Game; Love the Way You Lie; Lucky You; Marshall Mathers; Mockingbird; My Dad’s Gone Crazy; My Darling; My Name Is; No Love; Normal; Not Afraid; Not Alike; Offended; Phenomenal; Premonition (Intro); Rain Man; Rap God; Rhyme or Reason; River; Rock Bottom; Role Model; Shake That; Sing for the Moment; So Far...; So Much Better; Soldier; Space Bound; Square Dance; Stan; Stepping Stone; Stronger Than I Was; Superman; Survival; The Monster; The Real Slim Shady; The Ringer; The Warning; The Way I Am; Tobey; Unaccommodating; Under the Influence; Untouchable; Venom; Walk on Water; When I’m Gone; White America; Wicked Ways; Without Me; You Gon’ Learn; Zeus; ’Till I Collapse,14.32,True,10
