"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Dreams","Fleetwood Mac","25 Years: The Chain","","February 4, 1977","1811332","252","38","","https://genius.com/Fleetwood-mac-dreams-lyrics","294002","(Mmm)

Now, here you go again
You say you want your freedom
Well, who am I to keep you down?
It's only right that you should
Play the way you feel it
But listen carefully to the sound
Of your loneliness

Like a heartbeat, (Heart) drives you mad (beat)
In the stillness (Still-) of remembering (-ness)
What you had (Lonely) and what you lost (Ooh, ooh)
And what you had (Ooh, ooh) and what you lost (Ooh)

Oh, thunder only happens when it's rainin'Players only love you when they're playing
Say, ""Women, they will come and they will go""
When the rain washes you clean, you'll know
You'll know

Now, here I go again
I see the crystal visions
I keep my visions to myself
It's only me who wants to
Wrap around your dreams
And have you any dreams you'd like to sell?
Dreams of loneliness

Like a heartbeat, (Heart) drives you mad (beat)
In the stillness (Still-) of remembering (-ness)
What you had (Lonely) and what you lost (Ooh, ooh)
And what you had (Ooh, ooh) Ooh, what you lost (Ah, ah)

Thunder only happens when it's rainin'
Players only love you when they're playing
Women, they will come and they will go
When the rain washes you clean, you'll know
Oh, thunder only happens when it's rainin'
Players only love you when they're playing
Say, ""Women, they will come and they will go""
When the rain washes you clean, you'll know

You'll know
You will know
Oh, you'll know"
"2","Landslide","Fleetwood Mac","25 Years: The Chain","","July 11, 1975","1306543","176","28","","https://genius.com/Fleetwood-mac-landslide-lyrics","6282","I took my love, took it down
I climbed a mountain and I turned around
And I saw my reflection in the snow-covered hills
'Til the landslide brought me down

Oh, mirror in the sky
What is love?
Can the child within my heart rise above?
Can I sail through the changin' ocean tides?
Can I handle the seasons of my life?
Hmm-hmm, hmm-hmm

Well, I've been afraid of changin'
'Cause I've built my life around you
But time makes you bolder
Even children get older
And I'm getting older too

Well, I've been afraid of changin'
'Cause I've built my life around you
But time makes you bolder
Even children get older
And I'm getting older too
Oh, I'm getting older too

Oh-oh, take my love, take it down
Oh-oh, climb a mountain and turn around
And if you see my reflection in the snow-covered hills
Well, the landslide bring it down

And if you see my reflection in the snow-covered hills
Well, the landslide will bring it down
Oh-ohh, the landslide bring it down"
"3","The Chain","Fleetwood Mac","25 Years: The Chain","","February 4, 1977","1012523","277","69","","https://genius.com/Fleetwood-mac-the-chain-lyrics","116175","(Fuck)

Listen to the wind blow
Watch the sun rise
Run in the shadows
Damn your love, damn your lies

And if you don't love me now
You will never love me again
I can still hear you sayin'
You would never break the chain
(
Never break the chain
)
And if you don't love me now
(
You don't love me now
)
You will never love me again
I can still hear you sayin'
(Still hear you saying)
You would never break the chain
(
Never break the chain
)

Listen to the wind blow
Down comes the night
Run in the shadows
Damn your love, damn your lies
Break the silence
Damn the dark, damn the light

And if you don't love me now
You will never love me again
I can still hear you sayin'
You would never break the chain
(
Never break the chain
)
And if you don't love me now
(
You don't love me now
)
You will never love me again
I can still hear you sayin'
(Still hear you saying)
You would never break the chain
(
Never break the chain
)
And if you don't love me now
(
You don't love me now
)
You will never love me again
I can still hear you sayin'
(Still hear you saying)
You would never break the chain
(
Never break the chain
)

Chain keep us together
Run in the shadow
Chain keep us together
Runnin' in the shadow
Chain keep us together
Runnin' in the shadow
Chain keep us together
Run in the shadow
Chain keep us together
Run in the shadow
Chain"
"4","Silver Springs","Fleetwood Mac","25 Years: The Chain","","December 1976","974919","248","41","","https://genius.com/Fleetwood-mac-silver-springs-lyrics","118390","You could be my silver spring
Blue-green colors flashin'
I would be your only dream
Your shinin' autumn ocean crashin'

And don't say that she's pretty
And did you say that she loved you?
Baby, I don't wanna know

So, I begin not to love you
Turn around, see me running
I say, ""I loved you years ago""
Tell myself you never loved me, no

And don't say that she's pretty
And did you say that she loved you?
Baby, I don't wanna know, oh, no
And can you tell me, was it worth it?
Baby, I don't wanna know

Time cast a spell on you
But you won't forget me
I know I could have loved you
But you would not let me

Time cast a spell on you
But you won't forget me
Well, I know I could have loved you
But you would not let me
I'll follow you down
'Til the sound of my voice will haunt you
Oh, give me just a chance
You'll never get away from the sound
Of the woman that loved you
Was I just a fool?
I'll follow you down
'Til the sound of my voice will haunt you
Give me just a chance
You'll never get away from the sound
Of the woman that loved you

Time cast a spell on you
But you won't forget me
I know I could have loved you
But you would not let me
I'll follow you down
'Til the sound"
"5","Rhiannon","Fleetwood Mac","25 Years: The Chain","","July 11, 1975","554098","207","38","","https://genius.com/Fleetwood-mac-rhiannon-lyrics","267752","Rhiannon rings like a bell through the night, and
Wouldn't you love to love her?
Takes to the sky like a bird in flight, and
Who will be her lover?

All your life you've never seen, woman
Taken by the wind
Would you stay if she promised you heaven?
Will you ever win?

She is like a cat in the dark, and then
She is the darkness
She rules her life like a fine skylark, and when
The sky is starless

All your life you've never seen, woman
Taken by the wind
Would you stay if she promised you heaven?
Will you ever win?
Will you ever win?

Rhiannon
Rhiannon
Rhiannon
Rhiannon

She rings like a bell through the night, and
Wouldn't you love to love her?
She rules her life like a bird in flight, and
Who will be her lover?

All your life you've never seen, woman
Taken by the wind
Would you stay if she promised you heaven?
Will you ever win?
Will you ever win?

Rhiannon
Rhiannon
Rhiannon

Taken by, taken by the sky (Ah-ah...)
Taken by, taken by the sky (Ah-ah...)
Taken by, taken by the sky (Ah-ah...)

Dreams unwind, love's a state of mind...
Dreams unwind, love's a state of mind"
"6","Go Your Own Way","Fleetwood Mac","25 Years: The Chain","","December 20, 1976","444620","200","25","","https://genius.com/Fleetwood-mac-go-your-own-way-lyrics","98481","Loving you isn't the right thing to do
How can I ever change things that I feel?
If I could, maybe I'd give you my world
How can I when you won't take it from me?

You can go your own way,
go your own way
You can call it another lonely day
You can go your own way,
go your own way

Tell me why everything turned around
Packing up, shacking up's all you wanna do
If I could, baby, I'd give you my world
Open up, everything's waiting for you

You can go your own way, go your own way
You can call it another lonely day
You can go your own way, go your own way

(Ah!) You can go your own way, go your own way
You can call it another lonely day, another lonely day
You can go your own way, go your own way
You can call it another lonely day, another lonely day

You can call it another lonely day, another lonely day
You can call it another lonely day, another lonely day
You can call it another lonely day, oh, yeah, oh, yeah
You can call it another lonely day
Lonely day"
"7","Gypsy","Fleetwood Mac","25 Years: The Chain","","June 18, 1982","290349","195","31","","https://genius.com/Fleetwood-mac-gypsy-lyrics","185180","So I'm back, to the velvet underground
Back to the floor, that I love
To a room with some lace and paper flowers
Back to the gypsy that I was
To the gypsy that I was

And it all comes down to you
Well you know that it does
And lightning strikes, maybe once, maybe twice
Oh, and it lights up the night
And you see your gypsy
You see your gypsy

To the gypsy that remains
Faces freedom with a little fear
I have no fear, I have only love
And if I was a child
And the child was enough
Enough for me to love
Enough to love

She is dancing away from me now
She was just a wish
She was just a wish
And a memory is all that is left for you now
You see your gypsy, oh
You see your gypsy

Lightning strikes, maybe once, maybe twice
And it all comes down to you
And it all comes down to you
Lightning strikes, maybe once, maybe twice
And it all comes down to you
I still see your bright eyes, bright eyes
And it all comes down to you"
"8","Songbird","Fleetwood Mac","25 Years: The Chain","","February 4, 1977","283192","126","20","","https://genius.com/Fleetwood-mac-songbird-lyrics","266861","For you, there'll be no more crying
For you, the sun will be shining
And I feel that when I'm with you
It's alright, I know it's right
To you, I will give the world
To you, I'll never be cold
'Cause I feel that when I'm with you
It's alright, I know it's right

And the songbirds are singing
Like they know the score
And I love you, I love you, I love you
Like never before

And I wish you all the love in the world
But most of all, I wish it from myself

And the songbirds keep singing
Like they know the score
And I love you, I love you, I love you
Like never before

Like never before
Like never before"
"9","Everywhere","Fleetwood Mac","25 Years: The Chain","","April 13, 1987","251563","199","35","","https://genius.com/Fleetwood-mac-everywhere-lyrics","382874","Calling out your name
Calling out your name

Can you hear me calling out your name?
You know that I'm falling and I don't know what to say
I'll speak a little louder, I'll even shout
You know that I'm proud and I can't get the words out

Oh, I
I wanna be with you everywhere
Oh, I
I wanna be with you everywhere
(
I wanna be with you everywhere
)

Something's happening, happening to me
My friends say I'm acting peculiarly
Come along, baby, we better make a start
You better make it soon before you break my heart

Oh, I
I wanna be with you everywhere
Oh, I
I wanna be with you everywhere
(I wanna be with you everywhere)

Can you hear me calling out your name?
You know that I'm falling and I don't know what to say
Come along, baby, we better make a start
You better make it soon before you break my heart

Oh, I
I wanna be with you everywhere
Oh, I
I wanna be with you everywhere
Oh, I
I wanna be with you everywhere
Oh, I
I wanna be with you everywhere
(I wanna be with you everywhere)"
"10","Gold Dust Woman","Fleetwood Mac","25 Years: The Chain","","February 4, 1977","227857","209","39","","https://genius.com/Fleetwood-mac-gold-dust-woman-lyrics","399871","Rock on, gold dust woman
Take your silver spoon, dig your grave
Heartless challenge
Pick your path and I'll pray
Wake up in the mornin'
See your sunrise, loves to go down
Lousy lovers pick their prey
But they never cry out loud, cry out

Well, did she
make you cry?
Make you break down?
Shatter your illusions of love?
And is it over now? Do you know how?
Pick up the pieces and go home

Rock on, ancient queen
Follow those who pale in your shadow
Rulers make bad lovers
You better put your kingdom up for sale, up for sale

Well, did she
make you cry?
Make you break down?
Shatter your illusions of love?
Well, is it over now? Do you know how?
Pick up the pieces and go home
Well, did she make you cry?
Make you break down?
Shatter your illusions of love?
And now tell me, is it over now? Do you know how
To pick up the pieces and go home?

And go home, and go home

Ooh, pale shadow of a woman
Black widow
Pale shadow of a dragon
Dust woman
Ooh, pale shadow of a woman
Ooh, black widow
Ooh, pale shadow, she's a dragon
Gold dust woman
Woman, woman"
