word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,588,48,Angel; As Long as You Follow; Beautiful Child; Big Love; Black Magic Woman; Blue Letter; Crystal; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Go Your Own Way; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; Landslide; Little Lies; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Over My Head; Peacekeeper; Rhiannon; Rhiannon (Live 1977); Sara; Say You Love Me; Say You Will; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Songbird; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; Tusk; Warm Ways; You Make Loving Fun,12.25,True,1
i,i,PRON,505,46,Angel; As Long as You Follow; Beautiful Child; Big Love; Black Magic Woman; Blue Letter; Crystal; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Go Your Own Way; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; I’m So Afraid; Landslide; Little Lies; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Over My Head; Sara; Say You Love Me; Say You Will; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Songbird; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; Warm Ways; You Make Loving Fun,10.98,True,2
the,the,DET,347,46,Angel; As Long as You Follow; Beautiful Child; Big Love; Blue Letter; Crystal; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Go Your Own Way; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; I’m So Afraid; Landslide; Little Lies; Man of the World; Monday Morning; Need Your Love So Bad; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over My Head; Peacekeeper; Rhiannon; Rhiannon (Live 1977); Sara; Say You Love Me; Say You Will; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Songbird; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Tusk; Warm Ways; You Make Loving Fun,7.54,True,3
me,i,PRON,298,42,Angel; Beautiful Child; Big Love; Black Magic Woman; Blue Letter; Crystal; Dreams; Everywhere; Go Your Own Way; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; Landslide; Little Lies; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Over My Head; Rhiannon (Live 1977); Sara; Say You Love Me; Say You Will; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; Tusk; Warm Ways; You Make Loving Fun,7.1,True,4
to,to,PART,232,48,Angel; As Long as You Follow; Beautiful Child; Big Love; Black Magic Woman; Blue Letter; Crystal; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Go Your Own Way; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; I’m So Afraid; Little Lies; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Over My Head; Peacekeeper; Rhiannon; Rhiannon (Live 1977); Sara; Say You Love Me; Say You Will; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Songbird; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; Warm Ways; You Make Loving Fun,4.83,True,5
and,and,CCONJ,218,44,Angel; As Long as You Follow; Beautiful Child; Big Love; Black Magic Woman; Crystal; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; I’m So Afraid; Landslide; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Over My Head; Peacekeeper; Rhiannon; Rhiannon (Live 1977); Sara; Say You Love Me; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Songbird; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; You Make Loving Fun,4.95,True,6
n't,not,PART,185,36,As Long as You Follow; Beautiful Child; Black Magic Woman; Blue Letter; Don’t Stop; Don’t Stop (Live 1977); Everywhere; Go Your Own Way; Hold Me; Hypnotized; I Don’t Want to Know; Little Lies; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Over My Head; Peacekeeper; Rhiannon; Rhiannon (Live 1977); Sara; Second Hand News; Silver Springs; Silver Springs (Live 1997) (Edit); Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; Tusk; Warm Ways; You Make Loving Fun,5.14,True,7
a,a,DET,178,38,Angel; As Long as You Follow; Beautiful Child; Big Love; Black Magic Woman; Blue Letter; Crystal; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; Landslide; Little Lies; Man of the World; Need Your Love So Bad; Oh Daddy; Over My Head; Peacekeeper; Rhiannon; Rhiannon (Live 1977); Sara; Say You Love Me; Say You Will; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Storms; Think About Me; Thrown Down; Warm Ways; You Make Loving Fun,4.68,True,8
do,do,AUX,157,33,Beautiful Child; Black Magic Woman; Blue Letter; Crystal; Don’t Stop; Don’t Stop (Live 1977); Everywhere; Go Your Own Way; Gold Dust Woman; Hold Me; Hypnotized; I Don’t Want to Know; Man of the World; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Oh Well (Part 1); Oh Well - Parts I & II; Over & Over; Peacekeeper; Sara; Second Hand News; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Storms; The Chain; The Green Manalishi (With the Two Prong Crown); Think About Me; Thrown Down; Tusk; You Make Loving Fun,4.76,True,9
it,it,PRON,150,38,Angel; As Long as You Follow; Beautiful Child; Big Love; Blue Letter; Don’t Stop; Don’t Stop (Live 1977); Dreams; Everywhere; Future Games; Go Your Own Way; Gold Dust Woman; Gypsy; Hold Me; Hypnotized; I Don’t Want to Know; Landslide; Little Lies; Monday Morning; Need Your Love So Bad; Never Going Back Again; Oh Daddy; Over & Over; Over My Head; Peacekeeper; Rhiannon (Live 1977); Sara; Say You Love Me; Say You Will; Second Hand News; Seven Wonders; Silver Springs; Silver Springs (Live 1997) (Edit); Sisters of the Moon; Songbird; Think About Me; Thrown Down; You Make Loving Fun,3.95,True,10
