"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Everlong","Foo Fighters","The Colour and the Shape (10th Anniversary Edition)","","August 18, 1997","1511483","335","51","","https://genius.com/Foo-fighters-everlong-lyrics","73745","Hello, I've waited here for you
Everlong
Tonight, I throw myself into
And out of the red, out of her head, she sang

Do do do do do do dododo
Do do do do do do dododo
Do do do do do do do do
Do do dododo

Come down, and waste away with me
Down with me
Slow, how you wanted it to be
I'm over my head, out of her head, she sang

And I wonder
When I sing along with you

[Chorus: Dave Grohl & Louise Post,
Dave Grohl
]
If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You gotta promise not to stop when I say when
She sang

Do do do do do do dododo
Do do do do do do dododo
Do do do do do do do do
Do do dododo

Breathe out, so I can breathe you in
Hold you in
And now, I know you've always been
Out of your head, out of my head, I sang

And I wonder
When I sing along with you

[Chorus: Dave Grohl & Louise Post,
Dave Grohl
]
If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You gotta promise not to stop when I say when
She sang

So, dad would take the Sundays off
And that's the only time he could ever get any rest
And so, because we were loud on Sundays
He'd make us hold his construction boots over our head, 'til we'd sleep
And they were really heavy boots and I used to say, ""Dad, come on, please""
And like start crying, 'cause they're too heavy

And I wonder

If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You gotta promise not to stop when I say when"
"2","My Hero","Foo Fighters","The Colour and the Shape (10th Anniversary Edition)","","May 20, 1997","480563","128","28","","https://genius.com/Foo-fighters-my-hero-lyrics","110285","Too alarmin' now to talk about
Take your pictures down and shake it out
Truth or consequence, say it aloud
Use that evidence, race it around

There goes my hero
Watch him as he goes
There goes my hero
He's ordinary

Don't the best of them bleed it out
While the rest of them peter out?
Truth or consequence, say it aloud
Use that evidence, race it around

There goes my hero
Watch him as he goes
There goes my hero
He's ordinary

Kudos, my hero
Leavin' all the best
You know my hero
The one that's on

There goes my hero
Watch him as he goes
There goes my hero
He's ordinary
There goes my hero
Watch him as he goes
There goes my hero
He's ordinary"
"3","Best of You","Foo Fighters","In Your Honor (Bonus Edition)","","May 30, 2005","335461","328","60","","https://genius.com/Foo-fighters-best-of-you-lyrics","102576","I've got another confession to make
I'm your fool
Everyone's got their chains to break
Holdin' you
Were you born to resist
Or be abused?

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Are you gone and on to someone new?

I needed somewhere to hang my head
Without your noose
You gave me something that I didn't have
But had no use
I was too weak to give in
Too strong to lose
My heart is under arrest again
But I break loose
My head is giving me life or death
But I can't choose
I swear I'll never give in
I refuse

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Has someone taken your faith?
It's real, the pain you feel
You trust, you must confess
Is someone getting the best
The best, the best, the best of you? Oh

Oh, oh
Oh, oh

Has someone taken your faith?
It's real, the pain you feel
The life, the love you'd die to heal
The hope that starts the broken hearts
You trust, you must confess
Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?

I've got another confession, my friend
I'm no fool
I'm getting tired of starting again
Somewhere new
Were you born to resist
Or be abused?
I swear I'll never give in
I refuse

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Has someone taken your faith?
It's real, the pain you feel
You trust, you must confess
Is someone getting the best
The best, the best, the best of you? Oh"
"4","Learn to Fly","Foo Fighters","The Essential Foo Fighters","","September 18, 1999","274246","344","31","","https://genius.com/Foo-fighters-learn-to-fly-lyrics","102578","Run and tell all of the angels, this could take all night
Think I need a devil to help me get things right
Hook me up a new revolution, 'cause this one is a lie
We sat around laughin' and watched the last one die

Now I'm lookin' to the sky to save me, lookin' for a sign of life
Lookin' for something to help me burn out bright
I'm lookin' for a complication, lookin' 'cause I'm tired of lyin'
Make my way back home when I learn to fly high

I think I'm done nursin' the patience, it can wait one night
I'd give it all away if you give me one last try
We'll live happily ever trapped if you just save my life
Run and tell the angels that everything's all right

Now I'm lookin' to the sky to save me, I'm lookin' for a sign of life
Lookin' for something to help me burn out bright
I'm lookin' for a complication, lookin' 'cause I'm tired of tryin'
Make my way back home when I learn to fly high
Make my way back home when I learn to

Fly along with me, I can't quite make it alone
Try to make this life my own
Fly along with me, I can't quite make it alone
Try to make this life my own

I'm lookin' to the sky to save me, I'm lookin' for a sign of life (Sign of life)
Lookin' for something to help me burn out bright
And I'm lookin' for a complication, lookin' 'cause I'm tired of tryin' (Tired of tryin')
Make my way back home when I learn to
Lookin' to the sky to save me, I'm lookin' for a sign of life (Sign of life)
Lookin' for something to help me burn out bright (Bright)
I'm lookin' for a complication, lookin' 'cause I'm tired of tryin'
Make my way back home when I learn to fly high
Make my way back home when I learn to fly
Make my way back home when I learn to…"
"5","The Sky Is a Neighborhood","Foo Fighters","The Essential Foo Fighters","","August 23, 2017","209726","315","46","","https://genius.com/Foo-fighters-the-sky-is-a-neighborhood-lyrics","3090221","(Ah-ah, ah-ah
Ah-ah-ah-ah)

The sky is a neighborhood, so keep it down
Heart is a storybook, a star burned out
The sky is a neighborhood, don't make a sound
Lights comin' up ahead, don't look now

The sky is a neighborhood (Ah-ah, ah-ah)
The sky is a neighborhood, (Ah-ah, ah-ah) don't look now

Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
Bangin' on the ceiling, bangin' on the ceiling
Keep it down
Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
Bangin' on the ceiling, bangin' on the ceiling
Keep it down

Mind is a battlefield, all hope is gone
Trouble to the right and left, whose side you're on?
Thoughts like a minefield, I'm a tickin' bomb
Maybe you should watch your step, don't get lost

The sky is a neighborhood (Ah-ah, ah-ah)
The sky is a neighborhood, (Ah-ah, ah-ah) don't get lost

Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
Bangin' on the ceiling, bangin' on the ceiling
Keep it down
Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
Bangin' on the ceiling, bangin' on the ceiling
Keep it down

The sky is a neighborhood

Heart is a storybook, a star burned out
Something comin' up ahead, don't look now

Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
Bangin' on the ceiling, bangin' on the ceiling
Keep it down
Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
Bangin' on the ceiling, bangin' on the ceiling
Keep it down
(The sky is a neighborhood) Oh, my dear, Heaven is a big bang now
Gotta get to sleep somehow
(The sky is a neighborhood) Bangin' on the ceiling, bangin' on the ceiling
Keep it down

The sky is a neighborhood"
"6","Times Like These","Foo Fighters","The Essential Foo Fighters","","January 6, 2003","194566","245","33","","https://genius.com/Foo-fighters-times-like-these-lyrics","187384","I, I'm a one-way motorway
I'm the one that drives away and follows you back home
I, I'm a streetlight shinin'
I'm a white light blindin' bright, burnin' off and on
Uh-uh

It's times like these you learn to live again
It's times like these you give and give again
It's times like these you learn to love again
It's times like these, time and time again

I, I'm a new day risin'
I'm a brand new sky to hang the stars upon tonight
But I, I'm a little divided
Do I stay or run away and leave it all behind?
Uh-uh

It's times like these you learn to live again
It's times like these you give and give again
It's times like these you learn to love again
It's times like these, time and time again

Uh-uh
Uh-uh
Uh-uh

It's times like these you learn to live again
It's times like these you give and give again
It's times like these you learn to love again
It's times like these, time and time again
It's times like these you learn to live again!
It's times like these you give and give again!
It's times like these you learn to love again!
It's times like these, time and time again!

It's times like these you learn to live again
It's times like these you give and give again
It's times like these you learn to love again
It's times like these, time and time again"
"7","Run","Foo Fighters","Concrete and Gold","","June 1, 2017","187982","240","59","","https://genius.com/Foo-fighters-run-lyrics","3108240","Wake up
Run for your life with me
Wake up
Run for your life with me

In another perfect life
In another perfect light
We run
We run
We run

The rats are on parade, another mad charade
What you gonna do?
The hounds are on the chase, everything's erased
What you gonna do?
I need some room to breathe, you can stay asleep
If you wanted to
They say that's nothing's free, you can run with me
If you wanted to
Yeah, you can run with me
If you wanted to

Before the time runs out
There's somewhere to run
Wake up
Run for your life with me
Wake up
Run for your life with me

In another perfect life
In another perfect light
We run
We run
We run
Run

We are the nation's stakes, if everything's erased
What you gonna do?
I need some room to breathe, you can run with me
If you wanted to
Yeah, you can run with me
If you wanted to

Before the time runs out
There's somewhere to run
Wake up
Run for your life with me
Wake up
Run for your life with me

In another perfect life
In another perfect light
We run
We run
We run
Run!

Wake up
Run for your life with me
Wake up
Run for your life with me

In another perfect life
In another perfect light
We run
We run
We run
Run!"
"8","Monkey Wrench","Foo Fighters","The Colour and the Shape (10th Anniversary Edition)","","April 28, 1997","174783","230","40","","https://genius.com/Foo-fighters-monkey-wrench-lyrics","187386","What have we done with innocence?
It disappeared with time, it never made much sense
Adolescent resident
Wasting another night on plannin' my revenge

One in ten
One in ten
One in ten

Don't wanna be your monkey wrench
One more indecent accident
I'd rather leave than suffer this
I'll never be your monkey wrench

All this time to make amends
What do you do when all your enemies are friends?
Now and then, I'll try to bend
Under pressure, wind up snapping in the end

One in ten
One in ten
One in ten

Don't wanna be your monkey wrench
One more indecent accident
I'd rather leave than suffer this
I'll never be your monkey wrench

Temper
Temper
Temper

One last thing before I quit
I never wanted any more than
I could fit into my head
I still remember every single word you said
And all the shit that somehow came along with it
Still, there's one thing that comforts me
Since I was always caged and now I'm free!

Don't wanna be your monkey wrench
One more indecent accident
I'd rather leave than suffer this
I'll never be your monkey wrench

Don't wanna be your monkey wrench (Fall in, fall out)
Don't wanna be your monkey wrench (Fall in, fall out)
Don't wanna be your monkey wrench (Fall in, fall out)
Don't wanna be your monkey wrench"
"9","Walk","Foo Fighters","The Essential Foo Fighters","","June 17, 2011","147752","271","50","","https://genius.com/Foo-fighters-walk-lyrics","65364","A million miles away
Your signal in the distance
To whom it may concern
I think I lost my way
Gettin' good at startin' over
Every time that I return

Learnin' to walk again
I believe I've waited long enough
Where do I begin?
Learnin' to talk again
Can't you see I've waited long enough?
Where do I begin?

Do you remember the days
We built these paper mountains
Then sat and watched them burn?
I think I found my place
Can't you feel it growin' stronger?
Little conquerors

Learnin' to walk again
I believe I've waited long enough
Where do I begin?
Learnin' to talk again
I believe I've waited long enough
Where do I begin?

Now
For the very first time
Don't you pay no mind
Set me free, again
To keep alive a moment at a time
But still inside, a whisper to a riot
To sacrifice, but knowin' to survive
The first to climb another state of mind
I'm on my knees, I'm prayin' for a sign
Forever, whenever, I never wanna die
I never wanna die, I never wanna die!
I'm on my knees, I never wanna die!
I'm dancin' on my grave, I'm runnin' through the fire
Forever, whenever, I never wanna die!
I never wanna leave, I'll never say goodbye!
Forever! Whenever! Forever! Whenever!

Learnin' to walk again
I believe I've waited long enough
Where do I begin?
Learnin' to talk again
Can't you see I've waited long enough?
Where do I begin?

Learnin' to walk again
I believe I've waited long enough
Learnin' to talk again
Can't you see I've waited long enough?"
"10","Big Me","Foo Fighters","The Essential Foo Fighters","","February 25, 1996","106426","142","29","","https://genius.com/Foo-fighters-big-me-lyrics","136188","When I talk about it, carries on
Reasons only knew
When I talk about it, Aries or
Treasons all renew

Big me to talk about it
I could stand to prove
If we can get around it
I know that it's true

Well, I talked about it, carried on
Reasons only knew
But it's you
I fell into

Well, I talked about it, carries on
Reasons only knew
When I talk about it, Aries or
Treasons all renew

Big me to talk about it
I could stand to prove
If we can get around it
I know that it's true

Well, I talked about it, put it on
Never was it true
But it's you
I fell into

Well, I talked about it, put it on
Never was it true
But it's you
I fell into, I fell into
I fell into"
