word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,879,49,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,17.94,True,1
you,you,PRON,660,49,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,13.47,True,2
the,the,DET,609,48,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Chanel; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,12.69,True,3
a,a,DET,394,46,Acura Integurl; At Your Best (You Are Love); Bad Religion; Biking; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; american wedding; songs for women; strawberry swing; we all try,8.57,True,4
n't,not,PART,359,49,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,7.33,True,5
my,my,PRON,304,47,Acura Integurl; At Your Best (You Are Love); Bad Religion; Biking; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,6.47,True,6
me,i,PRON,292,43,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Futura Free; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Self Control; Sierra Leone; Solo; Solo (Reprise); Super Rich Kids; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; american wedding; songs for women; we all try,6.79,True,7
to,to,PART,276,47,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Cayendo; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pink + White; Pink Matter; Pretty Sweet; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,5.87,True,8
and,and,CCONJ,276,44,Acura Integurl; Bad Religion; Be Yourself; Biking; Chanel; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Good Guy; Higgs; In My Room; Ivy; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,6.27,True,9
s,be,AUX,266,48,Acura Integurl; At Your Best (You Are Love); Bad Religion; Be Yourself; Biking; Chanel; Close to You; Crack Rock; DHL; End / Golden Girl; Forrest Gump; Futura Free; Godspeed; Good Guy; Higgs; In My Room; Ivy; Lens; Lost; Moon River; Nights; Nikes; Novacane; Open Letter on Tumblr; Pilot Jones; Pink + White; Pink Matter; Provider; Pyramids; Rushes; Seigfried; Self Control; Sierra Leone; Skyline To; Solo; Solo (Reprise); Super Rich Kids; Sweet Life; Swim Good; Thinkin Bout You; Trouble; Unity; White Ferrari; Wise Man; american wedding; songs for women; strawberry swing; we all try,5.54,True,10
