"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Believer","Imagine Dragons","Evolve (Japanese Edition)","","February 1, 2017","8121552","403","39","","https://genius.com/Imagine-dragons-believer-lyrics","2970719","First things first, I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second things second, don't you tell me what you think that I could be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age, taking my sulkin' to the masses
Writing my poems for the few that look at me, took to me, shook at me, feelin' me
Singing from heartache from the pain, taking my message from the veins
Speaking my lesson from the brain, seeing the beauty through the

Pain! You made me a, you made me a believer, believer
Pain! You break me down, you build me up, believer, believer
Pain, oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from
Pain! You made me a, you made me a believer, believer

Third things third, send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was chokin' in the crowd, building my rain up in the cloud
Falling like ashes to the ground, hoping my feelings, they would drown
But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down like

Pain! You made me a, you made me a believer, believer
Pain! You break me down, you build me up, believer, believer
Pain, oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from
Pain! You made me a, you made me a believer, believer

Last things last, by the grace of the fire and the flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh

But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down like

Pain! You made me a, you made me a believer, believer
Pain! You break me down, you build me up, believer, believer
Pain, oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from
Pain! You made me a, you made me a believer, believer"
"2","Thunder","Imagine Dragons","Evolve (Japanese Edition)","","April 27, 2017","2665375","263","52","","https://genius.com/Imagine-dragons-thunder-lyrics","3044373","Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a ""Yes, sir,"" not a follower
Fit the box, fit the mold, have a seat
In the foyer, take a number
I was lightning before the thunder

Thunder, thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder

Thunder, feel the thunder
Lightning, then the thunder
Thunder, feel the thunder
Lightning, then the thunder, thunder, thunder
Thunder

Kids were laughin' in my classes
While I was schemin' for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say, ""You're basic,"" they say, ""You're easy""
You're always riding in the backseat
Now I'm smilin' from the stage while
You were clappin' in the nosebleeds

Thunder, thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder

Thunder, feel the thunder
Lightning, then the thunder
Thunder, feel the thunder
Lightning, then the thunder, thunder

Thunder, feel the thunder
Lightning, then the thunder, thunder

Thunder, feel the thunder
Lightning, then the thunder, thunder
Thunder, feel the thunder
Lightning, then the thunder, thunder
Thunder, feel the thunder (Never give up, never give up)
Lightning, then the thunder, thunder (Never give up on your dreams)
Thunder, feel the thunder (Never give up, never give up)
Lightning, then the thunder, thunder (Never give up on your dreams)

Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
(Woo)
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder"
"3","Demons","Imagine Dragons","Night Visions (Expanded Edition) [Super Deluxe]","","January 23, 2013","2305766","308","32","","https://genius.com/Imagine-dragons-demons-lyrics","109206","When the days are cold and the cards all fold
And the saints we see are all made of gold
When your dreams all fail and the ones we hail
Are the worst of all, and the blood's run stale

I wanna hide the truth, I wanna shelter you
But with the beast inside, there's nowhere we can hide
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come

When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide

At the curtain's call it's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave and the masquerade
Will come calling out at the mess you've made

Don't wanna let you down, but I am hell-bound
Though this is all for you, don't wanna hide the truth
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come

When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide

They say it's what you make, I say it's up to fate
It's woven in my soul, I need to let you go
Your eyes, they shine so bright, I wanna save that light
I can't escape this now, unless you show me how

When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide"
"4","Radioactive","Imagine Dragons","Night Visions (Expanded Edition) [Super Deluxe]","","February 14, 2012","1783422","256","46","","https://genius.com/Imagine-dragons-radioactive-lyrics","98754","Woah, oh, oh
Woah, oh, oh
Woah, oh, oh
Woah

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
Uhh, ahh

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive
Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive

I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Woah

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive
Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive
Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive"
"5","Enemy","Imagine Dragons","Mercury - Acts 1 & 2 (Japanese Edition)","","October 28, 2021","1746863","406","58","","https://genius.com/Imagine-dragons-and-jid-enemy-lyrics","5992642","Look out for yourself

I wake up to the sounds of the silence that allows
For my mind to run around, with my ear up to the ground
I'm searchin' to behold the stories that are told
When my back is to the world that was smilin' when I turned

Tell you you're the greatest
But once you turn, they hate us

Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy-y-y-y-y
(Look out for yourself)
My enemy-y-y-y-y (Look, look, look, look)
(Look out for yourself)
But I'm ready

Your words up on thе wall as you're prayin' for my fall
And the laughter in thе halls and the names that I've been called
I stack it in my mind, and I'm waitin' for the time
When I show you what it's like to be words spit in a mic

Tell you you're the greatest
But once you turn, they hate us (Ha)

Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy-y-y-y-y (Look, look, look, look)
(Look out for yourself)
My enemy-y-y-y-y (Look, look, look, look; yeah)
(Look out for yourself)

Uh, look, okay
I'm hopin' that somebody pray for me
I'm prayin' that somebody hope for me
I'm stayin' where nobody 'posed to be p-p-posted
Being a wreck of emotions
Ready to go whenever, just let me know
The road is long, so put the pedal into the floor
The enemy on my trail, my energy unavailable
I'ma tell 'em, ""Hasta luego""
They wanna plot on my trot to the top
I been outta shape, thinkin' out the box, I'm an astronaut
I blasted off the planet rock to cause catastrophe
And it matters more because I had it not
Had I thought about wreaking havoc
On an opposition, kinda shockin' they wanted static
With precision, I'm automatic quarterback
I ain't talkin' sackin', pack it
Pack it up, I don't panic, batter-batter up
Who the baddest? It don't matter 'cause we at your throat

Everybody wants to be my enemy
Spare the sympathy (Ah)
Everybody wants to be my enemy
Oh, the misery (Ah)
Everybody wants to be my enemy
Spare the sympathy (Ah)
Everybody wants to be my enemy

Pray it away, I swear I'll never be a saint, no way
My enemy
Pray it away, I swear I'll never be a saint
(Look out for yourself)"
"6","Whatever It Takes","Imagine Dragons","Evolve (Japanese Edition)","","May 8, 2017","1427117","451","71","","https://genius.com/Imagine-dragons-whatever-it-takes-lyrics","3080781","Falling too fast to prepare for this
Tripping in the world could be dangerous
Everybody circling is vulturous
Negative, nepotist
Everybody waiting for the fall of man
Everybody praying for the end of times
Everybody hoping they could be the one
I was born to run, I was born for this

Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up

Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top
I'm ready for whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes

Always had a fear of being typical
Looking at my body feeling miserable
Always hanging on to the visual
I wanna be invisible
Looking at my years like a martyrdom
Everybody needs to be a part of 'em
Never be enough, I'm the prodigal son
I was born to run, I was born for this

Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up

Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top
I'm ready for whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes

Hypocritical, egotistical
Don't wanna be the parenthetical, hypothetical
Working hard on something that I'm proud of, out of the box
An epoxy to the world and the vision we've lost
I'm an apostrophe
I'm just a symbol to remind you that there's more to see
I'm just a product of the system, a catastrophe
And yet a masterpiece, and yet I'm half-diseased
And when I am deceased
At least I'll go down to the grave and die happily
And leave the body and the soul to be a part of thee
I do what it takes

Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top
I'm ready for whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes"
"7","Natural","Imagine Dragons","Origins (International Deluxe)","","July 17, 2018","939617","322","55","","https://genius.com/Imagine-dragons-natural-lyrics","3833988","Will you hold the line
When every one of them has given up and given in? Tell me
In this house of mine
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will Heaven step in? Will it save us from our sin? Will it?
'Cause this house of mine stands strong

That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Will somebody
Let me see the light within the dark trees shadowing?
What's happenin'?
Lookin' through the glass, find the wrong within the past knowin'
Oh, we are the youth
Cut until it bleeds inside a world without the peace, facing
A bit of the truth, the truth

That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Deep inside me, I'm fading to black, I'm fading
Took an oath by the blood of my hand, won't break it
I can taste it, the end is upon us, I swear
I'm gonna make it
I'm gonna make it

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Natural
Yeah, you're a natural"
"8","Bad Liar","Imagine Dragons","Origins (International Deluxe)","","November 6, 2018","862179","287","42","","https://genius.com/Imagine-dragons-bad-liar-lyrics","4033354","Oh, hush, my dear, it's been a difficult year
And terrors don’t prey on innocent victims
Trust me, darlin', trust me, darlin'
It’s been a loveless year
I'm a man of three fears
Integrity, faith, and crocodile tears
Trust me, darlin', trust me, darlin'

So look me in the eyes, tell me what you see
Perfect paradise, tearin' at the seams
I wish I could escape it, I don't wanna fake it
Wish I could erase it, make your heart believe

But I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you’re free to go

Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I’ve been askin' for
Oh, I’ve been askin' for problems, problems, problems
I wage my war on the world inside
I take my gun to the enemy's side
Oh, I've been askin’ for (Trust me, darlin', trust me, darlin')
Oh, I've been askin' for problems, problems, problems

So look me in the eyes, tell me what you see
Perfect paradise, tearin' at the seams
I wish I could escape it, I don't wanna fake it
Wish I could erase it, make your heart believe

But I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you're free to go

I can't breathe, I can't be
I can't be what you want me to be
Believe me, this one time
Believe me

I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you're free to go

Oh-oh-oh
Please believe me
Please believe me"
"9","Radioactive (Remix)","Imagine Dragons","","","January 26, 2014","741669","427","59","Kendrick Lamar","https://genius.com/Imagine-dragons-radioactive-remix-lyrics","348633","Woah, oh-oh
Woah, oh-oh
Woah, oh-oh
Woah

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse, woah

I'm wakin' up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in, woah

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse, woah

I'm wakin' up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

Bury me alive, bury me with pride
Bury me with berries, that forbidden fruit and cherry wine
Thank you berry much, but tonight's my night and I'm Barry Bonds
Swingin' for the fences, barbaric Kendrick in idle time
Everything in life's subject to change, change whip, change grind
Change clothes, change opinions, right before I change my mind
I don't really know your business, been in there since I was bendin' Lego blocks
Now you tell the world about me, dry snitch
Tater tots on my shotgun, now I gotta pop one at the stars
Sky's the limit, I gotta finish as the first rapper on Mars
Mark my word, I'ma make my mark, even when they start their Martial Law
Even when these Martians alienate, my mental state is still at heart
Fuck, look in my eyes, tell me I died, tell me I tried to compromise
Tell me you love me, tell me that I don't give a fuck and can barely decide
Wishin' good luck on my enemies, all of my energy go to the almighty God
I could drown in a bottle of Hennessy, fuck your amenities, I'm gettin' better with time, ah

I'm wakin' up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

I'm radioactive, radioactive"
"10","Not Today","Imagine Dragons","Evolve (Japanese Edition)","","April 29, 2016","601464","299","52","","https://genius.com/Imagine-dragons-not-today-lyrics","2463660","There she goes in front of me
Take my life and set me free again
We'll make a memory out of it
Holy road is at my back
Don't look on, take me back again
We'll make a memory out of it

We finally fall apart
And we break each other's hearts
If we wanna live young, love
We better start today

It's gotta get easier, oh, easier somehow
'Cause I'm falling, I'm falling
Oh, easier and easier somehow
Oh, I'm calling, I'm calling
And it isn't over unless it is over
I don't wanna wait for that
It's gotta get easier and easier somehow
But not today, not today

There she goes in front of me
Take my life, set me free again
We'll make a memory out of it
Holy road was at my back
Don't look on, take me back again
We'll make a memory out of it

We finally fall apart
And we break each other's hearts
If we wanna live young, love
We better start today

It's gotta get easier, oh, easier somehow
'Cause I'm falling, I'm falling
Oh, easier and easier somehow
Oh, I'm calling, I'm calling
And it isn't over unless it is over
I don't wanna wait for that
It's gotta get easier and easier

So come with me
Well, come with me, hey
So come with me
Well, come with me, hey
Not today, not today
Not today, not today

It's gotta get easier and easier somehow
'Cause I'm falling, I'm falling
And easier and easier somehow
Oh, I'm calling, I'm calling
And it isn't over unless it is over
I don't wanna wait for that
It's gotta get easier and easier somehow
It's gotta get easier and easier somehow
Not today, not today
Not today, not today
Not today"
