word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1104,50,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Boomerang; Bullet in a Gun; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Not Today; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Thunder; Walking the Wire; Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,22.08,True,1
the,the,DET,761,48,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Bullet in a Gun; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Thunder; Walking the Wire; Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,15.85,True,2
you,you,PRON,639,44,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Boomerang; Bullet in a Gun; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Enemy (Solo Mix); Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; My Life; Natural; Next to Me; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive (Remix); Roots; Sharks; Shots; Take Me to the Beach (Ado Version); Thunder; Walking the Wire; Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,14.52,True,3
to,to,ADP,415,47,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Boomerang; Bullet in a Gun; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Enemy (Solo Mix); Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Walking the Wire; Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,8.83,True,4
my,my,PRON,379,42,Amsterdam; Bad Liar; Believer; Believer (Remix); Bleeding Out; Bones; Boomerang; Bullet in a Gun; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; I Bet My Life; It’s Time; I’ll Make It Up to You; Machine; Monster; My Life; Natural; Next to Me; Not Today; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Thunder; Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,9.02,True,5
a,a,PRON,360,44,Amsterdam; Bad Liar; Believer; Believer (Remix); Bones; Bullet in a Gun; Cool Out; Dancing in the Dark; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Not Today; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Thunder; Walking the Wire; Warriors; Whatever It Takes; Wrecked; Yesterday; Zero,8.18,True,6
it,it,PRON,341,46,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Boomerang; Bullet in a Gun; Cool Out; Demons; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Not Today; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Walking the Wire; Warriors; Whatever It Takes; Wrecked; Yesterday; Zero,7.41,True,7
m,be,AUX,323,46,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Boomerang; Bullet in a Gun; Cool Out; Dancing in the Dark; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; Follow You; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Not Today; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Roots; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Thunder; Walking the Wire; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,7.02,True,8
me,i,PRON,299,39,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Eyes Closed; Friction; I Bet My Life; I Don’t Know Why; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; My Life; Natural; Next to Me; Not Today; Nothing Left to Say / Rocks; On Top of the World; Radioactive (Remix); Rise Up; Roots; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,7.67,True,9
and,and,CCONJ,272,47,Amsterdam; Bad Liar; Believer; Believer (Remix); Birds; Bleeding Out; Bones; Bullet in a Gun; Cool Out; Dancing in the Dark; Demons; Dream; Enemy; Enemy (Solo Mix); Eyes Closed; Friction; Gold; I Bet My Life; I Don’t Know Why; It’s Time; I’ll Make It Up to You; I’m So Sorry; Machine; Monster; Mouth of the River; My Life; Natural; Next to Me; Not Today; Nothing Left to Say / Rocks; On Top of the World; Polaroid; Radioactive; Radioactive (Remix); Rise Up; Sharks; Shots; Smoke and Mirrors; Take Me to the Beach (Ado Version); Thunder; Walking the Wire; Warriors; West Coast; Whatever It Takes; Wrecked; Yesterday; Zero,5.79,True,10
