"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","You Are My Sunshine","Johnny Cash","Unearthed 3: Redemption Songs","","November 25, 2003","1944485","217","31","","https://genius.com/Johnny-cash-you-are-my-sunshine-lyrics","1139320","The other night dear, as I lay sleeping
I dreamed I held you in my arms
When I awoke, dear, I was mistaken
So I bowed my head and I cried

You are my sunshine, my only sunshine
You make me happy when skies are gray
You'll never know, dear, how much I love you
Please don't take my sunshine away

I've always loved you and made you happy
And nothing else could come between
But now you've left me to love another
You have shattered all of my dreams

You are my sunshine, my only sunshine
You make me happy when skies are gray
You'll never know, dear, how much I love you
Please don't take my sunshine away

(I always hated that third verse)
*Laughter*
It was a nice short version
Do you wanna- uh, pick it up?
I't's alright (It's good)
(We got a short version)
It might have that other verse on it in another take
Well, I'll tell you what... Let's... uhm...
Well, if I feel like my song's a song... *Laughter*
It don't care... (There you go!)
I don't care if it's short
And I feel like my song's a song
A pleasure! Two minutes... I've recorded songs two minutes
(They were huge hits!)
Have you got, uh, time on that?"
"2","Folsom Prison Blues","Johnny Cash","The Essential Johnny Cash 1955-1983","","December 15, 1955","1916525","174","16","","https://genius.com/Johnny-cash-folsom-prison-blues-lyrics","81668","I hear the train a-comin', it's rolling 'round the bend
And I ain't seen the sunshine since I don't know when
I'm stuck in Folsom prison, and time keeps draggin' on
But that train keeps a-rollin' on down to San Antone

When I was just a baby, my mama told me, ""Son
Always be a good boy, don't ever play with guns""
But I shot a man in Reno just to watch him die
When I hear that whistle blowin', I hang my head and cry

I bet there's rich folks eatin' in a fancy dining car
They're probably drinkin' coffee and smoking big cigars
Well, I know I had it coming, I know I can't be free
But those people keep a-movin', and that's what tortures me

Well, if they freed me from this prison, if that railroad train was mine
I bet I'd move it on a little farther down the line
Far from Folsom prison, that's where I want to stay
And I'd let that lonesome whistle blow my blues away"
"3","Ring of Fire","Johnny Cash","The Legend","","April 19, 1963","1724217","195","22","","https://genius.com/Johnny-cash-ring-of-fire-lyrics","78308","Love is a burning thing
And it makes a fiery ring
Bound by wild desire
I fell into a ring of fire

I fell into a burning ring of fire
I went down, down, down and the flames went higher
And it burns, burns, burns, the ring of fire, the ring of fire

I fell into a burning ring of fire
I went down, down, down and the flames went higher
And it burns, burns, burns, the ring of fire, the ring of fire

The taste of love is sweet
When hearts like ours meet
I fell for you like a child
Oh, but the fire went wild

I fell into a burning ring of fire
I went down, down, down and the flames went higher
And it burns, burns, burns, the ring of fire, the ring of fire
I fell into a burning ring of fire
I went down, down, down and the flames went higher
And it burns, burns, burns, the ring of fire, the ring of fire

And it burns, burns, burns, the ring of fire, the ring of fire
The ring of fire, the ring of fire, the ring of fire"
"4","Hurt","Johnny Cash","The Legend of Johnny Cash","","November 5, 2002","1307259","161","36","","https://genius.com/Johnny-cash-hurt-lyrics","85072","I hurt myself today
To see if I still feel
I focus on the pain
The only thing that's real
The needle tears a hole
The old familiar sting
Try to kill it all away
But I remember everything

What have I become
My sweetest friend?
Everyone I know
Goes away in the end
And you could have it all
My empire of dirt
I will let you down
I will make you hurt

I wear this crown of thorns
Upon my liar's chair
Full of broken thoughts
I cannot repair
Beneath the stains of time
The feelings disappear
You are someone else
I am still right here

What have I become
My sweetest friend?
Everyone I know
Goes away in the end
And you could have it all
My empire of dirt
I will let you down
I will make you hurt

If I could start again
A million miles away
I would keep myself
I would find a way"
"5","I Walk the Line","Johnny Cash","The Legend","","1956","862319","178","20","","https://genius.com/Johnny-cash-i-walk-the-line-lyrics","73111","I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds

Because you're mine, I walk the line

I find it very, very easy to be true
I find myself alone when each day's through
Yes, I'll admit that I'm a fool for you

Because you're mine, I walk the line

As sure as night is dark and day is light
I keep you on my mind both day and night
And happiness I've known proves that it's right

Because you're mine, I walk the line

You've got a way to keep me on your side
You give me cause for love that I can't hide
For you, I know I'd even try to turn the tide

Because you're mine, I walk the line

I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds

Because you're mine, I walk the line"
"6","Jackson","Johnny Cash","The Legend","","February 6, 1967","361902","235","25","","https://genius.com/Johnny-cash-and-june-carter-cash-jackson-lyrics","136206","We got married in a fever, hotter than a pepper sprout
We've been talkin' 'bout Jackson
ever since the fire went outI'm going to Jackson, I'm gonna mess around
Yeah, I'm goin' to Jackson
Look out, Jackson town

Well, go on down to Jackson, go ahead and wreck your health
Go play your hand, you big-talkin' man, and make a big fool of yourself
Yeah, go to Jackson, go comb your hairHoney, I'm gonna snowball Jackson
See if I care

When I breeze into that city, people gonna stoop and bow (Hah)
All them women gonna make me, teach 'em what they don't know how
I'm goin' to Jackson, you turn-a loose-a my coat
'Cause I'm goin' to Jackson""Goodbye"", that's all she wrote

But they'll laugh at you in Jackson, and I'll be dancin' on a Pony Keg
They'll lead you 'round town like a scolded hound
With your tail tucked between your legs
Yeah, go to Jackson, you big-talkin' man
And I'll be waitin' in Jackson, behind my Japan Fan

Well now, we got married in a fever, hotter than a pepper sprout
We've been talkin' 'bout Jackson ever since the fire went out
I'm goin' to Jackson and that's a fact
Yeah, we're goin' to Jackson
Ain't never comin' back

Well, we got married in a fever, hotter than a pepper sprout
Honey, we've been talkin' 'bout Jackson, ever since the fire went"
"7","The Man Comes Around","Johnny Cash","The Legend of Johnny Cash","","November 5, 2002","271072","352","52","","https://genius.com/Johnny-cash-the-man-comes-around-lyrics","138787","""And I heard, as it were, the noise of thunder
One of the four beasts saying, 'Come and see'
And I saw, and behold a white horse""

There's a man goin' 'round takin' names
And he decides who to free and who to blame
Everybody won't be treated all the same
There'll be a golden ladder reachin' down
When the man comes around

The hairs on your arm will stand up
At the terror in each sip and in each sup
Will you partake of that last offered cup
Or disappear into the potter's ground?
When the man comes around

Hear the trumpets, hear the pipers
One hundred million angels singin'
Multitudes are marchin' to the big kettledrum
Voices callin', voices cryin'
Some are born and some are dyin'
It's Alpha and Omega's kingdom come
And the whirlwind is in the thorn tree
The virgins are all trimming their wicks
The whirlwind is in the thorn tree
It's hard for thee to kick against the pricks

Till Armageddon, no
shalam
, no
shalom
Then the father hen will call his chickens home
The wise men will bow down before the throne
And at his feet, they'll cast their golden crowns
When the man comes around

Whoever is unjust, let him be unjust still
Whoever is righteous, let him be righteous still
Whoever is filthy, let him be filthy still
Listen to the words long written down
When the man comes around

Hear the trumpets, hear the pipers
One hundred million angels singin'
Multitudes are marchin' to the big kettledrum
Voices callin', voices cryin'
Some are born and some are dyin'
It's Alpha and Omega's kingdom come
And the whirlwind is in the thorn tree
The virgins are all trimming their wicks
The whirlwind is in the thorn tree
It's hard for thee to kick against the pricks
In measured hundredweight and penny pound
When the man comes around

""And I heard a voice in the midst of the four beasts
And I looked, and behold a pale horse:
And his name that sat on him was Death
And Hell followed with him"""
"8","I’ve Been Everywhere","Johnny Cash","The Legend of Johnny Cash","","November 5, 1996","238136","354","61","","https://genius.com/Johnny-cash-ive-been-everywhere-lyrics","195209","I was totin' my pack along the dusty Winnemucca road
When along came a semi with a high an' canvas covered load
""If you're goin' to Winnemucca, Mack, with me you can ride""
And so I climbed into the cab and then I settled down inside
He asked me if I'd seen a road with so much dust and sand
And I said, ""Listen, I've traveled every road in this here land""

I've been everywhere, man
I've been everywhere, man
Crossed the desert's bare, man
I've breathed the mountain air, man
Of travel I've a-had my share, man
I've been everywhere

I've been to Reno, Chicago, Fargo, Minnesota
Buffalo, Toronto, Winslow, Sarasota
Wichita, Tulsa, Ottawa, Oklahoma
Tampa, Panama, Mattawa, La Paloma
Bangor, Baltimore, Salvador, Amarillo
Tocopilla, Barranquilla, and Padilla, I'm a killer

I've been everywhere, man
I've been everywhere, man
Crossed the desert's bare, man
I've breathed the mountain air, man
Of travel I've a-had my share, man
I've been everywhere

I've been to Boston, Charleston, Dayton, Louisiana
Washington, Houston, Kingston, Texarkana
Monterey, Faraday, Santa Fe, Tallapoosa
Glen Rock, Black Rock, Little Rock, Oskaloosa
Tennessee, Tennessee, Chicopee, Spirit Lake
Grand Lake, Devil's Lake, Crater Lake, for Pete's sake

I've been everywhere, man
I've been everywhere, man
Crossed the desert's bare, man
I've breathed the mountain air, man
Of travel I've a-had my share, man
I've been everywhere

I've been to Louisville, Nashville, Knoxville, Ombabika
Schefferville, Jacksonville, Waterville, Costa Rica
Pittsfield, Springfield, Bakersfield, Shreveport
Hackensack, Cadillac, Fond du Lac, Davenport
Idaho, Jellico, Argentina, Diamantina
Pasadena, Catalina, see what I mean-a?

I've been everywhere, man
I've been everywhere, man
Crossed the desert's bare, man
I've breathed the mountain air, man
Of travel I've a-had my share, man
I've been everywhere

I've been to Pittsburgh, Parkersburg, Gravelbourg, Colorado
Ellensburg, Rexburg, Vicksburg, El Dorado
Larimore, Admore, Haverstraw, Chatanika
Chaska, Nebraska, Alaska, Opelaka
Baraboo, Waterloo, Kalamazoo, Kansas City
Sioux City, Cedar City, Dodge City, what a pity

I've been everywhere, man
I've been everywhere, man
Crossed the desert's bare, man
I've breathed the mountain air, man
Of travel I've a-had my share, man
I've been everywhere

I've been everywhere"
"9","God’s Gonna Cut You Down","Johnny Cash","American V: A Hundred Highways","","July 4, 2006","166848","315","42","","https://genius.com/Johnny-cash-gods-gonna-cut-you-down-lyrics","78309","You can run on for a long time
Run on for a long time
Run on for a long time
Sooner or later, God'll cut you down
Sooner or later, God'll cut you down

Go tell that long-tongue liar
Go and tell that midnight rider
Tell the rambler, the gambler, the back-biter
Tell 'em that God's gonna cut 'em down
Tell 'em that God's gonna cut 'em down

Well, my goodness gracious, let me tell you the news
My head's been wet with the midnight dew
I've been down on bended knee, talkin' to the man from Galilee
He spoke to me in the voice so sweet
I thought I heard the shuffle of angels' feet
He called my name and my heart stood still
When he said, ""John, go do My will!""

Go tell that long-tongue liar
Go and tell that midnight rider
Tell the rambler, the gambler, the back-biter
Tell 'em that God's gonna cut 'em down
Tell 'em that God's gonna cut 'em down

You can run on for a long time
Run on for a long time
Run on for a long time
Sooner or later, God'll cut you down
Sooner or later, God'll cut you down

Well, you may throw your rock, and hide your hand
Workin' in the dark against your fellow man
But as sure as God made black and white
What's done in the dark will be brought to the light

You can run on for a long time
Run on for a long time
Run on for a long time
Sooner or later, God'll cut you down
Sooner or later, God'll cut you down

Go tell that long-tongue liar
Go and tell that midnight rider
Tell the rambler, the gambler, the back-biter
Tell 'em that God's gonna cut you down
Tell 'em that God's gonna cut you down
Tell 'em that God's gonna cut you down"
"10","A Boy Named Sue (Live)","Johnny Cash","The Legend","","June 16, 1969","156280","668","69","","https://genius.com/Johnny-cash-a-boy-named-sue-live-lyrics","151171","""I want you to, if you don't mind, Carl, I'd like you to stay out and help us on some songs, play the guitar.""
""I'd love to!""
""One of the greatest guitar players as well as songwriters and singers in the business. Appreciate a little help on the guitar, all right?""

Well, my daddy left home when I was three
And he didn't leave much to ma and me
Just this old guitar and an empty bottle of booze
Now, I don't blame him 'cause he run and hid
But the meanest thing that he ever did
Was before he left, he went and named me ""Sue""

Well, he must've thought that it was quite a joke
And it got a lot of laughs from a lots of folks
It seems I had to fight my whole life through
Some gal would giggle and I'd get red
And some guy'd laugh then I'd bust his head
I tell ya, life ain't easy for a boy named ""Sue""

Well, I grew up quick and I grew up mean
My fists got hard and my wits got keen
Roamed from town to town to hide my shame
But I made me a vow to the Moon and stars
I'd search the honky-tonks and bars
And kill the man who gave me that awful name

Well, it was Gatlinburg in mid-July
And I just hit town and my throat was dry
I thought I'd stop and have myself a brew
At an old saloon on a street of mud
There at a table, dealing stud
Sat the dirty, mangy dog that named me ""Sue""

Well, I knew that snake was my own sweet dad
From a worn-out picture that my mother'd had
And I knew that scar on his cheek and his evil eye
He was big and bent and gray and old
And I looked at him and my blood ran cold
And I said, ""My name is Sue! How do you do?
Now you gonna die!""
Yeah, that's what I told him!

Well, I hit him hard right between the eyes
And he went down, but to my surprise
He come up with a knife and cut off a piece of my ear
But I busted a chair right across his teeth
And we crashed through the wall and into the street
Kicking and a-gouging in the mud and the blood and the beer

I tell you, I've fought tougher men
But I really can't remember when
He kicked like a mule and he bit like a crocodile
I heard him laugh and then I heard him cuss
And he went for his gun and I pulled mine first
He stood there lookin' at me and I saw him smile

And he said, ""Son, this world is rough
And if a man's gonna make it, he's gotta be tough
And I knew I wouldn't be there to help you along
So I give you that name and I said goodbye
I knew you'd have to get tough or die
And it's that name that helped to make you strong""
Yeah

He said, ""Now you just fought one hell of a fight
And I know you hate me and you got the right
To kill me now, and I wouldn't blame you if you do
But you ought to thank me, before I die
For the gravel in your guts and the spit in your eye
Because I'm the son-of-a-bitch that named you Sue""

Yeah, but what could I do?
What could I do?

I got all choked up and I threw down my gun
And I called him my pa, and he called me a son
And I came away with a different point of view
And I think about him, now and then
Every time I try and every time I win
And if I ever have a son, I think I'm gonna name him
Bill or George! Any damn thing but Sue! I still hate that name!"
