word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,681,47,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Don’t Take Your Guns to Town; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Ragged Old Flag; Ring of Fire; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; Wanted Man; Wayfaring Stranger; You Are My Sunshine,14.49,True,1
the,the,DET,543,49,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Don’t Take Your Guns to Town; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Ghost Riders in the Sky; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Ragged Old Flag; Ring of Fire; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Boot Hill; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; You Are My Sunshine,11.08,True,2
and,and,CCONJ,457,50,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Don’t Take Your Guns to Town; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Ghost Riders in the Sky; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Ragged Old Flag; Ring of Fire; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Boot Hill; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; Wayfaring Stranger; You Are My Sunshine,9.14,True,3
a,a,DET,344,48,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Don’t Take Your Guns to Town; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Ghost Riders in the Sky; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Ragged Old Flag; Ring of Fire; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Boot Hill; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; Wayfaring Stranger; You Are My Sunshine,7.17,True,4
you,you,PRON,322,42,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Far Side Banks of Jordan; Further On (Up the Road); Get Rhythm; Ghost Riders in the Sky; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I See a Darkness; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Ragged Old Flag; Ring of Fire; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; The Ballad of Boot Hill; The Ballad of Ira Hayes; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; You Are My Sunshine,7.67,True,5
to,to,PART,286,46,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Don’t Take Your Guns to Town; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Ghost Riders in the Sky; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Walk the Line; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Ragged Old Flag; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Boot Hill; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; Wayfaring Stranger; You Are My Sunshine,6.22,True,6
my,my,PRON,218,40,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One Piece at a Time; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Beast in Me; The General Lee; The Long Black Veil; Wanted Man; Wayfaring Stranger; You Are My Sunshine,5.45,True,7
in,in,ADP,194,44,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Further On (Up the Road); Get Rhythm; Ghost Riders in the Sky; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Won’t Back Down; If I Were a Carpenter; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Ragged Old Flag; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Boot Hill; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; Wayfaring Stranger; You Are My Sunshine,4.41,True,8
that,that,DET,191,40,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Far Side Banks of Jordan; Five Feet High and Rising; Folsom Prison Blues; Get Rhythm; Ghost Riders in the Sky; Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; Hurt; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; Jackson; Man in Black; One Piece at a Time; Ragged Old Flag; She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Boot Hill; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; The Man Comes Around; The Wreck of the Old ’97; Wanted Man; Wayfaring Stranger; You Are My Sunshine,4.78,True,9
me,i,PRON,174,40,25 Minutes to Go; A Boy Named Sue (Live); Ain’t No Grave (Gonna Hold This Body Down); Big River; Chicken in Black; Cocaine Blues; Cocaine Blues (At Folsom Prison); Cocaine Blues (live); Cry! Cry! Cry!; Far Side Banks of Jordan; Folsom Prison Blues; Further On (Up the Road); Give My Love to Rose; God’s Gonna Cut You Down; Heart of Gold; Hey Porter; I Hung My Head; I See a Darkness; I Still Miss Someone; I Walk the Line; I Won’t Back Down; If I Were a Carpenter; It Ain’t Me Babe; I’ve Been Everywhere; Jackson; Man in Black; One; One Piece at a Time; Personal Jesus; Rusty Cage; San Quentin (Live); She Used To Love Me A Lot; Sunday Mornin’ Comin’ Down; The Ballad of Ira Hayes; The Beast in Me; The General Lee; The Long Black Veil; Wanted Man; Wayfaring Stranger; You Are My Sunshine,4.35,True,10
