"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Love Yourself","Justin Bieber","Purpose (Japan Edition)","","November 13, 2015","7765159","442","48","","https://genius.com/Justin-bieber-love-yourself-lyrics","2342329","For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl, for goodness' sake
You think I'm cryin' on my own, well, I ain't

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself"
"2","Baby","Justin Bieber","My Worlds: The Collection","","January 18, 2010","5967515","436","61","Ludacris","https://genius.com/Justin-bieber-baby-lyrics","566","Oh, woah
Oh, woah
Oh, woah

You know you love me (Yo), I know you care (Uh-huh)
Just shout whenever (Yo), and I'll be there (Uh-huh)
You are my love (
Yo
), you are my heart (
Uh-huh
)
And we will never, ever, ever be apart (
Yo, uh-huh
)
Are we an item? (Yo) Girl, quit playin' (Uh-huh)
""We're just friends,"" (Yo) what are you sayin'? (Uh-huh)
Said, ""There's another,"" (Yo) and looked right in my eyes (Uh-huh)
My first love broke my heart for the first time (Yo), and I was like (Uh-huh)

Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine

Oh, for you, I would've done whatever (Uh-huh)
And I just can't believe we ain't together (Yo, uh-huh)
And I wanna play it cool (Yo), but I'm losin' you (Uh-huh)
I'll buy you anything (Yo), I'll buy you any ring (Uh-huh)
And I'm in pieces (Yo), baby, fix me (Uh-huh)
And just shake me 'til you wake me from this bad dream (Yo, uh-huh)
I'm goin' down (Yo), down, down, down (Uh-huh)
And I just can't believe my first love won't be around, and I'm like

Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine (Luda)

When I was thirteen, I had my first love
There was nobody that compared to my baby, and nobody came between us nor could ever come above
She had me goin' crazy, oh, I was starstruck
She woke me up daily, don't need no Starbucks (Woo)
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really wanna see her on the weekend
She knows she got me dazin', 'cause she was so amazin'
And now my heart is breakin', but I just keep on sayin'

Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
I thought you'd always be mine, mine

I'm gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Gone, gone, gone, gone), I'm gone"
"3","Sorry","Justin Bieber","Purpose (Japan Edition)","","October 23, 2015","4204645","359","42","","https://genius.com/Justin-bieber-sorry-lyrics","2323822","You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
And by once or twice, I mean maybe a couple of hundred times
So let me, oh, let me redeem, oh, redeem, oh, myself tonight
'Cause I just need one more shot at second chances

Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just tryna get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?"
"4","Yummy","Justin Bieber","Justin Bieber: Our World (Song List)","","January 3, 2020","2116951","423","68","","https://genius.com/Justin-bieber-yummy-lyrics","5124449","Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy
Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe
Any night, any day
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe
In the mornin' or the late
Say the word, on my way

Bona fide stallion
Ain't in no stable, no, you stay on the run
Ain't on the side, you're number one
Yeah, every time I come around, you get it done

Fifty-fifty, love the way you split it
Hundred racks, help me spend it, babe
Light a match, get litty, babe
That jet set, watch the sunset kinda, yeah, yeah
Rollin' eyes back in my head, make my toes curl, yeah, yeah

Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy
Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe
Any night, any day
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe
In the mornin' or the late
Say the word, on my way

Standin' up, keep me on the rise
Lost control of myself, I'm compromised
You're incriminating, no disguise
And you ain't never runnin' low on supplies

Fifty-fifty, love the way you split it
Hundred racks, help me spend it, babe
Light a match, get litty, babe
That jet set, watch the sunset kinda, yeah, yeah
Rollin' eyes back in my head, make my toes curl, yeah, yeah

Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy (You stay flexin' on me)
Yeah, you got that yummy-yum (Yeah, yeah)
That yummy-yum, that yummy-yummy
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)
Any night, any day
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)
In the mornin' or the late
Say the word, on my way

Hop in the Lambo', I'm on my way
Drew House slippers on with a smile on my face
I'm elated that you are my lady
You got the yum, yum, yum, yum
You got the yum, yum-yum, woah
Woah-ooh

Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy
Yeah, you got that yummy-yum
That yummy-yum, that yummy-yummy
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)
Any night, any day
Say the word, on my way
Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)
In the mornin' or the late
Say the word, on my way"
"5","What Do You Mean?","Justin Bieber","Purpose (Japan Edition)","","August 28, 2015","2105708","454","50","","https://genius.com/Justin-bieber-what-do-you-mean-lyrics","2286779","What do you mean?  Oh, oh
When you nod your head yes, but you wanna  say no
What do you mean?  Hey, yeah
When you don't want me to move, but you tell me to go
What do  you mean? Oh,  what do you mean?
Said you're runnin' outta time,  what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?

You're so indecisive of what I'm sayin'
Tryna catch the beat, make up your heart
Don't know if you're happy or complainin'
Don't want for us to end, where do I start?

First you wanna go to the left, then you wanna turn right (Right)
Wanna argue all day, makin' love all night (All night)
First you're up, then you’re down, and then  between ('Tween)
Oh, I really wanna know

What do you mean? Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? Hey, yeah
When you don't want me to move, but you tell me to go
What do you mean? Oh, what do you mean?
Said you're runnin' outta time, what do you mean?
Oh, oh, oh, what do you mean? Better make up your mind
What do you mean?

You're overprotective when I'm leavin'
Tryna compromise, but I can’t win
You wanna make a point, but you keep preachin'
You had me from the start, won't let this end

First, you wanna go to the left, then you wanna turn right
(Turn right)
Wanna argue all day, makin' love all night (All night)
First you're up, then you’re down, and then between ('Tween)
Oh, I really wanna know

What do you mean? Oh, oh (Yeah, yeah, yeah, yeah)
When you nod your head yes, but you wanna say no
What do you mean? (Oh, what do you mean?) Hey, yeah
When you don't want me to move, but you tell me to go
What do you mean? (I wanna know, ooh)
Oh, what do you mean? (Ooh)
Said you're runnin' outta time, what do you mean? (Oh, baby)
Oh, oh, oh, what do you mean? Better make up your mind
What do you mean? (Don't be so selfish, baby, yeah, yeah) Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? (You're so confusin', baby) Hey, yeah
When you don't want me to move (Hey), but you tell me to go
What do you mean? (Be more straightforward)
Oh, what do you mean? (Hey, ah, ah, ah)
Said you're runnin' outta time, what do you mean? (Hey, ah, ah, ah)
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?"
"6","As Long as You Love Me","Justin Bieber","The Best (Japan Exclusive)","","June 11, 2012","1748586","592","55","Big Sean","https://genius.com/Justin-bieber-as-long-as-you-love-me-lyrics","77547","As long as you love me (Love me, love me, love me, love me,  love me, love me)
As long as you love me (Love me, love me, love me, love me)
As long as you love me

We're under pressure (We're under pressure)
Seven billion people in the world tryna fit in (Fit in)
Keep it together (Keep it together)
Smile on your face, even though your heart is frowning (Is frowning)
But hey now (Hey now), you know, girl (You know, girl)
We both know, it's a cruel world
But I will (I will) take my chances

As long as you love me
We could be starving, we could be homeless, we could be broke
As long as you love me
I'll be your platinum, I'll be your silver, I'll be your gold
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me

I'll be your soldier (I'll be your soldier)
Fighting every second of the day for your dreams, girl (For your dreams, girl)
I'll be your Hova (I'll be your Hova)
You could be my Destiny's Child on the scene, girl
So don't stress (Don't stress), and don't cry (And don't cry)
Oh, we don't need no wings to fly (To fly)
Just take (Take), my hand

As long as you love me
We could be starving, we could be homeless, we could be broke
As long as you love me
I'll be your platinum, I'll be your silver, I'll be your gold
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me (Woah, woah, B-I-G)

I don't know if this makes sense, but, you're my hallelujah
Give me a time and place, I'll rendezvous it, I'll fly you to it, I'll beat you there
Girl, you know I got you
Us, trust, a couple things I can't spell without 'U'
Now we on top of the world (World) 'cause that's just how we do (Do it)
Used to tell me sky's the limit, now the sky's our point of view (View)
Man, we stepping out, like woah (Oh God)
Cameras point and shoot (Shoot)
Ask me what's my best side, I stand back and point at you, you, you
The one that I argue with, feel like I need a new girl to be bothered with
But the grass ain't always greener on the other side
It's green where you water it
So I know, we got issues, baby, true, true, true
But I'd rather work on this with you
Than to go ahead and start with someone new

As long as you love me (Love me, yeah, baby)
We could be starving, we could be homeless, we could be broke (We could be broke)
As long as you love me
I'll be your platinum (Platinum), I'll be your silver, I'll be your gold
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me (Long as you love)
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me (Long as you love)

As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me, love me (I'll be your silver, I'll be your gold)
As long as you lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love me (As long as you love me, you love me, you love me, you love me, it's all I want, baby)
As long as you lo-lo-lo-lo-lo-lo-lo, lo-lo-lo-lo-lo-lo-lo, lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo (You love me, you love me please don't go)
Lo-lo-lo-lo-lo-lo-lo, lo-lo-lo-lo-lo-lo-lo, lo-lo-lo, lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo (As long as you love me, as long as you love me, as long as you love me, yeah)
As long as you love me"
"7","Peaches","Justin Bieber","Justice (Complete Edition)","","March 19, 2021","1648018","491","56","Daniel Caesar, GIVĒON","https://genius.com/Justin-bieber-peaches-lyrics","6326342","I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
I get my light right from the source, yeah (Yeah, that’s it)

And I say, oh (Oh)
The way I breathe you in (In)
It's the texture of your skin
I wanna wrap my arms around you, baby
Never let you go, oh
And I say, oh
There's nothing like your touch
It’s the way you lift me up, yeah
And I'll be right here with you 'til the end of time

I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
I get my light right from the source, yeah (Yeah, that's it)

You ain't sure yet
But I'm for ya
All I can want, all I can wish for
Nights alone that we miss more
And days we save as souvenirs
There's no time, I wanna make more time
And give you my whole life
I left my girl, I’m in Mallorca
Hate to leave her, call it torture
Remember when I couldn’t hold her
Left her baggage for Rimowa

I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
I get my light right from the source, yeah (Yeah, that’s it)

I get the feeling, so I'm sure (Sure)
Hand in my hand because I'm yours, I can't
I can’t pretend, I can't ignore, you're right for me
Don't think you wanna know just where I've been, oh
Done bein' distracted
The one I need is right in my arms (Oh)
Your kisses taste the sweetest with mine
And I'll be right here with you 'til the end of time

I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
I get my light right from the source, yeah (Yeah, that's it)
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
(I get my light right from the source, yeah, yeah, that's it)
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
I get my light right from the source, yeah (Yeah, that's it)
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Badass bitch)
I get my light right from the source, yeah (Yeah, that's it)"
"8","DAISIES","Justin Bieber","SWAG II","","July 11, 2025","1349323","336","30","","https://genius.com/Justin-bieber-daisies-lyrics","12125103","Throwin' petals like, ""Do you love me or not?""
Head is spinnin', and it don't know when to stop
'Cause you said, ""Forever,"" babe, did you mean it or not?
Hold on, hold on
You leave me on read, babe, but I still get the message
Instead of a line, it's three dots, but I can connect them
And if it ain't right, babe, you know I'll respect it
But if you need time, just take your time
Honey, I get it, I get it, I get it

Way you got me all in my head
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?

Blowin' kisses like, ""Will you catch 'em or not?""
I'm Cupid with arrows, babe, I'm just shootin' my shot, mm-mm
If I could get in, drop me a pin, hop in the— and come over
Don't wanna be friends, just skin-to-skin, I wanna get closer and closer and closer, uh

The way you got me all in my head
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?

You got me all, all, my love (All in my feelings, babe)
And you got me all, I've been all in my feelings
And you got me all, all weak in my knees every time (You got me all in my head, you got me all in my head, you got—)
‘Cause you got me all, all in my feelings (You got me all in my head, you got me all in my head, you got—)
Every time

The way you got me all in my head (You got me all in my head)
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?"
"9","YUKON","Justin Bieber","SWAG II","","July 11, 2025","1271984","346","59","","https://genius.com/Justin-bieber-yukon-lyrics","12125089","In the city, uh
'Member you used to drive a Yukon
I pick up whenever you call
In the parking lot in Tucson, like
""Uh, are you with me?""
In the Phantom with the roof gone
I pull up like Jimmy Neutron
I can help you get a move on like U-Haul
And I know

Uh, you like to go slow
But we could go faster
Tell me the password
Slide city, slide city
You know what that means, uh
I'm coming up on you quickly, mm
I bring nice things, uh
Slide city, slide
Plenty other men tryna get in the bed
So I'ma get slouched instead
I know it's gon' makе you beg

What would I do (What would I do?)
If I didn't love you, baby?
What would I do if I didn't love you, baby?
What would I do (What would I do?)
If I didn't lovе you?

Mm-mm (Yeah)
Mm

Just wanna be the one to give you what you want
I could put you in the Yves Saint Laurent
Riding 'round town with your hair done up (True)
I know you like it when I tell you what you want
Keep your plan, what you're doin' with me tomorrow?
I can tell your friends you've made your mind up
I know, I know

Uh, you like to go slow
But we could go faster
Tell me the password (
Uh
)
Slide city, slide city
You know what that means, uh
I'm coming up on you quickly, mm
I bring nice things (
Yeah
; baby, I bring nice things)
Slide city, slide
Plenty other men tryna get in the bed
So I'ma get slouched instead
I know it's gon' make you beg

What would I do, uh
If I didn't love you, baby?
What would I do
If I didn't love you, baby?
What would I do (What would I do?)
If I didn't love you? (What would I— what would I do?)

Love you, love you
Love you, love you
Love you, love you
Love you, love you"
"10","Holy","Justin Bieber","Justice (Complete Edition)","","September 18, 2020","1134943","516","65","Chance the Rapper","https://genius.com/Justin-bieber-holy-lyrics","5956102","I hear a lot about sinners
Don't think that I'll be a saint
But I might go down to the river
'Cause the way that the sky opens up when we touch
Yeah, it's makin' me say

That the way you hold me, hold me, hold me, hold me, hold me
Feels so holy, holy, holy, holy, holy
On God
Runnin' to the altar like a track star
Can't wait another second
'Cause the way you hold me, hold me, hold me, hold me, hold me
Feels so holy

I don't do well with the drama
And, no, I can't stand it being fake
(No, no, no, no, no, no, no, no)
I don't believe in nirvana
But the way that we love in the night gave me life
Baby, I can't explain

That the way you hold me, hold me, hold me, hold me, hold me
Feels so holy, holy, holy, holy, holy
On God
Runnin' to the altar like a track star
Can't wait another second
'Cause the way you hold me, hold me, hold me, hold me, hold me
Feels so holy

They say we're too young and
The pimps and the players say, ""Don't go crushin'""
Wise men say fools rush in
But I don't know (Ah-ah-ah-ah)
They say we're too young and
The pimps and the players say, ""Don't go crushin'""
Wise men say fools rush in
But I don't know (
Chance the Rapper
)

The first step pleases the Father
Might be the hardest to take
But when you come out of the water
I'm a believer, my heart is fleshy
Life is short with a temper like Joe Pesci
They always come and sing your praises, your name is catchy
But they don't see you how I see you, Parlay and Desi
Cross, Tween, Tween, Hesi' hit the jet speed
When they get messy, go lefty like Lionel Messi
Let's take a trip and get the Vespas or rent a Jet Ski
I know the spots that got the best weed, we goin' next week
I wanna honor, wanna honor you, bride's groom, I'm my father's child
I know when the son takes the first steps, the Father's proud (Yes)
If you make it to the water, He'll part the clouds (Uh)
I know He made you a snack like Oscar Proud (Mwah)
Suffer it to be so now gotta clean it up (Ooh)
Formalize the union in communion, He can trust (Woo)
I know I ain't leavin' you like I know He ain't leavin' us (Ah)
I know we believe in God, and I know God believes in us

'Cause the way you hold me, hold me, hold me, hold me, hold me
Feels so holy, holy, holy, holy, holy
On God
Runnin' to the altar like a track star
Can't wait another second, on God
Runnin' to the altar like a track star
Can't wait another second, on God
Runnin' to the altar like a track star
Can't wait another second
'Cause the way you hold me, hold me, hold me, hold me
Feels so ho-ho-ho-holy"
