word,exclusion_category
amor,FOREIGN
anywhеre,PARSE_ERROR
berb,GIBBERISH
bieber,ARTIST_NAME
bloodpop,ARTIST_NAME
bona,FOREIGN
bеside,PARSE_ERROR
california,PROPER_NOUN
carlo,PROPER_NOUN
chеcke,PARSE_ERROR
colorado,PROPER_NOUN
da,SOUND_EFFECT
david,PROPER_NOUN
desi,PROPER_NOUN
diddy,ARTIST_NAME
dеvotion,PARSE_ERROR
fide,FOREIGN
georgia,PROPER_NOUN
glos,GIBBERISH
goodfellas,PROPER_NOUN
hova,ARTIST_NAME
hurn,GIBBERISH
igh,GIBBERISH
j.,PARSE_ERROR
jb,ARTIST_NAME
justin,ARTIST_NAME
kobe,PROPER_NOUN
lauer,PROPER_NOUN
laurent,PROPER_NOUN
lionel,PROPER_NOUN
lisa,PROPER_NOUN
lovе,PARSE_ERROR
lucious,PROPER_NOUN
makе,PARSE_ERROR
mallorca,PROPER_NOUN
maria,PROPER_NOUN
messi,PROPER_NOUN
minaj,ARTIST_NAME
mm,SOUND_EFFECT
mmm,SOUND_EFFECT
mona,PROPER_NOUN
monte,PROPER_NOUN
mе,PARSE_ERROR
nicki,ARTIST_NAME
onely,PARSE_ERROR
ono,PROPER_NOUN
oooh,SOUND_EFFECT
oooooooooh,SOUND_EFFECT
oooooooooooh,SOUND_EFFECT
pesci,PROPER_NOUN
rimowa,PROPER_NOUN
rrr,SOUND_EFFECT
selener,PROPER_NOUN
starbucks,PROPER_NOUN
texas,PROPER_NOUN
thot,SLANG
timе,PARSE_ERROR
times'll,PARSE_ERROR
toronto,PROPER_NOUN
tucson,PROPER_NOUN
vegas,PROPER_NOUN
vespas,PROPER_NOUN
whеn,PARSE_ERROR
wilde,PROPER_NOUN
yеah,PARSE_ERROR
yoko,PROPER_NOUN
yukon,PROPER_NOUN
yves,PROPER_NOUN
ziploc,PROPER_NOUN
