word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1064,50,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; What Do You Mean?; YUKON; Yummy,21.28,True,1
you,you,PRON,1046,50,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; What Do You Mean?; YUKON; Yummy,20.92,True,2
the,the,DET,464,49,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; What Do You Mean?; YUKON; Yummy,9.47,True,3
me,i,PRON,456,47,All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; What Do You Mean?; YUKON; Yummy,9.7,True,4
n't,not,PART,446,48,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; That Should Be Me; The Feeling; Unstable; WALKING AWAY; What Do You Mean?; YUKON; Yummy,9.29,True,5
it,it,PRON,360,46,ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; YUKON; Yummy,7.83,True,6
my,my,PRON,319,45,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; GO BABY; Get Me; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Off My Face; Peaches; Purpose; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; Yummy,7.09,True,7
do,do,VERB,298,43,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Heartbreaker; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Love Yourself; Maria; Mark My Words; Mistletoe; No Pressure; No Sense; Off My Face; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; WALKING AWAY; What Do You Mean?; YUKON,6.93,True,8
that,that,PRON,296,44,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Boyfriend; Changes; Come Around Me; Company; Confident; DEVOTION; Forever; Friends; GO BABY; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; YUKON; Yummy,6.73,True,9
to,to,PART,296,48,2 Much; ALL I CAN TAKE; All That Matters; Anyone; As I Am; As Long as You Love Me; Baby; Beauty and a Beat; Boyfriend; Changes; Come Around Me; Company; Confident; DAISIES; DEVOTION; Forever; Friends; GO BABY; Get Me; Ghost; Habitual; Heartbreaker; Hold On; Hold Tight; Holy; Intentions; I’ll Show You; Life Is Worth Living; Lonely; Love Yourself; Maria; Mark My Words; Mistletoe; Never Say Never; No Pressure; No Sense; Peaches; Purpose; Right Here; SPEED DEMON; Sorry; THINGS YOU DO; That Should Be Me; The Feeling; Unstable; WALKING AWAY; What Do You Mean?; YUKON,6.17,True,10
