word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PROPN,1741,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",35.53,True,1
the,the,DET,1097,50,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Lift Yourself; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",21.94,True,2
you,you,PRON,832,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",16.98,True,3
a,a,DET,633,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",12.92,True,4
n't,not,PART,521,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",10.63,True,5
it,it,PRON,516,48,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Lift Yourself; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",10.75,True,6
to,to,ADP,513,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Lift Yourself; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",10.47,True,7
and,and,CCONJ,489,48,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",10.19,True,8
that,that,DET,479,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",9.78,True,9
s,be,AUX,412,48,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Lift Yourself; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",8.58,True,10
my,my,PRON,389,46,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Waves",8.46,True,11
m,be,AUX,366,46,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",7.96,True,12
in,in,ADP,364,49,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Am a God; I Love Kanye; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",7.43,True,13
me,i,PRON,351,47,"30 Hours; All Day; All Falls Down; All Mine; All of the Lights; Black Skinhead; Blame Game; Blood On the Leaves; Bound 2; Can’t Tell Me Nothing; Clique; Dark Fantasy; Devil In a New Dress; Don’t Like.1; FML; Facts (Charlie Heat Version); Famous; Father Stretch My Hands, Pt. 1; Flashing Lights; Ghost Town; Gold Digger; Gorgeous; Heartless; Hold My Liquor; Hurricane; I Thought About Killing You; I’m In It; Jesus Walks; Mercy; Monster; New Slaves; No More Parties in LA; Off The Grid; On Sight; POWER; Praise God; Pt. 2; Real Friends; Runaway; Saint Pablo; So Appalled; Stronger; Through The Wire; Ultralight Beam; Violent Crimes; Waves; Wolves",7.47,True,14
