"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","California Gurls","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","May 7, 2010","1966264","444","90","Snoop Dogg","https://genius.com/Katy-perry-california-gurls-lyrics","3250","Greetings, loved ones
Let's take a journey

I know a place
Where the grass is really greener
Warm, wet, and wild
There must be somethin' in the water
Sippin' gin and juice
Layin' underneath the palm trees (Yeah, yeah, undone)
The boys break their necks
Tryna creep a little sneak peek (What? What? What? At us)

You could travel the world
But nothing comes close to the golden coast
Once you party with us
You'll be falling in love
Oh, oh-oh-oh-oh-oh-oh

California girls, we're unforgettable
Daisy Dukes, bikinis on top
Sun-kissed skin so hot, we'll melt your popsicle
Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh
California girls, we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent, now put your hands up
Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh (Ayy)

Sex (Sex) on the beach
We don't mind sand in our stilettos
We freak in my Jeep
Snoop Doggy Dogg on the stereo, oh, oh

You could travel the world (You could travel the world)
But nothing comes close to the golden coast
Once you party with us (Once you party with us)
You'll be falling in love
Oh, oh-oh-oh-oh-oh-oh

California girls, we're unforgettable (
California
)
Daisy Dukes, bikinis on top
Sun-kissed skin so hot, we'll melt your popsicle (
Ooh
)
Oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh-oh
California girls (California), we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent (
West Coast
), now put your hands up
Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh

Toned, tan, fit, and ready (Ready)
Turn it up 'cause it's gettin' heavy
Wild, wild, West Coast
These are the girls I love the most
I mean the ones, I mean like she's the one
Kiss her, touch her, squeeze her buns (
Uh
)
The girl's a freak
She drive a Jeep and live on the beach
I'm okay, I won't play
I love the Bay (Bay) just like I love L.A.​ (L.A.​)
Venice Beach and Palm Springs (Hey)
Summertime is everything
Homeboys bangin' out
All that ass hangin' out
Bikinis, zucchinis, martinis
No weenies, just the king and a queenie
Katy, my lady (Yeah?)
Look at here, baby (Uh-huh)
I'm all up on ya
'Cause you representin' California (Oh-oh, yeah)

California girls, we're unforgettable
Daisy Dukes, bikinis on top (
Wow
, hey)
Sun-kissed skin so hot, we'll melt your popsicle
Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh (Come on, come on, oh, oh, oh yeah)
California girls, we're undeniable (-Niable)
Fine, fresh, fierce, we got it on lock
West Coast represent (West Coast, West Coast)
Now put your hands up (Ayy, ayy)
Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh

[Outro: Katy Perry &
Snoop Dogg
]
California
California girls (
California girls, man
)
California (
Hahahaha
)
California Girls"
"2","Swish Swish","Katy Perry","Witness (Deluxe)","","May 19, 2017","1837646","501","92","Nicki Minaj","https://genius.com/Katy-perry-swish-swish-lyrics","3080768","They know what is what
But they don't know what is what
They just strut
What the fuck?

A tiger
Don't lose no sleep
Don't need opinions
From a shellfish or a sheep
Don't you come for me
No, not today
You're calculated
I got your number
'Cause you're a joker
And I'm a courtside killer queen
And you will kiss the ring
You best believe

So keep calm, honey, I'ma stick around
For more than a minute, get used to it
Funny my name keeps comin' out your mouth
'Cause I stay winnin', lay 'em up like

Swish, swish, bish
Another one in the basket
Can't touch this
Another one in the casket

Your game is tired
You should retire
You're 'bout as cute as
An old coupon expired
And karma's not a liar
She keeps receipts

So keep calm, honey, I'ma stick around
For more than a minute, get used to it
Funny my name keeps comin' out your mouth
'Cause I stay winnin', lay 'em up like

Swish, swish, bish
Another one in the basket
Can't touch this
Another one in the casket (Let's go)
Swish, swish, bish
Another one in the basket
Can't touch this
Another one in the casket

They know what is what
But they don't know what is what (Katy Perry, what)
They just, know what is what (
Young Money
)
But they don't know what is what (
What
)
They just, know what is what
But they don't know what is what
They just strut
What the fuck? (
Yo
)

Pink Ferragamo sliders on deck
Silly rap beefs just get me more checks
My life is a movie, I'm never off set
Me and my amigos, no, not Offset
Swish swish, aw, I got them upset
But my shooters'll make 'em dance like dubstep
Swish, swish, aw, my haters is obsessed
'Cause I make M's, they get much less
Don't be tryna double back, I already despise you (Yeah)
All that fake love you showin' couldn't even disguise you
Yo, yo
Ran? When? Nicki gettin' tan
Mirror, mirror, who's the fairest bitch in all the land?
Damn, man, this bitch is a Stan
The generous queen'll kiss a fan
Ass goodbye, I'ma be ridin' by
I'ma tell my **** Biggz, yeah, that's the guy
A star's a star, da-ha-da-ha
They never thought the swish god would take it this far
Get my pimp cup, this is pimp shit, baby
I only rock with Queens, so I'm makin' hits with Katy

Swish, swish, bish
Another one in the basket (And another one, and another one)
Can't touch this (Can't touch this)
Another one in the casket (And another one, and another one)

They know what is what (
Do they know?
)
But they don't know what is what
They just, know what is what
But they don't know what is what
They just
, know what is what
But they don't know what is what
They just strut
What the"
"3","Dark Horse","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","October 18, 2013","1463701","458","57","Juicy J","https://genius.com/Katy-perry-dark-horse-lyrics","219361","Yeah, y'all know what it is
Katy Perry, Juicy J
Uh-huh, let's rage

I knew you were, you were gonna come to me
And here you are, but you better choose carefully
'Cause I, I'm capable of anything
Of anything, and everything
Make me your Aphrodite
Make me your one and only
But don't make me your enemy (Enemy)
Your enemy (Your enemy), your enemy

So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm comin' at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm?
'Cause once you're mine, once you're mine
There's no goin' back

Mark my words, this love will make you levitate
Like a bird, like a bird without a cage
We're down to earth if you choose to walk away
Don't walk away (Walk away)
It's in the palm of your hand now, baby
It's a yes or a no, no maybe
So just be sure before you give it all to me
All to me, give it all to me

So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm comin' at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm?
'Cause once you're mine, once you're mine
There's no goin' back

She's a beast, I call her Karma (Come back)
She eat your heart out like Jeffrey Dahmer (Woo)
Be careful, try not to lead her on
Shawty heart is on steroids 'cause her love is so strong
You may fall in love when you meet her (Meet her)
If you get the chance, you better keep her (Keep her)
She's sweet as pie, but if you break her heart
She turn cold as a freezer (Freezer)
That fairy tale ending with a knight in shining armor
She can be my sleepin' beauty, I'm gon' put her in a coma (Woo)
Damn, I think I love her, shawty so bad, I'm sprung and I don't care
She ride me like a roller coaster, turn the bedroom into a fair (A fair)
Her love is like a drug, I was tryna hit it and quit it
But lil' mama so dope, I messed around and got addicted

So you wanna play with magic?
Boy, you should know what you're fallin' for (You should know)
Baby, do you dare to do this?
'Cause I'm comin' at you like a dark horse (Like a dark horse)
Are you ready for, ready for (Ready for)
A perfect storm, perfect storm? (A perfect storm)
'Cause once you're mine, once you're mine (Mine)
There's no goin' back"
"4","The One That Got Away","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","August 24, 2010","1126479","328","55","","https://genius.com/Katy-perry-the-one-that-got-away-lyrics","59339","Summer after high school, when we first met
We'd make out in your Mustang to Radiohead
And on my eighteenth birthday, we got matching tattoos
Used to steal your parents' liquor and climb to the roof
Talked about our future like we had a clue
Never planned that one day, I'd be losing you

In another life
I would be your girl
We'd keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away

I was June, and you were my Johnny Cash
Never one without the other, we made a pact
Sometimes when I miss you, I put those records on, woah
Someone said you had your tattoo removed
Saw you downtown, singing the blues
It's time to face the music, I'm no longer your muse

But in another life
I would be your girl
We'd keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away

The one
The one
The one
The one that got away

All this money can't buy me a time machine, no
Can't replace you with a million rings, no
I should've told you what you meant to me, woah
'Cause now I pay the price

In another life
I would be your girl
We'd keep all our promises
Be us against the world
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away (The one that got away)

The one (The one)
The one (The one)
The one (The one)
In another life
I would make you stay
So I don't have to say you were
The one that got away
The one that got away"
"5","Chained to the Rhythm","Katy Perry","Witness (Deluxe)","","February 10, 2017","1081832","505","83","Skip Marley","https://genius.com/Katy-perry-chained-to-the-rhythm-lyrics","2977709","Are we crazy?
Living our lives through a lens
Trapped in our white picket fence
Like ornaments

So comfortable, we're living in a bubble, bubble
So comfortable, we cannot see the trouble, trouble

Aren't you lonely
Up there in utopia
Where nothing will ever be enough?
Happily numb

So comfortable, we're living in a bubble, bubble
So comfortable, we cannot see the trouble, trouble

So put your rose-colored glasses on
And party on

Turn it up, it's your favorite song
Dance, dance, dance to the distortion
Turn it up, keep it on repeat
Stumbling around like a wasted zombie
Yeah, we think we're free
Drink, this one's on me
We're all chained to the rhythm
To the rhythm, to the rhythm
Turn it up, it's your favorite song
Dance, dance, dance to the distortion
Turn it up, keep it on repeat
Stumbling around like a wasted zombie
Yeah, we think we're free
Drink, this one's on me
We're all chained to the rhythm
To the rhythm, to the rhythm

Are we tone deaf?
Keep sweeping it under the mat
Thought we could do better than that
I hope we can

So comfortable, we're living in a bubble, bubble
So comfortable, we cannot see the trouble, trouble

So put (So put) your rose-colored glasses on
And party on

[Chorus: Katy Perry &
Skip Marley
]
Turn it up, it's your favorite song
Dance, dance, dance to the distortion
Turn it up, keep it on repeat
Stumbling around like a wasted zombie
Yeah, we think we're free
Drink, this one's on me
We're all chained to the rhythm
To the rhythm, to the rhythm
Turn it up, it's your favorite song (Oh)
Dance, dance, dance to the distortion
Turn it up, keep it on repeat
Stumbling around like a wasted zombie
Yeah, we think we're free
Drink, this one's on me
We're all chained to the rhythm
To the rhythm, to the rhythm (
Woah, oh, oh
)

It is my desire
Break down the walls to connect, inspire
Ayy, up inna your high place, liars
Time is ticking for the empire
The truth they feed is feeble
As so many times before
They greed over the people
They stumbling and fumbling and we about to riot
They woke up, they woke up the lions
(Woo!)

Turn it up, it's your favorite song
Dance, dance, dance to the distortion
Turn it up, keep it on repeat (
Turn it up, turn it up, yeah
)
Stumbling around like a wasted zombie (Like a wasted zombie)
Yeah, we think we're free
Drink, this one's on me (Oh, we're all)
We're all chained to the rhythm (Oh, we're all)
To the rhythm, to the rhythm (Chained to the rhythm)

It goes on and on and on (Turn it up, it goes)
It goes on and on and on (Turn it up, it goes on and on and on)
It goes on and on and on (On and on and on, it goes)
'Cause we're all chained to the rhythm"
"6","Firework","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","August 24, 2010","913946","363","56","","https://genius.com/Katy-perry-firework-lyrics","2563","Do you ever feel like a plastic bag
Drifting through the wind, wanting to start again?
Do you ever feel, feel so paper-thin
Like a house of cards, one blow from cavin' in?
Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky-y-y
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Ah, ah, ah""
As you shoot across the sky-y-y
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it throu-ou-ough

'Cause baby, you're a firework
Come on show 'em what you're worth
Make 'em go, ""Ah, ah, ah,""
As you shoot across the sky-y-y
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Ah, ah, ah""
You're gonna leave 'em all in awe, awe, awe

""Boom, boom, boom""
Even brighter than the moon, moon, moon
""Boom, boom, boom""
Even brighter than the moon, moon, moon"
"7","Wide Awake","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","March 23, 2012","916998","313","47","","https://genius.com/Katy-perry-wide-awake-lyrics","83607","I'm wide awake
I'm wide awake

(I'm wide awake) Yeah, I was in the dark
I was falling hard with an open heart
(I'm wide awake) How did I read the stars so wrong?
(I'm wide awake) And now it's clear to me
That everything you see ain't always what it seems
(I'm wide awake) Yeah, I was dreaming for so long

I wish I knew then what I know now
Wouldn't dive in, wouldn't bow down
Gravity hurts, you made it so sweet
'Til I woke up on, on the concrete

Fallin' from cloud nine
Crashin' from the high
I'm letting go tonight
Yeah, I'm fallin' from cloud nine

(I'm wide awake) Not losing any sleep
I picked up every piece and landed on my feet
(I'm wide awake) Need nothing to complete myself, no
(I'm wide awake) Yeah, I am born again
Out of the lion's den, I don't have to pretend
(And it's too late) The story's over now, the end

I wish I knew then what I know now
Wouldn't dive in, wouldn't bow down
Gravity hurts, you made it so sweet
'Til I woke up on, on the concrete

Fallin' from cloud nine (It was outta the blue, I'm)
Crashin' from the high
I'm letting go tonight (Yeah, I'm letting you go, I'm)
I'm fallin' from cloud nine

(I'm wide awake) Thunder rumbling
Castles crumbling
(I'm wide awake) I am tryin' to hold on
(I'm wide awake) God knows that I tried
Seeing the bright side
(I'm wide awake) But I'm not blind anymore

I'm wide awake
I'm wide awake

Yeah, I'm fallin' from cloud nine (It was outta the blue, I'm)
Crashin' from the high
You know I'm letting go tonight (Yeah, I'm letting you go, I'm)
I'm fallin' from cloud nine

I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake"
"8","I Kissed a Girl","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","April 28, 2008","863375","264","45","","https://genius.com/Katy-perry-i-kissed-a-girl-lyrics","130024","This was never the way I planned
Not my intention
I got so brave, drink in hand
Lost my discretion
It's not what I'm used to
Just wanna try you on
I'm curious for you
Caught my attention

I kissed a girl and I liked it
The taste of her cherry ChapStick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong, it felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it
I liked it

No, I don't even know your name
It doesn't matter
You're my experimental game
Just human nature
It's not what good girls do
Not how they should behave
My head gets so confused
Hard to obey

I kissed a girl and I liked it
The taste of her cherry ChapStick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong, it felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it
I liked it

Us girls, we are so magical
Soft skin, red lips, so kissable
Hard to resist, so touchable
Too good to deny it
Ain't no big deal, it's innocent

I kissed a girl and I liked it
The taste of her cherry ChapStick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong, it felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it
I liked it"
"9","Roar","Katy Perry","Katy Perry CATalog (Collector’s Edition Boxset)","","August 10, 2013","817590","350","59","","https://genius.com/Katy-perry-roar-lyrics","202955","I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sat quietly, agreed politely
I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing, so I fell for everything

You held me down, but I got up (Hey)
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
You held me down, but I got up (Hey)
Get ready 'cause I've had enough
I see it all, I see it now

I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar

Now I'm floating like a butterfly
Stinging like a bee, I earned my stripes
I went from zero, to my own hero

You held me down, but I got up (Hey)
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
You held me down, but I got up (Got up)
Get ready 'cause I've had enough
I see it all, I see it now

I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar)
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar

Roar-oar, roar-oar, roar

I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Oh, louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (Yeah)
You're gonna hear me roar
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar)
Oh-oh-oh-oh-oh-oh-oh
You're gonna hear me roar"
"10","Bon Appétit","Katy Perry","Witness (Deluxe)","","April 28, 2017","676246","568","105","Migos","https://genius.com/Katy-perry-bon-appetit-lyrics","2984944","Ayy, yeah
Katy Perry, Migos, ayy

'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon a—, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon a—, bon appétit, baby (Woo)

Looks like you been starvin'
You got those hungry eyes (Woo)
You could use some sugar
'Cause your levels ain't right (Woo)
I'm a five-star Michelin
A Kobe flown in (Woo)
You want what I'm cookin', boy

Let me take you (Woo)
Under candlelight
We can wine and dine
A table for two
And it's okay (Woo)
If you take your time
Eat with your hands, fine
I'm on the menu

'Cause I'm all that you want, boy
All that you can have, boy
Got me spread like a buffet
Bon a—, bon appétit, baby
Appetite for seduction
Fresh out the oven
Melt in your mouth kind of lovin'
Bon a—, bon appétit, baby (Woo)

So you want some more
Well, I'm open twenty-four (Woo)
Wanna keep you satisfied
Customer's always right (Woo)
Hope you got some room (Oh)
For the world's best cherry pie (Woo)
Gonna hit that sweet tooth (Ayy), boy

Let me take you (Woo)
Under candlelight
We can wine and dine
A table for two (For two)
And it's okay (Woo)
If you take your time (
Ayy
)
Eat with your hands, fine (
Yeah
)
I'm on the menu (Go ahead)

'Cause I'm all that you want, boy (All that you want)
All that you can have, boy (Ayy)
Got me spread like a buffet
Bon a—, bon appétit, baby (Bon appétit)
Appetite for seduction
Fresh out the oven (Fresh out the oven)
Melt in your mouth kind of lovin'
Bon a—, bon appétit, baby
'Cause I'm all that you want, boy (Woo)
All that you can have, boy
Got me spread like a buffet
Bon a—, bon appétit, baby (Bon appétit)
Appetite for seduction
Fresh out the oven (Woo)
Melt in your mouth kind of lovin' (Hey)
Bon a—, bon appétit, baby (Quavo)

Sweet potato pie (Sweet)
It'll change your mind (Change)
Got you runnin' back for seconds (Runnin')
Every single night (Ayy)
I'm the one they say can change your life (Takeoff)
No waterfall, she drippin' wet just like my ice
(
Blast
)
Say she want a Migo night, I ask her, ""What's the price?""
(
Hold on
)
If she do right, told her, ""Get whatever you like"" (Offset)
I grab her legs and now divide, aight (Aight)
Make her do a donut when she ride, aight
(
Skrrt
)
Lookin' at the eyes of a dime, make you blind (Dime)
In her spine and my diamonds change the climate (Shine, yeah)
Sweet tooth (Sweet), no tooth fairy (No)
Whipped cream (Whip), no dairy (Whip)
Got her hot light on, screamin', ""I'm ready"" (Hot)
But no horses (Woo), no carriage (Hey,
go ahead
)

'Cause I'm all that you want, boy (All that you want)
All that you can have, boy (Oh)
Got me spread like a buffet (Ayy)
Bon a—, bon appétit, baby (Eat it up, eat it up, eat it up)
Appetite for seduction (Yeah, yeah, yeah)
Fresh out the oven (Yeah, yeah, yeah)
Melt in your mouth kind of lovin'
Bon a—, bon appétit, baby (Bon appétit)

Under candlelight (Yeah, woo)
Bon appétit, baby (Woo)"
