word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,905,48,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Cry About It Later; Daisies; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Harleys In Hawaii; Hey Hey Hey; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Power; Resilient; Rise; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; Teenage Dream; The One That Got Away; They ask you how you are, and you just have to say you’re fine; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; Waking Up In Vegas; Wide Awake; Witness; bandaids",18.85,True,1
you,you,PRON,744,49,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Cry About It Later; Daisies; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Firework; Harleys In Hawaii; Hey Hey Hey; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Power; Resilient; Rise; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; Teenage Dream; The One That Got Away; They ask you how you are, and you just have to say you’re fine; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; WOMAN’S WORLD; Waking Up In Vegas; Wide Awake; Witness; bandaids",15.18,True,2
the,the,DET,495,48,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Daisies; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Firework; Harleys In Hawaii; Hey Hey Hey; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Power; Resilient; Rise; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; Teenage Dream; The One That Got Away; They ask you how you are, and you just have to say you’re fine; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; Waking Up In Vegas; Wide Awake; Witness; bandaids",10.31,True,3
a,a,DET,418,47,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Cry About It Later; Daisies; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Firework; Harleys In Hawaii; Hey Hey Hey; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Power; Resilient; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; Teenage Dream; The One That Got Away; They ask you how you are, and you just have to say you’re fine; Thinking Of You; This Is How We Do; Tsunami; Ur So Gay; WOMAN’S WORLD; Waking Up In Vegas; Witness; bandaids",8.89,True,4
it,it,PRON,379,46,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Cry About It Later; Daisies; Dark Horse; Did Somebody Say (Just Eat); E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Firework; Harleys In Hawaii; Hey Hey Hey; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Power; Rise; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; The One That Got Away; They ask you how you are, and you just have to say you’re fine; Thinking Of You; This Is How We Do; Unconditionally; Ur So Gay; WOMAN’S WORLD; Waking Up In Vegas; Wide Awake; Witness; bandaids",8.24,True,5
me,i,PRON,326,41,Birthday; Bon Appétit; By the Grace of God; Chained to the Rhythm; Champagne Problems; Cry About It Later; Daisies; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Harleys In Hawaii; Hey Hey Hey; Hot N Cold; Legendary Lovers; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Resilient; Rise; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; Teenage Dream; The One That Got Away; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; Waking Up In Vegas; Wide Awake; Witness; bandaids,7.95,True,6
oh,oh,INTJ,313,27,By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Daisies; Harleys In Hawaii; Hey Hey Hey; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Part of Me; Peacock; Power; Resilient; Rise; Roar; Roulette; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; Waking Up In Vegas; Witness; bandaids,11.59,False,7
and,and,CCONJ,283,47,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Cry About It Later; Daisies; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Firework; Harleys In Hawaii; Hey Hey Hey; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Part of Me; Peacock; Power; Resilient; Rise; Roar; Roulette; Save as Draft; Small Talk; Smile; Swish Swish; Teenage Dream; The One That Got Away; They ask you how you are, and you just have to say you’re fine; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; WOMAN’S WORLD; Waking Up In Vegas; Wide Awake; Witness",6.02,True,8
do,do,AUX,281,37,"Birthday; Bon Appétit; California Gurls; Chained to the Rhythm; Dark Horse; Did Somebody Say (Just Eat); Déjà Vu; E.T.; E.T. (Remix); E.T. (Remix) (Video Version); Firework; Harleys In Hawaii; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Miss You More; Never Really Over; Never Worn White; Not the End of the World; Part of Me; Peacock; Power; Resilient; Rise; Save as Draft; Swish Swish; Teenage Dream; The One That Got Away; Thinking Of You; This Is How We Do; Tsunami; Unconditionally; Ur So Gay; Waking Up In Vegas; Wide Awake; bandaids",7.59,True,9
we,we,PRON,269,32,"Birthday; Bon Appétit; By the Grace of God; California Gurls; Chained to the Rhythm; Champagne Problems; Daisies; Dark Horse; Déjà Vu; E.T. (Remix); E.T. (Remix) (Video Version); Harleys In Hawaii; Hot N Cold; I Kissed a Girl; I’M HIS, HE’S MINE; Last Friday Night (T.G.I.F.); Legendary Lovers; Miss You More; Never Really Over; Never Worn White; Not the End of the World; Roulette; Save as Draft; Small Talk; Teenage Dream; The One That Got Away; This Is How We Do; Tsunami; WOMAN’S WORLD; Waking Up In Vegas; Witness; bandaids",8.41,True,10
