word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1916,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",38.32,True,1
the,the,DET,1528,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",30.56,True,2
you,you,PRON,1374,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",27.48,True,3
a,a,DET,960,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",19.2,True,4
and,and,CCONJ,784,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",15.68,True,5
it,it,PRON,672,49,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",13.71,True,6
my,my,PRON,623,49,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; untitled 02 | 06.23.2014.; wacced out murals",12.71,True,7
me,i,PRON,622,49,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",12.69,True,8
to,to,ADP,602,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",12.04,True,9
that,that,PRON,583,50,"6:16 in LA; A.D.H.D; All The Stars; Alright; Backseat Freestyle; Bitch, Don’t Kill My Vibe; Black Friday; DNA.; DUCKWORTH.; ELEMENT.; FEAR.; FEEL.; For Free? (Interlude); HUMBLE.; HiiiPoWeR; Hood Politics; How Much a Dollar Cost; Institutionalized; King Kunta; LOVE.; LOYALTY.; LUST.; Money Trees; Mortal Man; N95; Not Like Us; PRIDE.; Poetic Justice; Rigamortis; Sherane a.k.a Master Splinter’s Daughter; Sing About Me, I’m Dying of Thirst; Swimming Pools (Drank); The Art of Peer Pressure; The Blacker the Berry; The Heart Part 4; The Recipe; These Walls; Wesley’s Theory; XXX.; euphoria; i; luther; m.A.A.d city; meet the grahams; reincarnated; squabble up; tv off; u; untitled 02 | 06.23.2014.; wacced out murals",11.66,True,10
