"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Shallow","Lady Gaga","A Star is Born (Original Motion Picture Soundtrack)","","September 27, 2018","8866793","190","34","","https://genius.com/Lady-gaga-and-bradley-cooper-shallow-lyrics","3352793","Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?

I'm fallin'
In all the good times, I find myself longin'
For change
And, in the bad times, I fear myself

Tell me something, boy
Aren't you tired tryna fill that void?
Or do you need more?
Ain't it hard keepin' it so hardcore?

I'm falling
In all the good times, I find myself longing
For change
And, in the bad times, I fear myself

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now

In the sha-ha, sha-hallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, sha-hallow
We're far from the shallow now

Oh, ha, ah, ha
Oh-ah, ha

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now

In the sha-ha, shallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, shallow
We're far from the shallow now"
"2","Die With A Smile","Lady Gaga","TOTAL MAYHEM*","","August 16, 2024","6633569","291","49","","https://genius.com/Lady-gaga-and-bruno-mars-die-with-a-smile-lyrics","10766684","(Ooh, ooh)

I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

(Ooh, ooh)

Ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only war worth fighting for

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

Right next to you
Next to you
Right next to you
Oh-oh

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to youIf the world was ending
I'd wanna be next to you

(Ooh, ooh)
I'd wanna be next to you"
"3","Poker Face","Lady Gaga","The Fame Monster (France Virgin Version)","","September 23, 2008","3948627","454","84","","https://genius.com/Lady-gaga-poker-face-lyrics","1316","Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah

I wanna hold 'em like they do in Texas, please (Woo)
Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked, I'll play the one that's on his heart

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)

I wanna roll with him, a hard pair we will be (Woo)
A little gamblin' is fun when you're with me (I love it, woo)
Russian roulette is not the same without a gun
And baby, when it's love, if it's not rough, it isn't fun, fun

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
(Mum-mum-mum-mah)
(Mum-mum-mum-mah)

I won't tell you that I love you
Kiss or hug you
'Cause I'm bluffin' with my muffin
I'm not lyin', I'm just stunnin' with my love-glue-gunnin'
Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
P-p-p-poker face, f-f-fuck her face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)"
"4","Bad Romance","Lady Gaga","The Fame Monster (France Virgin Version)","","October 23, 2009","1758244","564","94","","https://genius.com/Lady-gaga-bad-romance-lyrics","1313","Oh, caught in a bad romance
Oh, caught in a bad romance

Ra, ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la, la
Want your bad romance
Ra, ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la, la
Want your bad romance

I want your ugly, I want your disease
I want your everything as long as it's free
I want your love
Love, love, love, I want your love, ayy
I want your drama, the touch of your hand (
Hey
)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

You know that I want you
And you know that I need you
I want it bad, your bad romance

I want your love and I want your revenge
You and me could write a bad romance (Oh)
I want your love and all your lover's revenge
You and me could write a bad romance
Oh, caught in a bad romance
Oh, caught in a bad romance

Ra, ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la, la
Want your bad romance

I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love
Love, love, love, I want your love
I want your psycho, your vertigo schtick (
Hey
)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

You know that I want you
And you know that I need you ('Cause I'm a free bitch, baby)
I want it bad, your bad romance

I want your love and I want your revenge
You and me could write a bad romance (Oh)
I want your love and all your lover's revenge
You and me could write a bad romance
Oh, caught in a bad romance
Oh, caught in a bad romance

Ra, ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la, la
Want your bad romance
Ra, ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la, la
Want your bad romance

Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

I want your love and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour et je veux ta revanche
Je veux ton amour, I don't wanna be friends (Oh)
(I want your bad romance, I want your bad romance)
No, I don't wanna be friends (Caught in a bad romance)
(I want your bad romance, I want your bad romance)
I don't wanna be friends (Oh)
(I want your bad romance, I want your bad romance)
Want your bad romance (I want your bad romance)
Caught in a bad romance
Want your bad romance

I want your love and I want your revenge
You and me could write a bad romance (Oh)
I want your love and all your lover's revenge
You and me could write a bad romance
Oh (Want your bad romance)
Caught in a bad romance (Want your bad romance)
Oh (Want your bad romance)
Caught in a bad romance

Ra, ra, ah-ah-ah
Roma, roma-ma
Gaga, ooh, la, la
Want your bad romance"
"5","Born This Way","Lady Gaga","Born This Way (Special Edition)","","February 11, 2011","1580322","644","107","","https://genius.com/Lady-gaga-born-this-way-lyrics","4320","It doesn't matter if you love him
Or capital ""H-I-M"" (M, M, M, M)
Just put your paws up
'Cause you were born this way, baby

My mama told me when I was young
""We are all born superstars""
She rolled my hair and put my lipstick on
In the glass of her boudoir
""There's nothing wrong with loving who you are""
She said, ""'Cause He made you perfect, babe""
So hold your head up, girl, and you'll go far
Listen to me when I say

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way
Don't hide yourself in regret
Just love yourself and you're set
I'm on the right track, baby
I was born this way (Born this way)

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (Born this way)
Ooh, there ain't no other way
Baby, I was born this way
Right track, baby
I was born this way

Don't be a drag, just be a queen
Don't be a drag, just be a queen
Don't be a drag, just be a queen
Don't be (Don't be, don't be)

Give yourself prudence and love your friends
Subway kid, rejoice your truth
In the religion of the insecure
I must be myself, respect my youth
A different lover is not a sin
Believe capital H-I-M, hey-hey-hey
I love my life, I love this record and
Mi amore vole fe yah (
Same DNA
)

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way
Don't hide yourself in regret
Just love yourself and you're set
I'm on the right track, baby
I was born this way

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (Born this way)
Ooh, there ain't no other way
Baby, I was born this way
Right track, baby
I was born this way

(Way)
Don't be, don't be, don't be, d—
(Way)
Church

Don't be a drag, just be a queen
Whether you're broke or evergreen
You're black, white, beige, chola descent
You're Lebanese, you're Orient
Whether life's disabilities
Left you outcast, bullied or teased
Rejoice and love yourself today
'Cause baby, you were born this way

No matter gay, straight, or bi
Lesbian, transgender life
I'm on the right track, baby
I was born to survive
No matter black, white, or beige
Chola or Orient made
I'm on the right track, baby
I was born to be brave
I'm beautiful in my way
'Cause God makes no mistakes ('Cause God makes no mistakes)
I'm on the right track, baby (Right track, baby)
I was born this way (Born this way)
Don't hide yourself in regret
Just love yourself and you're set (Love yourself and you're set)
I'm on the right track, baby (Right track, baby)
I was born this way, yeah

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (Born this way)
Ooh, there ain't no other way
Baby, I was born this way
I'm on the right track, baby
I was born this way

I was born this way, hey (Hey)
I was born this way, hey (I was born this way, hey)
I'm on the right track, baby
I was born this way, hey (Born this way, hey)
I was born this way, hey (Hey)
I was born this way, hey (I was born this way, hey)
I'm on the right track, baby (Right track, baby)
I was born this way, hey
Same DNA
(Hey, hey, hey, hey)
But born this way
(Hey, hey, hey, hey, hey, hey, hey, hey)
Same DNA
(Hey, hey, hey, hey)
But born this way
(Hey, hey, hey)"
"6","Abracadabra","Lady Gaga","TOTAL MAYHEM*","","February 3, 2025","1493193","270","50","","https://genius.com/Lady-gaga-abracadabra-lyrics","10703530","Abracadabra, abracadabra
Abracadabra, abracadabra

Pay the toll to the angels
Drawing circles in the clouds
Keep your mind on the distance
When the devil turns around

Hold me in your heart tonight
In the magic of the dark moonlight
Save me from this empty fight
In the game of life

Like a poem said by a lady in red
You hear the last few words of your life
With a haunting dance, now you're both in a trance
It's time to cast your spell on the night

""Abracadabra, amor-oo-na-na
Abracadabra, morta-oo-ga-ga
Abracadabra, abra-oo-na-na""
In her tongue she said, ""Death or love tonight""

Abracadabra, abracadabra
Abracadabra, abracadabra
Feel the beat under your feet, the floor's on firе
Abracadabra, abracadabra

Choose the road on the wеst side
As the dust flies, watch it burn
Don't waste time on a feeling
Use your passion, no return

Hold me in your heart tonight
In the magic of the dark moonlight
Save me from this empty fight
In the game of life

Like a poem said by a lady in red
You hear the last few words of your life
With a haunting dance, now you're both in a trance
It's time to cast your spell on the night

""Abracadabra, amor-oo-na-na
Abracadabra, morta-oo-ga-ga
Abracadabra, abra-oo-na-na""
In her tongue she said, ""Death or love tonight""

Abracadabra, abracadabra
Abracadabra, abracadabra
Feel the beat under your feet, the floor's on fire
Abracadabra, abracadabra

Phantom of the dance floor, come to me
Sing for me a sinful melody
Ah, ah, ah
Ah, ah, ah

""Abracadabra, amor-oo-na-na
Abracadabra, morta-oo-ga-ga
Abracadabra, abra-oo-na-na""
In her tongue she said, ""Death or love tonight"""
"7","Always Remember Us This Way","Lady Gaga","A Star is Born (Original Motion Picture Soundtrack)","","October 5, 2018","1317042","209","30","","https://genius.com/Lady-gaga-always-remember-us-this-way-lyrics","3646077","That Arizona sky
Burnin' in your eyes
You look at me and, babe, I wanna catch on fire
It's buried in my soul
Like California gold
You found the light in me that I couldn't find

So when I'm all choked up and I can't find the words
Every time we say goodbye, baby, it hurts
When the sun goes down
And the band won't play
I'll always remember us this way

Lovers in the night
Poets tryna write
We don't know how to rhyme, but damn, we try
But all I really know
You're where I wanna go
The part of me that's you will never die

So when I'm all choked up and I can't find the words
Every time we say goodbye, baby, it hurts
When the sun goes down
And the band won't play
I'll always remember us this way

Oh, yeah
I don't wanna be just a memory, baby, yeah

So when I'm all choked up and I can't find the words
Every time we say goodbye, baby, it hurts
When the sun goes down and the band won't play
I'll always remember us this way, way, yeah

When you look at me and the whole world fades
I'll always remember us this way"
"8","Rain On Me","Lady Gaga","Chromatica (Japanese Box Set Edition)","","May 22, 2020","1193743","394","99","","https://genius.com/Lady-gaga-and-ariana-grande-rain-on-me-lyrics","5317861","I didn't ask for a free ride
I only asked you to show me a real good time
I never asked for the rainfall
At least I showed up, you showed me nothin' at all

It's comin' down on me
Water like misery
It's comin' down on me
I'm ready, rain on me

I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain on me, rain, rain
I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain on me

Rain on me
Mm, oh yeah, baby
Rain on me

Livin' in a world where no one's innocent
Oh, but at least we try, mm
Gotta live my truth, not keep it bottled in
So I don't lose my mind, baby, yeah

I can feel it on my skin (
It's comin' down on me
)
Teardrops on my face (
Water like misery
)
Let it wash away my sins (
It's comin' down on me
)
Let it wash away, yeah-yeah

[Chorus: Both,
Lady Gaga
,
Ariana Grande
]
I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain on me, rain, rain
I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain
(
Rain
)
on
(
On
) me

Rain on me
Rain on me
Oh yeah, yeah
Rain on me, ooh, yeah
Rain on me
Rain on me, ooh

[Bridge: Both,
Lady Gaga
,
Ariana Grande
]
Hands up to the sky
I'll be your galaxy
I'm about to fly
Rain on me, tsunami
Hands up to the sky
I'll be your galaxy
I'm about to fly
Rain on me
(
Rain on me
)

[Chorus: Both,
Ariana Grande
,
Lady Gaga
]
I'd rather be dry, but at least I'm alive (
Rain on me
)
Rain on me, rain, rain
Rain on me, rain, rain (
Rain on me
)
I'd rather be dry, but at least I'm alive (
At least I'm alive
)
Rain on me, rain, rain (
Rain on me, baby
)
Rain on me
(
Rain on me
)

I hear the thunder comin' down
Won't you rain on me? Eh, eh, yeah
Rain on, woo
I hear the thunder comin' down
Won't you rain on me? Eh, eh, yeah
Rain on me"
"9","Paparazzi","Lady Gaga","The Fame Monster (France Virgin Version)","","August 19, 2008","1160069","288","46","","https://genius.com/Lady-gaga-paparazzi-lyrics","153998","We are the crowd, we're c-comin' out
Got my flash on, it's true
Need that picture of you, it's so magical
We'd be so fantastico
Leather and jeans, garage glamorous
Not sure what it means
But this photo of us, it don't have a price
Ready for those flashing lights
'Cause you know that, baby, I

I'm your biggest fan, I'll follow you until you love me
Papa-paparazzi
Baby, there's no other superstar, you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine (Yeah-ha)
Baby, you'll be famous, chase you down until you love me
Papa-paparazzi

I'll be your girl backstage at your show
Velvet ropes and guitars
Yeah, 'cause you're my rockstar in between the sets
Eyeliner and cigarettes
Shadow is burnt, yellow, dance and we turn
My lashes are dry
Purple teardrops I cry, it don't have a price
Loving you is cherry pie
'Cause you know that, baby, I

I'm your biggest fan, I'll follow you until you love me
Papa-paparazzi
Baby, there's no other superstar, you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine (Yeah-ha)
Baby, you'll be famous, chase you down until you love me
Papa-paparazzi

Real good, we dance in the studio
Snap, snap to that shit on the radio
Don't stop for anyone
We're plastic, but we still have fun

I'm your biggest fan, I'll follow you until you love me
Papa-paparazzi
Baby, there's no other superstar, you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine (Yeah-ha)
Baby, you'll be famous, chase you down until you love me
Papa-paparazzi"
"10","Do What U Want","Lady Gaga","ARTPOP (Deluxe Edition)","","October 21, 2013","952020","588","87","R. Kelly","https://genius.com/Lady-gaga-do-what-u-want-lyrics","237963","Yeah (Oh)
Turn the mic up
(Yeah, yeah)
Eh eh eh eh eh eh eh (Oh)
Eh eh eh eh eh eh eh (Oh)

I, I feel good, I walk alone
But then I trip over myself and I fall
I, I stand up, and then I'm okay
But then you print some shit that makes me wanna scream

So do what you want, what you want with my body
Do what you want, don't stop, let's party
Do what you want, what you want with my body
Do what you want, what you want with my body
Write what you want, say what you want 'bout me
If you're wondering, know that I'm not sorry
Do what you want, what you want with my body
What you want with my body

You can't have my heart, and you won't use my mind
But do what you want with my body
Do what you want with my body
You can’t stop my voice 'cause you don't own my life
But do what you want with my body
Do what you want with my body

Early morning, longer nights (Yeah)
Tom Ford, private flights (Yeah)
Crazy schedule, fast life
I wouldn't trade it in, 'cause it's our life
(But let's slow it down)
I could be the drink in your cup
I could be the green in your blunt, your pusher man
Yeah, I got what you want
You wanna escape (Oh)
All of the crazy shit (Let go)
You're the Marilyn, I'm the president
And I love to hear you sing (Girl)

Do what I want, do what I want with your body
Do what I want, do what I want with your body
Back of the club, taking shots, gettin' naughty
No invitations, it's a private party
Do what I want, do what I want with your body
Do what I want, do what I want with your body
Yeah, we taking these haters and we roughin' 'em up
And we layin’ the cut like we don't give a fuck

You can't have my heart, and you won't use my mind (
My mind
)
But do what you want with my body (
Yeah
)
Do what you want with my body (
With your body
)
You can’t stop my voice 'cause you don't own my life
But do what you want with my body
Do what you want with my body (
Body
)

Sometimes I'm scared, I suppose
If you ever let me go
I would fall apart if you break my heart
So just take my body and don't stop the party

You can't have my heart and (Help me now)
You won't use my mind
But do what you want with my body
Do what you want with my body (
With your body
)
You can’t stop
my voice, 'cause
You don't own my life
(You)
But do what you want with my body
(What I want, when I want, when I want)
Do what you want with my body

Do what you want with me
What you want with my body
Do what you want with me
What you want with my body, world
Do what you want with me
What you want with my body
Do what you want with me
What you want with my body, world
Help me now
What you want with my body
Do what you want with my body
Do what you want with my body
Want you want with my body, world"
