word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1173,48,911; ARTPOP; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Disease; Do What U Want; Donatella; Free Woman; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Shallow; Sine from Above; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Cure; The Dead Dance; Vanish Into You; Venus; Yoü and I,24.44,True,1
you,you,PRON,719,49,911; ARTPOP; Abracadabra; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Babylon; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Disease; Do What U Want; Donatella; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Shallow; Sine from Above; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Cure; The Dead Dance; Vanish Into You; Venus; Yoü and I,14.67,True,2
the,the,DET,479,50,911; ARTPOP; Abracadabra; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Babylon; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Disease; Do What U Want; Donatella; Free Woman; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Shallow; Sine from Above; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Cure; The Dead Dance; Vanish Into You; Venus; Yoü and I,9.58,True,3
a,a,DET,449,47,911; ARTPOP; Abracadabra; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Babylon; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Disease; Do What U Want; Donatella; Free Woman; G.U.Y.; Garden Of Eden; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Sine from Above; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Dead Dance; Vanish Into You; Venus; Yoü and I,9.55,True,4
my,my,PRON,379,40,911; ARTPOP; Alejandro; Alice; Always Remember Us This Way; Aura; Bad Romance; Bloody Mary; Born This Way; Do What U Want; Donatella; Free Woman; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); Judas; Just Dance; LoveGame; Mary Jane Holland; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Sine from Above; Speechless; Swine; Telephone; The Cure; The Dead Dance; Vanish Into You; Venus; Yoü and I,9.47,True,5
me,i,PRON,367,47,911; ARTPOP; Abracadabra; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Babylon; Bad Romance; Born This Way; Die With A Smile; Disease; Do What U Want; Free Woman; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Sexxx Dreams; Shallow; Sine from Above; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Cure; The Dead Dance; Vanish Into You; Venus; Yoü and I,7.81,True,6
n't,not,PART,298,44,911; ARTPOP; Abracadabra; Alejandro; Alice; Always Remember Us This Way; Babylon; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Do What U Want; Donatella; Free Woman; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Shallow; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Cure; The Dead Dance; Venus; Yoü and I,6.77,True,7
m,be,AUX,281,41,911; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Do What U Want; Donatella; Free Woman; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Million Reasons; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Shallow; Sour Candy; Speechless; Swine; Telephone; The Cure; The Dead Dance; Venus; Yoü and I,6.85,True,8
your,your,PRON,278,41,ARTPOP; Abracadabra; Alejandro; Alice; Always Remember Us This Way; Applause; Aura; Babylon; Bad Romance; Born This Way; Disease; Do What U Want; Donatella; G.U.Y.; Garden Of Eden; Government Hooker; Gypsy; Hold My Hand; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Just Dance; LoveGame; Monster; Paparazzi; Perfect Illusion; Poker Face; Rain On Me; Replay; Scheiße; Sexxx Dreams; Sour Candy; Speechless; Stupid Love; Swine; Telephone; The Cure; The Dead Dance; Vanish Into You; Venus; Yoü and I,6.78,True,9
love,love,NOUN,266,33,ARTPOP; Abracadabra; Alejandro; Applause; Aura; Bad Romance; Bloody Mary; Born This Way; Die With A Smile; Do What U Want; G.U.Y.; Government Hooker; Gypsy; How Bad Do U Want Me; I’ll Never Love Again (Extended Version); John Wayne; Judas; Just Dance; LoveGame; Mary Jane Holland; Monster; Paparazzi; Perfect Illusion; Poker Face; Scheiße; Sexxx Dreams; Sine from Above; Sour Candy; Speechless; Stupid Love; The Cure; Venus; Yoü and I,8.06,False,10
