"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Young and Beautiful","Lana Del Rey","The Great Gatsby: Music from Baz Luhrmann’s Film (Deluxe Edition)","","April 23, 2013","2579402","306","34","","https://genius.com/Lana-del-rey-young-and-beautiful-lyrics","137656","I've seen the world, done it all
Had my cake now
Diamonds, brilliant, and Bel Air now

Hot summer nights, mid-July
When you and I were forever wild
The crazy days, city lights
The way you'd play with me like a child

Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful?

I've seen the world, lit it up as my stage now
Channeling angels in the new age now

Hot summer days, rock and roll
The way you'd play for me at your show
And all the ways I got to know
Your pretty face and electric soul

Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful?

Dear Lord, when I get to Heaven
Please, let me bring my man
When he comes, tell me that You'll let him in
Father, tell me if You can
All that grace, all that body
All that face makes me wanna party
He's my sun, he makes me shine like diamonds

And will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothin' but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful?

Will you still love me when I'm no longer beautiful?
Will you still love me when I'm not young and beautiful?"
"2","Summertime Sadness","Lana Del Rey","Born to Die - The Paradise Edition (Box Set)","","January 27, 2012","1998941","296","53","","https://genius.com/Lana-del-rey-summertime-sadness-lyrics","64764","Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

I got my red dress on tonight
Dancin' in the dark, in the pale moonlight
Done my hair up real big, beauty queen style
High heels off, I'm feelin' alive

Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)

Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh

I'm feelin' electric tonight
Cruisin' down the coast, goin' 'bout 99
Got my bad baby by my heavenly side
I know, if I go, I'll die happy tonight

Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)

Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh

Think I'll miss you forever
Like the stars miss the sun in the morning sky
Later's better than never
Even if you're gone, I'm gonna drive (Drive)
Drive

I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh

Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh"
"3","West Coast","Lana Del Rey","Ultraviolence (Japanese Deluxe Version)","","April 14, 2014","1703934","392","56","","https://genius.com/Lana-del-rey-west-coast-lyrics","402524","Down on the West coast, they got a sayin'
""If you're not drinkin', then you're not playin'""
But you've got the music
You've got the music in you, don't you?
Down on the West coast, I get this feeling like
It all could happen, that's why I'm leaving
You for the moment, you for the moment
Boy Blue, yeah, you

You're falling hard, I push away, I'm feelin' hot to the touch
You say you miss me and I wanna say, ""I miss you so much""
But something keeps me really quiet, I'm alive, I'm a lush
Your love, your love, my love

I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh, baby, ooh, baby, I'm in love
I can see my sweet boy swayin'
He's crazy y cubano como yo, l-love
On the balcony and I'm saying
Move, baby, move, baby, I'm in love

I'm in love (I'm in love)
I'm in love (I'm in love)

(Mic-check)
(One, two)
(Two, two)
(Get it, girl)

Down on the West coast, they got their icons
Their silver starlets, their Queens of Saigons
And you've got the music
You've got the music in you, don't you?
Down on the West coast, they love their movies
Their golden gods and rock 'n' roll groupies
And you've got the music
You've got the music in you, don't you?

You push it hard, I pull away, I'm feeling hotter than fire
I guess that no one ever really made me feel that much higher
Te deseo, cariño, boy, it's you I desire
Your love, your love, my love

I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh, baby, ooh, baby, I'm in love
I can see my sweet boy swayin'
He's crazy y cubano como yo, l-love
On the balcony and I'm saying
Move, baby, move, baby, I'm in love
I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh, baby, ooh, baby, I'm in love
I can see my sweet boy swayin'
He's crazy y cubano como yo, l-love
On the balcony and I'm saying
Move, baby, move, baby, I'm in love

I'm in love
I'm in love"
"4","A&W","Lana Del Rey","Did you know that there’s a tunnel under Ocean Blvd","","February 14, 2023","1640156","733","84","","https://genius.com/Lana-del-rey-a-w-lyrics","8621374","I haven't done a cartwheel since I was nine
I haven't seen my mother in a long, long time
I mean, look at me
Look at the length of my hair and my face, the shape of my body
Do you really think I give a damn
What I do after years of just hearing them talking?

I say I live in Rosemead, really, I'm at the Ramada
It doesn't really matter, doesn't really, really matter

Call him up, ""Come into my bedroom""
Ended up, we fuck on the hotel floor
It's not about havin' someone to love me anymorе
This is the experiеnce of bein' an American whore

Called up one drunk, called up another
Forensic Files
wasn't on
Watching
Teenage Diary of a Girl
Wondering what went wrong
I'm a princess, I'm divisive
Ask me why, why, why I'm like this
Maybe I'm just kinda like this
I don't know, maybe I'm just like this

I say I live in Rosemead, really, I'm at the Ramada
It doesn't really matter, doesn't really, really matter

Call him up, he comes over again
Yeah, I know I'm over my head, but, oh
It's not about havin' someone to love me anymore
No, this is the experience of bein' an American whore

I mean, look at my hair
Look at the length of it and the shape of my body
If I told you that I was raped
Do you really think that anybody would think
I didn't ask for it? I didn't ask for it
I won't testify, I already fucked up my story
On top of this (Mm), so many other things you can't believe
Did you know a singer can still be
Looking like a sidepiece at thirty-three?
God's a charlatan, don't look back, babe
Puts the shower on while he calls me
Slips out the back door to talk to me
I'm invisible, look how you hold me
I'm invisible, I'm invisible
I'm a ghost now, look how you hold me now

It's not about havin' someone to love me anymore (Oh, okay)
No, this is the experience of bein' an American whore
It's not about havin' someone to love me anymore
No, this is the experience of bein' an American whore

This is the experience of bein' an American whore
This is the experience of bein' an American whore
This is the experience of bein' an American whore
Woo

Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride
Jimmy, Jimmy, cocoa puff, Jimmy, get me high (Oh my god)
Love me if you love or not, you can be my light
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Your mom called, I told her, you're fuckin' up big time

Your mom called, I told her, you're fuckin' up big time

Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride
Jimmy, Jimmy, cocoa puff, Jimmy, get me high
Love me if you live and love, you can be my light (Mm)
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Your mom called, I told her, you're fuckin' up big time

Jimmy, you should switch it up, baby, light it up (Yeah)
Jimmy, if you leave the house, find me in the club (Like)
Jimmy, if you switch it up, you should light it up
Jimmy, if you leave the house, find me in the club (Like, surf's up)
Your mom called, I told her, you're fuckin' up big time
But I don't care, baby, I already lost my mind
Jimmy, if I lie it up, find me in the club (Mind, mind)
Your mom called, I told her, you're fucking up big time

Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride
Jimmy, Jimmy, cocoa puff, Jimmy, get me high
Love me if you love or not, you can be my light
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Your mom called, I told her, you're fuckin' up big time"
"5","Video Games","Lana Del Rey","Born to Die - The Paradise Edition (Box Set)","","October 7, 2011","1480082","390","47","","https://genius.com/Lana-del-rey-video-games-lyrics","64755","Swingin' in the backyard, pull up in your fast car
Whistlin' my name
Open up a beer and you say, ""Get over here
And play a video game""
I'm in his favorite sundress, watching me get undressed
Take that body downtown
I say, ""You the bestest,"" lean in for a big kiss
Put his favorite perfume on
""Go play a video game""

It's you, it's you, it's all for you, everything I do
I tell you all the time, Heaven is a place on Earth with you
Tell me all the things you wanna do
I heard that you like the bad girls, honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do

Mmm

Singin' in the old bars, swinging with the old stars
Livin' for the fame
Kissin' in the blue dark, playing pool and wild darts
Video games
He holds me in his big arms, drunk, and I am seeing stars
This is all I think of
Watchin' all our friends fall in and out of Old Paul's, this is my idea of fun
Playin' video games

It's you, it's you, it's all for you, everything I do
I tell you all the time, Heaven is a place on Earth with you
Tell me all the things you wanna do
I heard that you like the bad girls, honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do

(N-now you do, now you do, now you do)
(N-now you do, now you do, now you do)

It's you, it's you, it's all for you, everything I do
I tell you all the time, Heaven is a place on Earth with you
Tell me all the things you wanna do
I heard that you like the bad girls, honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And, baby, now you do

(N-now you do, now you do, now you do)
Mmm, now you do
(N-now you do, now you do, now you do)"
"6","Norman fucking Rockwell","Lana Del Rey","Norman Fucking Rockwell!","","August 30, 2019","1399848","201","34","","https://genius.com/Lana-del-rey-norman-fucking-rockwell-lyrics","3965734","Goddamn, man-child
You fucked me so good that I almost said ""I love you""
You're fun and you’re wild
But you don't know the half of the shit that you put me through
Your poetry's bad and you blame the news
But I can’t change that, and I can't change your mood, ah

'Cause you're just a man
It's just what you do
Your head in your hands
As you color me blue
Yeah, you're just a man
All through and through
Your head in your hands
As you color me blue
Blue, blue, blue

Goddamn, man-child
You act like a kid even though you stand six foot two
Self-loathing poet, resident Laurel Canyon know-it-all
You talk to the walls when the party gets bored of you
But I don't get bored, I just see it through
Why wait for the best when I could have you? You?

'Cause you’re just a man
It’s just what you do
Your head in your hands
As you color me blue
Yeah, you're just a man
All through and through
Your head in your hands
As you color me blue
Blue, blue
You make me blue

Blue, blue
Blue, blue, blue
Blue, blue, blue"
"7","Diet Mountain Dew (The Flight Demo)","Lana Del Rey","","","","1366663","496","73","","https://genius.com/Lana-del-rey-diet-mountain-dew-the-flight-demo-lyrics","3921655","You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want you

Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?

Baby, put on heart-shaped sunglasses
'Cause we gonna take a ride
I'm not gonna listen to what the past says
I been waitin' up all night
Take another drag, turn me to ashes
Ready for another lie?
Says he's gonna teach me just what fast is
Say it's gonna be alright

Hit me, my darling, tonight
I don't know why but I like it
Gotta get back to the wild
Give it up, give it up
Live it up, live it up

Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?

Let's take Jesus off the dashboard
Got enough on his mind
We both know just what we're here for
Saved too many times
Maybe I like this roller coaster
Maybe it keeps me high
Maybe the speed, it brings me closer
I could sparkle up your eye

Hurt me and tell me you're mine
I don't know why but I like it
Scary? My God, you're divine
Gimme them, gimme them dope and diamonds

Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?

You're no good for me
Baby, you're no good for me
You're no good for me
But baby, I want you, I want you
You're no good for me
Baby, you're no good for me
You're no good for me
But baby, I want you, I want you, I want you

Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?

Baby stoppin' at 7-Eleven
There in his white Pontiac Heaven
Do you think we'll be in love forever?
Do you think we'll be in love?

Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?"
"8","Born to Die","Lana Del Rey","Born to Die - The Paradise Edition (Box Set)","","December 30, 2011","1362324","567","90","","https://genius.com/Lana-del-rey-born-to-die-lyrics","61458","[Intro: Lana Del Rey &
Mountain
]
Why? (
Got that?
)
Who, me? (
Louder
)
Why? (
Got that?
)

Feet don't fail me now, take me to the finish line
Oh, my heart, it breaks every step that I take
But I'm hoping at the gates, they'll tell me that you're mine
Walking through the city streets, is it by mistake or design?
I feel so alone a Friday night
Can you make it feel like home if I tell you you're mine?
It's like I told you, honey (
Louder
)

Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (
Louder, alright
)
So choose your last words, this is the last time
'Cause you and I, we were born to die

Lost, but now I am found
I can see that, once, I was blind
I was so confused as a little child
Tried to take what I could get, scared that I couldn't find
All the answers, honey (
Louder
)

Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (
Louder, alright
)
So choose your last words, this is the last time
'Cause you and I, we were born to die

(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die, we were born to die)
We were born to die

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane

So don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (
Louder, alright
)
So choose your last words, this is the last time
'Cause you and I, we were born to die

(Louder)
(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Got that?)
(Louder)"
"9","Love","Lana Del Rey","Lust for Life","","February 18, 2017","1263797","283","52","","https://genius.com/Lana-del-rey-love-lyrics","2956717","Look at you, kids, with your vintage music
Comin' through satellites while cruisin'
You're part of the past, but now you're the future
Signals crossing can get confusin'

It's enough just to make you feel crazy, crazy, crazy
Sometimes, it's enough just to make you feel crazy

You get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
Doesn't matter 'cause it's enough
To be young and in lo-ove
To be young and in lo-ove

Look at you, kids, you know you're the coolest
The world is yours and you can't refuse it
Seen so much, you could get the blues
But that don't mean that you should abuse it

Though it's enough just to make you go crazy, crazy, crazy
I know, it's enough just to make you go crazy, crazy, crazy

But you get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
It don't matter because it's enough
To be young and in lo-ove
To be young and in lo-ove

Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby
Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby

And it's enough just to make me go crazy, crazy, crazy
It's enough just to make me go crazy, crazy, crazy

I get ready, I get all dressed up
To go nowhere in particular
It doesn't matter if I'm not enough
For the future or the things to come
'Cause I'm young and in lo-ove
I'm young and in lo—, lo-lo-lo, love

Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby
Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby
Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby"
"10","Lust for Life","Lana Del Rey","Lust for Life","","April 19, 2017","1217640","541","121","The Weeknd","https://genius.com/Lana-del-rey-lust-for-life-lyrics","3037651","Oh

Climb up the H of the Hollywood sign (Yeah)
In these stolen moments, the world is mine
There's nobody here, just us together
Keepin' me hot like July forever
'Cause we're the masters of our own fate
We're the captains of our own souls
There's no way for us to come late
'Cause, boy, we're gold, boy, we're gold
And I was like

Take off, take off, take off all your clothes
Take off, take off, take off all your clothes
Take off, take off, take off all of your clothes
They say only the good die young
That just ain't right'Cause we're having too much fun
Too much fun tonight, yeah

And a lust for life (
And a lust for life
)
And a lust for life (
And a lust for life
)
Keeps us alive (
Keeps us alive
)
Keeps us alive (
Keeps us alive
)
And a lust for life (
And a lust for life
)
And a lust for life (
And a lust for life
)
Keeps us alive (
Keeps us alive
)
Keeps us alive (
Keeps us alive
)
(Then)

We dance on the H of the Hollywood sign (Yeah)
'Til we run out of breath,
gotta dance 'til we die
My boyfriend's back (
Oh-oh
) and he's cooler than ever (
Woah
)
There's no more night,
blue skies forever
'Cause we're the masters of our own fate
We're the captains of our own souls
So there's no need for us to hesitateWe're all alone, let's take control
And I was like

Take off, take off, take off all your clothes
Take off, take off, take off all your clothes
Take off, take off, take off all of your clothes
They say only the good die young
That just ain't right'Cause we're havin' too much fun
Too much fun tonight, yeah

And a lust for life (
And a lust for life
)
And a lust for life (
And a lust for life
)
Keeps us alive (
Keeps us alive
)
Keeps us alive (
Keeps us alive
)
And a lust for life (
And a lust for life
)
And a lust for life (
And a lust for life
)
Keeps us alive (
Keeps us alive
)
Keeps us alive (
Keeps us alive
)
Oh

My boyfriend's back and he's cooler than ever
There's no more night,
blue skies forever
I told you twice in our love letter
There's no stopping now,
green lights forever
And I was like

Take off, take off, take off all your clothes
Take off, take off, take off all your clothes
Take off, take off, take off all of your clothes

And a lust for life (
And a lust for life
)
And a lust for life (
And a lust for life
)
Keeps us alive (
Keeps us alive
)
Keeps us alive (
Keeps us alive
)
And a lust for life (
And a lust for life
)
And a lust for life (
And a lust for life
)
Keeps us alive (
Keeps us alive
)
Keeps us alive (
Keeps us alive
)
Oh"
