word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,932,50,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",18.64,True,1
you,you,PRON,759,49,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",15.49,True,2
the,the,DET,627,50,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",12.54,True,3
me,i,PRON,427,47,A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it,9.09,True,4
and,and,CCONJ,355,47,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",7.55,True,5
to,to,PART,333,47,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; West Coast; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",7.09,True,6
a,a,DET,313,46,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Cherry; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",6.8,True,7
my,my,PRON,306,46,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",6.65,True,8
in,in,ADP,299,46,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",6.5,True,9
it,it,PRON,292,47,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Summer Bummer; Summertime Sadness; The greatest; Ultraviolence; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",6.21,True,10
s,be,AUX,289,49,"A&W; Blue Jeans; Born to Die; Brooklyn Baby; Carmen; Chemtrails Over the Country Club; Cherry; Cinnamon Girl; Cola; Dark Paradise; Did you know that there’s a tunnel under Ocean Blvd; Diet Mountain Dew; Diet Mountain Dew (The Flight Demo); Doin’ Time; Fingertips; Fuck it I love you; Get Free; Gods & Monsters; Happiness is a butterfly; Heroin; High By The Beach; How to disappear; Let The Light In; Love; Love song; Lust for Life; Margaret; Mariners Apartment Complex; Meet Me in the Pale Moonlight; National Anthem; Norman fucking Rockwell; Off to the Races; Paris, Texas; Radio; Ride; Ride Monologue; Sad Girl; Salvatore; Say Yes To Heaven; Shades of Cool; Summer Bummer; Summertime Sadness; The greatest; Venice Bitch; Video Games; West Coast; White Mustang; Young and Beautiful; hope is a dangerous thing for a woman like me to have - but i have it",5.9,True,11
