word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,567,46,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Misty Mountain Hop; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",12.33,True,1
the,the,DET,513,47,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",10.91,True,2
you,you,PRON,423,46,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Since I’ve Been Loving You; Stairway to Heaven; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",9.2,True,3
oh,oh,INTJ,401,41,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Kashmir; Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Ten Years Gone; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love",9.78,False,4
ah,ah,PROPN,392,27,Achilles’ Last Stand; Babe I’m Gonna Leave You; Black Dog; Bron-Y-Aur Stomp; Communication Breakdown; Dazed and Confused; D’yer Mak’er; Four Sticks; Friends; Gallows Pole; Going to California; Immigrant Song; In My Time of Dying; Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Ramble On; Rock and Roll; Since I’ve Been Loving You; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; When the Levee Breaks; Whole Lotta Love,14.52,False,5
to,to,ADP,326,46,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",7.09,True,6
my,my,PRON,270,44,"All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Kashmir; Misty Mountain Hop; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",6.14,True,7
it,it,PRON,245,44,Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; Nobody’s Fault But Mine; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come,5.57,True,8
yeah,yeah,INTJ,222,39,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Heartbreaker; Hey, Hey, What Can I Do; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Kashmir; Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Ten Years Gone; Thank You; That’s the Way; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; Whole Lotta Love",5.69,False,9
a,a,DET,206,42,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks",4.9,True,10
and,and,CCONJ,204,46,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Your Time Is Gonna Come",4.43,True,11
me,i,PRON,191,44,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Friends; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Kashmir; Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Lemon Song; The Ocean; The Rain Song; The Rover; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",4.34,True,12
baby,baby,PROPN,173,25,Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In the Light; Kashmir; Misty Mountain Hop; Ramble On; Rock and Roll; Since I’ve Been Loving You; Ten Years Gone; The Lemon Song; The Rover; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come,6.92,False,13
n't,not,PART,172,39,"Babe I’m Gonna Leave You; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Kashmir; Misty Mountain Hop; No Quarter; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Ten Years Gone; That’s the Way; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Your Time Is Gonna Come",4.41,True,14
of,of,ADP,168,38,"Achilles’ Last Stand; All My Love; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Custard Pie; Dazed and Confused; Fool in the Rain; Four Sticks; Gallows Pole; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Rain Song; The Rover; Whole Lotta Love; Your Time Is Gonna Come",4.42,True,15
s,be,VERB,157,38,"Achilles’ Last Stand; All My Love; Babe I’m Gonna Leave You; Bron-Y-Aur Stomp; Communication Breakdown; Dazed and Confused; Fool in the Rain; Four Sticks; Friends; Going to California; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In My Time of Dying; In the Light; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; No Quarter; Nobody’s Fault But Mine; Over the Hills and Far Away; Ramble On; Rock and Roll; Since I’ve Been Loving You; Stairway to Heaven; Tangerine; Ten Years Gone; That’s the Way; The Battle of Evermore; The Ocean; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",4.13,True,16
on,on,ADP,151,32,"Achilles’ Last Stand; Bring It on Home; Bron-Y-Aur Stomp; Custard Pie; Fool in the Rain; Four Sticks; Friends; Gallows Pole; Going to California; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; Immigrant Song; In My Time of Dying; In the Light; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; Nobody’s Fault But Mine; Ramble On; Stairway to Heaven; Ten Years Gone; The Battle of Evermore; The Lemon Song; The Ocean; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Your Time Is Gonna Come",4.72,True,17
love,love,NOUN,146,29,"All My Love; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Friends; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; Houses of the Holy; How Many More Times; I Can’t Quit You Baby; In the Light; Living Loving Maid (She’s Just a Woman); Over the Hills and Far Away; Rock and Roll; Since I’ve Been Loving You; Tangerine; Ten Years Gone; Thank You; The Rain Song; The Rover; Trampled Under Foot; What Is and What Should Never Be; Whole Lotta Love",5.03,False,18
all,all,DET,137,37,"Achilles’ Last Stand; All My Love; Black Dog; Bring It on Home; Bron-Y-Aur Stomp; Communication Breakdown; Custard Pie; Dazed and Confused; D’yer Mak’er; Fool in the Rain; Four Sticks; Going to California; Good Times Bad Times; Heartbreaker; Hey, Hey, What Can I Do; How Many More Times; Immigrant Song; In My Time of Dying; Kashmir; Living Loving Maid (She’s Just a Woman); Misty Mountain Hop; Ramble On; Stairway to Heaven; Ten Years Gone; Thank You; That’s the Way; The Battle of Evermore; The Lemon Song; The Ocean; The Rain Song; The Rover; The Song Remains the Same; Trampled Under Foot; What Is and What Should Never Be; When the Levee Breaks; Whole Lotta Love; Your Time Is Gonna Come",3.7,True,19
