"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Hallelujah","Leonard Cohen","The Essential Leonard Cohen","","December 11, 1984","5793446","346","58","","https://genius.com/Leonard-cohen-hallelujah-lyrics","1237","Now I've heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music, do ya?
It goes like this, the fourth, the fifth
The minor fall, the major lift
The baffled king composing ""Hallelujah""

Hallelujah, Hallelujah
Hallelujah, Hallelujah

Your faith was strong, but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew ya
She tied you to a kitchen chair
She broke your throne and she cut your hair
And from your lips she drew the Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

You say I took the name in vain
I don't even know the name
But if I did, well, really, what's it to ya?
There's a blaze of light in every word
It doesn't matter which you heard
The holy or the broken Hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah

I did my best, it wasn't much
I couldn't feel, so I tried to touch
I've told the truth, I didn't come to fool ya
And even though it all went wrong
I'll stand before the Lord of song
With nothing on my tongue but hallelujah

Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah
Hallelujah, Hallelujah

Hallelujah, Hallelujah

Baby, I've been here before
I know this room, I've walked this floor
I used to live alone before I knew ya
And I've seen your flag on the marble arch
Love is not a victory march
It's a cold and it's a broken Hallelujah

There was a time you let me know
What's really going on below
But now you never show it to me, do ya?
And remember when I moved in you
The holy dove was moving too
And every breath we drew was Hallelujah

Maybe there's a God above
But all I've ever learned from love
Was how to shoot at someone who outdrew ya
And it's not a cry that you hear at night
It's not somebody who's seen the light
It's a cold and it's a broken Hallelujah"
"2","So Long, Marianne","Leonard Cohen","The Essential Leonard Cohen","","December 27, 1967","351662","319","36","","https://genius.com/Leonard-cohen-so-long-marianne-lyrics","88906","Come over to the window, my little darling
I'd like to try to read your palm
I used to think I was some kind of Gypsy boy
Before I let you take me home

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

Well you know that I love to live with you
But you make me forget so very much
I forget to pray for the angels
And then the angels forget to pray for us

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

We met when we were almost young
Deep in the green lilac park
You held on to me like I was a crucifix
As we went kneeling through the dark

Oh so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

Your letters they all say that you're beside me now
Then why do I feel alone?
I'm standing on a ledge and your fine spider web
Is fastening my ankle to a stone

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

For now I need your hidden love
I'm cold as a new razor blade
You left when I told you I was curious
I never said that I was brave

Oh so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

Oh, you are really such a pretty one
I see you've gone and changed your name again
And just when I climbed this whole mountainside
To wash my eyelids in the rain

Oh so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again"
"3","Suzanne","Leonard Cohen","The Essential Leonard Cohen","","December 27, 1967","336309","324","50","","https://genius.com/Leonard-cohen-suzanne-lyrics","51815","Suzanne takes you down
To her place near the river
You can hear the boats go by
You can spend the night beside her
And you know that she's half-crazy
But that's why you want to be there
And she feeds you tea and oranges
That come all the way from China
And just when you mean to tell her
That you have no love to give her
Then she gets you on her wavelength
And she lets the river answer
That you've always been her lover

And you want to travel with her
And you want to travel blind
And you know that she will trust you
For you've touched her perfect body with your mind

And Jesus was a sailor
When he walked upon the water
And he spent a long time watching
From his lonely wooden tower
And when he knew for certain
Only drowning men could see him
He said, ""All men will be sailors then
Until the sea shall free them""
But he himself was broken
Long before the sky would open
Forsaken, almost human
He sank beneath your wisdom like a stone

And you want to travel with him
And you want to travel blind
And you think maybe you'll trust him
For he's touched your perfect body with his mind

Now Suzanne takes your hand
And she leads you to the river
She is wearing rags and feathers
From Salvation Army counters
And the sun pours down like honey
On our lady of the harbour
And she shows you where to look
Among the garbage and the flowers
There are heroes in the seaweed
There are children in the morning
They are leaning out for love
And they will lean that way forever
While Suzanne holds the mirror

And you want to travel with her
And you want to travel blind
And you know you can trust her
For she's touched your perfect body with her mind"
"4","You Want It Darker","Leonard Cohen","The Flame","","September 21, 2016","333439","232","55","","https://genius.com/Leonard-cohen-you-want-it-darker-lyrics","2863100","If you are the dealer
I'm out of the game
If you are the healer
It means I'm broken and lame
If thine is the glory then
Mine must be the shame
You want it darker
We kill the flame

Magnified, sanctified
Be thy holy name
Vilified, crucified
In the human frame
A million candles burning
For the help that never came
You want it darker

Hineni, hineni
I'm ready, my Lord

There's a lover in the story
But the story's still the same
There's a lullaby for suffering
And a paradox to blame
But it's written in the scriptures
And it's not some idle claim
You want it darker
We kill the flame

They're lining up the prisoners
And the guards are taking aim
I struggled with some demons
They were middle-class and tame
I didn't know I had permission
To murder and to maim
You want it darker

Hineni, hineni
I'm ready, my Lord

Magnified, sanctified
Be thy holy name
Vilified, crucified
In the human frame
A million candles burning
For the love that never came
You want it darker
We kill the flame

If you are the dealer
Let me out of the game
If you are the healer
I'm broken and lame
If thine is the glory
Mine must be the shame
You want it darker

Hineni, hineni
Hineni, hineni
I'm ready, my Lord

Hineni
Hineni, hineni
Hineni"
"5","Chelsea Hotel No. 2","Leonard Cohen","The Essential Leonard Cohen","","August 11, 1974","278531","258","32","","https://genius.com/Leonard-cohen-chelsea-hotel-no-2-lyrics","99536","I remember you well in the Chelsea Hotel
You were talking so brave and so sweet
Givin' me head on the unmade bed
While the limousines wait in the street
Those were the reasons, that was New York
We were runnin' for the money and the flesh
And that was called love for the workers in song
Probably still is for those of them left

Now but you got away, didn't you babe?
You just turned your back on the crowd
You got away, I never once heard you say
I need you, I don't need you
I need you, I don't need you
And all of that jivin' around

And I remember you well in the Chelsea Hotel
You were famous, your heart was a legend
You told me again, you preferred handsome men
But for me you would make an exception
And clenching your fist for the ones like us
Who are oppressed by the figures of beauty
You fixed yourself, you said, ""Well, never mind
We are ugly but we have the music""

And then you got away didn't you baby?
You just turned your back on the crowd
You got away I never once heard you say
I need you, I don't need you
I need you, I don't need you
And all of that jivin' around

I don't mean to suggest that I loved you the best
I can't keep track of each fallen robin
I remember you well in the Chelsea Hotel
That's all, I don't even think of you that often"
"6","Famous Blue Raincoat","Leonard Cohen","The Essential Leonard Cohen","","March 19, 1971","252097","282","32","","https://genius.com/Leonard-cohen-famous-blue-raincoat-lyrics","136163","It's four in the morning, the end of December
I'm writing you now just to see if you're better
New York is cold, but I like where I'm living
There's music on Clinton Street all through the evening
I hear that you're building your little house deep in the desert
You're living for nothing now,  I hope you're keeping some kind of record

Yes, and Jane came by with a lock of your hair
She said that you gave it to her
That night that you planned to go clear
Did you ever go clear?

Oh, the last time we saw you you looked so much older
Your famous blue raincoat was torn at the shoulder
You'd been to the station to meet every train
Then you came home without Lili Marlene
And you treated my woman to a flake of your life
And when she came back, she was nobody's wife

Well, I see you there with the rose in your teeth
One more thin gypsy thief
Well, I see Jane's awake
She sends her regards

And what can I tell you my brother, my killer?
What can I possibly say?
I guess that I miss you. I guess I forgive you
I'm glad you stood in my way
If you ever come by here for Jane or for me
Well, your enemy is sleeping and his woman is free

Yes, and thanks for the trouble you took from her eyes
I thought it was there for good, so I never tried
And Jane came by with a lock of your hair
She said that you gave it to her
That night that you planned to go clear
Sincerely, L. Cohen"
"7","Everybody Knows","Leonard Cohen","The Essential Leonard Cohen","","February 2, 1988","209904","338","64","","https://genius.com/Leonard-cohen-everybody-knows-lyrics","147222","Everybody knows that the dice are loaded
Everybody rolls with their fingers crossed
Everybody knows the war is over
Everybody knows the good guys lost
Everybody knows the fight was fixed
The poor stay poor, the rich get rich
That's how it goes
Everybody knows

Everybody knows that the boat is leaking
Everybody knows the captain lied
Everybody got this broken feeling
Like their father or their dog just died
Everybody talking to their pockets
Everybody wants a box of chocolates
And a long-stem rose
Everybody knows

And everybody knows that you love me baby
Everybody knows that you really do
Everybody knows that you've been faithful
Ah, give or take a night or two
Everybody knows you've been discreet
But there were so many people you just had to meet
Without your clothes
And everybody knows

Everybody knows, everybody knows
That's how it goes
Everybody knows
Everybody knows, everybody knows
That's how it goes
Everybody knows

And everybody knows that it's now or never
Everybody knows that it's me or you
And everybody knows that you live forever
Ah, when you've done a line or two
Everybody knows the deal is rotten
Old Black Joe's still picking cotton
For your ribbons and bows
And everybody knows

And everybody knows that the plague is coming
Everybody knows that it's moving fast
Everybody knows that the naked man and woman
Are just a shining artifact of the past
Everybody knows the scene is dead
But there's gonna be a meter on your bed
That will disclose
What everybody knows

And everybody knows that you're in trouble
Everybody knows what you've been through
From the bloody cross on top of Calvary
To the beach of Malibu
Everybody knows it's coming apart
Take one last look at this Sacred Heart
Before it blows
And everybody knows

Everybody knows, everybody knows
That's how it goes
Everybody knows
Everybody knows, everybody knows
That's how it goes
Oh, everybody knows
Everybody knows, everybody knows
That's how it goes
Everybody knows
Everybody knows, everybody knows"
"8","Dance Me to the End of Love","Leonard Cohen","Greatest Hits","","December 11, 1984","196709","227","25","","https://genius.com/Leonard-cohen-dance-me-to-the-end-of-love-lyrics","166221","Dance me to your beauty with a burning violin
Dance me through the panic 'til I'm gathered safely in
Lift me like an olive branch and be my homeward dove
Dance me to the end of love
Dance me to the end of love

Oh, let me see your beauty when the witnesses are gone
Let me feel you moving like they do in Babylon
Show me slowly what I only know the limits of
Oh, dance me to the end of love
Dance me to the end of love

Dance me to the wedding now, oh, dance me on and on
Dance me very tenderly and dance me very long
We're both of us beneath our love, we're both of us above
Dance me to the end of love
Dance me to the end of love

Dance me to the children who are asking to be born
Dance me through the curtains that our kisses have outworn
Raise a tent of shelter now, though every thread is torn
Dance me to the end of love

Dance me to your beauty with a burning violin
Dance me through the panic 'til I'm gathered safely in
Touch me with your naked hand, touch me with your glove
Dance me to the end of love
Dance me to the end of love
Dance me to the end of love"
"9","Anthem","Leonard Cohen","The Essential Leonard Cohen","","November 24, 1992","195437","256","53","","https://genius.com/Leonard-cohen-anthem-lyrics","191804","The birds they sang
Break of day
Start again
I heard them say
Don't dwell on what
Has passed away
Or what is yet to be

Yeah, the wars
They will be fought again
The holy dove
She will be caught again
Bought and sold
And bought again
The dove is never free

Ring the bells that still can ring
Forget your perfect offering
There is a crack, a crack in everything
That's how the light gets in

We asked for signs
The signs were sent
The birth betrayed
The marriage spent
Yeah, the widowhood
Of every government
Signs for all to see

I can't run no more
With that lawless crowd
While the killers in high places
Say their prayers out loud
But they've summoned
They've summoned up a thundercloud
They're gonna hear from me

Ring the bells that still can ring
Forget your perfect offering
There is a crack, a crack in everything
That's how the light gets in

You can add up the parts
You won't have the sum
You can strike up the march
There is no drum
Every heart
Every heart to love will come
But like a refugee

Ring the bells that still can ring
Forget your perfect offering
There is a crack, a crack in everything
That's how the light gets in
Ring the bells that still can ring
Forget your perfect offering
There is a crack, a crack in everything
That's how the light gets in
That's how the light gets in
That's how the light gets in"
"10","The Future","Leonard Cohen","The Essential Leonard Cohen","","November 24, 1992","164944","516","83","","https://genius.com/Leonard-cohen-the-future-lyrics","162465","Give me back my broken night, my mirrored room, my secret life
It's lonely here, there's no one left to torture
Give me absolute control over every living soul
And lie beside me, baby, that's an order!

Give me crack and anal sex, take the only tree that's left
And stuff it up the hole in your culture
Give me back the Berlin Wall, give me Stalin and St. Paul
I've seen the future, brother, it is murder

Things are going to slide
(slide)

in all directions
Won't be nothing
(won't be nothing)
, nothing
you can measure anymoreThe blizzard, the blizzard of the world has crossed the threshold
And it's overturned the order of the soul
When they said
(they said)
repent
(repent)
, repent
(repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)
I wonder what they meant

You don't know me from the wind, you never will, you never did
I'm the little Jew who wrote the Bible
I've seen the nations rise and fall, I've heard their stories, heard them all
But love's the only engine of survival

Your servant here, he has been told to say it clear, to say it cold
It's over, it ain't going any further
And now the wheels of Heaven stop, you feel the devil's riding crop
Get ready for the future: It is murder

Things are going to slide
(slide)

in all directions
Won't be nothing
(won't be nothing)
, nothing
you can measure anymoreThe blizzard, the blizzard of the world has crossed the threshold
And it's overturned the order of the soul
When they said
(they said)
repent
(repent)
, repent
(repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)
I wonder what they meant

There'll be the breaking of the ancient Western code
Your private life will suddenly explode
There'll be phantoms, there'll be fires on the road
And the white man dancing

You'll see your woman hanging upside down
Her features covered by her fallen gown
And all the lousy little poets coming round
Trying to sound like Charlie Manson
Yeah, the white man dancing

Give me back the Berlin Wall, give me Stalin and St. Paul
Give me Christ or give me Hiroshima
Destroy another fetus now, we don't like children anyhow
I've seen the future, baby: It is murder

Things are going to slide (slide) in all directions
Won't be nothing (won't be nothing), nothing you can measure anymore
The blizzard, the blizzard of the world has crossed the threshold
And it's overturned the order of the soul
When they said
(they said)
repent
(repent)
, repent
(repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)
I wonder what they meant
When they said (they said) repent (repent), repent (repent)"
