word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,797,50,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; It Seemed the Better Way; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Partisan; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Who by Fire; Winter Lady; You Want It Darker",15.94,True,1
i,i,PRON,660,48,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; It Seemed the Better Way; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Partisan; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Who by Fire; Winter Lady; You Want It Darker",13.75,True,2
you,you,PRON,551,47,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Winter Lady; You Want It Darker",11.72,True,3
and,and,CCONJ,491,49,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Partisan; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Who by Fire; Winter Lady; You Want It Darker",10.02,True,4
to,to,ADP,382,49,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; It Seemed the Better Way; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Partisan; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Winter Lady; You Want It Darker",7.8,True,5
a,a,DET,315,46,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; Is This What You Wanted; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Partisan; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Winter Lady; You Want It Darker",6.85,True,6
it,it,PRON,261,41,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Avalanche; Bird on the Wire; Closing Time; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; It Seemed the Better Way; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Story of Isaac; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Winter Lady; You Want It Darker",6.37,True,7
s,be,AUX,249,42,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Chelsea Hotel No. 2; Closing Time; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; In My Secret Life; Is This What You Wanted; It Seemed the Better Way; I’m Your Man; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Thanks for the Dance; The Future; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Who by Fire; You Want It Darker",5.93,True,8
of,of,ADP,241,49,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Happens to the Heart; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; It Seemed the Better Way; I’m Your Man; Joan of Arc; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Story of Isaac; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Partisan; The Stranger Song; Tower of Song; Traveling Light; Treaty; Waiting for the Miracle; Who by Fire; Winter Lady; You Want It Darker",4.92,True,9
that,that,SCONJ,230,42,"A Thousand Kisses Deep; A Thousand Kisses Deep (spoken word); Anthem; Avalanche; Bird on the Wire; Chelsea Hotel No. 2; Closing Time; Dance Me to the End of Love; Death of a Ladies’ Man; Democracy; Dress Rehearsal Rag; Everybody Knows; Famous Blue Raincoat; First We Take Manhattan; Hallelujah; Hey, That’s No Way to Say Goodbye; If I Didn’t Have Your Love; If It Be Your Will; In My Secret Life; Is This What You Wanted; I’m Your Man; Last Year’s Man; Leaving the Table; Lover Lover Lover; Master Song; Nevermind; On the Level; One of Us Cannot Be Wrong; Passing Through; Sisters of Mercy; So Long, Marianne; Steer Your Way; Suzanne; Take This Waltz; Teachers; Thanks for the Dance; The Future; The Stranger Song; Tower of Song; Treaty; Waiting for the Miracle; You Want It Darker",5.48,True,10
