"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Old Town Road (Remix)","Lil Nas X","7","","April 5, 2019","5836717","312","48","Billy Ray Cyrus","https://genius.com/Lil-nas-x-old-town-road-remix-lyrics","4445394","Oh, oh-oh
Oh

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more (
Kio, Kio
)

I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more

Hat down, cross town, livin' like a rockstar
Spent a lot of money on my brand new guitar
Baby's got a habit: diamond rings and Fendi sports bras
Ridin' down Rodeo in my Maserati sports car
Got no stress, I've been through all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride 'til I can't no more

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more"
"2","Old Town Road","Lil Nas X","7","","December 3, 2018","2662833","203","36","","https://genius.com/Lil-nas-x-old-town-road-lyrics","4133841","Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
(
Kio, Kio
)

I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the hor-"
"3","MONTERO (Call Me By Your Name)","Lil Nas X","MONTERO","","March 26, 2021","2637980","377","47","","https://genius.com/Lil-nas-x-montero-call-me-by-your-name-lyrics","5751286","I caught it bad yesterday
You hit me with a call to your place
Ain't been out in a while anyway
Was hopin' I could catch you throwin' smiles in my face
Romantic talkin'? You don't even have to try
You're cute enough to fuck with me tonight
Lookin' at the table, all I see is weed and white
Baby, you livin' the life, but nigga, you ain't livin' right

Cocaine and drinkin' with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Mm, mm, mm
Mm, mm, mm

Ayy, ayy
I wanna sell what you're buyin'
I wanna feel on your ass in Hawaii
I want that jet lag from fuckin' and flyin'
Shoot a child in your mouth while I'm ridin'
Oh, oh, oh, why me?
A sign of the times every time that I speak
A dime and a nine, it was mine every week
What a time, an incline, God was shinin' on me
Now I can't leave
And now I'm actin' hella elite
Never want the niggas that's in my league
I wanna fuck the ones I envy, I envy

Cocaine and drinkin' with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Oh, call me by your name (Mm, mm, mm)
Tell me you love me in private
Call me by your name (Mm, mm, mm)
I do not care if you're lyin'

Uh, well, I'm just feeling, mm-uh
I wanna get, mm-uh
I'm in my, into my, uh, I'm, mm
Mm, I'm still money, mm-mm, ooh"
"4","INDUSTRY BABY","Lil Nas X","MONTERO","","July 23, 2021","2463515","615","73","","https://genius.com/Lil-nas-x-and-jack-harlow-industry-baby-lyrics","6083409","(
D-D-Daytrip took it to ten, hey
)
Baby back, ayy, couple racks, ayy
Couple Grammys on him, couple plaques, ayy
That's a fact, ayy, throw it back, ayy
Throw it back, ayy

And this one is for the champions
I ain't lost since I began, yeah
Funny how you said it was the end, yeah
Then I went did it again, yeah

I told you long ago on the road
I got what they waiting for
I don't run from nothing, dog
Get your soldiers, tell 'em I ain't layin' low
You was never really rooting for me anyway
When I'm back up at the top, I wanna hear you say
He don't run from nothin', dog
Get your soldiers, tell 'em that the break is over

Uh, need to, uh
Need to get this album done
Need a couple number onеs
Need a plaque on every song
Need mе like one with Nicki now
Tell a rap nigga I don't see ya, hah
I'm a pop nigga like Bieber, hah
I don't fuck bitches, I'm queer, hah
But these niggas bitches like Madea, yeah, yeah, yeah, ayy (Yeah)
Oh, let's do it
I ain't fall off, I just ain't release my new shit
I blew up, now everybody tryna sue me
You call me Nas, but the hood call me Doobie, yeah

And this one is for the champions
I ain't lost since I began, yeah
Funny how you said it was the end, yeah
Then I went did it again, yeah

I told you long ago on the road
I got what they waiting for (I got what they're waiting for)
I don't run from nothing, dog
Get your soldiers, tell 'em I ain't layin' low (Bitch, I ain't runnin' from nowhere)
You was never really rooting for me anyway (Ooh, ooh)
When I'm back up at the top, I wanna hear you say (Ooh, ooh)
He don't run from nothin', dog
Get your soldiers, tell 'em that the break is over (Yeah)

My track record so clean, they couldn't wait to just bash me
I must be gettin' too flashy, y'all shouldn't have let the world gas me (Woo)
It's too late 'cause I'm here to stay and these girls know that I'm nasty (Mmm)
I sent her back to her boyfriend with my handprint on her ass cheek
City talkin', we takin' notes
Tell 'em all to keep makin' posts
Wish he could, but he can't get close
OG so proud of me that he chokin' up while he makin' toasts
I'm the type that you can't control, said I would, then I made it so
I don't clear up rumors (Ayy), where's y'all sense of humor? (Ayy)
I'm done makin' jokes 'cause they got old like baby boomers
Turned my haters to consumers, I make vets feel like they juniors (Juniors)
Say your time is comin' soon, but just like Oklahoma (Mmm)
Mine is comin' sooner (Mmm), I'm just a late bloomer (Mmm)
I didn't peak in high school, I'm still out here gettin' cuter (Woo)
All these social networks and computers
Got these pussies walkin' 'round like they ain't losers

I told you long ago on the road
I got what they waiting for (I got what they waiting for)
I don't run from nothing, dog
Get your soldiers, tell 'em I ain't layin' low (Bitch, I ain't runnin' from nowhere)
You was never really rooting for me anyway
When I'm back up at the top, I wanna hear you say
He don't run from nothin', dog
Get your soldiers, tell 'em that the break is over

Yeah
I'm the industry baby, mmm
I'm the industry baby
Yeah"
"5","Panini","Lil Nas X","7","","June 20, 2019","1226775","217","30","","https://genius.com/Lil-nas-x-panini-lyrics","4442107","D-D-Daytrip took it to ten (
Hey
)

Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny? I
It's a dream, he wished it on a genie
I got fans finally, ain't you wanting them to see me? I

I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied

Just say to me what you want from me
Just say to me what you want from me

Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny now?
Now they need me, number one on streaming
Oh yeah, you used to love me
So what happened, what's the meaning? I

I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied

Now when it's all done, I get the upper hand
I need a big Benz, not another fan
But I still want you as a fan
I'ma need to sit down, don't mean to make demands
But I need you to...

Say to me what you want from me
Just say to me what you want from me

D-D-Daytrip took it to ten (
Hey
)"
"6","HOLIDAY","Lil Nas X","Bravo Hits, Vol. 112","","November 13, 2020","656846","412","52","","https://genius.com/Lil-nas-x-holiday-lyrics","6149533","T-T-Tay Keith, took it to ten (
Hey
)

Ayy, it's a holiday
I got hoes on hoes and they out of control, yeah
Ayy, this another one
All my niggas on go and I hope that you know it
I can't even close my eyes
And I don't know why, guess I don't like surprises
I can't even stay away from the game that I play
They gon' know us today, yeah

Ayy, can I pop shit? (Pop, pop, pop)
I might bottom on the low, but I top shit (But I top shit)
Switch the genre on you hoes, do a rock hit (Mmm)
I got the biggest damn song, fuck the charts, sis, I don't need 'em

They wanna know if I'll be lastin'
Bitch, even if I started floppin', there'd be fashion
Poppin' up in movies, ain't no Nasy, bitch, it's Ashton
Hee, hee, I'm bad as Michael Jackson
Dun, dun, dun

Ayy, it's a holiday
I got hoes on hoes and they out of control, yeah
Ayy, this another one
All my niggas on go and I hope that you know it
I can't even close my eyes
And I don't know why, guess I don't like surprises
I can't even stay away from the game that I play
They gon' know us today, yeah

Man, I snuck into the game, came in on a horse
I pulled a gimmick, I admit it, I got no remorse
Nobody tried to let me in, nobody opened doors
I kicked the motherfuckers down, they didn't have a choice
Dun, dun, dun
They tried to next me, ayy, but I'm blessed, see
Ayy, no flex, but my checks givin' vet tease
Ayy, and I'm sexy (Ayy), they wanna sext me
Pop star, but the rappers still respect me

They wanna know if I'll be lastin'
Bitch, even if I started floppin', there'd be fashion
Poppin' up in movies, ain't no Nasy, bitch, it's Ashton
Hee, hee, I'm bad as Michael Jackson
Dun, dun, dun

Ayy, it's a holiday
I got hoes on hoes and they out of control, yeah
Ayy, this another one
All my niggas on go and I hope that you know it
I can't even close my eyes
And I don't know why, guess I don't like surprises
I can't even stay away from the game that I play
They gon' know us today, yeah

Tay Keith, fuck these niggas up
Daytrip took it to ten (Hey)"
"7","THATS WHAT I WANT","Lil Nas X","MONTERO","","September 17, 2021","578867","331","43","","https://genius.com/Lil-nas-x-thats-what-i-want-lyrics","7105950","One, two, three, four

Need a boy who can cuddle with me all night
Keep me warm, love me long, be my sunlight
Tell me lies, we can argue, we can fight
Yeah, we did it before, but we'll do it tonight
That afro, black boy with the gold teeth
He dark skin, lookin' at me like he know me
I wonder if he got the G or the B
Let me find out and see, he comin' over to me, yeah

These days, I'm way too lonely
I'm missin' out, I know
These days, I'm way too alone
And I'm known for givin' love away, but

I want someonе to love me
I need someonе who needs me
'Cause it don't feel right when it's late at night
And it's just me and my dreams
So I want someone to love
That's what I fuckin' want

Look, you know it's harder to find in these times
But I got nothin' but love on my mind (My mind)
I need a baby while I'm in my prime
Need an adversary to my down and weary
Like, tell me ""That's life"" when I'm stressin' at night
Be like, ""You'll be okay"" and ""Everything's alright,"" uh
Let me in that thing, 'cause I'm not wanting anything
But your loving, your body, and a little bit of your brain

These days, I'm way too lonely
I'm missin' out, I know
These days, I'm way too alone
And I'm known for givin' love away, but

I want someone to love me
I need someone who needs me
'Cause it don't feel right when it's late at night
And it's just me and my dreams
So I want someone to love
That's what I fuckin' want
I want someone to love me
I need someone who needs me
'Cause it don't feel right when it's late at night
And it's just me and my dreams
So I want someone to love
That's what I fuckin' want"
"8","Rodeo","Lil Nas X","7","","June 21, 2019","526969","417","42","","https://genius.com/Lil-nas-x-and-cardi-b-rodeo-lyrics","4521568","Daytrip took it to 10 (Hey)

Oh, here we go, please let me know
Off we go, don't leave me in the cold

If I took you everywhere, then well, you wouldn't know how to walk
If I spoke on your behalf, then well, you wouldn't know how to talk
If I gave you everything and everything is what I bought
I can take it all back, I never cared 'bout what you thought

I didn't mean to make you mad, I don't like when you upset
I'ma call you later on, baby girl, don't you forget
I'ma take you from this party, we might go and have some sex
Or we do that later on, now we lit like cigarettes

I thought you would stay with me
I'm yours and you're mine, I envy
So what I'm gon' do?
I don't have no clue, ain't no me without you

Oh, here we go, please let me know
Off we go, don't leave me in the cold

If I took you everywhere, then well, you wouldn't know how to walk
If I spoke on your behalf, then well, you wouldn't know how to talk
If I gave you everything and everything is what I bought
I can take it all back, I never cared 'bout what you thought (Cardi)

Look, gunshot, gunshot
Thought you heard about me, must not, must not
Last nigga did me dirty, dirty
Like a bathroom in a truck stop, truck stop
Now my heart, it feels like Brillo, I'm hard like armadillo
Can't be no nigga ex, I could only be his widow (Woo)
That's a fact, dressed in black, my heart break, bones will crack
I be chilling, watching Oxygen, my favorite show is Snapped
Now you know how I get, every day, a foreign whip
Rather see you in a hearse
Than see you with some other bitch, huh (Woo, woo, woo, woo)

Oh, here we go, please let me know
Off we go, don't leave me in the cold

If I took you everywhere, then well, you wouldn't know how to walk
If I spoke on your behalf, then well, you wouldn't know how to talk
If I gave you everything and everything is what I bought
I can take it all back, I never cared 'bout what you thought

I thought you would stay with me
I'm yours and you're mine, I envy
So what I'm gon' do?
I don't have no clue, ain't no me without you"
"9","C7osure (You Like)","Lil Nas X","7","","June 21, 2019","441602","245","26","","https://genius.com/Lil-nas-x-c7osure-you-like-lyrics","4569339","True say, I want and I need
To let go, use my time to be free
It's like it's always what you like
It's always what you like
Why it's always what you like?
It's always what you like, huh

Ain't no more actin', man, that forecast say I should just let me grow
No more red light for me, baby, only green, I gotta go
Pack my past up in the back, oh, let my future take ahold
This is what I gotta do, can't be regrettin' when I'm old

Brand new places I'll choose and I'll go, I know
Embracin' this news I behold unfolding
I know, I know, I know it don't feel like it's time
But I look back at this moment, I'll see that I'm fine
I know, I know, I know it don't feel like it's time
I set boundaries for myself, it's time to cross the line

True say, I want and I need
To let go, use my time to be free
It's like it's always what you like
It's always what you like
Why it's always what you like?
It's always what you like, uh

Ain't no more actin', man, that forecast say I should just let me grow
No more red light for me, baby, only green, I gotta go
Pack my past up in the back, oh, let my future take ahold
This is what I gotta do, can't be regrettin' when I'm old"
"10","SUN GOES DOWN","Lil Nas X","MONTERO","","May 21, 2021","393431","312","45","","https://genius.com/Lil-nas-x-sun-goes-down-lyrics","6808418","I wanna run away
Don't wanna lie, I don't want a life
Send me a gun and I'll see the sun
I'd rather run away
Don't wanna lie, I don't want a life
Send me a gun and I'll see the sun

You need an instant ease
From your life where you got plenty
Of every hurt and heartbreak (Oh)
You just take it all to the face
I know that you want to cry
But there's much more to life than dyin'
Over your past mistakes (Oh)
And people who threw dirt on your name

Since ten, I been feelin' lonely
Had friends, but they was pickin' on me
Always thinkin', ""Why my lips so big?
Was I too dark? Can they sense my fears?""
These gay thoughts would always haunt me
I prayed God would take it from me
It's hard for you when you're fightin'
And nobody knows it when you're silent
I'd be by the phone
Stanning Nicki mornin' into dawn
Only place I felt like I belonged
Strangers make you feel so loved, you know?
And I'm happy by the way
That I made that jump, that leap of faith
I'm happy that it all worked out for me
I'ma make my fans so proud of me, oh

I wanna run away
Don't wanna lie, I don't want a life
Send me a gun and I'll see the sun
I'd rather run away
Don't wanna lie, I don't want a life
Send me a gun and I'll see the sun

You need an instant ease
From your life where you got plenty
Of every hurt and heartbreak (Oh)
You just take it all to the face
I know that you want to cry
But there's much more to life than dying
Over your past mistakes (Oh)
And people who threw dirt on your name

Ha-ah, ha-ah, no-ah"
