word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1309,49,AM I DREAMING; Bring U Down; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; THE ART OF REALIZATION; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,26.71,True,1
you,you,PRON,697,46,Bring U Down; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; Thanos (Blow It); VOID; need dat boy,15.15,True,2
the,the,DET,485,48,AM I DREAMING; Bring U Down; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,10.1,True,3
n't,not,PART,483,47,Bring U Down; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,10.28,True,4
me,i,PRON,471,47,AM I DREAMING; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; THE ART OF REALIZATION; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,10.02,True,5
m,be,AUX,410,44,AM I DREAMING; Bring U Down; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; LIGHT AGAIN!; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; THE ART OF REALIZATION; Thanos (Blow It); VOID; need dat boy,9.32,True,6
it,it,PRON,386,42,C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road (Lil Wayne Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; THE ART OF REALIZATION; Thanos (Blow It); VOID; Where Do We Go Now?,9.19,True,7
to,to,ADP,357,47,Bring U Down; C7osure (You Like); CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,7.6,True,8
a,a,DET,311,44,Bring U Down; CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; THATS WHAT I WANT; THE ART OF REALIZATION; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,7.07,True,9
on,on,ADP,288,46,AM I DREAMING; CARRY ON; DEAD RIGHT NOW; DOLLA SIGN SLIME; DONT WANT IT; DOWN SOUF HOES; DREAMBOY; Donald Trump; F9mily (You & Me); HERE WE GO!; HOLIDAY; HOLIDAY (Clean); HOTBOX; INDUSTRY BABY; INDUSTRY BABY (Demo); INDUSTRY BABY (EXTENDED); J CHRIST; Kick It; LIFE AFTER SALEM; LIGHT AGAIN!; LOST IN THE CITADEL; Late To Da Party (F*CK BET); MONTERO (Call Me By Your Name); MONTERO (Call Me By Your Name) (Clean); MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION]; ONE OF ME; Old Town Road; Old Town Road (Diplo Remix); Old Town Road (Lil Wayne Remix); Old Town Road (Remix); Old Town Road (Seoul Town Road Remix); Old Town Road (Young Thug & Mason Ramsey Remix); Panini; Panini (DaBaby Remix); RIGHT THERE!; Rodeo; SCOOP; STAR WALKIN’; SUN GOES DOWN; Sonic Shit; TALES OF DOMINICA; THATS WHAT I WANT; Thanos (Blow It); VOID; Where Do We Go Now?; need dat boy,6.26,True,10
