"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","In the End","Linkin Park","Studio Collection 2000-2012","","October 24, 2000","2884063","388","52","","https://genius.com/Linkin-park-in-the-end-lyrics","49719","It starts with one

One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time, all I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away,
it's so unreal
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, d-didn't even know
I wasted it all just to watch you go

I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter

One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To remind myself how I tried so hard
In spite of the way you were mockin' me
Actin' like I was part of your property
Remembering all the times you fought with me
I'm surprised it got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end

You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter

I've put my trust in you
Pushed as far as I can go
For all this, there's only one thing you should know
I've put my trust in you
Pushed as far as I can go
For all this, there's only one thing you should know

I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter"
"2","Numb","Linkin Park","Meteora (20th Anniversary Edition)","","September 8, 2003","1676552","293","35","","https://genius.com/Linkin-park-numb-lyrics","74998","I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
I don't know what you're expecting of me
Put under the pressure of walking in your shoes

Caught in the undertow, just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

Can't you see that you're smothering me?
Holding too tightly, afraid to lose control
'Cause everything that you thought I would be
Has fallen apart, right in front of you

Caught in the undertow, just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow
And every second I waste is more than I can take

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

And I know
I may end up failing too
But I know
You were just like me with someone disappointed in you

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

I've become so numb, I can't feel you there
I'm tired of being what you want me to be
I've become so numb, I can't feel you there
I'm tired of being what you want me to be"
"3","One More Light","Linkin Park","Papercuts","","May 19, 2017","1463546","221","36","","https://genius.com/Linkin-park-one-more-light-lyrics","2990388","Should've stayed, were there signs I ignored?
Can I help you not to hurt anymore?
We saw brilliance when the world was asleep
There are things that we can have but can't keep

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well, I do

The reminders pull the floor from your feet
In the kitchen, one more chair than you need, oh
And you're angry, and you should be, it's not fair
Just 'cause you can't see it doesn't mean it isn't there

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well, I do

(I do)

Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well, I do
Well, I do"
"4","Heavy","Linkin Park","One More Light","","February 16, 2017","1263975","298","48","Kiiara","https://genius.com/Linkin-park-heavy-lyrics","2978797","I don't like my mind right now
Stacking up problems that are so unnecessary
Wish that I could slow things down
I wanna let go but there's comfort in the panic
And I drive myself crazy
Thinking everything's about me
Yeah, I drive myself crazy
'Cause I can't escape the gravity

I'm holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

You say that I'm paranoid
But I'm pretty sure the world is out to get me
It's not like I make the choice
To let my mind stay so fucking messy
I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same

I'm holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same
And I drive myself crazy
Thinking everything's about me

Holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

Why is everything so heavy?
Why is everything so heavy?"
"5","The Emptiness Machine","Linkin Park","From Zero (Deluxe Edition) [Physical Release]","","September 5, 2024","805260","284","38","","https://genius.com/Linkin-park-the-emptiness-machine-lyrics","10842713","Your blades are sharpened with precision
Flashing your favorite point of view
I know you're waiting in the distance
Just like you always do, just like you always do

Already pullin' me in
Already under my skin
And I know exactly how this ends, I

Let you cut me open just to watch me bleed
Gave up who I am for who you wanted me to be
Don't know why I'm hopin' for what I won't receive
Fallin' for the promise of the emptiness machine
The emptiness machine

Goin' around like a revolver
It's been decided how we lose
'Cause there's a fire under the altar
I keep on lyin' to, I keep on lyin' to

Already pullin' me in
Already under my skin
And I know exactly how this ends, I

Let you cut me open just to watch me bleed
Gave up who I am for who you wanted me to be
Don't know why I'm hopin' for what I won't receive
Fallin' for the promise of the emptiness machine

I only wanted to be part of somethin'
I only wanted to be part of, part of
I only wanted to be part of somethin'
I only wanted to be part of, part of
I only wanted to be part of somethin'
I only wanted to be part

I let you cut me open just to watch me bleed
Gave up who I am for who you wanted me to be
Don't know why I'm hopin', so fuckin' naive
Fallin' for the promise of the emptiness machine
The emptiness machine

(I only wanted to be part of somethin')
The emptiness machine, oh
(I only wanted to be part of)
The emptiness machine"
"6","Crawling","Linkin Park","Studio Collection 2000-2012","","March 1, 2001","523488","225","42","","https://genius.com/Linkin-park-crawling-lyrics","72379","Crawling in my skin
These wounds, they will not heal
Fear is how I fall
Confusing what is real

There's something inside me that pulls beneath the surface
Consuming, confusing
This lack of self-control, I fear is never-ending
Controlling, I can't seem

To find myself again, my walls are closing in
Without a sense of confidence
I'm convinced that there's just too much pressure to take
I've felt this way before, so insecure

Crawling in my skin
These wounds, they will not heal
Fear is how I fall
Confusing what is real

Discomfort, endlessly has pulled itself upon me
Distracting (
Distracting
), reacting
Against my will, I stand beside my own reflection (
My own reflection
)
It's haunting (
It's haunting
) how I can't seem

To find myself again, my walls are closing in
Without a sense of confidence
I'm convinced that there's just too much pressure to take
I've felt this way before, so insecure

Crawling in my skin
These wounds, they will not heal
Fear is how I fall
Confusing what is real
Crawling in my skin
These wounds, they will not heal
Fear is how I fall
Confusing, confusing what is real

There's something inside me that pulls beneath the surface
Consuming (Confusing what is real)
This lack of self-control, I fear is never-ending
Controlling (Confusing what is real)"
"7","What I’ve Done","Linkin Park","Studio Collection 2000-2012","","April 2, 2007","480423","182","37","","https://genius.com/Linkin-park-what-ive-done-lyrics","83180","In this farewell
There's no blood, there's no alibi
'Cause I've drawn regret
From the truth of a thousand lies

So let mercy come and wash away

What I've done, I'll face myself
To cross out what I've become
Erase myself
And let go of what I've done

Put to rest
What you thought of me
While I clean this slate
With the hands of uncertainty

So let mercy come and wash away

What I've done, I'll face myself
To cross out what I've become
Erase myself
And let go of what I've done

For what I've done, I start again
And whatever pain may come
Today this ends
I'm forgiving what I've

Done, I'll face myself
To cross out what I've become
Erase myself
And let go of what I've done

[Outro: Mike Shinoda &
Chester Bennington
]
(Na-na na na, na-na na na)
(Na-na na na, na-na na na)
What I've done
(Na-na na na, na-na na na)
(Na-na na na, na-na na na)
Forgiving what I've done
(Na-na na na, na-na na na)
(Na-na na na, na-na na na)"
"8","Breaking the Habit","Linkin Park","Meteora (20th Anniversary Edition)","","June 14, 2004","445317","262","32","","https://genius.com/Linkin-park-breaking-the-habit-lyrics","56658","Memories consume like opening the wound
I'm picking me apart again
You all assume I'm safe here in my room
Unless I try to start again

I don't want to be the one the battles always choose
'Cause inside, I realize that I'm the one confused

I don't know what's worth fighting for or why I have to scream
I don't know why I instigate and say what I don't mean
I don't know how I got this way, I know it's not alright
So I'm breaking the habit
I'm breaking the habit tonight

Clutching my cure, I tightly lock the door
I try to catch my breath again
I hurt much more than anytime before
I had no options left again

I don't want to be the one the battles always choose
'Cause inside, I realize that I'm the one confused

I don't know what's worth fighting for or why I have to scream
I don't know why I instigate and say what I don't mean
I don't know how I got this way, I'll never be alright
So I'm breaking the habit
I'm breaking the habit tonight

I'll paint it on the walls
'Cause I'm the one at fault
I'll never fight again
And this is how it ends

I don't know what's worth fighting for or why I have to scream
But now I have some clarity to show you what I mean
I don't know how I got this way, I'll never be alright
So I'm breaking the habit
I'm breaking the habit
I'm breaking the habit tonight"
"9","Somewhere I Belong","Linkin Park","Meteora (20th Anniversary Edition)","","March 17, 2003","378869","400","61","","https://genius.com/Linkin-park-somewhere-i-belong-lyrics","85506","(
When this began
) I had nothin' to say
And I'd get lost in the nothingness inside of me
(
I was confused
) And I let it all out to find
That I'm not the only person with these things in mind
(
Inside of me
) But all the vacancy the words revealed
Is the only real thing that I've got left to feel
(
Nothing to lose
) Just stuck, hollow, and alone
And the fault is my own, and the fault is my own

I wanna heal, I wanna feel
What I thought was never real
I wanna let go of the pain I've held so long
Erase all the pain 'til it's gone
I wanna heal, I wanna feel
Like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong

And I've got nothin' to say
I can't believe I didn't fall right down on my face
(
I was confused
) Lookin' everywhere only to find
That it's not the way I had imagined it all in my mind
(So what am I?) What do I have but negativity?
'Cause I can't justify the way everyone is lookin' at me
(
Nothing to lose
) Nothin' to gain, hollow, and alone
And the fault is my own, and the fault is my own

I wanna heal, I wanna feel
What I thought was never real
I wanna let go of the pain I've held so long
Erase all the pain 'til it's gone
I wanna heal, I wanna feel
Like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong

I will never know myself until I do this on my own
And I will never feel anything else until my wounds are healed
I will never be anything 'til I break away from me
I will break away, I'll find myself today

I wanna heal, I wanna feel
What I thought was never real
I wanna let go of the pain I've held so long
Erase all the pain 'til it's gone
I wanna heal, I wanna feel
Like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong

I wanna heal, I wanna feel like I'm
Somewhere I belong
I wanna heal, I wanna feel like I'm
Somewhere I belong
Somewhere I belong"
"10","Faint","Linkin Park","Meteora (20th Anniversary Edition)","","June 9, 2003","374485","351","47","","https://genius.com/Linkin-park-faint-lyrics","134095","I am a little bit of loneliness
A little bit of disregard
Handful of complaints, but I can't help the fact
That everyone can see these scars
I am what I want you to want
What I want you to feel
But it's like no matter what I do, I can't convince you
To just believe this is real

So I let go, watchin' you
Turn your back like you always do
Face away and pretend that I'm not
But I'll be here 'cause you're all that I've got

I can't feel the way I did before
Don't turn your back on me, I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me, I won't be ignored

I am a little bit insecure
A little unconfident
'Cause you don't understand, I do what I can
But sometimes, I don't make sense
I am what you never wanna say
But I've never had a doubt
It's like no matter what I do, I can't convince you
For once, just to hear me out

So I let go, watchin' you
Turn your back like you always do
Face away and pretend that I'm not
But I'll be here 'cause you're all that I've got

I can't feel the way I did before
Don't turn your back on me, I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me, I won't be ignored

No, hear me out now
You're gonna listen to me, like it or not
Right now, hear me out now
You're gonna listen to me, like it or not
Right now

I can't feel the way I did before
Don't turn your back on me, I won't be ignored

I can't feel the way I did before
Don't turn your back on me, I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me, I won't be ignored

I can't feel
Don't turn your back on me, I won't be ignored
Time won't heal
Don't turn your back on me, I won't be ignored"
"11","Battle Symphony","Linkin Park","One More Light","","March 17, 2017","350306","245","48","","https://genius.com/Linkin-park-battle-symphony-lyrics","2990380","I got a long way to go
And a long memory
I been searching for an answer
Always just out of reach
Blood on the floor
Sirens repeat
I been searching for the courage
To face my enemies

When they turn down the lights

I hear my battle symphony
All the world in front of me
If my armor breaks
I'll fuse it back together
Battle symphony
Please just don't give up on me
And my eyes are wide awake
For my battle symphony
For my battle symphony

They say that I don't belong
Say that I should retreat
That I'm marching to the rhythm
Of a lonesome defeat
But the sound of your voice
Puts the pain in reverse
No surrender, no illusions
And for better or worse

When they turn down the lights

I hear my battle symphony
All the world in front of me
If my armor breaks
I'll fuse it back together
Battle symphony
Please just don't give up on me
And my eyes are wide awake

If I fall, get knocked down
Pick myself up off the ground
If I fall, get knocked down
Pick myself up off the ground

When they turn down the lights

I hear my battle symphony
All the world in front of me
If my armor breaks
I'll fuse it back together
Battle symphony
Please just don't give up on me
And my eyes are wide awake
For my battle symphony
For my battle symphony"
