word,exclusion_category
​goes,PARSE_ERROR
ahora,FOREIGN
akira,PROPER_NOUN
atención,FOREIGN
ayo,SOUND_EFFECT
ayy,SOUND_EFFECT
banksy,PROPER_NOUN
bennington,ARTIST_NAME
bhagavad,PROPER_NOUN
bla,SOUND_EFFECT
brad,PROPER_NOUN
brokеn,PARSE_ERROR
bullsh,PARSE_ERROR
bеnd,PARSE_ERROR
chester,ARTIST_NAME
da,SOUND_EFFECT
delson,ARTIST_NAME
di,SOUND_EFFECT
dne,PARSE_ERROR
dnif,PARSE_ERROR
dniwnu,PARSE_ERROR
elpoep,PARSE_ERROR
emwe,PARSE_ERROR
en,FOREIGN
er'ew,PARSE_ERROR
escuchénme,FOREIGN
gente,FOREIGN
gnihtyreve,PARSE_ERROR
hahahahaha,SOUND_EFFECT
hahn,PROPER_NOUN
havе,PARSE_ERROR
hctaw,PARSE_ERROR
jones,PROPER_NOUN
kaerb,PARSE_ERROR
kane,PROPER_NOUN
krylon,PROPER_NOUN
kurt,PROPER_NOUN
kutmasta,ARTIST_NAME
lauryn,PROPER_NOUN
linkin,ARTIST_NAME
ll'uoy,PARSE_ERROR
lla,PARSE_ERROR
mandem,SLANG
maxe,PARSE_ERROR
mismo,FOREIGN
mochiagete,FOREIGN
nwod,PARSE_ERROR
nworf,PARSE_ERROR
ohw,PARSE_ERROR
partie,FOREIGN
preste,FOREIGN
reven,PARSE_ERROR
rеmember,PARSE_ERROR
sah,SOUND_EFFECT
samе,PARSE_ERROR
sh,SOUND_EFFECT
shinoda,ARTIST_NAME
sidеs,PARSE_ERROR
sllaf,PARSE_ERROR
tfel,PARSE_ERROR
thе,PARSE_ERROR
thеn,PARSE_ERROR
thеre,PARSE_ERROR
toda,FOREIGN
todo,FOREIGN
tokihanashite,FOREIGN
trapa,PARSE_ERROR
tuo,PARSE_ERROR
vishnu,PROPER_NOUN
we'rе,PARSE_ERROR
witte,PROPER_NOUN
wе're,PARSE_ERROR
yoko,PROPER_NOUN
yllaut,PARSE_ERROR
yllautneve,PARSE_ERROR
