word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1775,96,"A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; CASTLE OF GLASS; Casualty; Crawling; Cure for the Itch; Cut the Bridge; Don’t Stay; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; IN MY REMAINS; In Between; In Pieces; In the End; Invisible; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; LOST IN THE ECHO; Leave Out All the Rest; Let You Fade; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; New Divide; No More Sorrow; Nobody Can Save Me; Nobody’s Listening; Numb; One More Light; One Step Closer; Over Each Other; Overflow; P5hng Me A*wy; POWERLESS; Papercut; Points of Authority; Pushing Me Away; QWERTY; ROADS UNTRAVELED; Rebellion; Runaway; Shadow of the Day; Sharp Edges; She Couldn’t; Somewhere I Belong; Sorry For Now; Stained; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; The Radiance; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",18.49,True,1
the,the,DET,1351,96,"A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; CASTLE OF GLASS; Casualty; Crawling; Cure for the Itch; Cut the Bridge; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; IN MY REMAINS; In Between; In Pieces; In the End; Invisible; Iridescent; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; LOST IN THE ECHO; Leave Out All the Rest; Let You Fade; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; New Divide; Nobody Can Save Me; Nobody’s Listening; Numb; One More Light; One Step Closer; Over Each Other; Overflow; P5hng Me A*wy; POWERLESS; Papercut; Points of Authority; Pushing Me Away; QWERTY; ROADS UNTRAVELED; Rebellion; Robot Boy; Runaway; Shadow of the Day; Sharp Edges; She Couldn’t; Somewhere I Belong; Sorry For Now; Stained; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; The Messenger; The Radiance; Two Faced; UNTIL IT BREAKS; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",14.07,True,2
you,you,PRON,1291,89,A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; CASTLE OF GLASS; Casualty; Cure for the Itch; Cut the Bridge; Don’t Stay; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; In Between; In Pieces; In the End; Invisible; Iridescent; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; LOST IN THE ECHO; Leave Out All the Rest; Let You Fade; Looking For An Answer (Live 2017); Lying from You; More the Victim; My December; New Divide; No More Sorrow; Nobody Can Save Me; Nobody’s Listening; Numb; One More Light; One Step Closer; Over Each Other; P5hng Me A*wy; POWERLESS; Papercut; Points of Authority; Pushing Me Away; QWERTY; ROADS UNTRAVELED; Robot Boy; Runaway; Shadow of the Day; Sharp Edges; She Couldn’t; Sorry For Now; Stained; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; The Messenger; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; With You; Wretches and Kings,14.51,True,3
to,to,PART,928,96,"A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; CASTLE OF GLASS; Casualty; Crawling; Cure for the Itch; Cut the Bridge; Don’t Stay; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; IN MY REMAINS; In Between; In Pieces; In the End; Invisible; Iridescent; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; Leave Out All the Rest; Let You Fade; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; New Divide; No More Sorrow; Nobody Can Save Me; Nobody’s Listening; Numb; One More Light; One Step Closer; Over Each Other; Overflow; P5hng Me A*wy; POWERLESS; Papercut; Points of Authority; Pushing Me Away; QWERTY; Rebellion; Robot Boy; Shadow of the Day; Sharp Edges; She Couldn’t; Somewhere I Belong; Sorry For Now; Stained; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; The Messenger; The Radiance; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",9.67,True,4
it,it,PRON,702,79,A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; Casualty; Crawling; Cure for the Itch; Cut the Bridge; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; In Between; In the End; Invisible; Iridescent; I’LL BE GONE; LIES GREED MISERY; LOST IN THE ECHO; Let You Fade; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; New Divide; Nobody Can Save Me; Nobody’s Listening; One More Light; Over Each Other; Overflow; P5hng Me A*wy; POWERLESS; Papercut; Pushing Me Away; QWERTY; ROADS UNTRAVELED; Robot Boy; Sharp Edges; Somewhere I Belong; Sorry For Now; Stained; The Catalyst; The Emptiness Machine; The Messenger; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; When They Come for Me; With You; Wretches and Kings,8.89,True,5
and,and,CCONJ,595,93,"A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; CASTLE OF GLASS; Cure for the Itch; Cut the Bridge; Don’t Stay; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; IN MY REMAINS; In Between; In Pieces; In the End; Invisible; Iridescent; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; LOST IN THE ECHO; Leave Out All the Rest; Let You Fade; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; New Divide; No More Sorrow; Nobody Can Save Me; Nobody’s Listening; Numb; One More Light; One Step Closer; Over Each Other; Overflow; P5hng Me A*wy; POWERLESS; Points of Authority; QWERTY; ROADS UNTRAVELED; Rebellion; Robot Boy; Runaway; Shadow of the Day; Sharp Edges; Somewhere I Belong; Sorry For Now; Stained; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; The Messenger; The Radiance; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",6.4,True,6
n't,not,PART,572,82,A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Breaking the Habit; Burning in the Skies; By Myself; Casualty; Crawling; Cure for the Itch; Cut the Bridge; Don’t Stay; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); IGYEIH; IN MY REMAINS; In Pieces; In the End; Invisible; I’LL BE GONE; LIES GREED MISERY; LOST IN THE ECHO; Leave Out All the Rest; Let You Fade; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; No More Sorrow; Nobody Can Save Me; Nobody’s Listening; Numb; One More Light; One Step Closer; Over Each Other; Overflow; Papercut; Points of Authority; QWERTY; ROADS UNTRAVELED; Rebellion; Shadow of the Day; Sharp Edges; She Couldn’t; Somewhere I Belong; Sorry For Now; Stained; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Waiting for the End; Wastelands; When They Come for Me; With You; Wretches and Kings,6.98,True,7
me,i,PRON,492,78,"A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; BURN IT DOWN; Battle Symphony; Blackbirds; Bleed It Out; Breaking the Habit; By Myself; CASTLE OF GLASS; Casualty; Crawling; Cut the Bridge; Don’t Stay; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; Friendly Fire; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Hit the Floor; IGYEIH; IN MY REMAINS; In Between; In Pieces; In the End; Iridescent; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; LOST IN THE ECHO; Leave Out All the Rest; Looking For An Answer (Live 2017); Lost; Lying from You; More the Victim; My December; New Divide; Nobody Can Save Me; Nobody’s Listening; Numb; One Step Closer; Over Each Other; Overflow; P5hng Me A*wy; Papercut; Points of Authority; Pushing Me Away; QWERTY; ROADS UNTRAVELED; Runaway; Sharp Edges; Somewhere I Belong; Talking to Myself; The Catalyst; The Emptiness Machine; The Little Things Give You Away; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",6.31,True,8
of,of,ADP,407,75,"A Light That Never Comes; A Line in the Sand; A Place for My Head; Battle Symphony; Blackbirds; Blackout; Bleed It Out; Burning in the Skies; By Myself; CASTLE OF GLASS; Casualty; Crawling; Cut the Bridge; Don’t Stay; Easier to Run; Enth E Nd; Faint; Fighting Myself; Figure.09; Final Masquerade; Forgotten; From the Inside; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; IN MY REMAINS; In Between; In the End; Invisible; Iridescent; Let You Fade; Lost; Lying from You; More the Victim; My December; No More Sorrow; Nobody’s Listening; Numb; One More Light; Over Each Other; Overflow; P5hng Me A*wy; POWERLESS; Papercut; Points of Authority; Pushing Me Away; QWERTY; ROADS UNTRAVELED; Rebellion; Robot Boy; Runaway; Shadow of the Day; Sharp Edges; Somewhere I Belong; Sorry For Now; The Catalyst; The Emptiness Machine; The Radiance; UNTIL IT BREAKS; Up from the Bottom; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",5.43,True,9
s,be,AUX,387,75,"A Light That Never Comes; A Line in the Sand; A Place for My Head; All for Nothing; Blackbirds; Blackout; Breaking the Habit; Burning in the Skies; By Myself; CASTLE OF GLASS; Casualty; Crawling; Cure for the Itch; Cut the Bridge; Easier to Run; Faint; Figure.09; Final Masquerade; Forgotten; Friendly Fire; Given Up; Good Goodbye; Good Things Go; Guilty All the Same; Halfway Right; Hands Held High; Heavy; Heavy Is the Crown; High Voltage; High Voltage (B-Side Rarities); Hit the Floor; IGYEIH; In Between; In Pieces; In the End; Invisible; Iridescent; I’LL BE GONE; Keys to the Kingdom; LIES GREED MISERY; LOST IN THE ECHO; Let You Fade; Looking For An Answer (Live 2017); More the Victim; No More Sorrow; Nobody Can Save Me; Nobody’s Listening; One More Light; Over Each Other; Overflow; P5hng Me A*wy; Papercut; QWERTY; ROADS UNTRAVELED; Rebellion; Robot Boy; Shadow of the Day; She Couldn’t; Somewhere I Belong; Sorry For Now; Stained; Talking to Myself; The Emptiness Machine; Two Faced; UNTIL IT BREAKS; Until It’s Gone; Up from the Bottom; Valentine’s Day; Waiting for the End; Wastelands; What I’ve Done; When They Come for Me; Wisdom, Justice, and Love; With You; Wretches and Kings",5.16,True,10
