word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1151,48,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Don’t Tell Me; Drowned World/Substitute for Love; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Hung Up; I Don’t Give A; I Rise; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Sorry; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,23.98,True,1
you,you,PRON,781,47,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Don’t Cry for Me Argentina; Don’t Tell Me; Drowned World/Substitute for Love; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; Holiday; Hung Up; I Don’t Give A; I Rise; Illuminati; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Sorry; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,16.62,True,2
the,the,DET,524,50,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Don’t Tell Me; Drowned World/Substitute for Love; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Holiday; Hung Up; I Don’t Give A; I Rise; Illuminati; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Sorry; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,10.48,True,3
to,to,PART,455,49,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Don’t Tell Me; Drowned World/Substitute for Love; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Holiday; Hung Up; I Don’t Give A; I Rise; Illuminati; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Sorry; Take a Bow; The Power of Good-Bye; Veni Vidi Vici; Vogue; Who’s That Girl,9.29,True,4
a,a,DET,442,46,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Die Another Day; Don’t Cry for Me Argentina; Don’t Tell Me; Drowned World/Substitute for Love; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Holiday; Hung Up; I Don’t Give A; I Rise; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,9.61,True,5
it,it,PRON,440,45,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Don’t Tell Me; Drowned World/Substitute for Love; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Holiday; Hung Up; I Don’t Give A; I Rise; Illuminati; Into the Groove; Jump; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Sorry; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue,9.78,True,6
s,be,AUX,320,46,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Don’t Tell Me; Erotica; Express Yourself; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Holiday; Hung Up; I Don’t Give A; I Rise; Illuminati; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Sorry; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,6.96,True,7
and,and,CCONJ,301,43,4 Minutes; American Life; Bitch I’m Madonna; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Drowned World/Substitute for Love; Erotica; Express Yourself; Frozen; Future; Girl Gone Wild; Give Me All Your Luvin’; God Control; Holiday; Hung Up; I Don’t Give A; Illuminati; Into the Groove; Jump; Justify My Love; Killers Who Are Partying; La Isla Bonita; Like a Prayer; Like a Virgin; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Sorry; Take a Bow; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,7.0,True,8
me,i,PRON,300,41,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Don’t Cry for Me Argentina; Don’t Tell Me; Erotica; Faz Gostoso; Frozen; Future; Ghosttown; Girl Gone Wild; Give Me All Your Luvin’; God Control; Hung Up; I Don’t Give A; I Rise; Into the Groove; Jump; Justify My Love; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Sorry; Take a Bow; True Blue; Veni Vidi Vici; Who’s That Girl,7.32,True,9
my,my,PRON,273,40,4 Minutes; American Life; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Die Another Day; Don’t Cry for Me Argentina; Drowned World/Substitute for Love; Erotica; Frozen; Future; Girl Gone Wild; Give Me All Your Luvin’; God Control; Hung Up; I Don’t Give A; Into the Groove; Jump; Justify My Love; La Isla Bonita; Like a Prayer; Like a Virgin; Live to Tell; Lucky Star; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Ray of Light; Take a Bow; The Power of Good-Bye; True Blue; Veni Vidi Vici; Who’s That Girl,6.83,True,10
n't,not,PART,265,37,4 Minutes; Bitch I’m Madonna; Borderline; Cherish; Crave; Crazy; Crazy for You; Dark Ballet; Deeper and Deeper; Don’t Cry for Me Argentina; Don’t Tell Me; Erotica; Express Yourself; Future; Girl Gone Wild; Give Me All Your Luvin’; God Control; Hung Up; I Don’t Give A; I Rise; Illuminati; Into the Groove; Jump; Justify My Love; Like a Virgin; Live to Tell; Material Girl; Medellín; Music; Open Your Heart; Papa Don’t Preach; Sorry; The Power of Good-Bye; True Blue; Veni Vidi Vici; Vogue; Who’s That Girl,7.16,True,11
