"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","One","Metallica","...And Justice for All (Remastered Deluxe Box Set)","","August 25, 1988","1595163","235","36","","https://genius.com/Metallica-one-lyrics","86916","Goddamn coward, get your ass out of that trench
Move, move, move, move, move
Get out of here, oh, fuck
We're all fucking trapped here, we're all fucking trapped here

I can't remember anything
Can't tell if this is true or a dream
Deep down inside, I feel the scream
This terrible silence stops me
Now that the war is through with me
I'm waking up, I cannot see
That there's not much left of me
Nothing is real but pain now

Hold my breath as I wish for death
Oh, please, God, wake me

Back in the womb, it's much too real
In pumps life that I must feel
But can't look forward to reveal
Look to the time when I'll live
Fed through the tube that sticks in me
Just like a wartime novelty
Tied to machines that make me be
Cut this life off from me

Hold my breath as I wish for death
Oh, please, God, wake me

Now the world is gone, I'm just one
Oh, God, help me
Hold my breath as I wish for death
Oh, please, God, help me

Darkness, imprisoning me
All that I see, absolute horror
I cannot live, I cannot die
Trapped in myself, body my holding cell
Landmine has taken my sight
Taken my speech, taken my hearing
Taken my arms, taken my legs
Taken my soul, left me with life in Hell"
"2","Nothing Else Matters","Metallica","Metallica (Remastered Deluxe Box Set)","","August 12, 1991","1519247","223","39","","https://genius.com/Metallica-nothing-else-matters-lyrics","108832","So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
And nothing else matters

Never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

Never cared for what they do
Never cared for what they know
But I know

So close, no matter how far
It couldn't be much more from the heart
Forever trusting who we are
And nothing else matters

Never cared for what they do
Never cared for what they know
But I know

I never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

Never cared for what they say
Never cared for games they play
Never cared for what they do
Never cared for what they know
And I know, yeah, yeah

So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
No, nothing else matters"
"3","Enter Sandman","Metallica","Metallica (Remastered Deluxe Box Set)","","July 29, 1991","1441466","244","49","","https://genius.com/Metallica-enter-sandman-lyrics","118766","Say your prayers, little one, don't forget, my son
To include everyone
I tuck you in, warm within, keep you free from sin
'Til the Sandman, he comes

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land

Something's wrong, shut the light, heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars, dreams of dragons' fire
And of things that will bite, yeah

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land, yeah

Now, I lay me down to sleep
Now, I lay me down to sleep
Pray the Lord my soul to keep
Pray the Lord my soul to keep
If I die before I wake
If I die before I wake
Pray the Lord my soul to take
Pray the Lord my soul to take

Hush little baby, don't say a word
And never mind that noise you heard
It's just the beasts under your bed
In your closet, in your head

Exit light
Enter night
Grain of sand
Exit light
Enter night
Take my hand
We're off to never-never land
(Yeah, haha haha)

Oh, yeah-yeah, yo-oh
We're off to never-never land
Take my hand
We're off to never-never land
Take my hand
We're off to never-never land
We're off to never-never land
We're off to never-never land
We're off to never-never land"
"4","Master of Puppets","Metallica","Master of Puppets (Deluxe Box Set)","","March 3, 1986","1118890","331","66","","https://genius.com/Metallica-master-of-puppets-lyrics","58896","End of passion play, crumbling away
I'm your source of self-destruction
Veins that pump with fear, sucking darkest clear
Leading on your death's construction

Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

Come crawling faster
Obey your master
Your life burns faster
Obey your master, master

Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master

Needlework the way, never you betray
Life of death becoming clearer
Pain monopoly, ritual misery
Chop your breakfast on a mirror

Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

Come crawling faster
Obey your master
Your life burns faster
Obey your master, master

Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master (Master, master, master, master)

Master, master
Where's the dreams that I've been after?
Master, master
You promised only lies
Laughter, laughter
All I hear or see is laughter
Laughter, laughter
Laughing at my cries
Fix me

Hell is worth all that, natural habitat
Just a rhyme without a reason
Never-ending maze, drift on numbered days
Now your life is out of season

I will occupy
I will help you die
I will run through you
Now I rule you too

Come crawling faster
Obey your master
Your life burns faster
Obey your master, master

Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master"
"5","The Unforgiven","Metallica","Metallica (Remastered Deluxe Box Set)","","August 12, 1991","1003930","303","51","","https://genius.com/Metallica-the-unforgiven-lyrics","50590","New blood joins this earth and quickly he's subdued
Through constant pained disgrace
The young boy learns their rules
With time, the child draws in
This whipping boy done wrong
Deprived of all his thoughts
The young man struggles on and on, he's known
Ooh, a vow onto his own, that never from this day
His will they'll take away, yeah

What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven

They dedicate their lives to running all of his
He tries to please them all, this bitter man he is
Throughout his life the same, he's battled constantly
This fight he cannot win
A tired man they see no longer cares
The old man then prepares to die regretfully
That old man here is me, yeah

What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven

What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven
Woah-oh, woah

Never free, never me
So I dub thee unforgiven
You labeled me, I'll label you
So I dub thee unforgiven
Never free, never me
So I dub thee unforgiven
You labeled me, I'll label you
So I dub thee unforgiven
Never free, never me
So I dub thee unforgiven"
"6","Fade to Black","Metallica","Ride the Lightning (Deluxe Edition)","","July 27, 1984","623286","127","21","","https://genius.com/Metallica-fade-to-black-lyrics","58878","Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else
I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free

Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel
Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone

No one but me can save myself, but it's too late
Now I can't think, think why I should even try
Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
(Goodbye)"
"7","For Whom the Bell Tolls","Metallica","Ride the Lightning (Deluxe Edition)","","July 27, 1984","619118","161","22","","https://genius.com/Metallica-for-whom-the-bell-tolls-lyrics","58877","Make his fight, on the hill, in the early day
Constant chill deep inside
Shouting gun, on they run, through the endless grey
On they fight, for they're right, yes, but who's to say?
For a hill, men would kill, why? They do not know
Stiffened wounds test their pride
Men of five, still alive, through the raging glow
Gone insane from the pain that they surely know

For whom the bell tolls
Time marches on
For whom the bell tolls

Take a look to the sky just before you die
It's the last time he will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now are his eyes to this mystery
Hears the silence so loud
Crack of dawn, all is gone, except the will to be
Now they see what will be, blinded eyes to see

For whom the bell tolls
Time marches on
For whom the bell tolls"
"8","Fuel","Metallica","Reload","","November 18, 1997","402007","273","44","","https://genius.com/Metallica-fuel-lyrics","307228","Gimme fuel, gimme fire, gimme that which I desire, ooh

Yeah
Turn on, I see red
Adrenaline crash and crack my head
Nitro junkie, paint me dead
And I see red
A hundred plus through black and white
War horse, warhead
Fuck 'em man, white-knuckle tight
Through black and white

Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And on I burn
Churning my direction
Quench my thirst with gasoline

So gimme fuel, gimme fire, gimme that which I desire
Yeah

Turn on beyond the bone
Swallow future, spit out home
Burn your face upon the chrome
Yeah, oh, yeah
Take the corner, join the crash-ah
Headlights (Head on), headlines
Another junkie lives too fast
Yeah, lives way too fast (Fast)
Fast (Fast), fast (Fast), oh-oh

Ooh, on I burn
Fuel is pumping engines, burning hard, loose and clean
And on I burn
Churning my direction, quench my thirst with gasoline

So gimme fuel, gimme fire, gimme that which I desire
Ooh, yeah-hey

White knuckle tight

(On and on and on and on)
Give me fuel (On and on and on and on)
Give me fire (On and on and on and on)
My desire (On and on and on and on)

Ooh, on I burn (On and on and on and on)
Fuel is pumping engines (On and on and on and on), burning hard, loose and clean
(On and on and on and on) And on and on
Churning my direction (On and on and on and on), quench my thirst with gasoline

Gimme fuel, gimme fire, gimme that which I desire, ooh

On I burn"
"9","Ride the Lightning","Metallica","Ride the Lightning (Deluxe Edition)","","July 27, 1984","397564","233","48","","https://genius.com/Metallica-ride-the-lightning-lyrics","54645","Guilty as charged, but damn it, it ain't right
There's someone else controlling me
Death in the air, strapped in the electric chair
This can't be happening to me
Who made you, God to say
""I'll take your life from you""?

Flash before my eyes
Now it's time to die
Burning in my brain
I can feel the flame

Wait for the sign to flick the switch of death
It's the beginning of the end
Sweat, chilling cold, as I watch death unfold
Consciousness, my only friend
My fingers grip with fear
What am I doing here?

Flash before my eyes
Now it's time to die
Burning in my brain
I can feel the flame

[Bridge: James Hetfield &
Lars Ulrich
]
Someone help me
Oh please, God, help me
They're trying to take it all away
I don't want to die (
Ah
)

[Bridge: James Hetfield &
Lars Ulrich
]
Someone help me
Oh please, God, help me
They're trying to take it all away
I don't want to die (
Ah
)

Time moving slow, the minutes seem like hours
The final curtain call I see
How true is this? Just get it over with
If this is true, just let it be
Wakened by horrid scream
Freed from this frightening dream

Flash before my eyes
Now it's time to die
Burning in my brain
I can feel the flame"
"10","Creeping Death","Metallica","Ride the Lightning (Deluxe Edition)","","July 27, 1984","390096","252","47","","https://genius.com/Metallica-creeping-death-lyrics","58893","Slaves, Hebrews born to serve to the Pharaoh
Heed to his every word, live in fear
Faith of the unknown one, the deliverer
Wait, something must be done, four hundred years

So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first-born Pharaoh son
I'm creeping death

Now, let my people go, land of Goshen
Go, I will be with thee bush of fire
Blood, running red and strong down the Nile
Plague, darkness three days long, hail to fire

So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first-born Pharaoh son
I'm creeping death

Die
by my hand (
Die, die
)
I creep across the land (
Die, die
)
Killing first-born man (
Die, die, die
)
Die
by my hand (
Die, die
)
I creep across the land (
Die, die
)
Killing first-born man (
Die, die, die
)

I rule the midnight air, the destroyer
Born, I shall soon be there, deadly mass
I creep the steps and floor, final darkness
Blood, lamb's blood-painted door I shall pass

So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first-born Pharaoh son
I'm creeping death"
