word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,497,31,...And Justice for All; Am I Evil?; Creeping Death; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Eye of the Beholder; Fade to Black; Fuel; Harvester of Sorrow; Hero of the Day; King Nothing; Mama Said; Master of Puppets; Motorbreath; Nothing Else Matters; One; Ride the Lightning; Sad But True; St. Anger; The Day That Never Comes; The Unforgiven; The Unforgiven II; The Unforgiven III; To Live Is to Die; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiskey in the Jar,16.03,True,1
the,the,DET,457,49,"...And Justice for All; 72 Seasons; Am I Evil?; Atlas, Rise!; Battery; Blackened; Creeping Death; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Eye of the Beholder; Fade to Black; Fight Fire with Fire; For Whom the Bell Tolls; Fuel; Hardwired; Harvester of Sorrow; Hero of the Day; King Nothing; Leper Messiah; Lux Æterna; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); Nothing Else Matters; One; Ride the Lightning; Sad But True; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Memory Remains; The Shortest Straw; The Thing That Should Not Be; The Unforgiven; The Unforgiven II; The Unforgiven III; To Live Is to Die; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",9.33,True,2
you,you,PRON,406,39,"...And Justice for All; Am I Evil?; Atlas, Rise!; Blackened; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Eye of the Beholder; Fight Fire with Fire; For Whom the Bell Tolls; Hardwired; Harvester of Sorrow; Hero of the Day; King Nothing; Leper Messiah; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; Nothing Else Matters; Ride the Lightning; Sad But True; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Shortest Straw; The Thing That Should Not Be; The Unforgiven; The Unforgiven II; The Unforgiven III; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",10.41,True,3
to,to,PART,252,42,"...And Justice for All; Am I Evil?; Atlas, Rise!; Battery; Blackened; Creeping Death; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Eye of the Beholder; Fade to Black; Fight Fire with Fire; For Whom the Bell Tolls; Hardwired; Harvester of Sorrow; Hero of the Day; King Nothing; Leper Messiah; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); One; Ride the Lightning; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Memory Remains; The Shortest Straw; The Unforgiven; The Unforgiven II; The Unforgiven III; To Live Is to Die; Turn the Page; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",6.0,True,4
it,it,PRON,212,36,"...And Justice for All; Atlas, Rise!; Blackened; Creeping Death; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Eye of the Beholder; Fade to Black; For Whom the Bell Tolls; Hardwired; Hero of the Day; King Nothing; Lux Æterna; Mama Said; Moth Into Flame; Motorbreath; No Leaf Clover (Live); Nothing Else Matters; One; Ride the Lightning; Sad But True; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Shortest Straw; The Unforgiven II; The Unforgiven III; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Whiplash; Whiskey in the Jar",5.89,True,5
and,and,CCONJ,201,36,"72 Seasons; Am I Evil?; Atlas, Rise!; Battery; Blackened; Creeping Death; Damage, Inc.; Enter Sandman; Eye of the Beholder; Fight Fire with Fire; Fuel; Hero of the Day; King Nothing; Leper Messiah; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); Nothing Else Matters; Sad But True; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Memory Remains; The Shortest Straw; The Unforgiven; The Unforgiven II; The Unforgiven III; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",5.58,True,6
your,your,PRON,194,31,"...And Justice for All; Am I Evil?; Atlas, Rise!; Damage, Inc.; Dyers Eve; Enter Sandman; Eye of the Beholder; Fight Fire with Fire; Fuel; Harvester of Sorrow; Hero of the Day; King Nothing; Leper Messiah; Lux Æterna; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); One; Ride the Lightning; Sad But True; The Day That Never Comes; The Four Horsemen; The Memory Remains; The Shortest Straw; The Thing That Should Not Be; The Unforgiven II; Turn the Page; Until It Sleeps; Whiplash",6.26,True,7
me,i,PRON,182,27,"Am I Evil?; Atlas, Rise!; Battery; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Eye of the Beholder; Fade to Black; Fuel; Harvester of Sorrow; Hero of the Day; Leper Messiah; Mama Said; Master of Puppets; One; Ride the Lightning; St. Anger; The Unforgiven; The Unforgiven II; The Unforgiven III; To Live Is to Die; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiskey in the Jar",6.74,True,8
my,my,PRON,172,22,"Am I Evil?; Creeping Death; Damage, Inc.; Disposable Heroes; Dyers Eve; Enter Sandman; Eye of the Beholder; Fuel; Harvester of Sorrow; Mama Said; Master of Puppets; Motorbreath; One; Ride the Lightning; Sad But True; St. Anger; The Memory Remains; The Unforgiven II; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiskey in the Jar",7.82,True,9
of,of,ADP,160,38,"...And Justice for All; 72 Seasons; Battery; Blackened; Creeping Death; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Enter Sandman; Eye of the Beholder; Fade to Black; Fight Fire with Fire; For Whom the Bell Tolls; Hardwired; Harvester of Sorrow; Hero of the Day; Lux Æterna; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); One; Ride the Lightning; The Day That Never Comes; The Four Horsemen; The Memory Remains; The Thing That Should Not Be; The Unforgiven; The Unforgiven II; The Unforgiven III; To Live Is to Die; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",4.21,True,10
da,da,X,154,2,The Memory Remains; Whiskey in the Jar,77.0,False,11
is,be,AUX,128,37,"...And Justice for All; 72 Seasons; Am I Evil?; Atlas, Rise!; Battery; Blackened; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Eye of the Beholder; Fade to Black; Fight Fire with Fire; For Whom the Bell Tolls; Fuel; Hardwired; Harvester of Sorrow; Hero of the Day; Leper Messiah; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; Nothing Else Matters; One; Ride the Lightning; Seek & Destroy; St. Anger; The Day That Never Comes; The Shortest Straw; The Thing That Should Not Be; The Unforgiven; The Unforgiven II; Turn the Page; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash",3.46,True,12
in,in,ADP,118,34,"...And Justice for All; 72 Seasons; Atlas, Rise!; Battery; Blackened; Creeping Death; Damage, Inc.; Dyers Eve; Enter Sandman; Fight Fire with Fire; For Whom the Bell Tolls; Hardwired; Harvester of Sorrow; Lux Æterna; Mama Said; Moth Into Flame; Motorbreath; Nothing Else Matters; One; Ride the Lightning; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Shortest Straw; The Thing That Should Not Be; The Unforgiven; The Unforgiven II; The Unforgiven III; Turn the Page; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",3.47,True,13
s,be,VERB,117,31,"72 Seasons; Blackened; Creeping Death; Damage, Inc.; Disposable Heroes; Dyers Eve; Enter Sandman; Eye of the Beholder; Fade to Black; Fight Fire with Fire; For Whom the Bell Tolls; Hero of the Day; King Nothing; Mama Said; Master of Puppets; Motorbreath; No Leaf Clover (Live); One; Ride the Lightning; Sad But True; Seek & Destroy; The Four Horsemen; The Unforgiven; The Unforgiven II; The Unforgiven III; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",3.77,True,14
for,for,ADP,110,30,"Am I Evil?; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Eye of the Beholder; Fade to Black; For Whom the Bell Tolls; Hero of the Day; King Nothing; Leper Messiah; Lux Æterna; Mama Said; Moth Into Flame; Motorbreath; No Leaf Clover (Live); Nothing Else Matters; One; Ride the Lightning; Sad But True; Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Shortest Straw; The Thing That Should Not Be; The Unforgiven II; The Unforgiven III; Welcome Home (Sanitarium); Whiskey in the Jar",3.67,True,15
never,never,ADV,108,22,"Battery; Blackened; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Enter Sandman; Fade to Black; King Nothing; Lux Æterna; Mama Said; Master of Puppets; Motorbreath; Nothing Else Matters; St. Anger; The Day That Never Comes; The Unforgiven; The Unforgiven II; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",4.91,True,16
a,a,DET,100,35,"Am I Evil?; Battery; Blackened; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Enter Sandman; Eye of the Beholder; Fight Fire with Fire; For Whom the Bell Tolls; Fuel; Hardwired; Hero of the Day; King Nothing; Leper Messiah; Lux Æterna; Mama Said; Master of Puppets; Moth Into Flame; No Leaf Clover (Live); Nothing Else Matters; One; St. Anger; The Day That Never Comes; The Four Horsemen; The Shortest Straw; The Unforgiven; The Unforgiven III; To Live Is to Die; Turn the Page; Until It Sleeps; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash; Whiskey in the Jar",2.86,True,17
what,what,PRON,100,25,"...And Justice for All; 72 Seasons; Atlas, Rise!; Blackened; Damage, Inc.; Disposable Heroes; Don’t Tread On Me; Dyers Eve; Eye of the Beholder; Fade to Black; Fight Fire with Fire; For Whom the Bell Tolls; Hero of the Day; King Nothing; Mama Said; Motorbreath; Nothing Else Matters; Ride the Lightning; The Four Horsemen; The Unforgiven; The Unforgiven II; Turn the Page; Welcome Home (Sanitarium); Wherever I May Roam; Whiplash",4.0,True,18
on,on,ADP,97,23,"72 Seasons; Am I Evil?; Atlas, Rise!; Battery; Damage, Inc.; Don’t Tread On Me; For Whom the Bell Tolls; Fuel; Hardwired; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); Seek & Destroy; St. Anger; The Day That Never Comes; The Four Horsemen; The Memory Remains; The Unforgiven; The Unforgiven III; Turn the Page; Welcome Home (Sanitarium); Whiplash",4.22,True,19
all,all,PRON,94,31,"...And Justice for All; Am I Evil?; Atlas, Rise!; Battery; Blackened; Damage, Inc.; Disposable Heroes; Fight Fire with Fire; For Whom the Bell Tolls; Hardwired; Harvester of Sorrow; Hero of the Day; King Nothing; Lux Æterna; Mama Said; Master of Puppets; Moth Into Flame; Motorbreath; No Leaf Clover (Live); Nothing Else Matters; One; Ride the Lightning; St. Anger; The Four Horsemen; The Unforgiven; The Unforgiven III; To Live Is to Die; Turn the Page; Wherever I May Roam; Whiplash; Whiskey in the Jar",3.03,True,20
