word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,1259,48,Baby Be Mine; Bad; Beat It; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; Smooth Criminal; Speechless; Stranger in Moscow; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,26.23,True,1
i,i,PRON,897,48,Baby Be Mine; Bad; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Smooth Criminal; Speechless; Stranger in Moscow; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,18.69,True,2
the,the,DET,730,50,Baby Be Mine; Bad; Beat It; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Smooth Criminal; Speechless; Stranger in Moscow; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,14.6,True,3
me,i,PRON,599,45,Baby Be Mine; Bad; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; P.Y.T. (Pretty Young Thing); Remember the Time; Scream; Speechless; Stranger in Moscow; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,13.31,True,4
it,it,PRON,577,47,Baby Be Mine; Bad; Beat It; Ben; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Smooth Criminal; Speechless; Stranger in Moscow; The Girl is Mine; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,12.28,True,5
n't,not,PART,562,44,Baby Be Mine; Bad; Beat It; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Love Never Felt So Good; Love Never Felt So Good (Original Version); Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Speechless; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; You Are Not Alone; You Rock My World,12.77,True,6
to,to,PART,538,47,Baby Be Mine; Bad; Beat It; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Man in the Mirror; Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Smooth Criminal; Speechless; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,11.45,True,7
and,and,CCONJ,487,49,Baby Be Mine; Bad; Beat It; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Smooth Criminal; Speechless; Stranger in Moscow; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Thriller; Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,9.94,True,8
do,do,AUX,386,41,Baby Be Mine; Bad; Beat It; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Earth Song; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; In the Closet; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good (Original Version); Money; Off the Wall; P.Y.T. (Pretty Young Thing); Remember the Time; Rock With You; Scream; She’s Out of My Life; Speechless; The Girl is Mine; The Lady in My Life; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; You Rock My World,9.41,True,9
my,my,PRON,310,43,Baby Be Mine; Bad; Ben; Billie Jean; Black or White; Blood on the Dance Floor; Break of Dawn; Butterflies; Chicago; Dangerous; Dirty Diana; Don’t Stop ’Til You Get Enough; Ghosts; Give In to Me; Heal the World; Heaven Can Wait; Hold My Hand; Human Nature; I Just Can’t Stop Loving You; Jam; Leave Me Alone; Liberian Girl; Love Never Felt So Good; Love Never Felt So Good (Original Version); Man in the Mirror; Money; P.Y.T. (Pretty Young Thing); Remember the Time; Scream; She’s Out of My Life; Speechless; Stranger in Moscow; The Girl is Mine; The Lady in My Life; The Way You Make Me Feel; They Don’t Care About Us; They Don’t Care About Us (Single Edit); Unbreakable; Wanna Be Startin’ Somethin’; Who Is It; Will You Be There; You Are Not Alone; You Rock My World,7.21,True,10
