"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Uprising","Muse","The Resistance","","August 4, 2009","278410","226","40","","https://genius.com/Muse-uprising-lyrics","54136","(Come on)

Paranoia is in bloom
The PR transmissions will resume
They'll try to push drugs that keep us all dumbed down
And hope that we will never see the truth around
(So come on)

Another promise, another seed
Another, a packaged lie to keep us trapped in greed
And all the green belts wrapped around our minds
And endless red tape to keep the truth confined
(So come on)

They will not force us
They will stop degrading us
They will not control us
And we will be victorious
(So come on)

Interchanging mind control
Come let the revolution take its toll
If you could flick a switch and open your third eye
You'd see that we should never be afraid to die
(So come on)

Rise up and take the power back
It's time the fat cats had a heart attack
You know that their time's coming to an end
We have to unify and watch our flag ascend
(So come on)

They will not force us
They will stop degrading us
They will not control us
And we will be victorious
(So come on)

Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey

They will not force us
They will stop degrading us
They will not control us
And we will be victorious
(So come on)

Hey, hey, hey, hey"
"2","Time Is Running Out","Muse","Absolution XX Anniversary","","September 8, 2003","270663","241","44","","https://genius.com/Muse-time-is-running-out-lyrics","80779","I think I'm drowning, asphyxiated
I wanna break this spell that you've created
You're something beautiful, a contradiction
I wanna play the game, I want the friction

You will be the death of me
Yeah, you will be the death of me

Bury it
I won't let you bury it
I won't let you smother it
I won't let you murder it

Our time is running out
Our time is running out
You can't push it underground
You can't stop it screaming out

I wanted freedom, bound and restricted
I tried to give you up but I'm addicted
Now that you know I'm trapped, sense of elation
You'd never dream of breaking this fixation

You will squeeze the life out of me

Bury it
I won't let you bury it
I won't let you smother it
I won't let you murder it

And our time is running out
Our time is running out
You can't push it underground
You can't stop it screaming out
How did it come to this?

Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah, yeah-yeah-yeah

Yeah, you will suck the life out of me

Bury it
I won't let you bury it
I won't let you smother it
I won't let you murder it

And our time is running out
Our time is running out
You can't push it underground
You can't stop it screaming out
How did it come to this?

Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah, yeah-yeah-yeah"
"3","Supermassive Black Hole","Muse","Black Holes and Revelations","","June 17, 2006","264599","277","56","","https://genius.com/Muse-supermassive-black-hole-lyrics","79045","Ooh, baby, don't you know I suffer?
Ooh, baby, can't you hear me moan?
You caught me under false pretenses
How long before you let me go?

Ooh, you set my soul alight
Ooh, you set my soul alight

Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the supermassive (
You set my soul alight
)
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the (
You set my soul
)
Into the supermassive

I thought I was a fool for no one
But, ooh, baby, I'm a fool for you
You're the queen of the superficial
How long before you tell the truth?

Ooh, you set my soul alight
Ooh, you set my soul alight

Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the supermassive (
You set my soul alight
)
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the (
You set my soul
)
Into the supermassive

Supermassive black hole
Supermassive black hole
Supermassive black hole
Supermassive black hole

[Chorus: Chris Wolstenholme,
Matt Bellamy
&
Dominic Howard
]
Glaciers melting in the dead of night
And the superstar's sucked into the supermassive
Glaciers melting in the dead of night
And the superstar's sucked into the supermassive
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the supermassive (
You set my soul alight
)
Glaciers melting in the dead of night (Ooh)
And the superstar's sucked into the (
You set my soul
)
Into the supermassive

Supermassive black hole
Supermassive black hole
Supermassive black hole
Supermassive black hole"
"4","Starlight","Muse","Black Holes and Revelations","","July 3, 2006","224219","203","37","","https://genius.com/Muse-starlight-lyrics","79043","Far away
This ship is taking me far away
Far away from the memories
Of the people who care if I live or die

A starlight
I will be chasing a starlight
Until the end of my life
I don't know if it's worth it anymore

Hold you in my arms
I just wanted to hold you in my arms

My life
You electrify my life
Let's conspire to ignite
All the souls that would die just to feel alive

I'll never let you go
If you promise not to fade away
Never fade away

And our hopes and expectations
Black holes and revelations
And our hopes and expectations
Black holes and revelations

Hold you in my arms
I just wanted to hold you in my arms

Far away
This ship has taken me far away
Far away from the memories
Of the people who care if I live or die

I'll never let you go
If you promise not to fade away
Never fade away

And our hopes and expectations
Black holes and revelations, yeah
Our hopes and expectations
Black holes and revelations

Hold you in my arms
I just wanted to hold you in my arms

I just wanted to hold"
"5","Hysteria","Muse","Absolution XX Anniversary","","December 1, 2003","209368","118","20","","https://genius.com/Muse-hysteria-lyrics","77713","It's bugging me, grating me
And twisting me around
Yeah, I'm endlessly caving in
And turning inside out

'Cause I want it now, I want it now
Give me your heart and your soul
And I'm breaking out, I'm breaking out
Last chance to lose control

Yeah, it's holding me, morphing me
And forcing me to strive
To be endlessly cold within
And dreaming I'm alive

'Cause I want it now, I want it now
Give me your heart and your soul
I'm not breaking down, I'm breaking out
Last chance to lose control

And I want you now, I want you now
I'll feel my heart implode
And I'm breaking out, escaping now
Feeling my faith erode"
"6","Madness","Muse","The 2nd Law","","August 20, 2012","187198","206","45","","https://genius.com/Muse-madness-lyrics","86341","Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad

I, I can't get these memories out of my mind
And some kind of madness is starting to evolve, mm
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
And I, I tried so hard to let you go
But some kind of madness is swallowing me whole, yeah
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)

I have finally seen the light
And I have finally realised
What you mean

Hoo, huh-huh-huh-hoo

Now, I need to know, is this real love
Or is it just madness keeping us afloat? Mm
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
And when I look back at all the crazy fights we had
It's like some kind of madness was taking control, yeah
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)

Now, I have finally seen the light
And I have finally realised
What you need

Hoo, huh-huh-huh-huh-hoo

(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)
(Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad)

Now, I have finally seen the end (Finally seen the end)
And I'm not expecting you to care, no (Expecting you to care)
That I have finally seen the light (Finally seen the light)
And I have finally realised (Realised)
I need your love
I need your love

Come to me, just in a dream
Come on and rescue me
Yes, I know, I can be wrong
And baby, you're too headstrong
Our love is...

Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-ma-mad-mad-mad
Ma-ma-ma-ma-ma-ma-ma-madness"
"7","Feeling Good","Muse","Origin of Muse","","July 17, 2001","175639","185","31","","https://genius.com/Muse-feeling-good-lyrics","87140","Birds flying high, you know how I feel
Sun in the sky, you know how I feel
Reeds drifting on by, you know how I feel

It's a new dawn
It's a new day
It's a new life, for me
And I'm feeling good

Fish in the sea, you know how I feel
River running free, you know how I feel
Blossom in the trees, you know how I feel

It's a new dawn
It's a new day
It's a new life, for me
And I'm feeling good

Dragonfly out in the sun, you know what I mean, don't you know?
Butterflies all are having fun, you know what I mean
Sleep in peace, when the day is done
And this old world is a new world
And a bold world, for me

Stars when you shine, you know how I feel
Scent of the pine, you know how I feel
Yeah, freedom is mine, and you know how I feel

It's a new dawn
It's a new day
It's a new life for me

Butterfly, ooh
Ooh-ooh-ooh
Freer than you
Ooh-ooh-ooh
Ooh-ooh-ooh
Feeling good"
"8","Psycho","Muse","Drones","","March 12, 2015","163098","276","59","","https://genius.com/Muse-psycho-lyrics","722329","Love, it will get you nowhere
You're on your own
Lost in the wild
So come to me now
I could use someone like you
Someone who'll kill on my command
And ask no questions

I'm gonna make you
I'm gonna break you
I'm gonna make you
A fucking psycho

A fucking psycho
Ha-ha, a fucking psycho
Your ass belongs to me now, oh

[Post-Chorus: Drill Sergeant &
Soldier
]
Are you a human drone?
Aye, sir
Are you a killing machine?
Aye, sir
I'm in control, motherfucker, do you understand?
Aye, sir

Your mind is just a program
And I'm the virus
I'm changing the station
I'll improve your thresholds
I'll turn you into a super drone (A super drone)
And you will kill on my command
And I won't be responsible

I'm gonna make you
I'm gonna break you
I'm gonna make you
A fucking psycho

A fucking psycho
Ha-ha, a fucking psycho
Your ass belongs to me now

Are you a psycho killer? Say ""I'm a psycho killer""
I am a psycho killer!
Scream it! I am a psycho killer!
Show me your war face!
Ah!
You are a pussy, I said show me your war face!
Ah!

I'm gonna make you
I'm gonna break you
I'm gonna make you
A fucking psycho

A fucking psycho
Ha-ha, a fucking psycho
Your ass belongs to me now

I will break you, do you understand?
I will break you, do you understand?
I will break you, do you understand?
I will break you, do you understand?
Aye, sir
You fucking psycho

Your ass belongs to me now (Yeah)
Your ass belongs to me now, ooh-ah"
"9","Resistance","Muse","The Resistance","","September 14, 2009","142025","328","44","","https://genius.com/Muse-resistance-lyrics","54137","Is our secret safe tonight?
And are we out of sight?
Or will our world come tumbling down?
Will they find our hiding place?
Is this our last embrace?
Or will the walls start caving in?

(It could be wrong, could be wrong) But it should have been right
(It could be wrong, could be wrong) To let our hearts ignite
(It could be wrong, could be wrong) Are we digging a hole?
(It could be wrong, could be wrong) This is out of control
(It could be wrong, could be wrong) It can never last
(It could be wrong, could be wrong) Must erase it fast
(It could be wrong, could be wrong) But it could have been right
(It could be wrong, could be—)

Love is our resistance
They'll keep us apart and they won't stop breaking us down
Hold me
Our lips must always be sealed

If we live a life in fear
I'll wait a thousand years
Just to see you smile again
Kill your prayers for love and peace
You'll wake the Thought Police
We can't hide the truth inside

(It could be wrong, could be wrong) But it should have been right
(It could be wrong, could be wrong) To let our hearts ignite
(It could be wrong, could be wrong) Are we digging a hole?
(It could be wrong, could be wrong) This is out of control
(It could be wrong, could be wrong) It can never last
(It could be wrong, could be wrong) Must erase it fast
(It could be wrong, could be wrong) But it could have been right
(It could be wrong, could be—)

Love is our resistance
They'll keep us apart and they won't stop breaking us down
Hold me
Our lips must always be sealed

The night has reached its end
We can't pretend
We must run
We must run
It's time to run
Take us away from here
Protect us from further harm
Resistance"
"10","Mercy","Muse","Drones","","May 18, 2015","134499","169","22","","https://genius.com/Muse-mercy-lyrics","722371","Help me, I've fallen on the inside
I tried to change the game, I tried to infiltrate but now I'm losing

Men in cloaks always seem to run the show
Save me from the ghosts and shadows before they eat my soul, yeah

Mercy, mercy
Show me mercy, from the powers that be
Show me mercy, can someone rescue me?

Absent gods and silent tyranny, we're going under
Hypnotized by another puppeteer, and tell me why the

Men in cloaks always have to bring me down
Running from the ghosts and shadows the world just disavows, yeah

Mercy, mercy
Show me mercy, from the powers that be
Show me mercy, can someone rescue me?

Show me mercy
Show me mercy, please

Help me, I've fallen on the inside
And all the men in cloaks trying to devour my soul

Show me mercy from the powers that be
Show me mercy from the gutless and mean
Show me mercy from the killing machines
Show me mercy, can someone rescue me?"
