"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Smells Like Teen Spirit","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 10, 1991","3620194","253","49","","https://genius.com/Nirvana-smells-like-teen-spirit-lyrics","52968","Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay

And I forget just why I taste
Oh, yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh, well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial"
"2","Come as You Are","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 24, 1991","2474874","139","32","","https://genius.com/Nirvana-come-as-you-are-lyrics","62560","Come as you are, as you were
As I want you to be
As a friend, as a friend
As an old enemy
Take your time, hurry up
Choice is yours, don't be late
Take a rest as a friend
As an old memoria

Memoria
Memoria
Memoria

Come doused in mud, soaked in bleach
As I want you to be
As a trend, as a friend
As an old memoria

Memoria
Memoria
Memoria

And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun

'Ria
Memoria
Memoria
Memoria (No, I don't have a gun)

Well, I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun

(Memoria)
(Memoria)"
"3","Heart-Shaped Box","Nirvana","In Utero (30th Anniversary Edition)","","August 30, 1993","1418803","248","35","","https://genius.com/Nirvana-heart-shaped-box-lyrics","62555","She eyes me like a Pisces when I am weak
I've been locked inside your heart-shaped box for weeks
I've been drawn into your magnet tar pit trap
I wish I could eat your cancer when you turn black

Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Your advice

Meat-eating orchids forgive no one just yet
Cut myself on angel hair and baby's breath
Broken hymen of your highness, I'm left black
Throw down your umbilical noose so I can climb right back

Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Your advice

She eyes me like a Pisces when I am weak
I've been locked inside your heart-shaped box for weeks
I've been drawn into your magnet tar pit trap
I wish I could eat your cancer when you turn black

Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Hey, wait, I got a new complaint
Forever in debt to your priceless advice
Your advice
Your advice
Your advice"
"4","Drain You","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 24, 1991","1274061","194","25","","https://genius.com/Nirvana-drain-you-lyrics","63279","One baby to another says, ""I'm lucky to've met you""
I don't care what you think unless it is about me
It is now my duty to completely drain you
I travel through a tube and end up in your infection

Chew your meat for you, pass it back and forth
In a passionate kiss from my mouth to yours
I like you

With eyes so dilated, I've become your pupil
You taught me everything without a poison apple
The water is so yellow, I'm a healthy student
Indebted and so grateful, vacuum out the fluids

Chew your meat for you, pass it back and forth
In a passionate kiss from my mouth to yours
I like you

You, you, you
You, you
Ahh!

One baby to another says, ""I'm lucky to've met you""
I don't care what you think unless it is about me
It is now my duty to completely drain you
I travel through a tube and end up in your infection

Chew your meat for you, pass it back and forth
In a passionate kiss, from my mouth to yours
Sloppy lips to lips, you're my vitamins
I like you"
"5","Lithium","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 24, 1991","1205458","297","55","","https://genius.com/Nirvana-lithium-lyrics","56433","I'm so happy, 'cause today I found my friends
They're in my head
I'm so ugly, that's okay, 'cause so are you
Broke our mirrors
Sunday morning is every day, for all I care
And I'm not scared
Light my candles in a daze, 'cause I've found God

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah

I'm so lonely, that's okay, I shaved my head
And I'm not sad
And just maybe I'm to blame for all I've heard
But I'm not sure
I'm so excited, I can't wait to meet you there
And I don't care
I'm so horny, that's okay, my will is good

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I'm so happy, 'cause today I found my friends
They're in my head
I'm so ugly, that's okay, 'cause so are you
Broke our mirrors
Sunday morning is every day, for all I care
And I'm not scared
Light my candles in a daze, 'cause I've found God

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack"
"6","Polly","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 24, 1991","1029648","207","37","","https://genius.com/Nirvana-polly-lyrics","62558","Polly wants a cracker
I think I should get off her first
I think she wants some water
To put out the blowtorch

Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself

Polly wants a cracker
Maybe she would like some food
She asked me to untie her
A chase would be nice for a few

Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself

Polly said
Polly says her back hurts
She's just as bored as me
She caught me off my guard
Amazes me, the will of instinct

Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself"
"7","Rape Me","Nirvana","In Utero (30th Anniversary Edition)","","September 13, 1993","956975","156","37","","https://genius.com/Nirvana-rape-me-lyrics","61499","Rape me
Rape me, my friend
Rape me
Rape me again

I'm not the only one, ah
I'm not the only one, ah
I'm not the only one, ah
I'm not the only one

Hate me
Do it, and do it again
Waste me
Rape me, my friend

I'm not the only one, ah
I'm not the only one, ah
I'm not the only one, ah
I'm not the only one

My favorite inside source
I'll kiss your open sores
Appreciate your concern
You're gonna stink and burn

Rape me
Rape me, my friend
Rape me
Rape me again

I'm not the only one, ah
I'm not the only one, ah
I'm not the only one, ah
I'm not the only one

Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me (Rape me)
Rape me"
"8","About a Girl","Nirvana","Bleach: Deluxe Edition","","June 15, 1989","915276","154","29","","https://genius.com/Nirvana-about-a-girl-lyrics","74429","(I do) I need an easy friend
I do, with an ear to lend
I do, think you fit this shoe
I do, but you have a clue

I'll take advantage while
You hang me out to dry
But I can't see you every night
Free (I do)

(I do) I'm standin' in your line
I do, hope you have the time
I do, pick a number too
I do, keep a date with you

I'll take advantage while
You hang me out to dry
But I can't see you every night
Free

(I do) I need an easy friend
I do, with an ear to lend
I do, think you fit this shoe
I do, but you have a clue

I'll take advantage while
You hang me out to dry
But I can't see you every night
No, I can't see you every night
Free

I do
I do
I do
I do"
"9","Something In the Way","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 24, 1991","910218","159","22","","https://genius.com/Nirvana-something-in-the-way-lyrics","62556","Underneath the bridge, tarp has sprung a leak
And the animals I've trapped have all become my pets
And I'm livin' off of grass and the drippings from the ceilin'
It's okay to eat fish 'cause they don't have any feelings

Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm

Underneath the bridge, tarp has sprung a leak
And the animals I've trapped have all become my pets
And I'm livin' off of grass and the drippings from the ceilin'
It's okay to eat fish 'cause they don't have any feelings

Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm"
"10","In Bloom","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","September 24, 1991","906795","279","56","","https://genius.com/Nirvana-in-bloom-lyrics","63277","Sell the kids for food
Weather changes moods
Spring is here again
Reproductive glands

[Chorus: Kurt Cobain,
Kurt Cobain & Dave Grohl
]
He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say
He's the one who likes all our pretty songs,
and he
Likes to sing along
and he
likes to shoot his gun
, but he
Knows not what it means
Knows not what it means, and I say, ""Yeah""

We can have some more
Nature is a whore
Bruises on the fruit
Tender age in bloom

He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say
He's the one who likes all our pretty songs
, and he
Likes to sing along
and he
likes to shoot his gun,
but he
Knows not what it means
Knows not what it means,
and I say, ""Yeah""

He's the one who likes all our pretty songs
, and he
Likes to sing along
and he
likes to shoot his gun,
but he
Knows not what it means
Knows not what it means,
and I say
He's the one who likes all our pretty songs
, and he
Likes to sing along
and he
likes to shoot his gun,
but he
Knows not what it means
Knows not what it means
Knows not what it means
Knows not what it means,
and I say, ""Yeah"""
