word,exclusion_category
aah,SOUND_EFFECT
ahh,SOUND_EFFECT
andy,PROPER_NOUN
anyone-,PARSE_ERROR
barney,PROPER_NOUN
bowie,PROPER_NOUN
cobain,ARTIST_NAME
cohen,PROPER_NOUN
contradictionary,MUSIC_JUNK
dave,PROPER_NOUN
david,PROPER_NOUN
duluth,PROPER_NOUN
ecto,SLANG
floyd,PROPER_NOUN
geffen,PROPER_NOUN
ges,SOUND_EFFECT
greenland,PROPER_NOUN
grohl,PROPER_NOUN
ha,SOUND_EFFECT
hahahaha,SOUND_EFFECT
hmmm,SOUND_EFFECT
hyman,PROPER_NOUN
illiterature,MUSIC_JUNK
joe,PROPER_NOUN
kurt,ARTIST_NAME
leonard,PROPER_NOUN
memoria,FOREIGN
mexico,PROPER_NOUN
mm,SOUND_EFFECT
mmm,SOUND_EFFECT
más,FOREIGN
ooh,SOUND_EFFECT
ooo,SOUND_EFFECT
opie,PROPER_NOUN
pisces,PROPER_NOUN
puget,PROPER_NOUN
ria,PROPER_NOUN
salem,PROPER_NOUN
york,PROPER_NOUN
