word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,579,42,"About a Girl; All Apologies; Blew; Breed; Come as You Are; Downer; Drain You; Dumb; Endless, Nameless; Floyd the Barber; Frances Farmer Will Have Her Revenge on Seattle; Heart-Shaped Box; I Hate Myself and Want to Die; In Bloom; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Lithium; Lounge Act; Love Buzz; Marigold; Milk It; Moist Vagina; Mr. Moustache; Negative Creep; Oh, Me (Live Acoustic); Old Age; On a Plain; Paper Cuts; Pennyroyal Tea; Polly; Radio Friendly Unit Shifter; Rape Me; Scentless Apprentice; Serve the Servants; Sliver; Smells Like Teen Spirit; Something In the Way; Territorial Pissings; The Man Who Sold the World (Live Acoustic); Very Ape; Where Did You Sleep Last Night? (Live Acoustic); You Know You’re Right",13.79,True,1
you,you,PRON,318,37,"About a Girl; All Apologies; Aneurysm; Big Cheese; Blew; Breed; Come as You Are; Downer; Drain You; Dumb; Frances Farmer Will Have Her Revenge on Seattle; Heart-Shaped Box; I Hate Myself and Want to Die; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Lithium; Lounge Act; Love Buzz; Mr. Moustache; Oh, Me (Live Acoustic); Old Age; On a Plain; Paper Cuts; Plateau (Live Acoustic); Polly; Radio Friendly Unit Shifter; Rape Me; Sappy; Scentless Apprentice; School; Serve the Servants; Sliver; Territorial Pissings; The Man Who Sold the World (Live Acoustic); Very Ape; Where Did You Sleep Last Night? (Live Acoustic); You Know You’re Right",8.59,True,2
a,a,DET,285,43,"About a Girl; Aneurysm; Big Cheese; Breed; Come as You Are; Drain You; Dumb; Endless, Nameless; Floyd the Barber; Frances Farmer Will Have Her Revenge on Seattle; Heart-Shaped Box; I Hate Myself and Want to Die; In Bloom; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Lithium; Lounge Act; Marigold; Milk It; Moist Vagina; Mr. Moustache; Negative Creep; Oh, Me (Live Acoustic); Old Age; On a Plain; Paper Cuts; Pennyroyal Tea; Plateau (Live Acoustic); Polly; Radio Friendly Unit Shifter; Sappy; Scentless Apprentice; Serve the Servants; Sliver; Smells Like Teen Spirit; Something In the Way; Stay Away; Swap Meet; Territorial Pissings; The Man Who Sold the World (Live Acoustic); Tourette’s; Where Did You Sleep Last Night? (Live Acoustic); You Know You’re Right",6.63,True,3
the,the,DET,274,37,"About a Girl; All Apologies; Aneurysm; Big Cheese; Downer; Drain You; Dumb; Floyd the Barber; Frances Farmer Will Have Her Revenge on Seattle; I Hate Myself and Want to Die; In Bloom; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Love Buzz; Marigold; Milk It; Moist Vagina; Mr. Moustache; Oh, Me (Live Acoustic); Old Age; On a Plain; Paper Cuts; Pennyroyal Tea; Plateau (Live Acoustic); Polly; Radio Friendly Unit Shifter; Rape Me; Sappy; Scentless Apprentice; Serve the Servants; Smells Like Teen Spirit; Something In the Way; Swap Meet; The Man Who Sold the World (Live Acoustic); Tourette’s; Very Ape; Where Did You Sleep Last Night? (Live Acoustic)",7.41,True,4
to,to,PART,221,42,"About a Girl; Aneurysm; Big Cheese; Blew; Breed; Come as You Are; Downer; Drain You; Endless, Nameless; Floyd the Barber; Frances Farmer Will Have Her Revenge on Seattle; Heart-Shaped Box; I Hate Myself and Want to Die; In Bloom; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Lithium; Lounge Act; Milk It; Moist Vagina; Mr. Moustache; Negative Creep; Oh, Me (Live Acoustic); Old Age; On a Plain; Paper Cuts; Plateau (Live Acoustic); Polly; Radio Friendly Unit Shifter; Sappy; Scentless Apprentice; Serve the Servants; Sliver; Smells Like Teen Spirit; Something In the Way; Stay Away; Swap Meet; Territorial Pissings; The Man Who Sold the World (Live Acoustic); Very Ape; Where Did You Sleep Last Night? (Live Acoustic); You Know You’re Right",5.26,True,5
me,i,PRON,214,26,"About a Girl; Aneurysm; Big Cheese; Downer; Drain You; Dumb; Floyd the Barber; Frances Farmer Will Have Her Revenge on Seattle; Heart-Shaped Box; I Hate Myself and Want to Die; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lounge Act; Love Buzz; Mr. Moustache; Oh, Me (Live Acoustic); On a Plain; Paper Cuts; Pennyroyal Tea; Polly; Radio Friendly Unit Shifter; Rape Me; Scentless Apprentice; Sliver; Smells Like Teen Spirit; The Man Who Sold the World (Live Acoustic); Where Did You Sleep Last Night? (Live Acoustic)",8.23,True,6
n't,not,PART,185,34,"About a Girl; All Apologies; Blew; Breed; Come as You Are; Downer; Drain You; Floyd the Barber; I Hate Myself and Want to Die; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Lithium; Lounge Act; Love Buzz; Milk It; Mr. Moustache; Negative Creep; Oh, Me (Live Acoustic); On a Plain; Paper Cuts; Pennyroyal Tea; Plateau (Live Acoustic); Polly; Scentless Apprentice; School; Serve the Servants; Sliver; Something In the Way; Territorial Pissings; The Man Who Sold the World (Live Acoustic); Tourette’s; Very Ape; Where Did You Sleep Last Night? (Live Acoustic); You Know You’re Right",5.44,True,7
in,in,ADP,163,28,"About a Girl; All Apologies; Come as You Are; Downer; Drain You; Endless, Nameless; Floyd the Barber; Frances Farmer Will Have Her Revenge on Seattle; Heart-Shaped Box; I Hate Myself and Want to Die; In Bloom; Lithium; Lounge Act; Marigold; Milk It; Mr. Moustache; On a Plain; Paper Cuts; Plateau (Live Acoustic); Sappy; Scentless Apprentice; School; Sliver; Something In the Way; Stay Away; The Man Who Sold the World (Live Acoustic); Very Ape; Where Did You Sleep Last Night? (Live Acoustic)",5.82,True,8
and,and,CCONJ,162,35,"Aneurysm; Blew; Come as You Are; Downer; Drain You; Dumb; Endless, Nameless; Floyd the Barber; Heart-Shaped Box; I Hate Myself and Want to Die; In Bloom; Lake of Fire (Live Acoustic); Lithium; Lounge Act; Milk It; Mr. Moustache; Negative Creep; Old Age; On a Plain; Paper Cuts; Pennyroyal Tea; Plateau (Live Acoustic); Radio Friendly Unit Shifter; Rape Me; Sappy; Scentless Apprentice; Serve the Servants; Sliver; Smells Like Teen Spirit; Something In the Way; Swap Meet; The Man Who Sold the World (Live Acoustic); Very Ape; Where Did You Sleep Last Night? (Live Acoustic); You Know You’re Right",4.63,True,9
do,do,AUX,158,33,"About a Girl; All Apologies; Aneurysm; Blew; Breed; Come as You Are; Downer; Drain You; Floyd the Barber; I Hate Myself and Want to Die; Jesus Doesn’t Want Me for a Sunbeam (Live Acoustic); Lake of Fire (Live Acoustic); Lithium; Lounge Act; Love Buzz; Milk It; Mr. Moustache; Oh, Me (Live Acoustic); On a Plain; Paper Cuts; Plateau (Live Acoustic); Radio Friendly Unit Shifter; Rape Me; Serve the Servants; Sliver; Smells Like Teen Spirit; Something In the Way; Stay Away; Territorial Pissings; The Man Who Sold the World (Live Acoustic); Tourette’s; Very Ape; Where Did You Sleep Last Night? (Live Acoustic)",4.79,True,10
