"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Don’t Look Back in Anger","Oasis","Time Flies... 1994-2009 (Limited Edition)","","October 2, 1995","3692667","283","42","","https://genius.com/Oasis-dont-look-back-in-anger-lyrics","106380","Slip inside the eye of your mind
Don't you know you might find
A better place to play?
You said that you'd never been
But all the things that you've seen
Will slowly fade away

So I start a revolution from my bed
'Cause you said the brains I had went to my head
Step outside, summertime's in bloom
Stand up beside the fireplace
Take that look from off your face
You ain't ever gonna burn my heart out

And so, Sally can wait
She knows it's too late as we're walkin' on by
Her soul slides away
""But don't look back in anger,"" I heard you say

Take me to the place where you go
Where nobody knows
If it's night or day
Please don't put your life in the hands
Of a rock 'n' roll band
Who'll throw it all away

I'm gonna start a revolution from my bed
'Cause you said the brains I had went to my head
Step outside, 'cause summertime's in bloom
Stand up beside the fireplace
Take that look from off your face
'Cause you ain't ever gonna burn my heart out

And so, Sally can wait
She knows it's too late as she's walking on by
My soul slides away
""But don't look back in anger,"" I heard you say

So, Sally can wait
She knows it's too late as we're walking on by
Her soul slides away
""But don't look back in anger,"" I heard you say
So, Sally can wait
She knows it's too late as she's walking on by
My soul slides away
""But don't look back in anger
Don't look back in anger,"" I heard you say

""At least not today"""
"2","Wonderwall","Oasis","Time Flies... 1994-2009 (Limited Edition)","","October 2, 1995","2846511","283","42","","https://genius.com/Oasis-wonderwall-lyrics","76654","Today is gonna be the day
That they're gonna throw it back to you
By now, you should've somehow
Realised what you gotta do
I don't believe that anybody
Feels the way I do about you now

Backbeat, the word is on the street
That the fire in your heart is out
I'm sure you've heard it all before
But you never really had a doubt
I don't believe that anybody
Feels the way I do about you now

And all the roads we have to walk are winding
And all the lights that lead us there are blinding
There are many things that I would like to say to you
But I don't know how

Because maybe
You're gonna be the one that saves me
And after all
You're my wonderwall

Today was gonna be the day
But they'll never throw it back to you
By now, you should've somehow
Realised what you're not to do
I don't believe that anybody
Feels the way I do about you now

And all the roads that lead you there were winding
And all the lights that light the way are blinding
There are many things that I would like to say to you
But I don't know how

I said maybe
You're gonna be the one that saves me
And after all
You're my wonderwall
I said maybe (I said maybe)
You're gonna be the one that saves me
And after all
You're my wonderwall

I said maybe (I said maybe)
You're gonna be the one that saves me (That saves me)
You're gonna be the one that saves me (That saves me)
You're gonna be the one that saves me (That saves me)"
"3","Stand by Me","Oasis","Time Flies... 1994-2009 (Limited Edition)","","August 21, 1997","1647662","346","52","","https://genius.com/Oasis-stand-by-me-lyrics","230086","Made a meal and threw it up on Sunday
I've got a lot of things to learn
Said I would and I'll be leaving one day
Before my heart starts to burn

So what's the matter with you?
Sing me something new
Don't you know the cold and wind and rain don't know?
They only seem to come and go away

Times are hard when things have got no meaning
I've found a key upon the floor
Maybe you and I will not believe in
The things we find behind the door

So what's the matter with you?
Sing me something new
Don't you know the cold and wind and rain don't know?
They only seem to come and go away

Stand by me,
nobody knows
the way it's gonna be
Stand by me,
nobody knows
the way it's gonna be
Stand by me,
nobody knows
the way it's gonna be
Stand by me,
nobody knows
Yeah, nobody knows
the way it's gonna be

If you're leaving will you take me with you?
I'm tired of talking on my phone
There is one thing I can
never give you
My heart will never be your home

So what's the matter with you?
Sing me something new
Don't you know the cold and wind and rain don't know?
They only seem to come and go away, hey, hey

Stand by me, nobody knows the way it's gonna be
Stand by me, nobody knows the way it's gonna be
Stand by me, nobody knows the way it's gonna be
Stand by me, nobody knows
Yeah, nobody knows the way it's gonna be

The way it's gonna be, yeah
Maybe I can see, yeah
Don't you know the cold and wind and rain don't know?
They only seem to come and go away, hey, hey

Stand by me, nobody knows the way it's gonna be
Stand by me, nobody knows the way it's gonna be
Stand by me, nobody knows the way it's gonna be
Stand by me, nobody knows
Yeah, God only knows the way it's gonna be"
"4","Champagne Supernova","Oasis","(What’s The Story) Morning Glory? (Deluxe Remastered Edition)","","October 2, 1995","898240","368","60","","https://genius.com/Oasis-champagne-supernova-lyrics","92631","How many special people change?
How many lives are living strange?
Where were you while we were gettin' high?
Slowly walking down the hall
Faster than a cannonball
Where were you while we were gettin' high?

Someday, you will find me caught beneath the landslide
In a champagne supernova in the sky
Someday you will find me caught beneath the landslide
In a champagne supernova, a champagne supernova in the sky

Wake up the dawn and ask her why
A dreamer dreams she never dies
Wipe that tear away now from your eye
Slowly walking down the hall
Faster than a cannonball
Where were you while we were gettin' high?

Someday, you will find me caught beneath the landslide
In a champagne supernova in the sky
Someday, you will find me caught beneath the landslide
In a champagne supernova, a champagne supernova

'Cause people believe
That they're gonna get away for the summer
But you and I, we live and die
The world's still spinnin' 'round; we don't know why
Why? Why? Why? Why?

How many special people change?
How many lives are livin' strange?
Where were you while we were gettin' high?
Slowly walking down the hall
Faster than a cannonball
Where were you while we were gettin' high?

Someday, you will find me caught beneath the landslide
In a champagne supernova in the sky
Someday, you will find me caught beneath the landslide
In a champagne supernova, a champagne supernova

'Cause people believe
That they're gonna get away for the summer (C'mon!)
But you and I, we live and die
The world's still spinnin' 'round, we don't know why
Why? Why? Why? Why?

Na, na, na (Hoo)
Na, na, na, na (Hoo)
Na, na, na (Hoo)
Na, na, na, na (Hoo)
Na, na (Hoo, hoo)
Na, na (Hoo, hoo)
Na, na, na (Hoo, hoo, hoo)

How many special people change?
How many lives are living strange?
Where were you while we were getting high? (Hoo)
We were gettin' high
We were gettin' high (Hoo)
We were getting high
We were gettin' high (Hoo)
We were gettin' high
We were getting high (Hoo)
We were getting high
We were gettin' high (Hoo)
We were gettin' high
(Hoo)"
"5","Supersonic","Oasis","Definitely Maybe (Deluxe Remastered Edition)","","April 11, 1994","394575","245","37","","https://genius.com/Oasis-supersonic-lyrics","327470","I need to be myself
I can't be no one else
I'm feeling supersonic, give me gin and tonic
You can have it all, but how much do you want it?
You make me laugh
Give me your autograph
Can I ride with you in your BMW?
You can sail with me in my yellow submarine

You need to find out
'Cause no one's gonna tell you what I'm on about
You need to find a way for what you want to say
But before tomorrow

'Cause my friend said he'd take you home
He sits in a corner all alone
He lives under a waterfall
Nobody can see him
Nobody can ever hear him call
Nobody can ever hear him call

(Ah, ah-ah)

You need to be yourself
You can't be no one else
I know a girl called Elsa, she's into Alka-Seltzer
She sniffs it through a cane on a supersonic train
And she makes me laugh
I got her autograph
She done it with a doctor on a helicopter
She's sniffing in a tissue selling the Big Issue

When she finds out
No one's gonna tell her what I'm on about
You need to find a way for what you want to say
But before tomorrow

'Cause my friend said he'd take you home
He sits in a corner all alone
He lives under a waterfall
Nobody can see him
Nobody can ever hear him call
Nobody can ever hear him call"
"6","Live Forever","Oasis","Definitely Maybe (Deluxe Remastered Edition)","","August 8, 1994","383248","251","46","","https://genius.com/Oasis-live-forever-lyrics","92630","(Oh yeah)

Maybe, I don't really wanna know
How your garden grows
'Cause I just wanna fly
Lately, did you ever feel the pain
In the morning rain
As it soaks you to the bone?

Maybe I just wanna fly
Wanna live, I don't wanna die
Maybe I just wanna breathe
Maybe I just don't believe
Maybe you're the same as me
We see things they'll never see
You and I are gonna live forever

I said maybe, I don't really wanna know
How your garden grows
'Cause I just wanna fly
Lately, did you ever feel the pain
In the morning rain
As it soaks you to the bone?

Maybe I will never be
All the things that I wanna be
Now is not the time to cry
Now's the time to find out why
I think you're the same as me
We see things they'll never see
You and I are gonna live forever

Maybe, I don't really wanna know
How your garden grows
'Cause I just wanna fly
Lately, did you ever feel the pain
In the morning rain
As it soaks you to the bone?

Maybe I just wanna fly
Wanna live, I don't wanna die
Maybe I just wanna breathe
Maybe I just don't believe
Maybe you're the same as me
We see things they'll never see
You and I are gonna live forever
Gonna live forever
Gonna live forever

We're gonna live forever
We're gonna live forever
We're gonna live forever
We're gonna live forever"
"7","Morning Glory","Oasis","(What’s The Story) Morning Glory? (Deluxe Remastered Edition)","","September 15, 1995","299695","268","44","","https://genius.com/Oasis-morning-glory-lyrics","131322","All your dreams are made
When you're chained to the mirror and the razor blade
Today's the day that all the world will see
Another sunny afternoon
Walking to the sound of my favourite tune
Tomorrow never knows what it doesn't know too soon

Need a little time to wake up
Need a little time to wake up, wake up
Need a little time to wake up
Need a little time to rest your mind
You know you should, so I guess you might as well

What's the story, morning glory?
Well?
You need a little time to wake up, wake up
Well?
What's the story, morning glory?
Well?
Need a little time to wake up, wake up

All your dreams are made
When you're chained to the mirror and the razor blade
Today's the day that all the world will see
Another sunny afternoon
Walkin' to the sound of my favourite tune
Tomorrow never knows what it doesn't know too soon

Need a little time to wake up
Need a little time to wake up, wake up
Need a little time to wake up
Need a little time to rest your mind
You know you should, so I guess you might as well

What's the story, morning glory?
Well?
Need a little time to wake up, wake up
Well?
What's the story, morning glory?
Well?
You need a little time to wake up, wake up
Well?
What's the story, morning glory?
Well?
Need a little time to wake up, wake up
Well?
What's the story, morning glory?
Well?
Need a little time to wake up, wake up"
"8","Stop Crying Your Heart Out","Oasis","Time Flies... 1994-2009 (Limited Edition)","","June 17, 2002","279117","202","43","","https://genius.com/Oasis-stop-crying-your-heart-out-lyrics","338599","Hold up
Hold on
Don't be scared
You'll never change what's been and gone
May your smile (May your smile)
Shine on (Shine on)
Don't be scared (Don't be scared)
Your destiny may keep you warm

'Cause all of the stars
Are fading away
Just try not to worry
You'll see them someday
Take what you need
And be on your way
And stop crying your heart out

Get up (Get up)
Come on (Come on)
Why're you scared? (I'm not scared)
You'll never change what's been and gone

'Cause all of the stars
Are fading away
Just try not to worry
You'll see them someday
Take what you need
And be on your way
And stop crying your heart out

'Cause all of the stars
Are fading away
Just try not to worry
You'll see them someday
Just take what you need
And be on your way
And stop crying your heart out

We're all of us stars
We're fading away
Just try not to worry
You'll see us someday
Just take what you need
And be on your way
And stop crying your heart out
Stop crying your heart out
Stop crying your heart out
Stop crying your heart out"
"9","Slide Away","Oasis","Definitely Maybe (Deluxe Remastered Edition)","","August 29, 1994","249505","470","83","","https://genius.com/Oasis-slide-away-lyrics","286019","Slide away and give it all you've got
My today fell in from the top
I dream of you and all the things you say
I wonder where you are now

Hold me down, all the world's asleep
Need you now, you've knocked me off my feet
I dream of you and we talk of growing old
But you said, ""Please don't""

Slide in baby, together we'll fly
I've tried praying
But I don't know what you're saying to me

Now that you're mine
We'll find a way of chasing the Sun
Let me be the one who shines with you
In the morning, we don't know what to do
Two of a kind
We'll find a way to do what we've done
Let me be the one who shines with you
And we can slide away

Slide away
Slide away
Away

Slide away and give it all you've got
My today fell in from the top
I dream of you and all the things you say
I wonder where you are now

Slide in baby, together we'll fly
I've tried praying
And I know just what you're saying to me

Now that you're mine
We'll find a way of chasing the Sun
Let me be the one who shines with you
In the morning, we don't know what to do
We're two of a kind
We'll find a way to do what we've done
Oh, let me be the one who shines with you
And we can slide away

Slide away
Slide away
Slide away
Slide away (And I wanna try now, I wanna make you mine now)
Slide away (And I wanna try now, I wanna make you mine now)
Slide away (And I wanna try now, I wanna make you mine now)
Slide away (And I wanna try now, I wanna make you mine now)

(Ooh, ooh-ooh)
(Ooh, ooh-ooh)
(
I don't know, I don't care
All I know is you can take me there
)
(
I don't know, I don't care
All I know is you can take me there
) Slide away
(
I don't know, I don't care
All I know is you can take me there
) Slide away
(
I don't know, I don't care
All I know is you can take me there
) Slide away
(
I don't know, I don't care
All I know is you can take me there
) Slide away
(
Take me there, take me there
Take me there, take me there
) Slide away
(
Take me there, take me there
All I know is you can take me there
) Slide away
(
Take me there, take me there
Take me there, take me there
) Slide away
(
Take me there, take me there
) Slide away
Slide away
Slide away"
"10","Acquiesce","Oasis","(What’s The Story) Morning Glory? (Deluxe Remastered Edition)","","April 24, 1998","238438","285","46","","https://genius.com/Oasis-acquiesce-lyrics","386866","Well?
What's the story, morning glory?
Well?
Need a little time to wake up, wake up
Well?
What's the story, morning glory?

I don't know what it is that makes me feel alive
I don't know how to wake the things that sleep inside
I only wanna see the light that shines behind your eyes
I hope that I can say the things I wish I'd said
To sing my soul to sleep and take me back to bed
Who wants to be alone when we can feel alive instead?

Because we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
Because we need each other
We believe in one another
I know we're going to uncover
What's sleepin' in our soul
What's sleepin' in our soul

There are many things that I would like to know
And there are many places that I wish to go
But everything's depending on the way the wind may blow
I don't know what it is that makes me feel alive
I don't know how to wake the things that sleep inside
I only want to see the light that shines behind your eyes

Because we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
Because we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
What's sleepin' in our soul

What's sleepin' in our soul
What's sleepin' in our soul
'Cause we believe
'Cause we believe
Yeah, we believe
'Cause we believe
'Cause we believe
'Cause we believe
Because we need
Because we need"
