word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,640,48,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Champagne Supernova; Cigarettes & Alcohol; Columbia; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Fuckin’ in the Bushes; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Songbird; Stand by Me; Supersonic; Talk Tonight; The Importance of Being Idle; The Masterplan; Underneath the Sky; Up in the Sky; Whatever; Wonderwall",13.33,True,1
you,you,PRON,627,46,"All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Champagne Supernova; Cigarettes & Alcohol; Columbia; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Fuckin’ in the Bushes; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Stand by Me; Stop Crying Your Heart Out; Supersonic; Talk Tonight; The Importance of Being Idle; The Masterplan; Up in the Sky; Whatever; Wonderwall",13.63,True,2
the,the,DET,545,50,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Cast No Shadow; Champagne Supernova; Cigarettes & Alcohol; Columbia; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Fuckin’ in the Bushes; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Songbird; Stand by Me; Stop Crying Your Heart Out; Supersonic; Talk Tonight; The Importance of Being Idle; The Masterplan; Underneath the Sky; Up in the Sky; Whatever; Wonderwall",10.9,True,3
and,and,CCONJ,298,46,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Cast No Shadow; Champagne Supernova; Cigarettes & Alcohol; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fuckin’ in the Bushes; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Songbird; Stand by Me; Stop Crying Your Heart Out; Supersonic; Talk Tonight; The Masterplan; Underneath the Sky; Whatever; Wonderwall",6.48,True,4
la,la,PROPN,273,3,All Around The World; Bonehead’s Bank Holiday; I’m Outta Time,91.0,False,5
it,it,PRON,271,41,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Cigarettes & Alcohol; Digsy’s Dinner; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Fuckin’ in the Bushes; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Little By Little; Live Forever; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Stand by Me; Supersonic; The Importance of Being Idle; The Masterplan; Underneath the Sky; Up in the Sky; Whatever; Wonderwall",6.61,True,6
to,to,PART,263,48,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Cast No Shadow; Cigarettes & Alcohol; Columbia; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Fuckin’ in the Bushes; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Songbird; Stand by Me; Stop Crying Your Heart Out; Supersonic; Talk Tonight; The Importance of Being Idle; The Masterplan; Underneath the Sky; Up in the Sky; Whatever; Wonderwall",5.48,True,7
a,a,DET,262,46,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Cast No Shadow; Champagne Supernova; Cigarettes & Alcohol; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Fuckin’ in the Bushes; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Songbird; Stand by Me; Supersonic; Talk Tonight; The Importance of Being Idle; The Masterplan; Underneath the Sky; Up in the Sky; Whatever; Wonderwall",5.7,True,8
s,'s,PART,258,44,"Acquiesce; All Around The World; Be Here Now; Bonehead’s Bank Holiday; Bring It On Down; Cast No Shadow; Champagne Supernova; Cigarettes & Alcohol; Columbia; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Gas Panic!; Hello; Hey Now!; I Hope, I Think, I Know; I’m Outta Time; Let There Be Love; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rock ‘n’ Roll Star; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Songbird; Stand by Me; Stop Crying Your Heart Out; Supersonic; The Importance of Being Idle; The Masterplan; Underneath the Sky; Up in the Sky; Whatever",5.86,True,9
n't,not,PART,232,42,"Acquiesce; All Around The World; Bonehead’s Bank Holiday; Bring It On Down; Champagne Supernova; Columbia; Digsy’s Dinner; Don’t Go Away; Don’t Look Back in Anger; D’Yer Wanna Be A Spaceman?; D’You Know What I Mean?; Fade Away; Gas Panic!; Go Let It Out; Half the World Away; Hello; Hey Now!; I Hope, I Think, I Know; Let There Be Love; Listen Up; Little By Little; Live Forever; Lyla; Married with Children; Morning Glory; Rockin’ Chair; Roll with It; Sad Song; Shakermaker; She Is Love; She’s Electric; Slide Away; Some Might Say; Stand by Me; Stop Crying Your Heart Out; Supersonic; Talk Tonight; The Importance of Being Idle; The Masterplan; Up in the Sky; Whatever; Wonderwall",5.52,True,10
