"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Magic Moments","Perry Como","Yesterday & Today ~ A Celebration In Song","","1957","76135","170","34","","https://genius.com/Perry-como-magic-moments-lyrics","962821","Magic moments
When two hearts are caring
Magic moments
Memories we've been sharing

I'll never forget the moment we kissed
The night of the hayride
The way that we hugged to try to keep warm
While taking a sleigh ride

Magic moments
Memories we've been sharing
Magic moments
When two hearts are caring
Time can't erase the memory of
These magic moments filled with love

The telephone call that tied up the line
For hours and hours
The Saturday dance, I got up the nerve
To send you some flowers

Magic moments
Memories we've been sharing
Magic moments
When two hearts are caring
Time can't erase the memory of
These magic moments filled with love

The way that we cheered
Whenever our team was scoring a touchdown
The time that the floor fell out of my car
When I put the clutch down

The penny arcade, the games that we played
The fun and the prizes
The Halloween hop when everyone came
In funny disguises

Magic moments
Filled with love"
"2","Killing Me Softly With Her Song","Perry Como","And I Love You So","","1973","35335","216","27","","https://genius.com/Perry-como-killing-me-softly-with-her-song-lyrics","1491790","I heard she sang a good song, I heard she had a style
And so I came to see her and listen for a while
And there she was this young girl, a stranger to my eyes

Strumming my pain with her fingers
Singing my life with her words
Killing me softly with her song
Killing me softly with her song
Telling my whole life with her words
Killing me softly with her song

I felt all flushed with fever, embarrassed by the crowd
I felt she found my letters and read each one out loud
I prayed that she would finish but she just kept right on

Strumming my pain with her fingers
Singing my life with her words
Killing me softly with her song
Killing me softly with her song
Telling my whole life with her words
Killing me softly with her song

She sang as if she knew me in all my dark despair
And then she looked right through me as if I wasn't there
But she was there, this stranger, singing clear and strong

Strumming my pain with her fingers
Singing my life with her words
Killing me softly with her song
Killing me softly with her song
Telling my whole life with her words
Killing me softly with her song"
"3","Frosty the Snowman","Perry Como","Greatest Christmas Songs","","May 21, 1953","32009","242","43","","https://genius.com/Perry-como-frosty-the-snowman-lyrics","973630","Frosty the snowman
Was a jolly happy soul
With a corncob pipe and a button nose
And two eyes made of coal

Frosty the snowman
Is a fairytale, they say
He was made of snow
But the children know
How he came to life one day

There must have been some magic in
That old silk they found
For when they placed it on his head
He began to dance around!

Oh, frosty, the snowman
Was alive as he could be;
And the children say
He could laugh and play
Just the same as you and me

Frosty, clumsy as he can be
See him lopping along!
Off he goes on an icicle spree
With a happy song!

Frosty the snowman
Knew the sun was hot that day
So he said, ""let's run, and we'll have some fun
Now, before I melt away.""

Down to the village
With a broomstick in his hand
Runnin' here and there
All around the square
Sayin', ""catch me if you can.""

He led them down the streets of town
Right to the traffic cop . .
And only paused a moment
When he heard him holler, ""stop!""

Hmm, frosty the snowman
Had to hurry on his way
But he waved goodbye, sayin' ""don't you cry
I'll be back again some day.""

Thumpety, thump thump, thumpety, thump thump . .
Look at frosty go!
Thumpety, thump thump, thumpety, thump thump . .
Over the hills of snow!"
"4","And I Love You So","Perry Como","Yesterday & Today ~ A Celebration In Song","","","24058","150","28","","https://genius.com/Perry-como-and-i-love-you-so-lyrics","1342677","And I love you so
The people ask me how
How I've lived 'til now
I tell them I don't know

I guess they understand
How lonely life has been
But life began again
The day you took my hand

And yes, I know
How lonely life can be
The shadows follow me
And the night won't set me free
But I don't let the evening get me down
Now that you're around me

And you love me too
Your thoughts are just for me
You set my spirit free
I'm happy that you do

The book of life is brief
And once the page is read
All but life is dead
That is my belief

And yes, I know
How lonely life can be
The shadows follow me
And the night won't set me free
But I don't let the evening get me down
Now that you're around me"
"5","Home For The Holidays","Perry Como","Greatest Christmas Songs","","November 16, 1954","19998","212","32","","https://genius.com/Perry-como-home-for-the-holidays-lyrics","992891","Oh, there's no place like home for the holidays
'Cause no matter how far away you roam
When you pine for the sunshine of a friendly gaze
For the holidays, you can't beat home, sweet home

I met a man who lives in Tennessee
And he was headin' for
Pennsylvania, and some homemade pumpkin pie
From Pennsylvania, folks are travelin'
Down to Dixie's sunny shore
From Atlantic to Pacific
Gee, the traffic is terrific

Oh, there's no place like home for the holidays
'Cause no matter how far away you roam
If you want to be happy in a million ways
For the holidays
You can't beat home, sweet home

Oh, there's no place like home for the holidays
When you pine for the sunshine of a friendly gaze

I met a man who lives in Tennessee
And he was headin' for
Pennsylvania, and some homemade pumpkin pie
From Pennsylvania, folks are travelin'
Down to Dixie's sunny shore
From Atlantic to Pacific
Gee, the traffic is terrific

Oh, there's no place like home for the holidays
'Cause no matter how far away you roam
If you want to be happy in a million ways
For the holidays
You can't beat home, sweet home

For the holidays
You can't beat home, sweet home"
"6","Catch a Falling Star","Perry Como","Yesterday & Today ~ A Celebration In Song","","1957","18735","239","32","","https://genius.com/Perry-como-catch-a-falling-star-lyrics","188400","Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day

For love may come and tap you on the shoulder
Some starless night
Just in case you feel you want to hold her
You'll have a pocketful of starlight

Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day

For love may come and tap you on the shoulder
Some starless night
Just in case you feel you want to hold her
You'll have a pocketful of starlight
(Pocketful of starlight, hm, hm, hm, hm, hm, hm)

Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day

(Save it for a rainy, save it for a rainy, rainy, rainy, day)

For when your troubles start multiplying
And they just might
It's easy to forget them without trying
With just a pocketful of starlight

Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day
(Save it for a rainy day)
Save it for a rainy day"
"7","I Love You Truly","Perry Como","I Love You Truly","","1948","16437","64","10","","https://genius.com/Perry-como-i-love-you-truly-lyrics","917568","I love you truly, truly, dear
Life with its sorrow, life with its tear
They fade into dreams when I feel you are near
For I love you truly
Truly dear

A love 'tis something, to feel your kind hand
Ah yes, 'tis something, by your side to stand
Gone is the sorrow, gone doubt and fear
For you love me truly
Truly dear"
"8","Delaware","Perry Como","Yesterday & Today ~ A Celebration In Song","","","15780","215","24","","https://genius.com/Perry-como-delaware-lyrics","1354640","Oh, what did Delaware, boy, what did Delaware?
What did Delaware, boy, what did Delaware?
She wore a brand New Jersey, she wore a brand New Jersey
She wore a brand New Jersey, that's what she did wear
(One, two, three, four)

Oh, why did California, why did Californ'?
Why did California, was she all alone?
She called to say Hawaii, she called to say How are ya
She called to say how are ya, that's why she did phone
(Uno, dos, tres, cuatro)

Oh, what did Mississip', boy, what did Missi sip?
What did Missi sip boy, through her pretty lips?
She sipped a Minnesota, she sipped a mini soda
She sipped a mini soda, that's what she did sip

Oh, where has Oregon, boy, where as Ora gone?
If you want Alaska, I'll ask her where she's gone
She went to pay her Texas, she went to pay her taxes
She went to pay her taxes, that's where she has gone

Oh, how did Wisconsin, boy, she stole a NeBras-ky
Too bad that Arkan-sas boy, and so did Tenne-see
It made poor Flora-di, it made poor Flora-di you see
She died in Missouri, boy, she died in Misery

Oh, what did Delaware, boy, what did Delaware
What did Delaware, boy, what did Delaware"
"9","Here We Come a Here We Come A-Caroling / We Wish You a Merry Christmas","Perry Como","A Perry Como Christmas","","1959","14942","186","34","","https://genius.com/Perry-como-here-we-come-a-here-we-come-a-caroling-we-wish-you-a-merry-christmas-lyrics","1724316","Here we come a-caroling
Among the leaves so green
Here we coma a-wandering
So fair to be seen

Love and joy come to you
And to you glad Christmas too
And God bless you and send you
A Happy New Year
And God send you a Happy New Year

We are not daily beggars
That go from door to door
But we are friendly neighbors
Whom you have seen before

Love and joy come to you
And to you glad Christmas too
And God bless you and send you
A Happy New Year
And God send you a Happy New Year

We wish you a Merry Christmas
We wish you a Merry Christmas
We wish you a Merry Christmas
And a Happy New Year
Good tidings to you
Wherever you are
Good tidings for Christmas
And a Happy New Year
We wish you a Merry Christmas
We wish you a Merry Christmas
We wish you a Merry Christmas
And a Happy New Year
We wish you a Merry Christmas
We wish you a Merry Christmas
We wish you a Merry Christmas
And a Happy New Year"
"10","Papa Loves Mambo","Perry Como","Yesterday & Today ~ A Celebration In Song","","August 31, 1954","14657","223","46","","https://genius.com/Perry-como-papa-loves-mambo-lyrics","1238480","Papa loves mambo
Mama loves mambo
Look at 'em sway with it, gettin' so gay with it
Shoutin' ""olé"" with it, wow! (ooh!)

Papa loves mambo
(Papa loves mambo)
Mama loves mambo
(Mama loves mambo)
Papa does great with it, swings like a gate with it
He loses weight with it, now!

He goes to, she goes fro
He goes fast, she goes slow
He goes left 'n' she goes right
(Papa's lookin' for mama but mama is nowhere in sight) oooh!

Papa loves mambo
Mama loves mambo
Havin' their fling again, younger than Spring again
Feelin' that zing again, wow! (ooh!)

Papa loves mambo
(Papa loves mambo)
Mama loves mambo
(Mama loves mambo)
Don't let her rumba and don't let her samba
Cause papa loves mama tonight (ooh!)

(Papa loves mambo)
(Mama loves mambo)

(Papa loves mambo)
(Mama loves mambo)

He goes to, she goes fro
He goes fast, she goes slow
He goes left 'n' she goes right
(Papa's lookin' for mama but mama is nowhere in sight) (ooh!)

Papa loves mambo
(Papa loves mambo)
Mama loves mambo
(Mama loves mambo)
Havin' their fling again, younger than Spring again
Feelin' that zing again, wow! (ooh!)

(Papa loves mambo)
Mambo papa
(Mama loves mambo)
Mambo mama
(Don't let her rumba and don't let her samba)
Cause papa--
Loves a mambo tonight

(ooh!)"
