word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
a,a,DET,329,45,"A Dreamer’s Holiday; Anema e core; Because; Bibbidi-Bobbidi-Boo (The Magic Song); Bless This House; C-H-R-I-S-T-M-A-S; Catch a Falling Star; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); For the Good Times; Forever and Ever; Frosty the Snowman; Here We Come a Here We Come A-Caroling / We Wish You a Merry Christmas; Home For The Holidays; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Believe; I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Magic Moments; Mother Dear, O Pray For Me; O Holy Night (Cantique de Noel); Papa Loves Mambo; Patricia; Prisoner of Love; Round and Round; Seattle; Sunrise, Sunset; The Father of Girls; Til the End of Time; Toselli’s Serenade; Twelve Days Of Christmas; We Get Letters; Where Do I Begin; Without a Song; ‘A’ - You’re Adorable",7.31,True,1
you,you,PRON,329,36,A Dreamer’s Holiday; And I Love You So; Anema e core; Because; Bibbidi-Bobbidi-Boo (The Magic Song); Catch a Falling Star; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; Feelings; For the Good Times; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Here We Come a Here We Come A-Caroling / We Wish You a Merry Christmas; Home For The Holidays; Hot Diggity (Dog Ziggity Boom); I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; Magic Moments; Patricia; Prisoner of Love; Round and Round; Seattle; The Father of Girls; Til the End of Time; Toselli’s Serenade; We Get Letters; ‘A’ - You’re Adorable,9.14,True,2
the,the,DET,308,43,"A Dreamer’s Holiday; And I Love You So; Anema e core; Because; Bibbidi-Bobbidi-Boo (The Magic Song); Bless This House; C-H-R-I-S-T-M-A-S; Catch a Falling Star; Christmas Dream; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; For the Good Times; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Here We Come a Here We Come A-Caroling / We Wish You a Merry Christmas; Home For The Holidays; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Believe; I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Magic Moments; O Holy Night (Cantique de Noel); Prisoner of Love; Round and Round; Seattle; Sunrise, Sunset; The Father of Girls; Til the End of Time; Toselli’s Serenade; Twelve Days Of Christmas; We Get Letters; Where Do I Begin; Without a Song; ‘A’ - You’re Adorable",7.16,True,3
i,i,PRON,252,39,"A Dreamer’s Holiday; And I Love You So; Anema e core; Because; Bibbidi-Bobbidi-Boo (The Magic Song); C-H-R-I-S-T-M-A-S; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; Feelings; For the Good Times; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Home For The Holidays; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Believe; I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Magic Moments; Mother Dear, O Pray For Me; Patricia; Prisoner of Love; Sunrise, Sunset; Til the End of Time; Toselli’s Serenade; We Get Letters; Where Do I Begin; Without a Song; ‘A’ - You’re Adorable",6.46,True,4
and,and,CCONJ,247,45,"A Dreamer’s Holiday; And I Love You So; Anema e core; Because; Bibbidi-Bobbidi-Boo (The Magic Song); Bless This House; C-H-R-I-S-T-M-A-S; Catch a Falling Star; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; Feelings; For the Good Times; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Here We Come a Here We Come A-Caroling / We Wish You a Merry Christmas; Home For The Holidays; I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Magic Moments; Mother Dear, O Pray For Me; O Holy Night (Cantique de Noel); Papa Loves Mambo; Patricia; Prisoner of Love; Round and Round; Seattle; Sunrise, Sunset; The Father of Girls; Til the End of Time; Toselli’s Serenade; Twelve Days Of Christmas; We Get Letters; Where Do I Begin; ‘A’ - You’re Adorable",5.49,True,5
to,to,PART,221,42,"A Dreamer’s Holiday; Anema e core; Because; Bless This House; C-H-R-I-S-T-M-A-S; Catch a Falling Star; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; Feelings; For the Good Times; Frosty the Snowman; Here We Come a Here We Come A-Caroling / We Wish You a Merry Christmas; Home For The Holidays; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Believe; I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Magic Moments; Mother Dear, O Pray For Me; Papa Loves Mambo; Prisoner of Love; Round and Round; Seattle; Sunrise, Sunset; Til the End of Time; Toselli’s Serenade; Twelve Days Of Christmas; We Get Letters; Where Do I Begin; Without a Song; ‘A’ - You’re Adorable",5.26,True,6
it,it,PRON,160,31,"A Dreamer’s Holiday; Anema e core; Bibbidi-Bobbidi-Boo (The Magic Song); Bless This House; Catch a Falling Star; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; Feelings; For the Good Times; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Think of You; I Want to Give (Ahora Que Soy Libre); It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; I’m Always Chasing Rainbows; O Holy Night (Cantique de Noel); Papa Loves Mambo; Prisoner of Love; Round and Round; Seattle; Sunrise, Sunset; Where Do I Begin; ‘A’ - You’re Adorable",5.16,True,7
s,us,PRON,147,32,"A Dreamer’s Holiday; Anema e core; Bless This House; C-H-R-I-S-T-M-A-S; Catch a Falling Star; Christmas Dream; Delaware; Dig You Later (A Hubba-Hubba-Hubba); For the Good Times; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Home For The Holidays; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Think of You; It’s Beginning To Look A Lot Like Christmas; It’s Impossible; It’s a Good Day; It’s a Lovely Day Today; I’m Always Chasing Rainbows; Mother Dear, O Pray For Me; O Holy Night (Cantique de Noel); Patricia; Prisoner of Love; Round and Round; Seattle; The Father of Girls; Til the End of Time; Where Do I Begin; Without a Song; ‘A’ - You’re Adorable",4.59,True,8
in,in,ADP,133,37,"A Dreamer’s Holiday; Anema e core; Ave Maria; Because; Bibbidi-Bobbidi-Boo (The Magic Song); Bless This House; C-H-R-I-S-T-M-A-S; Catch a Falling Star; Delaware; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; Feelings; Forever and Ever; Frosty the Snowman; Girl of My Dreams; Home For The Holidays; Hoop-Dee-Doo; I Believe; I Think of You; If; It’s Beginning To Look A Lot Like Christmas; It’s a Lovely Day Today; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Magic Moments; Mother Dear, O Pray For Me; O Holy Night (Cantique de Noel); Patricia; Prisoner of Love; Round and Round; Seattle; The Father of Girls; Til the End of Time; Twelve Days Of Christmas; Where Do I Begin; Without a Song; ‘A’ - You’re Adorable",3.59,True,9
me,i,PRON,132,23,"And I Love You So; Because; C-H-R-I-S-T-M-A-S; Christmas Dream; Dig You Later (A Hubba-Hubba-Hubba); Don’t Let the Stars Get in Your Eyes; For the Good Times; Frosty the Snowman; Hoop-Dee-Doo; Hot Diggity (Dog Ziggity Boom); I Love You Truly; I Think of You; I Want to Give (Ahora Que Soy Libre); If; It’s Impossible; I’m Always Chasing Rainbows; Killing Me Softly With Her Song; Mother Dear, O Pray For Me; Prisoner of Love; Toselli’s Serenade; Twelve Days Of Christmas; Where Do I Begin; ‘A’ - You’re Adorable",5.74,True,10
