"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Happy","Pharrell Williams","Piece By Piece (Music from the Motion Picture)","","November 21, 2014","2598382","522","69","","https://genius.com/Pharrell-williams-happy-lyrics","154031","It might seem crazy what I'm 'bout to say
Sunshine, she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way, huh

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn ya, I'll be just fine (Yeah!)
No offense to you, don’t waste your time, here's why

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Hey! Come on! Uh!)

(Happy) Bring me down
Can't nothing (Happy), bring me down
My level's too high to (Happy), bring me down
Can't nothing (Happy), bring me down, I said
(Let me tell you now)
(Happy, happy, happy, happy) Bring me down
Can't nothing (Happy, happy, happy, happy) bring me down
My level's too high to (Happy, happy, happy, happy)  bring me down
Can't nothing (Happy, happy, happy) bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Hey! Come on! Uh!)

(Happy, happy, happy, happy) Bring me down
Can't nothing (Happy, happy, happy, happy) bring me down
My level's too high to (Happy, happy, happy, happy)  bring me down
Can't nothing (Happy, happy, happy) bring me down, I said…

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Come on)"
"2","Freedom","Pharrell Williams","NOW That’s What I Call Music 2016 [UK]","","June 30, 2015","380085","156","52","","https://genius.com/Pharrell-williams-freedom-lyrics","2038091","Hold on to me
Don't let me go
Who cares what they see?
Who cares what they know?
Your first name is Free
Last name is Dom
'Cause you still believe
In where we’re from

Man's red flower
It's in every living thing
Mind, use your power
Spirit, use your wings
Freedom!
Freedom!
Freedom!
Freedom
Freedom
Freedom

Hold on to me
Don't let me go
Cheetahs need to eat
Run, antelope
Your first name is King
Last name is Dom
'Cause you still believe
In everyone

When a baby first breathes
When night sees sunrise
When the whale hops the sea
When man recognizes
Freedom!
Freedom!
Freedom!
Freedom
Freedom
Breathe in

We are from heat
The electric one
Does it shock you to see
He left us the sun?
Atoms in the air
Organisms in the sea
The sun and yes, man
Are made of the same things

Freedom!
Freedom!
Freedom!
Freedom
Freedom
Freedom
Freedom
Freedom"
"3","Sangria Wine","Pharrell Williams","Just Dance 2019 Official Tracklist ","","May 18, 2018","331119","372","83","","https://genius.com/Pharrell-williams-and-camila-cabello-sangria-wine-lyrics","3037074","Honey said she want somebody break her off proper
(mhm)
Man, she so relentless so nothing can stop her (woo)
Never left the city
(come on, man)
but she swear she's a yardie (hey girl)
Because it's so awesome how she move her body
(ow)
She do the sangria wine
(woo),
sangria wine (uh-huh)
Moving side to side
(woo),
front and behind (uh-huh)
Sangria wine
(woo),
sangria wine (uh-huh)
Sangria wine
(woo)
, do the sangria wine (uh-huh)

Move it, I move it
Move my body like it is a pipe
Tutti Frutti, is all that I got
Counter-clockwise, I'm mixin' it up (mixin' it up)
Sip it, sip it, I'll bet that you blush

Yo sé, yo sé, yo sé, yo sé que tú quieres mi cuerpo, eh
Y quieres controlar mi mente, eh
Y todo el mundo quiere ser dueño de ella
Pero nadie puede, ¡ay!

Honey said she want somebody break her off proper
Man, she so relentless so nothing can stop her (woo)
Never left the city (come on, man) but she swear she's a yardie (yeah!)
Because it's so awesome how she move her body
She do the sangria wine
(woo)
, sangria wine
(uh-huh)
Moving side to side
(woo)
, front and behind
(uh-huh)
Sangria wine
(woo)
, sangria wine
(uh-huh)
Sangria wine
(woo)
, do the sangria wine, yeah
(uh-huh)

(Uno) Wait a minute
(Dos) Wait a second
(Tres) ¿Qué, qué?
Turbo sauce (woo!)

Let's float around like the fruit at the top (huh)
In Miami, where winters are hot

Yo sé, yo sé, yo sé, yo sé que tú quieres mi cuerpo, eh
Y quieres controlar mi mente, eh
Y todo el mundo quiere ser dueño de ella
Pero nadie puede, ¡ay! (noo)

Honey said she want somebody break her off proper
Man, she so relentless so nothing can stop her
Never left the city
(come on, man)
but she swear she's a yardie
(hey darling)
'Cause it's so awesome how I move my body
She do the sangria wine
(woo)
, sangria wine
(uh-huh)
Moving side to side
(woo)
,  front and behind
(uh-huh)
Sangria wine
(woo)
, sangria wine
(uh-huh)
Sangria wine
(woo)
, do the sangria wine, yeah
(uh-huh)

¿Qué, qué?"
"4","Marilyn Monroe","Pharrell Williams","G I R L","","March 3, 2014","291186","516","62","","https://genius.com/Pharrell-williams-marilyn-monroe-lyrics","370411","Different

This one goes out to all the lovers
What can we do? We're helpless romantics
We can not help who we're attracted to
So let's all dance, and elevate each other

Dear diary (Oh, dear diary), it's happenin' again (happenin' again)
This energy (Oh the energy), like I'm 'bout to win (I'm 'bout to win)
I just close my eyes (I close my eyes) and visions appear (Visions appear)
She's everything I want (Everything I want), and it's crystal clear

Not even Marilyn Monroe (Marilyn Monroe)
Who? Cleopatra? Please (Cleopatra, please)
Not even Joan of Arc (Joan of Arc)
That don't mean nothin' to me
I just want a different girl

Girl, girl, girl, girl
Girl, girl, can't another good boy keep it this thorough

Why, why do I have to lie?
Pretend, make believe or hide, uh
When I love what I've described
But then again, I don't need no adjectives for this girl

Dear diary (Oh, dear diary), it's happenin' again (happenin' again)
This energy (Oh the energy), like I'm 'bout to win (I'm 'bout to win)
I just close my eyes (I close my eyes) and visions appear (Visions appear)
She's everything I want (Everything I want), and it's crystal clear

Not even Marilyn Monroe (Marilyn Monroe)
Who? Cleopatra? Please (Cleopatra, please)
Not even Joan of Arc (Joan of Arc)
That don't mean nothin' to me
I just want a different girl

Girl, girl, girl, girl
Girl, girl, can't another good boy keep it this thorough

Dear diary (Oh, dear diary), it's happenin' again (happenin' again)
This energy (Oh the energy), like I'm 'bout to win (I'm 'bout to win)
I just close my eyes (I close my eyes) and visions appear (Visions appear)
She's everything I want (Everything I want), and it's crystal clear

Not even Marilyn Monroe (Marilyn Monroe)
Who? Cleopatra? Please (Cleopatra, please)
Not even Joan of Arc (Joan of Arc)
That don't mean nothin' to me
I just want a different girl

What's wrong with that? Yeah
What's wrong with that?
What's wrong with that?

In honor of the groove and all who's surrendered to it
We say thank you, and we take it back

Wished so hard, I wished so hard that it came true
Then my lucky star, I guess you came from behind the moon
I put my arms around her, and I promise not to abuse you
Since now I found you, why the hell would I want to lose you?

Dear diary (Oh, dear diary), it's happenin' again (happenin' again)
This energy (Oh the energy), like I'm 'bout to win (I'm 'bout to win)
I just close my eyes (I close my eyes) and visions appear (Visions appear)
She's everything I want (Everything I want), and it's crystal clear

Not even Marilyn Monroe (Marilyn Monroe)
Who? Cleopatra? Please (Cleopatra, please)
Not even Joan of Arc (Joan of Arc)
That don't mean nothin' to me
I just want a different girl

Girl, girl, girl, girl
Girl, girl, girl on girl
Girl, girl, girl, girl
Girl, girl, can't another good boy keep it this thorough"
"5","Cash In Cash Out","Pharrell Williams","","","June 10, 2022","255716","965","129","Tyler, The Creator, 21 Savage","https://genius.com/Pharrell-williams-cash-in-cash-out-lyrics","8036634","Straight up

Cash in, cash out, cash in, cash out
Cash in, cash out, cash in, cash out
Cash out, cash out, cash out, cash out
Cash out, cash out, cash out, cash out
Cash in, cash out, cash in, cash out
Cash in, cash out, cash in, cash out
Cash out, cash out, cash out, cash out (21)

Ridin' in the car with no keys (Straight up)
Louis V shirt with no sleeves (On God)
Slaughter Gang, nigga, I'm reppin' (21)
Chopper get to preachin', I'm the reverend (21)
Call him New Era, he cappin' (Yeah)
Them the type of niggas I ain't dappin' (On God)
When I book a show, make my backend cashin'
21, Uncle Sam, dawg, I'm taxin'
Ridin' in the coupe and it's a sport (Yeah)
My bodyguard look like a horse (Straight up)
She gon' suck me up like it's a chore (On God)
Took the LaFerrari on a tour (21)
Buy a Richard Mill' when I get bored (Bored)
Put my sidepiece inside a Porsche (A Porschе)
Money turned me into an assholе
I ain't gon' lie, I was used to being poor (21)
I put Chanel on my feet (And what?)
European model got Chanel on my seats
Put me in a third world country in the middle of the slums
I'ma turn it to a million dollar street (On God)
Pharrell made this so it's a million dollar beat (Straight up)
V12, VVS, I fell in love with Vs (Straight up)
Walk in your section, you ain't reppin' 'bout nothin'
My invoice gon' be a million dollar fee (On God)
Hop in a Bentley and slide (And what?)
Reach for my chain and you die (Say what?)
You know my method, I'ma turn your shirt red, man
Then send your ass how high (On God)
Mama got a Benz, she smiled (21)
Then she got a house, she cried (21)
Nigga took the stand, he lied
Held court in the streets and they gave his ass life (Goddamn)
I'm gettin' bigger and bigger (And what?)
Your pockets littler than little (21)
Put a hundred bands on your head
Now they jumpin' up and down playin' monkey in the middle
She swallow all my kids, she a bad babysitter
Kim Jong-Un, in my pants it's a missile
Friend of the family, I hit all the sisters
The mama love me so she hid all my pistols (Straight up)

Cash in, cash out, cash in, cash out
Cash in, cash out, cash in, cash out
Cash out, cash out, cash out, cash out
Cash out, cash out, cash out, cash out
Cash in, cash out, cash in, cash out
Cash in, cash out, cash in, cash out (
It's Bunnyhop, nigga
)
Cash out, cash out, cash out, cash out (Let me tell these niggas real quick)

Nah, I ain't heard of that, I hit the beach in a furry hat
She got a guy but she purrin' back, I'm lookin' like, ""Where he at?""
Nigga, get out the way (
Way
), that girl my bae (
Hey
)
Rock on my hand, nah, this ain't Dwayne (
Hey, hey
)
This shit neon yellow like pee on it (
Hey, hey
)
Goin' both sides, yeah, you could say I'm B-I (
Hey, hey
)
Got whips like slaves, the garage like, ""Yee-haw""
Horses, more car keys than a piano
One came with an umbrella like Rihanna
Nigga, let's be honest (Umm), be honest
Track needed life, nigga, so they put me on it (Yeah, yeah)
Nigga, you don't be on what we on, and 2-1 got three Ks (
Yeah
)
I think he just might put a sheet on it (
Yeah, yeah
)
Ice so white, motherfucker, you could ski on it (Switch it up)
Look, any stone I'm in, no less than six digits (
Yo, what up, stoner?
)
Beep go the Rolls, right-side, I sit in it (Come on, man)
Tick go the watch, it came with a dent in it (
Come again
)
And skrrt on a plane, just me and my bitch in it (Yo)
(They was talkin' 'bout a hundred million, baby)
Just know it's big business
Hands stay full with them racks like hit tennis (Woo)
And no money, phone account, go get interest
Ah (
Ah
), you got that backend from the backdoor
I got offered two-point-five for the last show (Last show, nigga)
I declined 'cause the stage didn't match my ethos
Hmm, they know that I'm sick with it
Look, player, what you wan' do? (Ooh)
Me, I don't like violence, but the guns do (Ooh)
'Cause that guerilla right there, he gon' hunt you (Ooh)
While me and my bitch countin' stars out the sunroof (
Ooh
)
And if you wanna flick up, I don't want to (Ooh)
And if you say ""No cap"", I ain't trust you (Ooh)
Nigga, I'm the headline, you a plus one (Ooh)
I got some brand new thoughts and a new silk scarf
And my bitch do too (Too)
Double R talk and I got like two (Two)
Turbo on that bitch and it hit like zoom (Zoom)
In the mirror, who that nigga? I'm like, ""You"" (You)
Any time I do something, motherfuckers like, ""Woof, woof""

Cash in, cash out, cash in, cash out
Cash in, cash out, cash in, cash out (
Bunnyhop, bitch
)
Cash out, cash out, cash out, cash out (
Baudelaire, stop fuckin' playin' with me
)
Cash out, cash out, cash out, cash out (I'll buy one of you niggas)
Cash in, cash out, cash in, cash out
Cash in, cash out, cash in, cash out
Cash out, cash out, cash out, cash out (21, 21)"
"6","Double Life","Pharrell Williams","","","June 14, 2024","251559","426","59","","https://genius.com/Pharrell-williams-double-life-lyrics","10374439","Yeah
Brra
Yeah

Hey, what are you hidin'? (Watch)
What you doin' when you're gone? (Hey, hey)
Nothin' wrong bein' private (What?)
Make sure it ain't wrong (Yeah)
Your life, double-sided (Watch)
Two-faced like coins
What side do I get? (Watch)
Which side are you on?

So what have you done? (Brra)
Some of your dirt has come to light (Yeah)
Why were you (Yeah, yeah) speedin' up that hill until the brakes come off? (Hey, hey)
And someone saw you in a fight
Am I right?

It doesn't matter to you if you get hеads or tails
You just don't like to flip all the time
But if you spin it, thеn you get to see both sides
Oh, the thrill of the double life

Lie detector time (Watch)
Do you feel bad when you lie? (Watch)
The look on your face says the best life (Watch)
And then come home like it's fine
Am I right? (Watch)

So what have you done?
Some of your dirt has come to light
Why were you (Yeah, yeah) speedin' up that hill until the brakes come off? (Hey)
And someone saw you in a fight
Am I right? (Ah)

It doesn't matter to you if you get heads or tails
You just don't like to flip all the time
But if you spin it, then you get to see both sides
Oh, the thrill of the double life (Brra)

Who will you be tonight? That's the question (Brra)
Who will Gru be tonight? That's the question (Yeah)

I know you heard the rumors (Hey)
You must get over to it right away, oh
If anyone can do it
You gotta get there soon, it's not okay (Hey)
You got cars to drive, plenty jets to fly (Blah, blah)
When will you arrive? You're running out of time (Phew)
Don't you see that everything is on the line?
So I'm sorry, but you have to choose a side

You'll never know when it's your time to go
Side (Hey)
And where you end up in life, that's code
Side
You can't ignore, you're spinnin' your life (Blah, blah)
Side
Your watch is broken 'cause you spent all your time
Side
It's now or never, on this, everything rides
Side
Before the spinning stops, you must pick a side (Hey, brra)

Who will you be tonight? That's the question (Blah, blah)
Who will Gru be tonight? That's the question (Phew)
Who will you be tonight? (Hey) That's the question (Yeah)
Who will Gru be tonight? (Ayy) That's the question"
"7","Frontin’","Pharrell Williams","Piece By Piece (Music from the Motion Picture)","","June 3, 2003","241307","509","85","JAŸ-Z","https://genius.com/Pharrell-williams-frontin-lyrics","49781","Yeah
I'm looking at you, uh
Sexy, yeah
God, your ass is so fat
Been meaning to get with you
Yeah, yeah

Don't wanna sound full of myself or rude
But you ain't looking at no other dudes
'Cause you love me (I'm sorry, baby, so sexy)
So you think about a chance
You find yourself trying to do my dance
Maybe 'cause you love me (Uh, you do it well)

So then we tried singing it slow now
Because you weren't used to
How fast we touched (Fast we touched)
Then we locked eyes and I knew I was in there
And I was gon' tear your ass up (Tear your ass up)

I know that I'm carrying on
Never mind if I'm showing off
I was just frontin'
You know I want you, babe
I'm ready to bet it all
Unless you don't care at all
But you know I want ya
You should stop frontin', babe

Trying to be the best girlfriend you could be
But still, you sneak and look at me, and girl, I love it, uh
Then you give your other girl a shove
Tell her you gon' call her, ask how it was
And she's gon' love it (Whoa-oh, whoa, yeah, yeah)

So then we tried singing it slow now
Because you weren't used to
How fast we touched (Fast we touched)
Then we locked eyes and I knew I was in there
And I was gon' tear your ass up (Tear your ass up)

I know that I'm carrying on
Never mind if I'm showing off
I was just frontin'
(You know I want you, babe)
I'm ready to bet it all
Unless you don't care at all
But you know I want ya (I want ya)
(You should stop frontin', babe)

Ho!
We got another one, Phar-real!
Dance
I call you ""for real"" (Ooh) 'cause you the truth, haha
Oh-woah
Young, great Hova (Oh-oh)
Uh (Dance), yeah (Ooh), let me talk to 'em
Oh-woah
I'ma keep it real (Oh-oh)

[Verse 3: Jay-Z &
Pharrell Williams
]
Every time your name was brought up
I would act all nonchalant in front of an audience
Like you was just another shorty I put the naughty on
But uh, truth be told
You threw me for a loop, this Hov
I'm too old to be frontin' what I'm feelin', Denzelin'
Actin' like you ain't appealin' when you are
Stuntin' like you ain't my only girl when you are
(I was just frontin')
I'm ready to stop when you are

I know that I'm carrying on
Never mind if I'm showing off
I was just frontin'
(You know I want you, babe)
I'm ready to bet it all
Unless you don't care at all
But you know I want ya (I want ya)
(You should stop frontin', babe)

C'mon (Ho!)
Dance, ooh
Oh-woah (Oh), oh-oh
Dance (Oww!), ooh
Oh-woah (Oh), oh-oh
You like this for real?
Thank you, baby
Look
I'm leavin' now
I'll see you later
I'ma see you through your window
Bye"
"8","Gust of Wind","Pharrell Williams","G I R L","","March 3, 2014","139421","525","87","","https://genius.com/Pharrell-williams-gust-of-wind-lyrics","370526","My heart is filled with love and care
Not an ounce of gas I would get up there
The answer's simple
You lift me up
The view up here, I see all the stars
Ooh, there go Venus, and there go Mars
Somethin' you been through
You're from above, hey

When I first saw you, I got excited
Tried to keep my composure, tryna hide it
But I didn't know
I didn't let go
Then it occurred to me while tryna fight it
Just like a kite, you learn to ride it
But I didn't know
You s'posed to let it go

Like a gust of wind
You head me off sometimes
Like a gust of wind
You push me back every once in a while
Like a gust of wind
You remind me there's someone up there
Who ushers in
The air I need to power my sail

When I open the window
I wanna hug you
'Cause you remind me of the air
I said yeah
'Cause when I'm feelin' real low
I remember I love you
I put my hands in the air
And you were there

With your love, I can board the skies
Riding away that electrified mothership other
Can I stow away? (Can I stow away, girl, girl?)
Colorful winds of the northern sky
It's the closest thing, and here is why
'Cause we're color
You blow me away (Blow me away, girl, girl)

I need it like I breathe it
Music and colors can make one hover
Who cares if they don't see you?
Don't you know that they're the same?
I need it like I breathe it
If you never discover, forever, you'll suffer
Who cares if they don't see you?
You gotta tap in and learn the way

Like a gust of wind
You head me off sometimes
Like a gust of wind
You push me back every once in a while
Like a gust of wind
You remind me there's someone up there
Who ushers in
The air I need to power my sail

When I open the window
I wanna hug you
'Cause you remind me of the air
I said yeah
'Cause when I'm feelin' real low
I remember I love you
I put my hands in the air
And you were there

When I first saw you, I got excited
Tried to keep my composure, tryna hide it
But I didn't know
I didn't let it go
Then I realized I'm trying to fight it
Just so they can learn to ride it
But I didn't know, oh
I had to let it go

Like a gust of wind
You head me off sometimes
Like a gust of wind
You push me back every once in a while
Like a gust of wind
You remind me there's someone up there
Who ushers in
The air I need to power my sail

When I open the window
I wanna hug you
'Cause you remind me of the air
I said yeah
'Cause when I'm feelin' real low
I remember I love you
I put my hands in the air
And you were there"
"9","Come Get It Bae","Pharrell Williams","G I R L","","March 3, 2014","123046","464","68","Miley Cyrus","https://genius.com/Pharrell-williams-come-get-it-bae-lyrics","370517","You miss me?
I miss all of y'all
All y'all girls standin' together like that
I can't take it

Women, I can do anything you like
I can do anything you need
And I got a better body
Than the magazines you read
None of them boys know the first thing
About your fantasy
And if they tried, they cannot do it
Just like me

I know you certainly been gone
And it's been much too long
And there's some things we need to do
So I know you need to get home

Come get it, bae, come get it, bae
Come get it, bae, come get it, bae
You wanna ride it, my motorcycle
You've got a license, but you got the right to
Gonna pop a wheelie, don't try too high to
Take it easy on the clutch, 'cause girl, I like you
Women (Hey)

I can see it the way you like
I can do anything you need
I can give you dirty looks
Like them niggas that's on TV

None of them boys know the first thing
About your fantasy
And if they tried, they cannot do it
Just like me

I know you certainly been gone
And it's been much too long
And there's some things we need to do
So I know you need to get home

Come get it, bae, come get it, bae
Come get it, bae, come get it, bae
You wanna ride it, my motorcycle
You've got a license, but you got the right to
Gonna pop a wheelie, don't try too high to
Take it easy on the clutch, 'cause girl, I like you, hey

There comes a time, comes a time
The craving will grab your wrist
You'll need a sugar fix, baby
There comes a time, comes a time
And you won't believe what you'll do
When that sugar's callin' you

Girl, there will come a time (Sugar, sugar), this is where you wanna be
H-O-M-E (Sugar, sugar), satisfaction guaranteed
And now, it's comes your time (Sugar, sugar), this is where you wanna be
'Cause everything you need (Sugar, sugar), you will only find in me

Come get it, bae, come get it, bae
Come get it, bae, come get it, bae
Come get it, bae, come get it, bae
Come get it, bae, come get it, bae
You wanna ride it, my motorcycle
You've got a license, but you got the right to
Gonna pop a wheelie, don't try too high to
Take it easy on the clutch, 'cause girl, I like you, hey

Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)
Wait a minute (Hey)"
"10","Despicable Me","Pharrell Williams","Despicable Me (Original Motion Picture Soundtrack)","","April 3, 2010","120481","411","71","","https://genius.com/Pharrell-williams-despicable-me-lyrics","87082","I'm having a bad, bad day
It's about time that I get my way
Steamrolling whatever I see, huh
Despicable me
I'm having a bad, bad day
If you take it personal, that's okay
Watch, this is so fun to see, ugh
Despicable me

Why ask ""Why?"", better yet, ""Why not?""
Why are you marking X on that spot?
Why use a blow torch, isn't that hot?
Why use a chainsaw, is that all you got?
Why do you like seeing people in shock?
But my question to you is ""Why not?""
Why go to the bank and stand in line?
Just use a freeze gun, it saves me time

I'm having a bad, bad, day
It's about time that I get my way
Steamrolling whatever I see, huh
Despicable me
I'm having a bad, bad, day
If you take it personal, that's okay
Watch, this is so fun to see,
ugh
Despicable me

Why ask ""Why?"" when this is art?
Why parallel when I could just park?
Why does Vector think that he's smart?
And does his dad know I know his part?
Why did I have to live with my mom?
Why do you think that I should be calm?
Why want the moon, the world's in my palm?
Is it crazy you think I've gone?

I'm having a bad, bad, day
It's about time that I get my way
Steamrolling whatever I see, huh
Despicable me
I'm having a bad, bad, day
If you take it personal, that's okay
Watch, this is so fun to see,
ugh
Despicable me

Freeze ray!
Excuse me if you will
You look like you have time to kill (Freeze ray!)
Huh, can you chill?
'Cause Gru's got the speakers and the trunk to make you bounce, bounce, bounce, bounce, bounce, bounce, bounce
To make you bounce, bounce, bounce, bounce
Haha

I'm having a bad, bad, day
It's about time that I get my way
Steamrolling whatever I see, huh
Despicable me
I'm having a bad, bad, day
If you take it personal, that's okay
Watch, this is so fun to see,
ugh
Despicable me

Despicable, despicable
Despicable me, despicable me
Despicable me, despicable me
Despicable me, despicable me

I'm having a bad, bad, day
It's about time that I get my way
Steamrolling whatever I see, huh
Despicable me
I'm having a bad, bad, day
If you take it personal, that's okay
Watch, this is so fun to see,
ugh
Despicable me"
