word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,967,49,Able; Airplane Tickets; Angel; Baby; Best Friend; Brand New; CC The World; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Freq; Frontin’; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too,19.73,True,1
i,i,PRON,848,47,"Able; Airplane Tickets; Angel; Baby; Best Friend; Brand New; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freq; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); You Can Do It Too",18.04,True,2
the,the,DET,697,50,"Able; Airplane Tickets; Angel; Baby; Best Friend; Brand New; CC The World; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Freq; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too",13.94,True,3
it,it,PRON,662,48,"Able; Airplane Tickets; Angel; Baby; Best Friend; Brand New; CC The World; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Freq; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too",13.79,True,4
to,to,PART,371,47,"Able; Angel; Baby; Best Friend; Brand New; CC The World; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Freq; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); You Can Do It Too",7.89,True,5
and,and,CCONJ,367,45,"Able; Airplane Tickets; Baby; Best Friend; Brand New; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Entrepreneur; Freedom; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; That Girl; There’s Something Special; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too",8.16,True,6
a,a,DET,349,46,"Able; Airplane Tickets; Angel; Baby; Best Friend; Brand New; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Freq; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; That Girl; There’s Something Special; VIRGINIA Boy (Remix); You Can Do It Too",7.59,True,7
s,be,AUX,346,46,"Airplane Tickets; Angel; Baby; Best Friend; Brand New; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Freq; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Prettiest Girls; Raspy Shit; Runnin’; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too",7.52,True,8
that,that,PRON,339,43,Able; Airplane Tickets; Baby; Best Friend; Brand New; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freq; Frontin’; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Sangria Wine; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too,7.88,True,9
n't,not,PART,319,47,"Able; Angel; Baby; Best Friend; Brand New; CC The World; Can I Have It Like That; Cash In Cash Out; Come Get It Bae; Crave; Crystal Clear; Despicable Me; Doctor (Work It Out); Double Life; Down In Atlanta; Entrepreneur; Freedom; Frontin’; Fun, Fun, Fun; Functional Addict; Gush; Gust of Wind; Happy; Here; How Does it Feel?; Hug Me; Hunter; It Girl; Just a Cloud Away; Know Who You Are; Lost Queen; Mamacita; Marilyn Monroe; Number One; Paper Plates; Piece By Piece; Prettiest Girls; Raspy Shit; Runnin’; Show You How to Hustle; Stay With Me; Take It Off (Dim the Lights); That Girl; There’s Something Special; VIRGINIA Boy (Remix); Yellow Light; You Can Do It Too",6.79,True,10
