word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,457,46,"Another Brick in the Wall; Another Brick in the Wall, Pt. 1; Another Brick in the Wall, Pt. 2; Another Brick in the Wall, Pt. 3; Brain Damage; Breathe (In the Air); Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Eclipse; Empty Spaces; Fearless; Goodbye Blue Sky; Have a Cigar; Hey You; High Hopes; In the Flesh (Reprise); In the Flesh?; Learning to Fly; Money; Mother; Nobody Home; On the Run; One of My Turns; Outside the Wall; Pigs (Three Different Ones); Pigs on the Wing (Part One); Run Like Hell; Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Shine On You Crazy Diamond (Pts. 6-9); Speak to Me; The Final Cut; The Happiest Days of Our Lives; The Thin Ice; The Trial; Time; Us and Them; Vera; Waiting for the Worms; Welcome to the Machine; Wish You Were Here; Young Lust",9.93,True,1
you,you,PRON,399,45,"Another Brick in the Wall; Another Brick in the Wall, Pt. 1; Another Brick in the Wall, Pt. 2; Another Brick in the Wall, Pt. 3; Brain Damage; Breathe (In the Air); Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Eclipse; Fearless; Goodbye Blue Sky; Have a Cigar; Hey You; In the Flesh (Reprise); In the Flesh?; Is There Anybody Out There?; Money; Mother; Nobody Home; One of My Turns; One of These Days; Outside the Wall; Pigs (Three Different Ones); Pigs on the Wing (Part One); Run Like Hell; Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Shine On You Crazy Diamond (Pts. 6-9); Speak to Me; The Final Cut; The Great Gig in the Sky; The Happiest Days of Our Lives; The Thin Ice; The Trial; Time; Us and Them; Vera; Waiting for the Worms; Welcome to the Machine; Wish You Were Here; Young Lust",8.87,True,2
and,and,CCONJ,252,40,"Another Brick in the Wall; Another Brick in the Wall, Pt. 3; Brain Damage; Breathe (In the Air); Comfortably Numb; Coming Back to Life; Dogs; Echoes; Eclipse; Fearless; Have a Cigar; Hey You; High Hopes; In the Flesh (Reprise); Learning to Fly; Money; Mother; Nobody Home; On the Run; One of My Turns; Outside the Wall; Pigs (Three Different Ones); Pigs on the Wing (Part One); Run Like Hell; Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Shine On You Crazy Diamond (Pts. 6-9); Speak to Me; The Final Cut; The Great Gig in the Sky; The Happiest Days of Our Lives; The Thin Ice; The Trial; Time; Us and Them; Waiting for the Worms; Welcome to the Machine; Wish You Were Here; Young Lust",6.3,True,3
i,i,PRON,177,34,"Another Brick in the Wall; Another Brick in the Wall, Pt. 3; Brain Damage; Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Empty Spaces; Fearless; Have a Cigar; Hey You; In the Flesh (Reprise); Is There Anybody Out There?; Learning to Fly; Money; Mother; Nobody Home; One of My Turns; One of These Days; Pigs on the Wing (Part One); Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 6-9); Speak to Me; The Final Cut; The Great Gig in the Sky; The Trial; Time; Us and Them; Vera; Waiting for the Worms; Wish You Were Here; Young Lust",5.21,True,4
to,to,PART,174,41,"Another Brick in the Wall; Another Brick in the Wall, Pt. 3; Brain Damage; Breathe (In the Air); Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Eclipse; Empty Spaces; Fearless; Goodbye Blue Sky; Have a Cigar; Hey You; High Hopes; In the Flesh (Reprise); In the Flesh?; Is There Anybody Out There?; Learning to Fly; Money; Mother; Nobody Home; On the Run; One of My Turns; One of These Days; Pigs (Three Different Ones); Pigs on the Wing (Part One); Run Like Hell; Sheep; Speak to Me; The Final Cut; The Happiest Days of Our Lives; The Thin Ice; The Trial; Time; Us and Them; Waiting for the Worms; Welcome to the Machine; Wish You Were Here; Young Lust",4.24,True,5
in,in,ADP,168,43,"Another Brick in the Wall; Another Brick in the Wall, Pt. 1; Another Brick in the Wall, Pt. 2; Another Brick in the Wall, Pt. 3; Brain Damage; Breathe (In the Air); Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Eclipse; Fearless; Goodbye Blue Sky; Have a Cigar; Hey You; High Hopes; In the Flesh (Reprise); In the Flesh?; Learning to Fly; Money; Mother; Nobody Home; One of My Turns; Outside the Wall; Pigs (Three Different Ones); Run Like Hell; Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Shine On You Crazy Diamond (Pts. 6-9); Speak to Me; The Final Cut; The Happiest Days of Our Lives; The Thin Ice; The Trial; Time; Us and Them; Vera; Waiting for the Worms; Welcome to the Machine; Wish You Were Here; Young Lust",3.91,True,6
a,a,DET,160,34,"Another Brick in the Wall; Another Brick in the Wall, Pt. 1; Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Fearless; Goodbye Blue Sky; Have a Cigar; Hey You; High Hopes; In the Flesh (Reprise); Is There Anybody Out There?; Learning to Fly; Money; Mother; Nobody Home; One of My Turns; Pigs (Three Different Ones); Run Like Hell; Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Speak to Me; The Final Cut; The Thin Ice; The Trial; Time; Us and Them; Waiting for the Worms; Welcome to the Machine; Wish You Were Here; Young Lust",4.71,True,7
of,of,ADP,111,39,Brain Damage; Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Eclipse; Fearless; Goodbye Blue Sky; Have a Cigar; High Hopes; In the Flesh (Reprise); In the Flesh?; Is There Anybody Out There?; Learning to Fly; Money; Mother; Nobody Home; One of My Turns; One of These Days; Pigs (Three Different Ones); Pigs on the Wing (Part One); Run Like Hell; Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Shine On You Crazy Diamond (Pts. 6-9); Speak to Me; The Final Cut; The Great Gig in the Sky; The Happiest Days of Our Lives; The Thin Ice; The Trial; Time; Us and Them; Vera; Waiting for the Worms; Welcome to the Machine; Wish You Were Here,2.85,True,8
on,on,ADP,108,29,"Another Brick in the Wall; Another Brick in the Wall, Pt. 3; Brain Damage; Breathe (In the Air); Comfortably Numb; Coming Back to Life; Dogs; Don’t Leave Me Now; Echoes; Fearless; Goodbye Blue Sky; Hey You; High Hopes; In the Flesh?; Learning to Fly; Money; Nobody Home; One of My Turns; Pigs (Three Different Ones); Pigs on the Wing (Part One); Sheep; Shine On You Crazy Diamond; Shine On You Crazy Diamond (Pts. 1-5); Shine On You Crazy Diamond (Pts. 6-9); The Thin Ice; Time; Us and Them; Waiting for the Worms; Wish You Were Here",3.72,True,9
all,all,ADV,97,23,"Another Brick in the Wall; Another Brick in the Wall, Pt. 1; Another Brick in the Wall, Pt. 2; Another Brick in the Wall, Pt. 3; Breathe (In the Air); Dogs; Eclipse; Goodbye Blue Sky; Have a Cigar; Hey You; In the Flesh (Reprise); Money; Mother; Nobody Home; One of My Turns; Outside the Wall; Pigs (Three Different Ones); Run Like Hell; The Trial; Us and Them; Waiting for the Worms; Welcome to the Machine; Young Lust",4.22,True,10
