"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Bohemian Rhapsody","Queen","Studio Collection","","October 31, 1975","10987236","391","49","","https://genius.com/Queen-bohemian-rhapsody-lyrics","1063","Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just a poor boy, I need no sympathy (Ooh, poor boy)
Because I'm easy come, easy go, little high, little low
Any way the wind blows (Ooh, the wind blows)
Doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters

Too late, my time has come
Sends shivers down my spine, body's aching all the time
Goodbye, everybody, I've got to go
Gotta leave you all behind and face the truth
Mama, ooh (Any way the wind blows)
I don't wanna die (Ooh)
I sometimes wish I'd never been born at all (Ooh, ooh, ooh, ooh, ooh)

I see a little silhouetto of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning, very, very frightening me
(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro
Magnifico (Oh-oh-oh-oh)
But I'm just a poor boy, nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosity
Easy come, easy go, will you let me go?
Bismillah, no, we will not let you go (Let him go)
Bismillah, we will not let you go (Let him go)
Bismillah, we will not let you go (Let me go)
Will not let you go (Let me go)
(Never, never, never, never, never, never let me go) Will not let you go
Oh-oh-oh-oh
No, no, no, no, no, no, no
Oh, mamma mia, mamma mia (Mamma mia, let me go)
Beelzebub has a devil put aside for me, for me, for me

So you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, can't do this to me, baby
Just gotta get out, just gotta get right outta here

(Ooh)
(Ooh, yeah, ooh, yeah)
Nothing really matters, anyone can see
Nothing really matters
Nothing really matters to me
Any way the wind blows"
"2","Don’t Stop Me Now","Queen","Studio Collection","","November 10, 1978","2400669","414","61","","https://genius.com/Queen-dont-stop-me-now-lyrics","205311","Tonight, I'm gonna have myself a real good time
I feel alive
And the world, I'll turn it inside out, yeah
I'm floatin' around in ecstasy
So don't stop me now
Don't stop me
'Cause I'm havin' a good time
Havin' a good time

I'm a shootin' star, leapin' through the sky like a tiger
Defyin' the laws of gravity
I'm a racin' car, passin' by like Lady Godiva
I'm gonna go, go, go, there's no stoppin' me

I'm burnin' through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic man outta you

Don't stop me now
I'm havin' such a good time, I'm havin' a ball
Don't stop me now
If you wanna have a good time, just give me a call
(
Don't stop me now
) 'Cause I'm havin' a good time
(
Don't stop me now
) Yes, I'm havin' a good time
I don't wanna stop at all, yeah

I'm a rocket ship on my way to Mars on a collision course
I am a satellite, I'm out of control
I'm a sex machine, ready to reload like an atom bomb
About to oh, oh, oh, oh, oh, explode

I'm burnin' through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit
I'm travellin' at the speed of light
I wanna make a supersonic woman of you

(Don't stop me, don't stop me, don't stop me) Hey, hey, hey
(Don't stop me, don't stop me, ooh, ooh, ooh) I like it
(Don't stop me, don't stop me, hey, alright) Have a good time, good time
(Don't stop me, don't stop me) Woah
Let loose, honey, alright

Oh, I'm burnin' through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit, hey
Travellin' at the speed of light
I wanna make a supersonic man outta you, hey, hey

Don't stop me now
I'm havin' such a good time, I'm havin' a ball
Don't stop me now
(Ooh) If you wanna have a good time (Alright), just give me a call
(
Don't stop me now
) 'Cause I'm havin' a good time (Hey, hey)
(
Don't stop me now
) Yes, I'm havin' a good time
I don't wanna stop at all

Ah, da, da, da, da
Da, da, ah, ah
Ah, da, da, ah, ah, ah
Ah, da, da
Ah, da, da, ah, ah
Ooh, ooh-ooh, ooh-ooh"
"3","Under Pressure","Queen","Studio Collection","","October 26, 1981","1895977","317","58","","https://genius.com/Queen-and-david-bowie-under-pressure-lyrics","152350","Mmm num ba de
Dum bum ba be
Doo buh dum ba beh beh

Pressure
Pushing down on me
Pressing down on you
No man ask for
Under pressure
That burns a building down
Splits a family in two
Puts people on streets

Um ba ba be
Um ba ba be
De day da
Ee day da
That's okay

It's the terror of knowing what this world is about
Watching some good friends screaming, ""Let me out""
Pray tomorrow gets me higher
Pressure on people, people on streets

Day day de mm hm
Da da da ba ba
Okay

Chipping around, kick my brains 'round the floor
These are the days, it never rains, but it pours

Ee do ba be
Ee da ba ba ba
Um bo bo
Be lap
People on streets
Ee da de da de
People on streets
Ee da de da de da de da

It's the terror of knowing what this world is about
Watching some good friends screaming, ""Let me out""
Pray tomorrow gets me higher, higher, high
Pressure on people, people on streets

Turned away from it all like a blind man
Sat on a fence, but it don't work
Keep coming up with love, but it's so slashed and torn
Why, why, why?
Love, love, love, love, love
Insanity laughs under pressure we're breaking

Can't we give ourselves one more chance?
Why can't we give love that one more chance?
Why can't we give love, give love, give love, give love
Give love, give love, give love, give love, give love?

'Cause love's such an old-fashioned word
And love dares you to care for
The people on the (People on streets) edge of the night
And love (People on streets) dares you to change our way of
Caring about ourselves
This is our last dance
This is our last dance
This is ourselves
Under pressure
Under pressure
Pressure"
"4","Somebody to Love","Queen","Studio Collection","","November 12, 1976","1197000","480","109","","https://genius.com/Queen-somebody-to-love-lyrics","118908","Can
anybody find me
Somebody to
love?

Ooh, each morning I get up I die a little
Can barely stand on my feet
Take a look at yourself in the mirror and cry
Take a look in the mirror and cry
Lord, what you're doing to me? (
Yeah, yeah
)
I have spent all my years in believin' you
But I just can't get no relief, Lord

Somebody (
Somebody
)
Ooh, somebody (
Somebody
)
Can anybody find me
Somebody to love?
Yeah

I work hard (
He works hard
) every day of my life
I work 'till I ache my bones
At the end (
At the end of the day
) I take home
My hard-earned pay all on my own
(
Goes home, goes home on his own
)
I get down (Down) on my knees (Knees) and I start to pray (Praise the Lord)
'Till the tears run down from my eyes, Lord

Somebody (Somebody)
Ooh, somebody (Please)
Can anybody find me
Somebody to love?
Oh

(
He works hard
) everyday (
Everyday
)
I try and I try and I try
But everybody wants to put me down
They say I'm going crazy
They say I got a lot of water in my brain
I got no common sense
(He's got) I got nobody left to believe
No, no, no, no

(Ooh, ooh, ooh, Lord)
Ooh, somebody
Ooh (Somebody)
Anybody find me
Somebody to love
Can anybody find me
Someone to love?

Got no feel, I got no rhythm
I just keep losing my beat (
You just keep losing and losing
)
I'm okay, I'm alright (
He's alright, he's alright
)
I ain't gonna face no defeat (
Yeah, yeah
)
I just gotta get out of this prison cell
(
One day
) Someday I'm gonna be free, Lord

Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
Find me somebody to love
(Find me, find me)
Find me somebody to love (Find me)
Find me somebody to love
Find me somebody to love-ove-ove
(Ooh, find me, find me)
Find me somebody to love
(Somebody to love)
Find me somebody to love
Somebody (Somebody)
Somebody (Somebody)
Somebody (Find me)
(Somebody find me somebody to love)
Can anybody find me
Somebody to love?
(Find me somebody to love) Ooh
(Find me somebody to love)
Find me somebody
(Find me somebody to love)
Somebody, somebody, somebody to love
(Find me somebody to love)
Find me, find me
Find me, find me, find me
(Find me somebody to love)
Ooh, somebody to love
(Find me somebody to love)
Ooh, find me, find me
Find me somebody to love
(Find me somebody to love)
Anybody, anywhere, anybody
Find me somebody to love, love
Find me, find me, find me, find me"
"5","Killer Queen","Queen","Studio Collection","","October 11, 1974","1134876","237","69","","https://genius.com/Queen-killer-queen-lyrics","75244","She keeps Moët et Chandon
In her pretty cabinet
""Let them eat cake"", she says
Just like Marie Antoinette
A built-in remedy
For Khrushchev and Kennedy (Ooh, ooh)
At anytime, an invitation you can't decline (Ooh, ooh)

Caviar and cigarettes
Well-versed in etiquette
Extraordinarily nice

She's a killer queen
Gunpowder, gelatine
Dynamite with a laser beam
(
Pa-pa-pa-pa
) Guaranteed to blow your mind
(Anytime) Ooh, recommended at the price
Insatiable an appetite
Wanna try?

To avoid complications
She never kept the same address
In conversation
She spoke just like a baroness
Met a man from China
Went down to Geisha Minah (
Killer
)
Then again incidentally (
Killer
)
If you're that way inclined (
She's a killer queen
)

Perfume came naturally from Paris (Naturally)
For cars, she couldn't care less
Fastidious and precise

She's a killer queen
Gunpowder, gelatine
Dynamite with a laser beam
(
Pa-pa-pa-pa
) Guaranteed to blow your mind
(Anytime)

Drop of a hat, she's as willing as
Playful as a pussycat
(
Ooh
) Then momentarily out of action
(
Ooh
) Temporarily out of gas (
Ooh, da-da
)
To absolutely drive (
Drive you wild
)
(
Wild
) She's out to get you

She's a killer queen
Gunpowder, gelatine
Dynamite with a laser beam
(
Pa-pa-pa-pa
) Guaranteed to blow your mind
(Anytime) Ooh, recommended at the price
Insatiable an appetite
Wanna try?

You wanna try?"
"6","Love of My Life","Queen","Studio Collection","","November 21, 1975","1101498","167","29","","https://genius.com/Queen-love-of-my-life-lyrics","308937","Love of my life, you've hurt me
You've broken my heart
And now you leave me
Love of my life, can't you see?

Bring it back, bring it back
Don't take it away from me
Because you don't know
What it means to me

Love of my life, don't leave me
You've taken my love (all my love)
And now desert me
Love of my life, can't you see?

(Please bring it back, back) Bring it back, bring it back
Don't take it away from me
Because you don't know
What it means to me (means to me)

You will remember when this is blown over
And everything's all by the way
When I grow older
I will be there at your side
To remind you
How I still love you (I still love you)

Back, hurry back
Please bring it back home to me
Because you don't know
What it means to me (means to me)

Love of my life
Love of my life
Ooh, ooh"
"7","We Will Rock You","Queen","Studio Collection","","October 7, 1977","1026102","157","21","","https://genius.com/Queen-we-will-rock-you-lyrics","55045","Buddy, you're a boy, make a big noise
Playing in the street, gonna be a big man someday
You got mud on your face, you big disgrace
Kickin' your can all over the place, singin'

We will, we will rock you
We will, we will rock you

Buddy, you're a young man, hard man
Shouting in the street, gonna take on the world someday
You got blood on your face, you big disgrace
Waving your banner all over the place

We will, we will rock you (Sing it, oh)
We will, we will rock you

Buddy, you're an old man, poor man
Pleading with your eyes, gonna make you some peace someday
You got mud on your face, big disgrace
Somebody better put you back into your place

We will, we will rock you, sing it
We will, we will rock you
Everybody, we will, we will rock you
Hmm, we will, we will rock you
Alright"
"8","Radio Ga Ga","Queen","Studio Collection","","January 23, 1984","1009905","287","51","","https://genius.com/Queen-radio-ga-ga-lyrics","309595","(Radio)
(Radio)

I'd sit alone and watch your light
My only friend through teenage nights
And everything I had to know
I heard it on my radio
You gave them all those old-time stars
Through wars of worlds, invaded by Mars
You made 'em laugh, you made 'em cry
You made us feel like we could fly (Radio)
So don't become some background noise
A backdrop for the girls and boys
Who just don't know, or just don't care
And just complain when you're not there

You had your time, you had the power
You've yet to have your finest hour
Radio (Radio)

All we hear is radio ga ga
Radio goo goo
Radio ga ga
All we hear is radio ga ga
Radio blah, blah
Radio, what's new?
Radio, someone still loves you

We watch the shows, we watch the stars
On videos for hours and hours
We hardly need to use our ears
How music changes through the years
Let's hope you never leave, old friend
Like all good things, on you, we depend
So stick around 'cause we might miss you
When we grow tired of all this visual

You had your time, you had the power
You've yet to have your finest hour
Radio (Radio)

All we hear is radio ga ga
Radio goo goo
Radio ga ga
All we hear is radio ga ga
Radio goo goo
Radio ga ga
All we hear is radio ga ga
Radio blah, blah
Radio, what's new?
Someone still loves you

Radio ga ga (Radio ga ga)
Radio ga ga (Radio ga ga)
Radio ga ga (Radio ga ga)

You had your time, you had the power
You've yet to have your finest hour
Radio (Radio)"
"9","Another One Bites the Dust","Queen","Studio Collection","","June 30, 1980","1003047","332","58","","https://genius.com/Queen-another-one-bites-the-dust-lyrics","75243","Ooh, let's go!

Steve walks warily down the street
With the brim pulled way down low
Ain't no sound but the sound of his feet
Machine guns ready to go
Are you ready? Hey, are you ready for this?
Are you hanging on the edge of your seat?
Out of the doorway, the bullets rip
To the sound of the beat, yeah

Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust, yeah
Hey, I'm gonna get you, too
Another one bites the dust

How do you think I'm gonna get along
Without you, when you're gone?
You took me for everything that I had
And kicked me out on my own
Are you happy, are you satisfied?
How long can you stand the heat?
Out of the doorway, the bullets rip
To the sound of the beat
Look out

Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust
Hey, I'm gonna get you, too
Another one bites the dust

Hey
Oh, take it
Bite the dust
Bite the dust, yeah
Hey
Another one bites the dust
Another one bites the dust, ow
Another one bites the dust, hey hey
Another one bites the dust, hey-eh-eh
Ooh, shut up

There are plenty of ways you can hurt a man
And bring him to the ground
You can beat him, you can cheat him, you can treat him bad
And leave him when he's down, yeah
But I'm ready, yes, I'm ready for you
I'm standing on my own two feet
Out of the doorway, the bullets rip
Repeating to the sound of the beat
Oh yeah

Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust, yeah
Hey, I'm gonna get you, too
Another one bites the dust

Shoot out
Ay-yeah
Alright"
"10","We Are the Champions","Queen","Studio Collection","","October 7, 1977","803999","209","36","","https://genius.com/Queen-we-are-the-champions-lyrics","73453","I've paid my dues
Time after time
I've done my sentence
But committed no crime
And bad mistakes
I've made a few

I've had my share of sand kicked in my face
But I've come through (And I mean to go on and on, and on, and on)

We are the champions, my friends
And we'll keep on fighting till the end
We are the champions
We are the champions
No time for losers
'Cause we are the champions
Of the world

I've taken my bows
And my curtain calls
You brought me fame and fortune and everything that goes with it
I thank you all
But it's been no bed of roses
No pleasure cruise

I consider it a challenge before the whole human race
And I ain't gonna lose (And I mean to go on and on, and on, and on)

We are the champions, my friends
And we'll keep on fighting till the end
We are the champions
We are the champions
No time for losers
'Cause we are the champions
Of the world

We are the champions, my friends
And we'll keep on fighting till the end, oh
We are the champions
We are the champions
No time for losers
'Cause we are the champions"
