word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,354,23,A Kind of Magic; Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; I Want It All; I Want to Break Free; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; We Are the Champions; You’re My Best Friend; ’39,15.39,True,1
you,you,PRON,279,25,Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; I Want to Break Free; Innuendo; I’m Going Slightly Mad; Keep Yourself Alive; Killer Queen; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; Under Pressure; We Are the Champions; We Will Rock You; You’re My Best Friend; ’39,11.16,True,2
the,the,DET,268,28,A Kind of Magic; Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; I Want to Break Free; Innuendo; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Killer Queen; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; Under Pressure; We Are the Champions; We Will Rock You; You’re My Best Friend; ’39,9.57,True,3
a,a,DET,170,27,A Kind of Magic; Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; Innuendo; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Killer Queen; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; Under Pressure; We Are the Champions; We Will Rock You; You’re My Best Friend; ’39,6.3,True,4
to,to,ADP,169,27,Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; I Want to Break Free; Innuendo; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Killer Queen; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; Under Pressure; Who Wants to Live Forever; You’re My Best Friend; ’39,6.26,True,5
me,i,PRON,158,23,A Kind of Magic; Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; I Want to Break Free; I’m in Love with My Car; Keep Yourself Alive; Love of My Life; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; Under Pressure; We Are the Champions; You’re My Best Friend; ’39,6.87,True,6
and,and,CCONJ,146,28,Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; I Want to Break Free; Innuendo; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Killer Queen; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; Under Pressure; We Are the Champions; Who Wants to Live Forever; You’re My Best Friend; ’39,5.21,True,7
my,my,PRON,131,26,Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; I Want It All; I Want to Break Free; Innuendo; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; Under Pressure; We Are the Champions; Who Wants to Live Forever; You’re My Best Friend; ’39,5.04,True,8
it,it,PRON,119,24,A Kind of Magic; Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Crazy Little Thing Called Love; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; I Want to Break Free; I’m Going Slightly Mad; I’m in Love with My Car; Love of My Life; Radio Ga Ga; Save Me; The March of the Black Queen; The Show Must Go On; Under Pressure; We Are the Champions; We Will Rock You; Who Wants to Live Forever; You’re My Best Friend,4.96,True,9
of,of,ADP,104,25,A Kind of Magic; Another One Bites the Dust; Bicycle Race; Bohemian Rhapsody; Death on Two Legs (Dedicated to...); Don’t Stop Me Now; Fat Bottomed Girls; Good Old-Fashioned Lover Boy; Hammer to Fall; I Want It All; Innuendo; I’m Going Slightly Mad; I’m in Love with My Car; Keep Yourself Alive; Killer Queen; Love of My Life; Radio Ga Ga; Save Me; Seven Seas of Rhye; Somebody to Love; The March of the Black Queen; The Show Must Go On; Under Pressure; We Are the Champions; ’39,4.16,True,10
love,love,VERB,94,13,Bohemian Rhapsody; Crazy Little Thing Called Love; Good Old-Fashioned Lover Boy; I Want to Break Free; I’m in Love with My Car; Love of My Life; Save Me; Somebody to Love; The March of the Black Queen; Under Pressure; Who Wants to Live Forever; You’re My Best Friend; ’39,7.23,False,11
