"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Creep","Radiohead","Pablo Honey (Collector’s Edition)","","September 21, 1992","10827788","167","38","","https://genius.com/Radiohead-creep-lyrics","109096","When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here

I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
Oh-oh, oh-oh

She's runnin' out the door
She's runnin' out
She run, run, run, run
Run

Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here"
"2","Karma Police","Radiohead","The Best Of","","May 21, 1997","2243105","142","25","","https://genius.com/Radiohead-karma-police-lyrics","64344","Karma police, arrest this man
He talks in maths, he buzzes like a fridge
He's like a detuned radio

Karma police, arrest this girl
Her Hitler hairdo is making me feel ill
And we have crashed her party

This is what you get
This is what you get
This is what you get
When you mess with us

Karma police, I've given all I can
It's not enough, I've given all I can
But we're still on the payroll

This is what you get
This is what you get
This is what you get
When you mess with us

For a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself
Oh, for a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself"
"3","No Surprises","Radiohead","The Best Of","","May 21, 1997","1508975","133","29","","https://genius.com/Radiohead-no-surprises-lyrics","71498","A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal

You look so tired, unhappy
Bring down the government
They don't, they don't speak for us

I'll take a quiet life
A handshake of carbon monoxide
And no alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent
Silent

This is my final fit
My final bellyache with
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please

Such a pretty house
And such a pretty garden
No alarms and no surprises (
Let me out of here
)
No alarms and no surprises (
Let me out of here
)
No alarms and no surprises, please (
Let me out of here
)"
"4","Exit Music (For A Film)","Radiohead","The Best Of","","May 21, 1997","1136359","105","21","","https://genius.com/Radiohead-exit-music-for-a-film-lyrics","107387","Wake from your sleep
The drying of your tears
Today we escape, we escape

Pack and get dressed
Before your father hears us
Before all hell breaks loose

Breathe, keep breathing
Don't lose your nerve
Breathe, keep breathing
I can't do this alone

Sing us a song
A song to keep us warm
There's such a chill, such a chill

You can laugh
A spineless laugh
We hope your rules and wisdom choke you

Now we are one
In everlasting peace
We hope that you choke, that you choke

We hope that you choke, that you choke
We hope that you choke, that you choke"
"5","Let Down","Radiohead","The Best Of","","May 21, 1997","1050484","174","36","","https://genius.com/Radiohead-let-down-lyrics","78354","Transport, motorways and tramlines
Starting and then stopping
Taking off and landing
The emptiest of feelings
Disappointed people
Clinging onto bottles
And when it comes
It's so, so disappointing

Let down and hanging around
Crushed like a bug in the ground
Let down and hanging around

Shell smashed, juices flowing
Wings twitch, legs are going
Don't get sentimental
It always ends up drivel
One day, I am gonna grow wings
A chemical reaction
Hysterical and useless
Hysterical and

Let down and hanging around
Crushed like a bug in the ground
Let down and hanging around

Let down again
Let down again
Let down again

You know, you know where you are with
You know where you are with
Floor collapsing
Floating, bouncing back
And one day, I am gonna grow wings (And one day)
A chemical reaction (You'll know where you are)
Hysterical and useless (You'll know where you are)
Hysterical and (You'll know where you are)

Let down and hanging around
Crushed like a bug in the ground
Let down and hanging around"
"6","Fake Plastic Trees","Radiohead","The Bends (Collector’s Edition)","","March 13, 1995","924298","167","34","","https://genius.com/Radiohead-fake-plastic-trees-lyrics","1188","Her green plastic watering can
For her fake Chinese rubber plant
In a fake plastic Earth
That she bought from a rubber man
In a town full of rubber plans
To get rid of itself

It wears her out
It wears her out
It wears her out
It wears her out

She lives with a broken man
A cracked polystyrene man
Who just crumbles and burns
He used to do surgery
For girls in the eighties
But gravity always wins

And it wears him out
It wears him out
It wears him out
It wears

She looks like the real thing
She tastes like the real thing
My fake plastic love
But I can't help the feeling
I could blow through the ceiling
If I just turn and run

And it wears me out
It wears me out
It wears me out
It wears me out

And if I could be who you wanted
If I could be who you wanted
All the time
All the time"
"7","Paranoid Android","Radiohead","The Best Of","","May 21, 1997","882832","224","38","","https://genius.com/Radiohead-paranoid-android-lyrics","78831","Please could you stop the noise? I'm trying to get some rest
From all the unborn chicken, voices in my head

What's that? (
I may be paranoid but not an android
)
What's that? (
I may be paranoid but not an android
)

When I am king you will be first against the wall
With your opinion, which is of no consequence at all

What's that? (
I may be paranoid but not an android
)
What's that? (
I may be paranoid but not an android
)

Ambition makes you look pretty ugly
Kicking, squealing, Gucci little piggy

You don't remember, you don't remember
Why don't you remember my name?
Off with his head, man, off with his head, man
Why don't you remember my name? I guess he does

Rain down, rain down
Come on, rain down on me
From a great height
From a great height, height
Rain down, rain down
Come on, rain down on me
From a great height
From a great height, height
(Rain down) That's it, sir, you're leaving
(Rain down) The crackle of pigskin
(Come on, rain down) The dust and the screaming
(On me) The yuppies networking and
(From a great height) The panic, the vomit
(From a great height) The panic, the vomit
God loves his children
God loves his children, yeah"
"8","All I Need","Radiohead","In Rainbows","","October 10, 2007","657884","122","18","","https://genius.com/Radiohead-all-i-need-lyrics","65925","I'm the next act waiting in the wings
I'm an animal trapped in your hot car
I am all the days that you choose to ignore

You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

I am a moth who just wants to share your light
I'm just an insect trying to get out of the night
I only stick with you because there are no others

You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

It's all wrong, it's all wrong, it's all wrong
It's alright, it's alright, it's alright
It's all wrong, it's alright
It's alright, it's alright"
"9","How to Disappear Completely","Radiohead","KID A MNESIA","","October 2, 2000","628676","89","33","","https://genius.com/Radiohead-how-to-disappear-completely-lyrics","67774","That there
That's not me
I go
Where I please
I walk through walls
I float down the Liffey

I'm not here
This isn't happening
I'm not here
I'm not here

In a little while
I'll be gone
The moment's already passed
Yeah, it's gone

And I'm not here
This isn't happening
I'm not here
I'm not here

Strobe lights
And blowing speakers
Fireworks
And hurricanes

I'm not here
This isn't happenin'
I'm not here
I'm not here

Ah-ah, ah-ah
Ah-ah, ah-ah
Ah-ah
Ah-ah, ah-ah-ah
Ah-ah-ah
Ah-ah-ah
Ah-ah-ah, ah-ah"
"10","Weird Fishes/Arpeggi","Radiohead","In Rainbows","","October 10, 2007","625995","122","32","","https://genius.com/Radiohead-weird-fishes-arpeggi-lyrics","65924","In the deepest ocean
The bottom of the sea
Your eyes
They turn me
Why should I stay here?
Why should I stay?

I'd be crazy not to follow
Follow where you lead
Your eyes
They turn me
Turn me into phantoms (Way out)
I follow to the edge (Way out)
Of the earth (Way out)
And fall off
Yeah, everybody leaves (Way out)
If they get the chance (Way out)
And this (Way out)
Is my chance

I get eaten by the worms
And weird fishes
Picked over by the worms
And weird fishes
Weird fishes
Weird fishes

Yeah, I
I hit the bottom
Hit the bottom and escape
Escape
I
I hit the bottom
Hit the bottom and escape
Escape"
