word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,373,46,(Nice Dream); 15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Airbag; All I Need; Black Star; Bodysnatchers; Burn the Witch; Climbing Up the Walls; Creep; Daydreaming; Decks Dark; Exit Music (For A Film); Fake Plastic Trees; Fitter Happier; Ful Stop; High and Dry; House of Cards; How to Disappear Completely; Identikit; Idioteque; Jigsaw Falling into Place; Just; Karma Police; Kid A; Let Down; Lucky; Man of War; Motion Picture Soundtrack; My Iron Lung; No Surprises; Nude; Optimistic; Paranoid Android; Present Tense; Pyramid Song; Street Spirit (Fade Out); Subterranean Homesick Alien; The Bends; The National Anthem; The Numbers; The Tourist; Videotape; Weird Fishes/Arpeggi; let down 9.1,8.11,True,1
you,you,PRON,319,40,"15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); All I Need; Black Star; Bodysnatchers; Burn the Witch; Climbing Up the Walls; Creep; Daydreaming; Decks Dark; Everything in Its Right Place; Exit Music (For A Film); Fake Plastic Trees; Ful Stop; High and Dry; Identikit; Idioteque; Jigsaw Falling into Place; Just; Karma Police; Kid A; Let Down; Man of War; Motion Picture Soundtrack; My Iron Lung; No Surprises; Nude; Optimistic; Paranoid Android; Present Tense; Reckoner; Subterranean Homesick Alien; The Bends; The Numbers; The Tourist; There, There. (The Boney King of Nowhere); Videotape; Weird Fishes/Arpeggi; let down 9.1",7.97,True,2
i,i,PRON,301,42,"(Nice Dream); 15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Airbag; All I Need; Black Star; Bodysnatchers; Climbing Up the Walls; Creep; Everything in Its Right Place; Exit Music (For A Film); Fake Plastic Trees; Ful Stop; High and Dry; House of Cards; How to Disappear Completely; Identikit; Idioteque; Jigsaw Falling into Place; Just; Karma Police; Kid A; Let Down; Lucky; Man of War; Motion Picture Soundtrack; My Iron Lung; No Surprises; Optimistic; Paranoid Android; Present Tense; Pyramid Song; Street Spirit (Fade Out); Subterranean Homesick Alien; The Bends; The Tourist; There, There. (The Boney King of Nowhere); True Love Waits; Videotape; Weird Fishes/Arpeggi; let down 9.1",7.17,True,3
and,and,CCONJ,217,38,"15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Airbag; Black Star; Bodysnatchers; Burn the Witch; Climbing Up the Walls; Decks Dark; Exit Music (For A Film); Fake Plastic Trees; Fitter Happier; House of Cards; How to Disappear Completely; Identikit; Idioteque; Jigsaw Falling into Place; Just; Karma Police; Kid A; Let Down; Man of War; Motion Picture Soundtrack; My Iron Lung; No Surprises; Nude; Paranoid Android; Present Tense; Pyramid Song; Street Spirit (Fade Out); Subterranean Homesick Alien; The Bends; The Numbers; There, There. (The Boney King of Nowhere); True Love Waits; Videotape; Weird Fishes/Arpeggi; let down 9.1",5.71,True,4
it,it,PRON,164,37,"15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); All I Need; Black Star; Bodysnatchers; Climbing Up the Walls; Creep; Daydreaming; Decks Dark; Fake Plastic Trees; Ful Stop; High and Dry; House of Cards; How to Disappear Completely; Identikit; Idioteque; Jigsaw Falling into Place; Just; Karma Police; Let Down; Lucky; Man of War; Motion Picture Soundtrack; My Iron Lung; Nude; Paranoid Android; Present Tense; Reckoner; Subterranean Homesick Alien; The Bends; The National Anthem; The Numbers; The Tourist; There, There. (The Boney King of Nowhere); Videotape; let down 9.1",4.43,True,5
a,a,DET,160,42,"(Nice Dream); 15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Airbag; All I Need; Black Star; Bodysnatchers; Burn the Witch; Climbing Up the Walls; Creep; Daydreaming; Decks Dark; Everything in Its Right Place; Exit Music (For A Film); Fake Plastic Trees; Fitter Happier; Ful Stop; High and Dry; How to Disappear Completely; Identikit; Jigsaw Falling into Place; Just; Karma Police; Kid A; Let Down; Lucky; Man of War; My Iron Lung; No Surprises; Optimistic; Paranoid Android; Present Tense; Pyramid Song; Reckoner; Street Spirit (Fade Out); Subterranean Homesick Alien; The Bends; The Numbers; The Tourist; There, There. (The Boney King of Nowhere); let down 9.1",3.81,True,6
no,no,DET,154,15,2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); All I Need; Bodysnatchers; Daydreaming; Fitter Happier; House of Cards; Jigsaw Falling into Place; Just; No Surprises; Paranoid Android; Present Tense; The Bends; The Tourist; Videotape,10.27,True,7
to,to,PART,140,39,"(Nice Dream); 15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Airbag; All I Need; Black Star; Bodysnatchers; Climbing Up the Walls; Creep; Daydreaming; Decks Dark; Everything in Its Right Place; Exit Music (For A Film); Fake Plastic Trees; Fitter Happier; Ful Stop; High and Dry; House of Cards; Identikit; Jigsaw Falling into Place; Just; Man of War; Motion Picture Soundtrack; My Iron Lung; Nude; Optimistic; Paranoid Android; Present Tense; Pyramid Song; Reckoner; Subterranean Homesick Alien; The Bends; The Numbers; There, There. (The Boney King of Nowhere); True Love Waits; Videotape; Weird Fishes/Arpeggi; let down 9.1",3.59,True,8
me,i,PRON,125,34,"(Nice Dream); 15 Step; 2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Black Star; Bodysnatchers; Creep; Daydreaming; Decks Dark; Fake Plastic Trees; Ful Stop; High and Dry; How to Disappear Completely; Identikit; Idioteque; Jigsaw Falling into Place; Karma Police; Kid A; Lucky; Man of War; Motion Picture Soundtrack; My Iron Lung; No Surprises; Optimistic; Paranoid Android; Pyramid Song; Reckoner; Street Spirit (Fade Out); Subterranean Homesick Alien; The Bends; The Tourist; There, There. (The Boney King of Nowhere); Videotape; Weird Fishes/Arpeggi",3.68,True,9
in,in,ADP,116,36,"2 + 2 = 5 (The Lukewarm.); A Wolf at the Door. (It Girl. Rag Doll.); Airbag; All I Need; Black Star; Bodysnatchers; Burn the Witch; Climbing Up the Walls; Creep; Decks Dark; Everything in Its Right Place; Exit Music (For A Film); Fake Plastic Trees; Fitter Happier; Ful Stop; High and Dry; House of Cards; How to Disappear Completely; Identikit; Idioteque; Jigsaw Falling into Place; Karma Police; Kid A; Let Down; Motion Picture Soundtrack; Paranoid Android; Present Tense; Pyramid Song; Street Spirit (Fade Out); Subterranean Homesick Alien; The Bends; There, There. (The Boney King of Nowhere); True Love Waits; Videotape; Weird Fishes/Arpeggi; let down 9.1",3.22,True,10
