"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Californication","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","June 8, 1999","2102154","282","41","","https://genius.com/Red-hot-chili-peppers-californication-lyrics","3227","Psychic spies from China try to steal your mind's elation
And little girls from Sweden dream of silver-screen quotation
And if you want these kind of dreams, it's Californication

It's the edge of the world and all of Western civilization
The sun may rise in the East, at least it settled in a final location
It's understood that Hollywood sells Californication

Pay your surgeon very well to break the spell of aging
Celebrity skin, is this your chin, or is that war you're waging?
Firstborn unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication

Marry me, girl, be my fairy to the world, be my very own constellation
A teenage bride with a baby inside getting high on information
And buy me a star on the boulevard, it's Californication

Space may be the final frontier, but it's made in a Hollywood basement
And Cobain, can you hear the spheres singing songs off
Station to Station
?
And Alderaan's not far away, it's Californication

Born and raised by those who praise control of population
Well, everybody's been there, and I don't mean on vacation
Firstborn unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication

Destruction leads to a very rough road, but it also breeds creation
And earthquakes are to a girl's guitar, they're just another good vibration
And tidal waves couldn't save the world from Californication

Pay your surgeon very well to break the spell of aging
Sicker than the rest, there is no test, but this is what you're craving
Firstborn unicorn
Hardcore soft porn

Dream of Californication
Dream of Californication
Dream of Californication
Dream of Californication"
"2","Under the Bridge","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","September 24, 1991","1882148","270","37","","https://genius.com/Red-hot-chili-peppers-under-the-bridge-lyrics","3226","Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, The City of Angels
Lonely as I am, together we cry

I drive on her streets 'cause she's my companion
I walk through her hills 'cause she knows who I am
She sees my good deeds and she kisses me windy
Well, I never worry, now that is a lie

I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
Yeah, yeah, yeah

It's hard to believe that there's nobody out there
It's hard to believe that I'm all alone
At least I have her love, the city, she loves me
Lonely as I am, together we cry

I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way

Yeah, yeah, yeah
Oh, no, no-no, yeah, yeah
Love me, I say, yeah, yeah
(One time)

(Under the bridge downtown)
Is where I drew some blood
(Under the bridge downtown)
I could not get enough
(Under the bridge downtown)
Forgot about my love
(Under the bridge downtown)
I gave my life away, yeah
Yeah, yeah (Away)
Oh, no, no-no-no, yeah, yeah (Away)
Oh, no, I said, yeah, yeah (Away)
Where I'll stay"
"3","Can’t Stop","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","January 24, 2003","1014792","567","94","","https://genius.com/Red-hot-chili-peppers-cant-stop-lyrics","3228","Can't stop, addicted to the shindig
Chop Top, he says I'm gonna win big
Choose not a life of imitation
Distant cousin to the reservation

Defunkt, the pistol that you pay for
This punk, the feelin' that you stay for
In time I want to be your best friend
East side love is living on the West End

Knocked out, but, boy, you better come to (Oh, oh-oh)
Don't die, you know, the truth as some do (Oh-oh)
Go write your message on the pavement (
Oh-oh
)
Burn so bright, I wonder what the wave meant

White heat is screamin' in the jungle (
Oh, oh-oh
)
Complete the motion if you stumble (
Oh-oh
)
Go ask the dust for any answers (
Oh-oh
)
Come back strong with fifty belly dancers

The world I love, the tears I drop
To be part of the wave, can't stop
Ever wonder if it's all for you?
The world I love, the trains I hop
To be part of the wave, can't stop
Come and tell me when it's time to

Sweetheart is bleeding in the snow cone
So smart, she's leadin' me to ozone
Music, the great communicator
Use two sticks to make it in the nature

I'll get you into penetration
The gender of a generation
The birth of every other nation
Worth your weight, the gold of meditation

This chapter's gonna be a close one (
Oh, oh-oh
)
Smoke rings, I know you're gonna blow one (Oh-oh)
All on a spaceship, persevering (
Oh-oh
)
Use my hands for everything but steering

Can't stop the spirits when they need you (Oh, oh-oh)
Mop tops are happy when they feed you (
Oh-oh
)
J. Butterfly is in the treetop (
Oh-oh
)
Birds that blow the meaning into bebop

The world I love, the tears I drop
To be part of the wave, can't stop
Ever wonder if it's all for you?
The world I love, the trains I hop
To be part of the wave, can't stop
Come and tell me when it's time to

Wait a minute, I'm passin' out, win or lose
Just like you
Far more shockin' than anything I ever knew
How 'bout you?
Ten more reasons why I need somebody new
Just like you
Far more shockin' than anything I ever knew
Right on cue

Can't stop, addicted to the shindig
Chop Top, he says I'm gonna win big
Choose not a life of imitation
Distant cousin to the reservation

Defunkt, the pistol that you pay for (
Oh, oh-oh
)
This punk, the feelin' that you stay for (Oh-oh)
In time I want to be your best friend (Oh-oh)
East side love is living on the West End

Knocked out, but boy, you better come to (Oh, oh-oh)
Don't die, you know, the truth is some do (Oh-oh)
Go write your message on the pavement (
Oh-oh
)
Burn so bright, I wonder what the wave meant

Kick start the golden generator
Sweet talk but don't intimidate her
Can't stop the gods from engineering
Feel no need for any interfering

Your image in the dictionary
This life is more than ordinary
Can I get two, maybe even three of these?
Comin' from the space to teach you of the Pleiades

Can't stop the spirits when they need you
This life is more than just a read-through"
"4","Otherside","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","June 8, 1999","923146","299","43","","https://genius.com/Red-hot-chili-peppers-otherside-lyrics","54316","How long, how long will I slide?
Well, separate my side
I don't, I don't believe it's bad
Slittin' my throat, it's all I ever

I heard your voice through a photograph
I thought it up it brought up the past
Once you know you can never go back
I gotta take it on the otherside

Well, centuries are what it meant to me
A cemetery where I marry the sea
A stranger thing could never change my mind
I gotta take it on the otherside

Take it on the otherside
Take it on, take it on

How long, how long will I slide?
A-separate my side
I don't, I don't believe it's bad
A-slittin' my throat, it's all I ever

Pour my life into a paper cup
The ashtray's full and I'm spillin' my guts
She want to know am I still a slut?
I gotta take it on the otherside

A scarlet starlet and she's in my bed
A candidate for the soul mate bled
Mmm, pull the trigger and I pull the thread
I gotta take it on the otherside

Take it on the otherside
Take it on, take it on

How long, how long will I slide?
Separate my side
I don't, I don't believe it's bad
A-slittin' my throat, it's all I ever

Turn me on, take me for a hard ride
Burn me out, leave me on the otherside
I yell and tell it that it's not my friend
I tear it down, I tear it down, and then it's born again

How long, how long will I slide?
Separate my side
I don't, I don't believe it's bad
A-slittin' my throat, it's all I ever had

(How long?)
I don't, I don't believe it’s sad
A-slittin' my throat, is all I ever"
"5","Scar Tissue","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","May 25, 1999","905655","279","39","","https://genius.com/Red-hot-chili-peppers-scar-tissue-lyrics","73315","Scar tissue that I wish you saw
Sarcastic mister know-it-all
Close your eyes and I'll kiss you
'Cause with the birds I'll share

With the birds, I'll share this lonely viewing
With the birds, I'll share this lonely viewing

Ah, push me up against the wall
Young Kentucky girl in a push-up bra
Ah, fallin' all over myself
To lick your heart and taste your health, 'cause

With the birds (Share this lone—), I'll share this lonely viewing
With the birds (Share this lone—), I'll share this lonely viewing
With the birds (Share this lone—), I'll share this lonely viewing

Blood loss in a bathroom stall
A southern girl with a scarlet drawl
I wave good-bye to Ma and Pa
'Cause with the birds I'll share

With the birds (Share this lonely), I'll share this lonely viewing
With the birds (Share this lonely), I'll share this lonely viewing

Soft-spoken with a broken jaw
Step outside but not to brawl and
Autumn's sweet, we call it fall
I'll make it to the moon if I have to crawl and

(I will share this lonely)
With the birds, I'll share this lonely viewing
(I will share this lonely)
With the birds, I'll share this lonely viewing
(I will share this lonely)
With the birds, I'll share this lonely viewing

Scar tissue that I wish you saw
Sarcastic mister know-it-all
Close your eyes and I'll kiss you
'Cause with the birds I'll share

(I will share this lonely)
With the birds, I'll share this lonely viewing
(I will share this lonely)
With the birds, I'll share this lonely viewing
(I will share this lonely)
With the birds, I'll share this lonely viewing"
"6","Dani California","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","April 3, 2006","648879","294","45","","https://genius.com/Red-hot-chili-peppers-dani-california-lyrics","55581","Gettin' born in the state of Mississippi
Poppa was a copper and her momma was a hippie
In Alabama, she would swing a hammer
Price you gotta pay when you break the panorama

She never knew that there was anything more than poor
What in the world does your company take me for?

Black bandana, sweet Louisiana
Robbin' a bank in the state of Indiana
She's a runner, rebel and a stunner
On her merry way sayin', ""Baby, what you gonna—?""

Lookin' down the barrel of a hot metal .45
Just another way to survive

California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess, I'm your priest, yeah, yeah

She's a lover, baby and a fighter
Shoulda seen her comin' when it got a little brighter
With a name like Dani California
Day was gonna come when I was gonna mourn ya

A little loaded, she was stealin' another breath
I love my baby to death

California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess, I'm your priest, yeah, yeah

Who knew the other side of you?
Who knew what others died to prove?
Too true to say goodbye to you
Too true to say, say, say

Push the fader, gifted animator
One for the now and eleven for the later
Never made it up to Minnesota
North Dakota man was a-gunnin' for the quota

Down in the Badlands, she was savin' the best for last
It only hurts when I laugh
Gone too fast

California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess, I'm your priest, yeah, yeah
California, rest in peace (Do svidaniya)
Simultaneous release (California)
California, show your teeth (Do svidaniya)
She's my priestess, I'm your priest, yeah, yeah"
"7","Snow (Hey Oh)","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","May 5, 2006","645628","511","75","","https://genius.com/Red-hot-chili-peppers-snow-hey-oh-lyrics","54294","Come to decide that the things that I tried
Were in my life just to get high on
When I sit alone, come get a little known
But I need more than myself this time
Step from the road to the sea to the sky
And I do believe that we rely on
When I lay it on, come, get to play it up
All my life to sacrifice

Hey, oh
Listen what I say, oh-oh
I got your hey, oh
Now listen what I say, oh-oh (Oh)

When will I know that I really can't go
To the well once more, time to decide on
When it's killin' me, when will I really see
All that I need to look inside?
Come to believe that I better not leave
Before I get my chance to ride
When it's killin' me, what do I really need
All that I need to look inside?

Hey, oh
Listen what I say, oh-oh
Come back and hey, oh
Look at what I say, oh-oh (Oh)

The more I see, the less I know
The more I like to let it go
Hey, oh, wo-oh-oh-oh-wo

Deep beneath the cover of another perfect wonder
Where it's so white as snow
Privately divided by a world so undecided
And there's nowhere to go
In between the cover of another perfect wonderAnd it's so white as snow
Runnin' through the field where all my tracks will be concealed
And there's no
where to go, ho!

Went to descend to amend for a friend
All the channels that have broken down
Now you bring it up, I'm gonna ring it up
Just to hear you sing it out
Step from the road to the sea to the sky
And I do believe what we rely on
When I lay it on, come, get to play it up
All my life to sacrifice

Hey, oh
Listen what I say, oh-oh
I got your hey, oh
Listen what I say, oh-oh

The more I see, the less I know
The more I like to let it go
Hey, oh, wo-oh-oh-oh-wo

Deep beneath the cover of another perfect wonder
Where it's so white as snow
Privately divided by a world so undecided
And there's nowhere to go
In between the cover of another perfect wonder
Where it's so white as snow
Runnin' through the field where all my tracks will be concealed
And there's nowhere to go

I said, hey, hey, yeah, ah, yeah (Ooh, ooh, ooh)
Tell my love now
Hey, hey, yeah, ah, yeah (Ooh, ooh, ooh)
Tell my love now

Deep beneath the cover of another perfect wonder
Where it's so white as snow
Privately divided by a world so undecided
And there's nowhere to go
Deep beneath the cover of another perfect wonder
Where it's so white as snow
Runnin' through the field where all my tracks will be concealed
And there's no
where to go
(Woo)

I said, hey, ah, yeah, ah, yeah (Ooh, ooh, ooh)
Tell my love now
Hey, ye-yeah, oh, yeah (Ooh, ooh, ooh)"
"8","Dark Necessities","Red Hot Chili Peppers","The Getaway","","May 5, 2016","507618","329","44","","https://genius.com/Red-hot-chili-peppers-dark-necessities-lyrics","2465964","Comin' on to the light of day, we got
Many moons that are deep at play so I
Keep an eye on the shadow smile to see what it has to say
You and I both know, everything must go away
Ah, what do you say?
Spinnin' knot that is on my heart is like a
Bit of light in a touch of dark, you got
Sneak attack from the zodiac but I see your fire spark
Eat the breeze and go, blow by blow and go away
Oh, what do you say? Yeah

You don't know my mind, you don't know my kind
Dark necessities are part of my design and
Tell the world that I'm falling from the sky
Dark necessities are part of my design

Stumble down to the parking lot, you got
No time for the afterthought, they're like
Ice Cream for an Astronaut, well, that's me looking for we
Turn the corner and find the world at your command
Playin' the hand, yeah

You don't know my mind, you don't know my kind
Dark necessities are part of my design
Tell the world that I'm falling from the sky
Dark necessities are part of my design

Do you want this love of mine? Darkness helps us all to shine
Do you want it, do you want it now?
Do you want it all the time? But darkness helps us all to shine
Do you want it, do you want it now?

Ah, pick you up like a paperback with the
Track record of a maniac so I
Move it in and we unpack, it's the same as yesterday
Any way we roll, everything must go away
Oh, what do you say? Yeah

You don't know my mind, you don't know my kind
Dark necessities are part of my design
Tell the world that I'm falling from the sky and
Dark necessities are part of my design

Ah-ah-ah
Ah-ah
Ah-ah-ah
Ah-ah
Ah-ah-ah
Ah-ah
Ah-ah-ah
Ah-ah"
"9","By the Way","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","June 10, 2002","436619","349","54","","https://genius.com/Red-hot-chili-peppers-by-the-way-lyrics","110627","Standing in line to see the show tonight
And there's a light on, heavy glow
By the way, I tried to say
I'd be there waiting for
Dani, the girl, is singing songs to me
Beneath the marquee, overload

Steak knife, card shark
Con job, boot cut
Skin that flick, she's such a little DJ
Get there quick by street but not the freeway
Turn that trick to make a little leeway
Beat that nic, but not the way that we play
Dogtown, blood bath
Rib cage, soft tail

Standing in line to see the show tonight
And there's a light on, heavy glow
By the way, I tried to say
I'd be there waiting for

Black jack, dope dick
Pawn shop, quick pick
Kiss that dyke, I know you want to hold one
Not on strike but I'm about to bowl one
Bite that mic, I know you never stole one
Girls that like a story, so I told one
Song bird, main line
Cash back, hard top

Standing in line to see the show tonight
And there's a light on, heavy glow
By the way, I tried to say
I'd be there waiting for
Dani, the girl, is singing songs to me
Beneath the marquee, oversold
By the way, I tried to say
I'd be there waiting for

Ooh, ah, guess you never meant it
Ooh, ah, guess you never meant it
Ooh, ah, guess you never meant it
Ooh, ah, guess you never meant it
Ooh, ah, guess you never meant it
Ooh, ah, guess you never meant it
Ooh, ah, guess you never meant it
Ooh, ah

Standing in line to see the show tonight
And there's a light on, heavy glow
By the way, I tried to say
I'd be there waiting for
Dani, the girl, is singing songs to me
Beneath the marquee, oversold
By the way, I tried to say
I know you from before

Standing in line to see the show tonight
And there's a light on, heavy glow
By the way, I tried to say
I'd be there waiting for"
"10","Give It Away","Red Hot Chili Peppers","The Studio Album Collection (1991-2011)","","September 4, 1991","318736","692","89","","https://genius.com/Red-hot-chili-peppers-give-it-away-lyrics","70268","Oh, oh

What I got, you got to give it to your mamma
What I got, you've got to give it to your pappa
What I got, you got to give it to your daughter
You do a little dance and then you drink a little water
What I got, you got to get it put it in you
What I got, you got to get it put it in you
What I got, you got to get it put it in you
Reeling with the feeling, don't stop, continue
I realize I don't want to be a miser
Confide with Sly, you'll be the wiser
Young blood is the lovin' upriser
How come everybody wanna keep it like the Kaiser?

Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
I can't tell if I'm a kingpin or a pauper

Greedy little people in a sea of distress
Keep your more to receive your less
Unimpressed by material excess
Love is free, love me, say, ""Hell, yes""
Low brow but I rock a little know how
No time for the piggies or the hoosegow
Get smart get down with the pow wow
Never been a better time than right now
Bob Marley, poet and a prophet
Bob Marley taught me how to off it
Bob Marley walkin' like he talk it
Goodness me, can't you see I'm gonna cough it?

Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Oh, oh yeah
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
I can't tell if I'm a kingpin or a pauper

Lucky me swimming in my ability
Dancing down on life with agility
Come and drink it up from my fertility
Blessed with a bucket of lucky mobility
My mom, I love her 'cause she love me
Long gone are the times when she scrub me
Feelin' good, my brother gonna hug me
Drinkin' my juice, young love chug-a-lug me
Ah, there's a river born to be a giver
Keep you warm won't let you shiver
His heart is a never gonna wither
Come on, everybody, time to deliver

Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
I can't tell if I'm a kingpin or a pauper

What I got you got to give it to your mamma
What I got you've got to give it to your pappa
What I got you got to give it to your daughter
You do a little dance and then you drink a little water
What I got you got to get it put it in you
What I got you got to get it put it in you
What I got you got to get it put it in you
Reeling with the feeling, don't stop, continue
I realize I don't want to be a miser
Confide with Sly, you'll be the wiser
Young blood is the lovin' upriser
How come everybody wanna keep it like the Kaiser?

Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now
Give it away, give it away, give it away now

Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now
Give it away now, yeah"
