word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,801,47,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Poster Child; Purple Stain; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,17.04,True,1
the,the,DET,631,50,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,12.62,True,2
you,you,PRON,445,48,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Universally Speaking; Wet Sand,9.27,True,3
to,to,PART,435,50,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,8.7,True,4
it,it,PRON,426,45,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; Otherside; Parallel Universe; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,9.47,True,5
a,a,DET,396,49,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,8.08,True,6
and,and,CCONJ,376,49,Aeroplane; Around the World; Black Summer; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,7.67,True,7
s,'s,PART,291,43,Aeroplane; Around the World; Black Summer; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; Otherside; Parallel Universe; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,6.77,True,8
my,my,PRON,279,43,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Poster Child; Purple Stain; Road Trippin’; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,6.49,True,9
me,i,PRON,233,42,Aeroplane; Around the World; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Parallel Universe; Poster Child; Purple Stain; Scar Tissue; Sir Psycho Sexy; Snow (Hey Oh); Soul to Squeeze; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,5.55,True,10
of,of,ADP,199,41,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; Breaking the Girl; Californication; Can’t Stop; Dani California; Dark Necessities; Don’t Forget Me; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Hey; Higher Ground; My Friends; Parallel Universe; Porcelain; Poster Child; Road Trippin’; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,4.85,True,11
do,do,AUX,199,40,Around the World; Blood Sugar Sex Magik; Breaking the Girl; Californication; Can’t Stop; Charlie; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; I Could Have Lied; My Friends; Otherside; Porcelain; Poster Child; Purple Stain; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Wet Sand,4.97,True,12
your,your,PRON,192,42,Around the World; Black Summer; Breaking the Girl; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; Higher Ground; My Friends; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Zephyr Song; This Velvet Glove; Universally Speaking; Wet Sand,4.57,True,13
on,on,ADP,185,38,Black Summer; Blood Sugar Sex Magik; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Encore; Give It Away; Goodbye Angels; Here Ever After; Hey; Higher Ground; My Friends; Otherside; Parallel Universe; Poster Child; Purple Stain; Road Trippin’; She’s Only 18; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,4.87,True,14
in,in,ADP,181,46,Aeroplane; Around the World; Blood Sugar Sex Magik; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; I Could Have Lied; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Road Trippin’; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,3.93,True,15
n't,not,PART,167,35,Aeroplane; Breaking the Girl; Californication; Can’t Stop; Charlie; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Give It Away; Go Robot; Here Ever After; Hey; Higher Ground; I Could Have Lied; My Friends; Otherside; Poster Child; Purple Stain; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; Under the Bridge; Wet Sand,4.77,True,16
that,that,SCONJ,164,41,Aeroplane; Around the World; Breaking the Girl; By the Way; Californication; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Dosed; Easily; Eddie; Encore; Go Robot; Goodbye Angels; Here Ever After; Hey; Higher Ground; I Could Have Lied; Otherside; Parallel Universe; Porcelain; Poster Child; Purple Stain; Scar Tissue; She’s Only 18; Sick Love; Sir Psycho Sexy; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; This Velvet Glove; Under the Bridge; Wet Sand,4.0,True,17
is,be,AUX,143,38,Aeroplane; Around the World; Black Summer; Blood Sugar Sex Magik; By the Way; Californication; Can’t Stop; Dark Necessities; Dosed; Easily; Encore; Give It Away; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; I Could Have Lied; My Friends; Otherside; Poster Child; Purple Stain; Road Trippin’; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; This Velvet Glove; Under the Bridge; Universally Speaking; Wet Sand,3.76,True,18
for,for,ADP,135,37,Around the World; By the Way; Can’t Stop; Dani California; Dark Necessities; Don’t Forget Me; Easily; Eddie; Encore; Give It Away; Go Robot; Goodbye Angels; Hard to Concentrate; Here Ever After; Hey; My Friends; Otherside; Poster Child; Purple Stain; Road Trippin’; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Getaway; The Longest Wave; The Power of Equality; The Zephyr Song; This Velvet Glove; Universally Speaking; Wet Sand,3.65,True,19
m,be,AUX,132,30,Aeroplane; Around the World; By the Way; Can’t Stop; Charlie; Dani California; Dark Necessities; Don’t Forget Me; Easily; Eddie; Give It Away; Go Robot; Hard to Concentrate; Hey; Higher Ground; I Could Have Lied; Otherside; Parallel Universe; Purple Stain; She’s Only 18; Sir Psycho Sexy; Snow (Hey Oh); Soul to Squeeze; Stadium Arcadium; Suck My Kiss; The Longest Wave; The Power of Equality; This Velvet Glove; Under the Bridge; Wet Sand,4.4,True,20
what,what,PRON,123,30,Around the World; Breaking the Girl; Californication; Can’t Stop; Dani California; Dark Necessities; Dosed; Easily; Eddie; Give It Away; Go Robot; Hey; I Could Have Lied; My Friends; Otherside; Parallel Universe; Purple Stain; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Snow (Hey Oh); Stadium Arcadium; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Power of Equality; The Zephyr Song; Universally Speaking; Wet Sand,4.1,True,21
oh,oh,INTJ,116,18,Around the World; Can’t Stop; Charlie; Dark Necessities; Eddie; Give It Away; Hard to Concentrate; Hey; Higher Ground; Parallel Universe; Snow (Hey Oh); Soul to Squeeze; Suck My Kiss; Tell Me Baby; The Adventures of Rain Dance Maggie; The Power of Equality; Under the Bridge; Wet Sand,6.44,False,22
she,she,PRON,114,25,Aeroplane; Around the World; Blood Sugar Sex Magik; Breaking the Girl; By the Way; Can’t Stop; Dani California; Dosed; Give It Away; Go Robot; Goodbye Angels; Here Ever After; I Could Have Lied; My Friends; Otherside; Purple Stain; She’s Only 18; Sick Love; Sir Psycho Sexy; Slow Cheetah; Suck My Kiss; The Adventures of Rain Dance Maggie; The Longest Wave; Under the Bridge; Universally Speaking,4.56,True,23
