"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Work","Rihanna","ANTI","","January 27, 2016","8354612","579","78","Drake","https://genius.com/Rihanna-work-lyrics","2398213","Work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting

Dry, me ah desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me, you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been, mm
But I wake up and act like nothing's wrong

Just get ready fi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
Ner, ner, ner, ner, ner, ner
When you ah guh learn, learn, learn, learn, learn, learn?
Before the tables turn, turn, turn, turn, turn, turn

Beg you something, please
Baby, don't you leave
Don't leave me stuck here in the streets, uh-huh
If I get another chance to
I will never, no, never neglect you
I mean, who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe

I haffi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting (
Yeah, okay
)

You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you (Ah)
When I see potential, I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it if it's too soon
But I
know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh (Yeah)
I spilled all my emotions tonight, I'm sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face-to-face
You could pick the time and the place
You spent some time away
Now you need to forward

And give me all the work, work, work, work, work
, work
He said me haffi
work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting

Mm
Mm
Work, work, work, work, work, work
Mm"
"2","Love on the Brain","Rihanna","ANTI","","January 28, 2016","2522549","366","69","","https://genius.com/Rihanna-love-on-the-brain-lyrics","2378935","And you got me like, oh
What you want from me? (What you want from me?)
And I tried to buy your pretty heart, but the price too high
Baby, you got me like, oh, mmm
You love when I fall apart (
Fall apart
)
So you can put me together and throw me against the wall

Baby, you got me like, I, woo, I
Don't you stop loving me (
Loving me
)
Don't quit loving me (
Loving me
)
Just start loving me, oh (
Loving me
)

And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (
Feeling this way
)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (
Cursing my name
)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain

Baby, keep loving me
Just love me, yeah
Just love me
All you need to do is love me, yeah
Got me like, ow
I'm tired of being played like a violin
What do I gotta do to get in your motherfuckin' heart?

Baby, like, I, woo, I
Don't you stop loving me (
Loving me
)
Don't quit loving me (
Loving me
)
Just start loving me, ooh (
Loving me
)

And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (
Feeling this way
)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (
Cursing my name
)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain"
"3","Needed Me","Rihanna","ANTI","","January 28, 2016","2326917","309","43","","https://genius.com/Rihanna-needed-me-lyrics","2413890","(
Mustard on the beat, ho
)

I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run, though, I'll give it to you

But, baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck your white horse and a carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more and give a little less
Know you hate to confess
But, baby, ooh, you needed me

You been rollin' around, shit, I'm rollin' up
Light and roll it up
Break it down like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel? How you feel?
Used to trip off that shit I was kickin' to you
Had some fun on the run, though, I'll give it to you

But, baby, don't get it twisted (Don't get it)
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch (Ooh)
Didn't they tell you that I was a savage?
Fuck your white horse and a carriage (Yeah)
Bet you never could imagine
Never told you you could have it

You needed me
Ooh (Ooh), you needed me (You needed me)
To feel a little more and give a little less (Oh, oh, yeah)
Know you hate to confess (Yeah)
But, baby, ooh, you needed me (Me)"
"4","Stay","Rihanna","Unapologetic (Deluxe Version)","","November 19, 2012","2161827","244","35","Mikky Ekko","https://genius.com/Rihanna-stay-lyrics","97160","All along, it was a fever
A cold sweat, hot-headed believer
I threw my hands in the air, said, ""Show me somethin'""
He said, ""If you dare, come a little closer""

'Round and around and around and around we go
Oh, now, tell me now, tell me now, tell me now you know

Not really sure how to feel about it
Somethin' in the way you move
Makes me feel like I can't live without you
It takes me all the way
I want you to stay

It's not much of a life you're livin'
It's not just something you take, it's given

'Round and around and around and around we go
Oh, now, tell me now, tell me now, tell me now you know

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
And I want you to stay

Ooh
The reason I hold on
Ooh
'Cause I need this hole goneWell, funny you're the broken one
But I'm the only one who needed savin'
'Cause when you never see the light
It's hard to know which one of us is cavin'

Not really sure how to feel about it
Somethin' in the way you move
Makes me feel like I can't live without you
It takes me all the way
I want you to stay
Stay

I want you to stay
Ooh"
"5","FourFiveSeconds","Rihanna","","","January 24, 2015","1768362","307","52","","https://genius.com/Rihanna-kanye-west-and-paul-mccartney-fourfiveseconds-lyrics","690706","I think I've had enough
I might get a little drunk
I say what's on my mind
I might do a little time

'Cause all of my kindness
Is taken for weakness

Now I'm four, five seconds from wildin'
And we got three more days 'til Friday
I'm just tryna make it back home by Monday mornin'
I swear I wish somebody would tell me
Ooh, that's all I want

[Verse 2: Kanye West &
Paul McCartney
]
Woke up an optimist
Sun was shinin', I'm positive (
We can run
)
Then I heard you was talkin' trash (
I'm on a mystery
)
Hold me back, I'm 'bout to spaz

Yeah, I'm 'bout four, five seconds from wildin'
And we got three more days 'til Friday
I'm tryna make it back home by Monday mornin'
I swear I wish somebody would try me
Ooh, that’s all I want

And I know that you're up tonight
Thinkin', ""How could I be so selfish?""
But you called 'bout a thousand times
Wondering where I've been
Now, I know that you're up tonight
Thinkin', ""How could I be so reckless?""
But I just can't apologize
I hope you can understand, yeah

If I go to jail tonight, mh
Promise you'll pay my bail
See, they wanna buy my pride
But that just ain't up for sale

See, all of my kindness,
mh-hm
Is taken for weakness

Now I'm four, five seconds from wildin'
And we got three more days 'til Friday
I'm tryna make it back home by Monday mornin'
I swear I wish somebody would tell me
Ooh, that's all I want
Four, five seconds from wildin'
And we got three more days 'til Friday
Just tryna make it back home by Monday mornin'
I swear I wish somebody would tell me
'Cause that's all I want"
"6","Kiss It Better","Rihanna","ANTI","","January 28, 2016","1565750","491","66","","https://genius.com/Rihanna-kiss-it-better-lyrics","2397579","Kiss it, kiss it better, baby
Kiss it, kiss it better, baby

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You yell, but you take me back
Who cares when it feels like crack?
Boy, you know that you always do it right

Man, fuck your pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in your eye

What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You here, here to take me back
Who cares when it feels like crack?
Boy, you know that you always do it right

Man, fuck your pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in your eye

What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)

I've been waitin' up all night
Baby, tell me what's wrong
You're gonna make it right, make it all night long
I've been waiting up all night
Baby, tell me what's wrong
Going to make it right, make it all night long

Man, fuck your pride
Just take it on back, just take it on back, babe
Take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in your eye

What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)

Kiss it, kiss it better, baby
Kiss it, kiss it better, baby"
"7","Diamonds","Rihanna","Unapologetic (Deluxe Version)","","September 27, 2012","1564213","374","63","","https://genius.com/Rihanna-diamonds-lyrics","89794","Shine bright like a diamond
Shine bright like a diamond

Find light in the beautiful sea
I choose to be happy
You and I, you and I
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

I knew that we'd become one right away
Oh, right away
At first sight, I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky

Palms rise to the universe
As we moonshine and Molly
Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

At first sight, I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond

So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Oh, yeah
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Shine bright like a diamond"
"8","Umbrella","Rihanna","Good Girl Gone Bad (Japanese Deluxe Edition)","","March 29, 2007","1435382","525","101","JAŸ-Z","https://genius.com/Rihanna-umbrella-lyrics","1629","Uh-huh, uh-huh (Yeah, Rihanna)
Uh-huh, uh-huh (
Good Girl Gone Bad
)
Uh-huh, uh-huh (Take three, action)
Uh-huh, uh-huh (Hov)

[Verse 1: JAY-Z &
Rihanna
]
No clouds in my stones
Let it rain, I hydroplane in the bank
Comin' down with the Dow Jones (Ayy, ayy, ayy)
When the clouds come, we go, we Roc-A-Fella (
Ayy-ayy-ayy, ayy
)
We fly higher than weather, in G5's or better
You know me (You know me)
In anticipation for precipitation, stack chips for the rainy day
Jay, Rain Man is back (
Ayy-ayy-ayy, ayy
)
With Little Miss Sunshine, Rihanna, where you at?  (Ayy-ayy-ayy, ayy)

You have my heart, and we'll never be worlds apart
May be in magazines but you'll still be my star
Baby, 'cause in the dark, you can't see shiny cars
And that's when you need me there
With you, I'll always share because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy

These fancy things
Will never come in between
You're part of my entity
Here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together, we'll mend your heart because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy

You can run into my arms
It's okay, don't be alarmed
Come into me
There's no distance in between our love
So, gonna let the rain pour
I'll be all you need and more because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy

It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
Baby, come into me
Come into me
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
You can always come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me"
"9","Sex With Me","Rihanna","ANTI","","January 28, 2016","1200044","290","41","","https://genius.com/Rihanna-sex-with-me-lyrics","2414113","Sex with me, so amazing
All this hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, so amazing
Sex with me, so amazing

Vodka and water, and a lemon
And a few other things I cannot mention
Oh-na-na-na-na
Five fingers on it (Five fingers)
Hit it like you own it, I'ma hit it like I'm on it
Straight shots of the blue dot
(Shots, shots, shots, shots)
Baby, I'ma pick your poison
Oh-we, ah-yeah, you gon' need it
I'm off that la-la
I'ma get it wet like jacuzzi, ah-yeah

And sex with me, so amazing
All this hard work, no vacation
Stay up off my Instagram, pure temptation
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm

You know I got the sauce (Sauce), you know I'm saucy
And it's always wet, a bitch never ever had to use lip gloss on it
I'ma need you deeper than six, it's not a coffin
We're not making love, tryna get nasty
Wrap up your drugs, come make me happy
Sex with me is amazing, for her it'll feel alright
The sex doesn't get any better, make it long, let it be all night
I know, I know, I make it hard to let go
Tonight, all night, I'm Monroe
Even if I'm alone

Sex with me, so amazing
All this hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm

Sex with me, so amazing
Sex with me, so amazing
(This is the best there is)"
"10","What’s My Name?","Rihanna","Loud (Japan Edition)","","October 26, 2010","1187752","621","98","Drake","https://genius.com/Rihanna-whats-my-name-lyrics","1812","Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name? (Uh)
What's my name? What's my name? (Yeah)

I heard you good with them soft lips
Yeah, you know, word of mouth
The square root of sixty-nine is eight somethin', right?
'Cause I've been tryna work it out, oh
Good weed, white wine, uh
I come alive in the night time, yeah
Okay, away we go
Only thing we have on is the radio
Let it play
Say you gotta leave, but I know you wanna stay
You just waitin' on the traffic jam to finish, girl
The things that we could do in twenty minutes, girl
Say my name, say my name, wear it out
It's gettin' hot, crack a window, air it out
I can get you through a mighty long day
Soon as you go, the text that I write is gon' say

Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

Not everybody
Knows how to work my body
Knows how to make me want it
But, boy, you stay up on it
You got that somethin'
That keeps me so off balance
Baby, you're a challenge
Let's explore your talent

Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah

Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

Baby, you got me
And ain't nowhere that I'd be
Than with your arms around me
Back and forth, you rock me, yeah
So I surrender
To every word you whisper
Every door you enter
I will let you in

Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah

You're so amazing
You took the time to figure me out
That's why you take me
Way past the point of turnin' me on
You 'bout to break me
I swear you got me losin' my mind

Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah"
