word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1100,50,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Desperado; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; James Joint; Kiss It Better; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; Unfaithful; We Found Love; What Now; What’s My Name?; Where Have You Been; Woo; Work; Yeah, I Said It; You Da One",22.0,True,1
you,you,PRON,774,47,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Desperado; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; James Joint; Kiss It Better; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; We Found Love; What’s My Name?; Where Have You Been; Woo; Work; Yeah, I Said It; You Da One",16.47,True,2
it,it,PRON,617,45,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Desperado; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Kiss It Better; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; Unfaithful; We Found Love; What Now; What’s My Name?; Woo; Work; Yeah, I Said It; You Da One",13.71,True,3
me,i,PRON,531,45,"Birthday Cake (Remix); Bitch Better Have My Money; California King Bed; Close to You; Consideration; Desperado; Diamonds; Diamonds (Remix); Disturbia; FourFiveSeconds; Higher; James Joint; Kiss It Better; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pose; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; Unfaithful; What Now; What’s My Name?; Where Have You Been; Woo; Work; Yeah, I Said It; You Da One",11.8,True,4
the,the,DET,522,46,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; Higher; James Joint; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; Unfaithful; We Found Love; What Now; What’s My Name?; Where Have You Been; Woo; Work; Yeah, I Said It; You Da One",11.35,True,5
a,a,DET,358,44,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Desperado; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Umbrella; Unfaithful; We Found Love; What Now; What’s My Name?; Woo; Work; Yeah, I Said It",8.14,True,6
to,to,PART,344,45,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; James Joint; Kiss It Better; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Unfaithful; We Found Love; What Now; What’s My Name?; Woo; Work; Yeah, I Said It; You Da One",7.64,True,7
n't,not,PART,317,47,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Consideration; Desperado; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; James Joint; Kiss It Better; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; Unfaithful; We Found Love; What Now; What’s My Name?; Woo; Work; Yeah, I Said It; You Da One",6.74,True,8
m,be,AUX,296,39,"Birthday Cake; Birthday Cake (Remix); Breakin’ Dishes; Close to You; Desperado; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Talk That Talk; Te Amo; Umbrella; Unfaithful; We Found Love; What Now; Woo; Work; You Da One",7.59,True,9
and,and,CCONJ,295,46,"Birthday Cake; Birthday Cake (Remix); Bitch Better Have My Money; Breakin’ Dishes; California King Bed; Close to You; Desperado; Diamonds; Diamonds (Remix); Disturbia; Don’t Stop the Music; FourFiveSeconds; Higher; James Joint; Lift Me Up; Love Without Tragedy / Mother Mary; Love on the Brain; Love the Way You Lie, Pt. II; Loveeeeeee Song; Man Down; Needed Me; Never Ending; Numb; Only Girl (In The World); Pon de Replay; Pose; Pour It Up; Rehab; Rude Boy; Russian Roulette; S&M; SOS; Same Ol’ Mistakes; Sex With Me; Stay; Take a Bow; Talk That Talk; Te Amo; Umbrella; Unfaithful; We Found Love; What Now; What’s My Name?; Work; Yeah, I Said It; You Da One",6.41,True,10
