"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Too Good at Goodbyes","Sam Smith","The Thrill of It All","","September 8, 2017","8022388","404","44","","https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics","3219597","You must think that I'm stupid
You must think that I'm a fool
You must think that I'm new to this
But I have seen this all before

I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt

But every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad, but it's true
I'm way too good at goodbyes (I'm way too good at goodbyes)
I'm way too good at goodbyes (I'm way too good at goodbyes)

I know you're thinkin' I'm heartless
I know you're thinkin' I'm cold
I'm just protectin' my innocence
I'm just protectin' my soul

I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt

But every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less l love you
Baby, we don't stand a chance, it's sad, but it's true
I'm way too good at goodbyes (I'm way too good at goodbyes)
I'm way too good at goodbyes (I'm way too good at goodbyes)
No way that you'll see me cry (No way that you'll see me cry)
I'm way too good at goodbyes (I'm way too good at goodbyes), no

No, no, no, no, no (I'm way too good at goodbyes)
No, no, no, no
No, no, no (I'm way too good at goodbyes)
(No way that you'll see me cry)
Ah-ah, ah-ah (I'm way too good at goodbyes)

'Cause every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad, but it's true
I'm way too good at goodbyes"
"2","Stay With Me","Sam Smith","In the Lonely Hour (Japan Deluxe Edition)","","May 26, 2014","3870595","179","28","","https://genius.com/Sam-smith-stay-with-me-lyrics","387414","Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Why am I so emotional?
No, it's not a good look, gain some self-control
And deep down, I know this never works
But you can lay with me so it doesn't hurt

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Oh-oh-oh-ohh, oh-oh, oh-oh (Ooh)
Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh)
Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh)
Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh)

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me"
"3","Unholy","Sam Smith","Gloria (Special Edition)","","September 22, 2022","2235069","346","59","","https://genius.com/Sam-smith-and-kim-petras-unholy-lyrics","8302862","Mummy don't know Daddy's getting hot
At the Body Shop
Doing something unholy
He like it, like it, yeah (Ooh)
He like it, like it, yeah (Yeah, yeah)
He like it, like it, yeah (Uh)
He like it, like it, yeah

A lucky, lucky girl
She got married to a boy like you
She'd kick you out if she ever, ever knew
'Bout all the **** you tell me that you do
Dirty, dirty boy
You know everyone is talkin' on the scene
I hear them whisperin' 'bout the places that you've been
And how you don't know how to keep your business clean

Mummy don't know Daddy's getting hot
At the Body Shop
Doin' something unholy
He's sat back while she's droppin' it
She be poppin' it
Yeah, she put it down slowly
Oh-ee-oh-ee-oh, he left his kids at
Ho-ee-oh-ee-ome so he can get that
Mummy don't know Daddy's getting hot
At the Body Shop
Doin' something unholy (
Woo
)

Mm, daddy, daddy, if you want it, drop the addy (Yeah, yeah)
Give me love, give me Fendi, my Balenciaga daddy
You gon' need to bag it up 'cause I'm spendin' on Rodeo (Woo)
You can watch me back it up, I'll be gone in the A.M. (Yeah)
And he, he get me Prada, get me Miu Miu like Rihanna (Ah)
He always call me 'cause I never cause no drama (Drama)
And when you want it, baby, I know I got you covered (Yeah, yeah)
And when you need it, baby, just jump under the covers (Yeah)

Mummy don't know Daddy's getting hot (Hot)
At the Body Shop (Shop)
Doin' something unholy
He's sat back while she's droppin' it (She)
She be poppin' it (She)
Yeah, she put it down slowly
Oh-ee-oh-ee-oh, he left his kids at
Ho-ee-oh-ee-ome so he can get that
Mummy don't know Daddy's getting hot (Unholy)
At the Body Shop (
Ah
)
Doin' something unholy (
Unholy
)

Oh-oh, oh-ee-oh-ee, ee-oh (
Unholy
)
Oh-oh, oh-ee-oh-ee, ee-oh (
Unholy
)
Oh-oh, oh-ee-oh-ee, ee-oh (Yeah, yeah)
Oh-oh, oh-ee-oh-ee, ee-oh"
"4","Lay Me Down","Sam Smith","In the Lonely Hour (Japan Deluxe Edition)","","February 15, 2013","1769374","230","28","","https://genius.com/Sam-smith-lay-me-down-lyrics","183538","Yes, I do, I believe
That one day I will be where I was
Right there, right next to you
And it's hard, the days just seem so dark
The moon, the stars are nothing without you
Your touch, your skin, where do I begin?
No words can explain the way I'm missing you
Deny this emptiness, this hole that I'm inside
These tears, they tell their own story

Told me not to cry when you were gone
But the feeling's overwhelming, it's much too strong

Can I lay by your side, next to you, you
And make sure you're all right?
I'll take care of you
I don't want to be here if I can't be with you tonight

I'm reaching out to you
Can you hear my call? (Who's to say you won't hear me?)
This hurt that I've been through
I'm missing you, missing you like crazy

You told me not to cry when you were gone
But the feeling's overwhelming, it's much too strong

Can I lay by your side, next to you, you
And make sure you're all right?
I'll take care of you
I don't want to be here if I can't be with you tonight

Lay me down tonight, lay me by your side
Lay me down tonight, lay me by your side

Can I lay by your side, next to you? You"
"5","I’m Not The Only One","Sam Smith","In the Lonely Hour (Japan Deluxe Edition)","","May 26, 2014","1711372","244","36","","https://genius.com/Sam-smith-im-not-the-only-one-lyrics","336227","You and me, we made a vow
For better or for worse
I can't believe you let me down
But the proof's in the way it hurts
For months on end, I've had my doubts
Denyin' every tear
I wish this would be over now
But I know that I still need you here

You say I'm crazy
'Cause you don't think I know what you've done
But when you call me ""baby""
I know I'm not the only one

You've been so unavailable
Now, sadly, I know why
Your heart is unobtainable
Even though Lord knows you kept mine

You say I'm crazy
'Cause you don't think I know what you've done
But when you call me ""baby""
I know I'm not the only one

I have loved you for many years
Maybe I am just not enough
You've made me realise my deepest fear
By lyin' and tearin' us up

You say I'm crazy
'Cause you don't think I know what you've done
But when you call me ""baby""
I know I'm not the only one
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me ""baby""
I know I'm not the only one

I know I'm not the only one
I know I'm not the only one
And I know, and I know, and I know, and I know, and I know, and I know, know
I know I'm not the only one"
"6","Pray","Sam Smith","The Thrill of It All","","October 6, 2017","958081","275","42","","https://genius.com/Sam-smith-pray-lyrics","3221142","I'm young and I'm foolish, I've made bad decisions
I block out the news, turn my back on religion
Don't have no degree, I'm somewhat naïve
I've made it this far on my own
But lately, that shit ain't been gettin' me higher
I lift up my head and the world is on fire
There's dread in my heart and fear in my bones
And I just don't know what to say

Maybe I'll pray, pray
Maybe I'll pray
I have never believed in you, no
But I'm gonna pray

You won't find me in church (No)
Readin' the Bible (No)
I am still here and I'm still your disciple
I'm down on my knees, I'm beggin' you, please
I'm broken, alone, and afraid
I'm not a saint, I'm more of a sinner
I don't wanna lose, but I fear for the winners
When I try to explain, the words run away
That's why I am stood here today

And I'm gonna pray (Lord), pray (Lord)
Maybe I'll pray
Pray for a glimmer of hope
Maybe I'll pray (Lord), pray (Lord)
Maybe I'll pray
I've never believed in you, no, but I'm gonna–

Won't you call me?
Can we have a one-on-one, please?
Let's talk about freedom
Everyone prays in the end
Everyone prays in the end
Oh, won't you call me?
Can we have a one-on-one, please?
Let's talk about freedom
Everyone prays in the end
Everyone prays in the end

Oh, I'm gonna pray, I'm gonna pray, I'm gonna pray
Pray for a glimmer of hope
Maybe I'll pray, pray
Maybe I'll pray
I've never believed in you, no, but I'm gonna pray"
"7","Writing’s On The Wall","Sam Smith","In The Lonely Hour (10th Anniversary Edition / Deluxe)","","September 25, 2015","926130","298","45","","https://genius.com/Sam-smith-writings-on-the-wall-lyrics","2299424","I've been here before
But always hit the floor
I've spent a lifetime runnin'
And I always get away
But with you, I'm feeling somethin'
That makes me wanna stay

I'm prepared for this
I never shoot to miss
But I feel like a storm is comin'
If I'm gonna make it through the day
Then there's no more use in runnin'
This is somethin' I gotta face

If I risk it all
Could you break my fall?

How do I live? How do I breathe?
When you're not here, I'm suffocating
I wanna feel love run through my blood
Tell me, is this where I give it all up?
For you, I have to risk it all
'Cause the writing's on the wall

A million shards of glass
That haunt me from my past
As the stars begin to gather
And the light begins to fade
When all hope begins to shatter
Know that I won't be afraid

If I risk it all
Could you break my fall?

How do I live? How do I breathe?
When you're not here, I'm suffocating
I wanna feel love run through my blood
Tell me, is this where I give it all up?
For you, I have to risk it all
'Cause the writing's on the wall

The writing's on the wall

How do I live? How do I breathe?
When you're not here, I'm suffocating
I wanna feel love run through my blood
Tell me, is this where I give it all up?
How do I live? How do I breathe?
When you're not here, I'm suffocating
I wanna feel love run through my blood
Tell me, is this where I give it all up?
For you, I have to risk it all
'Cause the writing's on the wall"
"8","How Do You Sleep?","Sam Smith","Love Goes (Japan Exclusive)","","July 19, 2019","743354","331","44","","https://genius.com/Sam-smith-how-do-you-sleep-lyrics","4690095","I'm done hatin' myself for feelin'
I'm done cryin' myself awake
I gotta leave and start the healin'
But when you move like that, I just wanna stay

What have I become now?
Lookin' through your phone now
Oh now, love to you is just a game
Look what I have done now
Dialling up the numbers on you
I don't want my heart to break

Baby, how do you sleep when you lie to me?
All that shame and all that danger
I'm hopin' that my love will keep you up tonight
Baby, how do you sleep when you lie to me?
All that fear and all that pressure
I'm hopin' that my love will keep you up tonight

(Tell me, how do you—)
Love will keep you up tonight
(Tell me, how do you—)

Oh, no, how did I manage to lose me?
I am not this desperate, not this crazy
There's no way I'm stickin' 'round to find out
I won't lose like that, I won't lose myself

Look what I have done (Done)
Diallin' up the numbers on you
I don't want my heart to break

Baby, how do you sleep when you lie to me?
All that shame and all that danger
I'm hopin' that my love will keep you up tonight
Baby, how do you sleep when you lie to me?
All that fear and all that pressure
I'm hopin' that my love will keep you up tonight

(Tell me, how do you—)
Yeah, yeah, yeah
Love will keep you up tonight
(Tell me, how do you—)
Oh, love will keep you up tonight

Baby, how do you sleep when you lie to me?
All that shame and all that danger
I'm hopin' that my love will keep you up tonight
Baby, how do you sleep when you lie to me? (Oh)
All that fear and all that pressure (Oh)
I'm hopin' that my love will keep you up tonight
(Tell me, how do you—)"
"9","Fire on Fire","Sam Smith","Love Goes (Japan Exclusive)","","December 21, 2018","656300","378","50","","https://genius.com/Sam-smith-fire-on-fire-lyrics","4172063","My mother said I'm too romantic
She said, ""You're dancing in the movies""
I almost started to believe her
Then I saw you and I knew
Maybe it's 'cause I got a little bit older
Maybe it's all that I've been through
I'd like to think it's how you lean on my shoulder
And how I see myself with you

I don't say a word
But still, you take my breath and steal the things I know
There you go, saving me from out of the cold

Fire on fire would normally kill us
But this much desire, together, we're winners
They say that we're out of control and some say we're sinners
But don't let them ruin our beautiful rhythms
'Cause when you unfold me and tell me you love me
And look in my eye
You are perfection, my only direction
It's fire on fire, mmm
It's fire on fire

When we fight, we fight like lions
But then we love and feel the truth
We lose our minds in a city of roses
We won't abide by any rules

I don't say a word
But still, you take my breath and steal the things I know
There you go, saving me from out of the cold

Fire on fire would normally kill us
But this much desire, together, we're winners
They say that we're out of control and some say we're sinners
But don't let them ruin our beautiful rhythms
'Cause when you unfold me and tell me you love me
And look in my eye
You are perfection, my only direction
It's fire on fire, oh
It's fire on fire

Fire on fire would normally kill us
But this much desire, together, we're winners
They say that we're out of control and some say we're sinners
But don't let them ruin our beautiful rhythms

Fire on fire would normally kill us
But this much desire, together, we're winners
They say that we're out of control and some say we're sinners
But don't let them ruin our beautiful rhythms
'Cause when you unfold me and tell me you love me
And look in my eye
You are perfection, my only direction
It's fire on fire

You are perfection, my only direction
It's fire on fire"
"10","Dancing with a Stranger","Sam Smith","Love Goes (Japan Exclusive)","","January 11, 2019","544080","277","33","","https://genius.com/Sam-smith-and-normani-dancing-with-a-stranger-lyrics","4172650","Hmm, mhm

I don't wanna be alone tonight (Alone tonight)
It's pretty clear that I'm not over you (Over you, over you)
I'm still thinking 'bout the things you do (Things you do)
So I don't wanna be alone tonight, alone tonight, alone tonight
Can you light the fire? (Light the fire, light the fire)
I need somebody who can take control (Take control)
I know exactly what I need to do
'Cause I don't wanna be alone tonight, alone tonight, alone tonight

Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Dancing with a stranger

I wasn't even going out tonight (Out tonight)
But, boy, I need to get you off of my mind (Off of my mind)
I know exactly what I have to do
I don't wanna be alone tonight, alone tonight, alone tonight

Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
Dancing with a stranger
Dancing with a stranger
Dancing, yeah, ooh

Look what you made me do, I'm with somebody new (Ooh)
Ooh, baby, baby, I'm dancing with a stranger
Look what you made me do, I'm with somebody new
Ooh, baby, baby, I'm dancing with a stranger
I'm dancing, I'm dancing (Ooh)
I'm dancing, I'm dancing (Dancing with a stranger)
I'm dancing, I'm dancing (Dancing with a stranger)
I'm dancing, I'm dancing (Dancing with a stranger)"
