word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1121,50,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Like I Can; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Safe With Me; Say It First; Scars; Stay With Me; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",22.42,True,1
you,you,PRON,773,49,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Like I Can; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Safe With Me; Say It First; Scars; Stay With Me; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",15.78,True,2
the,the,DET,349,46,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Like I Can; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Scars; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",7.59,True,3
me,i,PRON,313,45,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Last Song; Palace; Pray; Pray (Remix); Safe With Me; Say It First; Stay With Me; The Thrill of It All; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",6.96,True,4
it,it,PRON,297,45,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; Forgive Myself; Get Here; Good Thing; HIM; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Say It First; Scars; Stay With Me; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall",6.6,True,5
to,to,ADP,287,46,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Ready; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Safe With Me; Say It First; Scars; Stay With Me; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",6.24,True,6
my,my,PRON,286,45,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Nothing Left for You; One Last Song; Palace; Pray; Pray (Remix); Say It First; Scars; Stay With Me; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",6.36,True,7
n't,not,PART,266,50,"Baby, You Make Me Crazy; Burning; Dancing with a Stranger; Diamonds; Drowning Shadows; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Like I Can; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Safe With Me; Say It First; Scars; Stay With Me; The Thrill of It All; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",5.32,True,8
m,be,AUX,253,40,"Baby, You Make Me Crazy; Dancing with a Stranger; Drowning Shadows; Fire on Fire; Forgive Myself; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; Kids Again; Latch (Acoustic); Lay Me Down; Leave Your Lover; Life Support; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; Not In That Way; Nothing Left for You; One Last Song; Palace; Pray; Pray (Remix); Safe With Me; Say It First; Scars; Stay With Me; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young",6.33,True,9
a,a,DET,239,40,Burning; Dancing with a Stranger; Fire on Fire; For The Lover That I Lost; Forgive Myself; Get Here; Good Thing; HIM; How Do You Sleep?; How Will I Know; I’m Not Here To Make Friends; I’m Not The Only One; I’m Not The Only One (Remix); I’m Ready; I’ve Told You Now; Life Support; Like I Can; Love Goes; Love Me More; Make It To Me; Midnight Train; Money On My Mind; My Oasis; Nirvana; No Peace; Not In That Way; Nothing Left for You; One Day at a Time; One Last Song; Palace; Pray; Pray (Remix); Scars; Stay With Me; To Die For; Too Good at Goodbyes; Unholy; Vulgar; Writing’s On The Wall; Young,5.97,True,10
