word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1082,47,Alive; Angel By The Wings; Beautiful People (Demo); Big Girls Cry; Bird Set Free; Breathe Me; Broken Glass; Burn the Pages; California Dreamin’; Candy Cane Lane; Chandelier; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fair Game; Fire Meet Gasoline; Footprints; Helium; Ho Ho Ho; House on Fire; I’m Still Here; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Rainbow; Reaper; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Suitcase; Sweet Design; The Greatest; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),23.02,True,1
you,you,PRON,579,47,Alive; Angel By The Wings; Beautiful People (Demo); Big Girls Cry; Bird Set Free; Broken Glass; Burn the Pages; California Dreamin’; Candy Cane Lane; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fair Game; Fire Meet Gasoline; Floating Through Space; Footprints; Helium; Ho Ho Ho; House on Fire; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Rainbow; Reaper; Salted Wound; Santa’s Coming for Us; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Suitcase; Sweet Design; The Greatest; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),12.32,True,2
the,the,DET,526,48,Alive; Angel By The Wings; Beautiful People (Demo); Big Girls Cry; Bird Set Free; Breathe Me; Broken Glass; Burn the Pages; California Dreamin’; Candy Cane Lane; Chandelier; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fair Game; Fire Meet Gasoline; Footprints; Helium; Ho Ho Ho; House on Fire; I’m Still Here; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Rainbow; Reaper; Salted Wound; Santa’s Coming for Us; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Sweet Design; The Greatest; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),10.96,True,3
oh,oh,INTJ,493,28,Angel By The Wings; Beautiful People (Demo); Big Girls Cry; Bird Set Free; Broken Glass; California Dreamin’; Candy Cane Lane; Chandelier; Cheap Thrills (Remix); Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Floating Through Space; Footprints; I’m Still Here; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Reaper; Salted Wound; Santa’s Coming for Us; Space Between; The Greatest; To Be Human; Unstoppable; We Can Hurt Together (Hurt With Me),17.61,False,4
and,and,CCONJ,307,45,Alive; Angel By The Wings; Beautiful People (Demo); Big Girls Cry; Bird Set Free; Breathe Me; Burn the Pages; California Dreamin’; Candy Cane Lane; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fair Game; Fire Meet Gasoline; Floating Through Space; Footprints; Helium; Ho Ho Ho; House on Fire; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Rainbow; Reaper; Salted Wound; Santa’s Coming for Us; Satisfied; Snowflake; Snowman; Suitcase; Sweet Design; The Greatest; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),6.82,True,5
me,i,PRON,301,36,Beautiful People (Demo); Bird Set Free; Breathe Me; Broken Glass; Burn the Pages; Candy Cane Lane; Chandelier; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fair Game; Fire Meet Gasoline; Footprints; Helium; House on Fire; I’m Still Here; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Reaper; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Suitcase; To Be Human; Together; We Can Hurt Together (Hurt With Me),8.36,True,6
n't,not,PART,297,41,Alive; Angel By The Wings; Beautiful People (Demo); Big Girls Cry; Bird Set Free; Broken Glass; Burn the Pages; California Dreamin’; Candy Cane Lane; Chandelier; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fair Game; Fire Meet Gasoline; Footprints; Ho Ho Ho; House on Fire; Move Your Body; Never Give Up; Push (Feelin’ Good on a Wednesday); Reaper; Salted Wound; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Suitcase; Sweet Design; The Greatest; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),7.24,True,7
it,it,PRON,290,38,Alive; Big Girls Cry; Bird Set Free; Breathe Me; Broken Glass; Burn the Pages; Candy Cane Lane; Chandelier; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Eye of the Needle; Fair Game; Fire Meet Gasoline; Floating Through Space; Footprints; Ho Ho Ho; House on Fire; I’m Still Here; Move Your Body; My Love; Rainbow; Reaper; Salted Wound; Santa’s Coming for Us; Satisfied; Snowman; Soon We’ll Be Found; Suitcase; Sweet Design; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),7.63,True,8
to,to,PART,269,44,Alive; Angel By The Wings; Beautiful People (Demo); Bird Set Free; Breathe Me; Broken Glass; Burn the Pages; California Dreamin’; Candy Cane Lane; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Eye of the Needle; Fair Game; Fire Meet Gasoline; Floating Through Space; Footprints; Helium; Ho Ho Ho; House on Fire; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Reaper; Salted Wound; Santa’s Coming for Us; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Suitcase; Sweet Design; The Greatest; To Be Human; Together; Unstoppable,6.11,True,9
my,my,PRON,246,37,Alive; Big Girls Cry; Bird Set Free; Breathe Me; Burn the Pages; California Dreamin’; Chandelier; Cheap Thrills; Cheap Thrills (Remix); Confetti; Courage to Change; Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Footprints; Helium; House on Fire; I’m Still Here; Move Your Body; My Love; Never Give Up; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Reaper; Santa’s Coming for Us; Satisfied; Snowflake; Snowman; Space Between; Sweet Design; The Greatest; To Be Human; Together; Unstoppable,6.65,True,10
a,a,DET,240,36,Alive; Big Girls Cry; Bird Set Free; Burn the Pages; California Dreamin’; Candy Cane Lane; Chandelier; Cheap Thrills (Remix); Dressed In Black; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Fair Game; Fire Meet Gasoline; Footprints; Ho Ho Ho; House on Fire; I’m Still Here; My Love; One Million Bullets; Puppies Are Forever; Push (Feelin’ Good on a Wednesday); Rainbow; Reaper; Salted Wound; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Suitcase; Sweet Design; To Be Human; Together; Unstoppable; We Can Hurt Together (Hurt With Me),6.67,True,11
m,be,AUX,240,33,Alive; Beautiful People (Demo); Big Girls Cry; Broken Glass; Burn the Pages; California Dreamin’; Chandelier; Confetti; Elastic Heart; Elastic Heart (Hunger Games Version); Everyday Is Christmas; Eye of the Needle; Fire Meet Gasoline; Footprints; Helium; House on Fire; I’m Still Here; Move Your Body; Never Give Up; Push (Feelin’ Good on a Wednesday); Rainbow; Reaper; Satisfied; Snowflake; Snowman; Soon We’ll Be Found; Space Between; Suitcase; Sweet Design; The Greatest; To Be Human; Unstoppable; We Can Hurt Together (Hurt With Me),7.27,True,12
