"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","The Sound of Silence","Simon & Garfunkel","Old Friends","","October 19, 1964","2285568","217","34","","https://genius.com/Simon-and-garfunkel-the-sound-of-silence-lyrics","79538","Hello, darkness, my old friend
I've come to talk with you again
Because a vision softly creeping
Left its seeds while I was sleeping
And the vision that was planted in my brain
Still remains
Within the sound of silence

In restless dreams, I walked alone
Narrow streets of cobblestone
'Neath the halo of a street lamp
I turned my collar to the cold and damp
When my eyes were stabbed by the flash of a neon light
That split the night
And touched the sound of silence

And in the naked light, I saw
Ten thousand people, maybe more
People talking without speaking
People hearing without listening
People writing songs that voices never shared
And no one dared
Disturb the sound of silence

""Fools,"" said I, ""You do not know
Silence, like a cancer, grows
Hear my words that I might teach you
Take my arms that I might reach you""
But my words, like silent raindrops, fell
And echoed in the wells of silence

And the people bowed and prayed
To the neon god they made
And the sign flashed out its warning
In the words that it was forming
And the sign said, ""The words of the prophets are written on the subway walls
And tenement halls
And whispered in the sound of silence"""
"2","The Boxer","Simon & Garfunkel","Old Friends","","March 21, 1969","615148","491","52","","https://genius.com/Simon-and-garfunkel-the-boxer-lyrics","58719","I am just a poor boy, though my story's seldom told
I have squandered my resistance for a pocketful of mumbles
Such are promises
All lies and jest
Still a man hears what he wants to hear
And disregards the rest, hmm

When I left my home and my family
I was no more than a boy
In the company of strangers
In the quiet of the railway station
Runnin' scared, laying low
Seeking out the poorer quarters, where the ragged people go
Looking for the places only they would know

Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie

Asking only workman's wages
I come lookin' for a job but I get no offers
Just a come-on from the whores on 7th Avenue
I do declare, there were times when I was so lonesome
I took some comfort there, la la la la la la la

Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie

And I'm laying out my winter clothes and wishing I was gone
Goin' home
Where the New York City winters aren't bleeding me
Leading me
Going home

In the clearing stands a boxer
And a fighter by his trade
And he carries the reminders
Of every glove that laid him down
Or cut him till he cried out in his anger and his shame
""I am leaving, I am leaving"", but the fighter still remains

Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
Lie la lie, lie la lie la lie la lie
Lie la lie, lie la lie la lie la lie, la la lie la lie
I love you"
"3","Cecilia","Simon & Garfunkel","Old Friends","","January 26, 1970","556309","166","35","","https://genius.com/Simon-and-garfunkel-cecilia-lyrics","79654","'Cilia, you're breaking my heart
You're shaking my confidence daily
Oh, Cecilia, I'm down on my knees
I'm begging you please to come home
'Cilia, you're breaking my heart
You're shaking my confidence daily
Oh, Cecilia, I'm down on my knees
I'm begging you please to come home
Come on home

Making love in the afternoon with Cecilia
Up in my bedroom (making love)
I got up to wash my face
When I come back to bed
Someone's taken my place

'Cilia, you're breaking my heart
You're shaking my confidence daily
Oh, Cecilia, I'm down on my knees
I'm begging you please to come home
Come on home

Oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh oh-oh-oh-oh
(Take it up, take it up)
(Take it up, take it up)

Jubilation, she loves me again
I fall on the floor and I laughing
Jubilation, she loves me again
I fall on the floor and I laughing
Oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh oh-oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh oh-oh-oh-oh"
"4","Mrs. Robinson","Simon & Garfunkel","Old Friends","","April 5, 1968","492453","290","44","","https://genius.com/Simon-and-garfunkel-mrs-robinson-lyrics","79642","Dee dee dee dee dee dee dee dee dee dee dee dee dee
Doo doo doo doo doo doo doo doo doo
Dee dee dee dee dee dee dee dee dee dee dee dee dee

And here's to you, Mrs. Robinson
Jesus loves you more than you will know
Woah, woah, woah
God bless you please, Mrs. Robinson
Heaven holds a place for those who pray
Hey, hey, hey
Hey, hey, hey

We'd like to know a little bit about you for our files
We'd like to help you learn to help yourself
Look around you, all you see are sympathetic eyes
Stroll around the grounds until you feel at home

And here's to you, Mrs. Robinson
Jesus loves you more than you will know
Woah, woah, woah
God bless you please, Mrs. Robinson
Heaven holds a place for those who pray
Hey, hey, hey
Hey, hey, hey

Hide it in a hiding place where no one ever goes
Put it in your pantry with your cupcakes
It's a little secret, just the Robinsons' affair
Most of all, you've got to hide it from the kids

Coo, coo, ca-choo, Mrs. Robinson
Jesus loves you more than you will know
Woah, woah, woah
God bless you please, Mrs. Robinson
Heaven holds a place for those who pray
Hey, hey, hey
Hey, hey, hey

Sitting on a sofa on a Sunday afternoon
Going to the candidates debate
Laugh about it, shout about it
When you've got to choose
Every way you look at it, you lose

Where have you gone, Joe DiMaggio?
A nation turns its lonely eyes to you
Woo, woo, woo
What's that you say, Mrs. Robinson?
Joltin' Joe has left and gone away
Hey, hey, hey
Hey, hey, hey"
"5","Bridge Over Troubled Water","Simon & Garfunkel","Old Friends","","January 26, 1970","429836","163","33","","https://genius.com/Simon-and-garfunkel-bridge-over-troubled-water-lyrics","79652","When you're weary
Feeling small
When tears are in your eyes
I will dry them all
I'm on your side
Oh, when times get rough
And friends just can't be found

Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

When you're down and out
When you're on the street
When evening falls so hard
I will comfort you
I'll take your part
Oh, when darkness comes
And pain is all around

Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

Sail on, silver girl
Sail on by
Your time has come to shine
All your dreams are on their way
See how they shine
Oh, if you need a friend
I'm sailing right behind

Like a bridge over troubled water
I will ease your mind
Like a bridge over troubled water
I will ease your mind"
"6","Scarborough Fair / Canticle","Simon & Garfunkel","Old Friends","","October 10, 1966","392635","215","31","","https://genius.com/Simon-and-garfunkel-scarborough-fair-canticle-lyrics","79616","Are you going to Scarborough Fair?
Parsley, sage, rosemary, and thyme
Remember me to one who lives there
She once was a true love of mine

Tell her to make me a cambric shirt
On the side of a hill, in the deep forest green
Parsley, sage, rosemary, and thyme
Tracing of sparrow on snow-crested ground
Without no seams nor needlework
Blankets and bedclothes, the child of the mountain
Then she'll be a true love of mine
Sleeps unaware of
the clarion call

Tell her to find me an acre of land
On the side of a hill, a sprinkling of leaves
Parsley, sage, rosemary, and thyme
Washes the grave with silvery tears
Between the saltwater and the sea strands
A soldier cleans and polishes a gun
Then she'll be a true love of mine

Tell her to reap it with a sickle of leather
War bellows, blazing in scarlet battalions
Parsley, sage, rosemary, and thyme
Generals order their soldiers to kill
And gather it all in a bunch of heather
And to fight for a cause they've long ago forgotten
Then she'll be a true love of mine

Are you going to Scarborough Fair?
Parsley, sage, rosemary, and thyme
Remember me to one who lives there
She once was a true love of mine"
"7","America","Simon & Garfunkel","Old Friends","","April 3, 1968","247291","183","22","","https://genius.com/Simon-and-garfunkel-america-lyrics","79635","""Let us be lovers, we'll marry our fortunes together
I've got some real estate here in my bag""
So we bought a pack of cigarettes and Mrs. Wagner pies
And walked off to look for America

""Kathy,"" I said as we boarded a Greyhound in Pittsburgh
""Michigan seems like a dream to me now
It took me four days to hitchhike from Saginaw
I've gone to look for America""

Laughing on the bus
Playing games with the faces
She said the man in the gabardine suit was a spy
I said, ""Be careful, his bowtie is really a camera""

""Toss me a cigarette, I think there's one in my raincoat""
""We smoked the last one an hour ago""
So I looked at the scenery, she read her magazine
And the moon rose over an open field

""Kathy, I'm lost,"" I said, though I knew she was sleeping
""I'm empty and aching and I don't know why""
Counting the cars on the New Jersey Turnpike
They've all come to look for America
All come to look for America
All come to look for America"
"8","El Cóndor Pasa (If I Could)","Simon & Garfunkel","Old Friends","","January 26, 1970","138819","100","22","Los Incas","https://genius.com/Simon-and-garfunkel-el-condor-pasa-if-i-could-lyrics","79653","I'd rather be a sparrow than a snail
Yes I would
If I could
I surely would

I'd rather be a hammer than a nail
Yes I would
If I only could
I surely would

Away, I'd rather sail away
Like a swan that's here and gone
A man gets tied up to the ground
He gives the world
Its saddest sound
Its saddest sound

I'd rather be a forest than a street
Yes I would
If I could
I surely would

I'd rather feel the earth beneath my feet
Yes I would
If I only could
I surely would"
"9","I Am a Rock","Simon & Garfunkel","Old Friends","","January 17, 1966","121634","166","34","","https://genius.com/Simon-and-garfunkel-i-am-a-rock-lyrics","79548","A winter's day
In a deep and dark December
I am alone
Gazing from my window
To the streets below
On a freshly fallen, silent shroud of snow

I am a rock
I am an island

I've built walls
A fortress, steep and mighty
That none may penetrate
I have no need of friendship
Friendship causes pain
It's laughter and it's loving I disdain

I am a rock
I am an island

Don't talk of love
Well, I've heard the word before
It's sleeping in my memory
I won't disturb the slumber
Of feelings that have died
If I never loved, I never would have cried

I am a rock
I am an island

I have my books
And my poetry to protect me
I am shielded in my armor
Hiding in my room
Safe within my womb
I touch no one and no one touches me

I am a rock
I am an island

And a rock feels no pain
And an island never cries"
"10","April Come She Will","Simon & Garfunkel","Old Friends","","January 17, 1966","103506","66","12","","https://genius.com/Simon-and-garfunkel-april-come-she-will-lyrics","79546","April, come she will
When streams are ripe and swelled with rain
May, she will stay
Resting in my arms again

June, she'll change her tune
In restless walks, she'll prowl the night
July, she will fly
And give no warning to her flight

August, die she must
The autumn winds blow chilly and cold
September, I'll remember
A love once new has now grown old"
