word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,431,46,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; April Come She Will; At the Zoo; Baby Driver; Bleecker Street; Blessed; Blues Run the Game; Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; El Cóndor Pasa (If I Could); Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; Go Tell It On the Mountain; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Old Friends; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; So Long, Frank Lloyd Wright; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",9.37,True,1
i,i,PRON,393,40,"A Hazy Shade of Winter; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; April Come She Will; At the Zoo; Baby Driver; Bleecker Street; Blessed; Blues Run the Game; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; El Cóndor Pasa (If I Could); Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Last Night I Had the Strangest Dream; Leaves That Are Green; My Little Town; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; So Long, Frank Lloyd Wright; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; Wednesday Morning, 3 A.M.; You Can Tell the World",9.82,True,2
and,and,CCONJ,281,45,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; April Come She Will; At the Zoo; Baby Driver; Blessed; Blues Run the Game; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; El Cóndor Pasa (If I Could); Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; Go Tell It On the Mountain; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Overs; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; So Long, Frank Lloyd Wright; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",6.24,True,3
a,a,DET,198,40,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; April Come She Will; At the Zoo; Baby Driver; Bleecker Street; Blessed; Blues Run the Game; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; Cloudy; El Cóndor Pasa (If I Could); Fakin’ It; For Emily, Whenever I May Find Her; Go Tell It On the Mountain; Homeward Bound; I Am a Rock; Kathy’s Song; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Old Friends; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; Sparrow; The Boxer; The Dangling Conversation; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",4.95,True,4
my,my,PRON,165,30,"A Hazy Shade of Winter; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; April Come She Will; Baby Driver; Blessed; Blues Run the Game; Bye Bye Love; Cecilia; Cloudy; El Cóndor Pasa (If I Could); Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; My Little Town; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Sparrow; The Boxer; The Dangling Conversation; The Sound of Silence; Wednesday Morning, 3 A.M.; You Can Tell the World",5.5,True,5
lie,lie,NOUN,155,2,Kathy’s Song; The Boxer,77.5,False,6
in,in,ADP,140,40,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; America; April Come She Will; At the Zoo; Baby Driver; Benedictus; Bleecker Street; Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; Go Tell It On the Mountain; Homeward Bound; I Am a Rock; Keep the Customer Satisfied; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Old Friends; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",3.5,True,7
to,to,PART,139,42,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; April Come She Will; At the Zoo; Baby Driver; Bleecker Street; Blessed; Blues Run the Game; Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; El Cóndor Pasa (If I Could); Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Old Friends; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",3.31,True,8
la,la,DET,134,2,Feuilles-O; The Boxer,67.0,False,9
of,of,ADP,133,36,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; At the Zoo; Baby Driver; Blues Run the Game; Bookends; Bookends Theme (Reprise); Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; Mrs. Robinson; My Little Town; Old Friends; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; So Long, Frank Lloyd Wright; Sparrow; The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",3.69,True,10
oh,oh,PROPN,130,12,"A Most Peculiar Man; Baby Driver; Bridge Over Troubled Water; Cecilia; Feuilles-O; For Emily, Whenever I May Find Her; Keep the Customer Satisfied; Punky’s Dilemma; Richard Cory; Save the Life of My Child; The Only Living Boy in New York; Wednesday Morning, 3 A.M.",10.83,False,11
you,you,PRON,103,26,"A Hazy Shade of Winter; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); At the Zoo; Blessed; Blues Run the Game; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; Cecilia; Cloudy; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; Kathy’s Song; Keep the Customer Satisfied; Mrs. Robinson; Old Friends; Overs; Punky’s Dilemma; Scarborough Fair / Canticle; So Long, Frank Lloyd Wright; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; You Can Tell the World",3.96,True,12
s,'s,PART,91,35,7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; At the Zoo; Baby Driver; Bleecker Street; Blues Run the Game; Bookends; Bookends Theme (Reprise); Bye Bye Love; Cecilia; Cloudy; El Cóndor Pasa (If I Could); Fakin’ It; Flowers Never Bend with The Rainfall; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; Mrs. Robinson; My Little Town; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Sparrow; The Boxer; The Dangling Conversation; The Sun Is Burning; You Can Tell the World,2.6,True,13
he,he,PRON,88,13,7 O’Clock News/Silent Night; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); Bye Bye Love; El Cóndor Pasa (If I Could); He Was My Brother; My Little Town; Punky’s Dilemma; Richard Cory; Save the Life of My Child; The Boxer; You Can Tell the World,6.77,True,14
it,it,PRON,87,26,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; At the Zoo; Bleecker Street; Blessed; Bookends; Bookends Theme (Reprise); Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; Go Tell It On the Mountain; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Mrs. Robinson; My Little Town; Overs; Save the Life of My Child; Scarborough Fair / Canticle; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.",3.35,True,15
on,on,ADP,77,38,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; America; At the Zoo; Bleecker Street; Blessed; Blues Run the Game; Bridge Over Troubled Water; Cecilia; Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; For Emily, Whenever I May Find Her; Go Tell It On the Mountain; He Was My Brother; Homeward Bound; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Old Friends; Overs; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Only Living Boy in New York; The Sound of Silence; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",2.03,True,16
that,that,PRON,64,24,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); Blessed; Bookends; Bookends Theme (Reprise); Bye Bye Love; El Cóndor Pasa (If I Could); Go Tell It On the Mountain; Homeward Bound; I Am a Rock; Kathy’s Song; Leaves That Are Green; Mrs. Robinson; My Little Town; Richard Cory; The Boxer; The Dangling Conversation; The Only Living Boy in New York; The Sound of Silence; Wednesday Morning, 3 A.M.; You Can Tell the World",2.67,True,17
me,i,PRON,63,27,"A Hazy Shade of Winter; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; At the Zoo; Baby Driver; Blessed; Blues Run the Game; Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; Fakin’ It; Feuilles-O; For Emily, Whenever I May Find Her; He Was My Brother; Homeward Bound; I Am a Rock; Keep the Customer Satisfied; My Little Town; Scarborough Fair / Canticle; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Dangling Conversation; The Only Living Boy in New York; Wednesday Morning, 3 A.M.; You Can Tell the World",2.33,True,18
was,be,AUX,58,23,7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; Baby Driver; Bookends; Bookends Theme (Reprise); Bye Bye Love; Fakin’ It; Go Tell It On the Mountain; He Was My Brother; Homeward Bound; Kathy’s Song; Last Night I Had the Strangest Dream; Leaves That Are Green; My Little Town; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; The Boxer; The Sound of Silence,2.52,True,19
da,da,VERB,58,2,The 59th Street Bridge Song (Feelin’ Groovy); The Only Living Boy in New York,29.0,False,20
is,be,AUX,57,26,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Poem on the Underground Wall; America; At the Zoo; Bleecker Street; Blessed; Blues Run the Game; Bridge Over Troubled Water; Bye Bye Love; Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; Go Tell It On the Mountain; Homeward Bound; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; Overs; So Long, Frank Lloyd Wright; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Dangling Conversation; The Sun Is Burning; Wednesday Morning, 3 A.M.; You Can Tell the World",2.19,True,21
all,all,DET,49,27,"7 O’Clock News/Silent Night; A Most Peculiar Man; A Poem on the Underground Wall; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; At the Zoo; Baby Driver; Blues Run the Game; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; Flowers Never Bend with The Rainfall; Homeward Bound; Kathy’s Song; Last Night I Had the Strangest Dream; Leaves That Are Green; Mrs. Robinson; My Little Town; Overs; Scarborough Fair / Canticle; So Long, Frank Lloyd Wright; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Only Living Boy in New York; The Sun Is Burning; Wednesday Morning, 3 A.M.",1.81,True,22
m,be,AUX,49,18,A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; Baby Driver; Blues Run the Game; Bridge Over Troubled Water; Bye Bye Love; Cecilia; Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; Homeward Bound; Keep the Customer Satisfied; Leaves That Are Green; Overs; Punky’s Dilemma; Richard Cory; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer,2.72,True,23
your,your,PRON,47,19,"A Hazy Shade of Winter; Baby Driver; Bleecker Street; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; Cloudy; Fakin’ It; For Emily, Whenever I May Find Her; He Was My Brother; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; Mrs. Robinson; Punky’s Dilemma; So Long, Frank Lloyd Wright; The 59th Street Bridge Song (Feelin’ Groovy); The Dangling Conversation; The Only Living Boy in New York",2.47,True,24
n't,not,PART,45,24,"A Hazy Shade of Winter; A Most Peculiar Man; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; Blessed; Blues Run the Game; Bridge Over Troubled Water; Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; He Was My Brother; I Am a Rock; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; My Little Town; Overs; Save the Life of My Child; So Long, Frank Lloyd Wright; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Only Living Boy in New York; You Can Tell the World",1.88,True,25
be,be,AUX,45,22,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Poem on the Underground Wall; America; Bookends; Bookends Theme (Reprise); Bridge Over Troubled Water; El Cóndor Pasa (If I Could); Flowers Never Bend with The Rainfall; He Was My Brother; Homeward Bound; Keep the Customer Satisfied; Leaves That Are Green; Old Friends; Overs; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; Sparrow; The Dangling Conversation; Wednesday Morning, 3 A.M.",2.05,True,26
for,for,ADP,45,23,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; America; At the Zoo; Blessed; Blues Run the Game; Cloudy; Flowers Never Bend with The Rainfall; Homeward Bound; Kathy’s Song; Keep the Customer Satisfied; Leaves That Are Green; Mrs. Robinson; Old Friends; Punky’s Dilemma; Richard Cory; Save the Life of My Child; Scarborough Fair / Canticle; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Sun Is Burning; Wednesday Morning, 3 A.M.",1.96,True,27
so,so,ADV,45,17,"7 O’Clock News/Silent Night; A Hazy Shade of Winter; A Most Peculiar Man; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); America; Blessed; Blues Run the Game; Bridge Over Troubled Water; Bye Bye Love; Flowers Never Bend with The Rainfall; He Was My Brother; Kathy’s Song; Keep the Customer Satisfied; Richard Cory; So Long, Frank Lloyd Wright; The Boxer; You Can Tell the World",2.65,True,28
no,no,DET,43,18,7 O’Clock News/Silent Night; A Most Peculiar Man; A Simple Desultory Philippic (Or How I Was Robert McNamara’d into Submission); April Come She Will; Baby Driver; Blessed; Cloudy; Fakin’ It; Flowers Never Bend with The Rainfall; I Am a Rock; Mrs. Robinson; Overs; Save the Life of My Child; Scarborough Fair / Canticle; Sparrow; The 59th Street Bridge Song (Feelin’ Groovy); The Boxer; The Sound of Silence,2.39,True,29
are,be,AUX,42,17,A Hazy Shade of Winter; April Come She Will; At the Zoo; Blessed; Blues Run the Game; Bridge Over Troubled Water; Cloudy; Kathy’s Song; Leaves That Are Green; Mrs. Robinson; My Little Town; Scarborough Fair / Canticle; The Boxer; The Dangling Conversation; The Sound of Silence; The Sun Is Burning; You Can Tell the World,2.47,True,30
