"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","As","Stevie Wonder","At the Close of a Century","","September 28, 1976","538457","828","84","","https://genius.com/Stevie-wonder-as-lyrics","141814","As around the sun, the earth knows she's revolving
And the rosebuds know to bloom in early May
Just as hate knows love's the cure
You can rest your mind assure
That I'll be loving you always
As now can't reveal the mystery of tomorrow
But in passing, will grow older every day
Just as all is born is new
Do know what I say is true
That I'll be loving you always

Until the rainbow burns the stars out in the sky (Always)
Until the ocean covers every mountain high (Always)
Until the dolphin flies and parrots live at sea (Always)
Until we dream of life and life becomes a dream

Did you know that true love asks for nothing?
Her acceptance is the way we pay
Did you know that life has given love a guarantee
To last through forever and another day?
Just as time knew to move on since the beginning
And the seasons know exactly when to change
Just as kindness knows no shame
Know through all your joy and pain
That I'll be loving you always
As today, I know I'm living, but tomorrow
Could make me the past, but that, I mustn't fear
For I'll know deep in my mind
The love of me I've left behind
'Cause I'll be loving you always

Until the day is night and night becomes the day (Always)
Until the trees and seas just up and fly away (Always)
Until the day that eight times eight times eight is four (Always)
Until the day that is the day that are no more (Did you know you're loved by somebody?)
Until the day the earth starts turning right to left (Always)
Until the earth just for the sun denies itself (I'll be loving you forever)
Until dear Mother Nature says her work is through (Always)
Until the day that you are me and I am you (Always)
Until the rainbow burns the stars out in the sky (Always)
Until the ocean covers every mountain high (Always)

We all know sometimes life's hates and troubles
Can make you wish you were born in another time and space
But you can bet your life times that and twice its double
That God knew exactly where he wanted you to be placed
So make sure when you say you're in it, but not of it
You're not helping to make this earth a place sometimes called Hell
Change your words into truth and then change that truth into love
And maybe our children's grandchildren
And their great-grandchildren will tell
I'll be loving you

Until the rainbow burns the stars out in the sky (Loving you)
Until the ocean covers every mountain high (Loving you)
Until the dolphin flies and parrots live at sea (Loving you)
Until we dream of life and life becomes a dream (Be loving you)
Until the day is night and night becomes the day (Loving you)
Until the trees and seas just up and fly away (Loving you)
Until the day that eight times eight times eight is four (Loving you)
Until the day that is the day that are no more (Loving you)
Until the day the earth starts turning right to left (Be loving you)
Until the earth just for the sun denies itself (Loving you)
Until dear Mother Nature says her work is through (Loving you)
Until the day that you are me and I am you (Now ain't that loving you?)
Until the rainbow burns the stars out in the sky (Ain't that loving you?)
Until the ocean covers every mountain high (And I've got to say always)
Until the dolphin flies and parrots live at sea (Always)
Until we dream of life and life becomes a dream (Always)
Until the day is night and night becomes the day (Always)
Until the trees and seas just up and fly away (Always)
Until the day that eight times eight times eight is four
Until the day that is the day that are no more (Always)
Until the day the earth starts turning right to left
Until the earth just for the sun denies itself (Always)
Until dear Mother Nature says her work is through
Until the day that you are me and I am you
Until the rainbow burns the stars out in the sky
Until the ocean covers every mountain high
Until the dolphin flies and parrots live at sea
Until we dream of life and life becomes a dream
Until the day is night and night becomes the day
Until the trees and seas just up and fly away
Until the day that eight times eight times eight is four
Until the day that is the day that are no more
Until the day the earth starts turning right to left
Until the earth just for the sun denies itself
Until dear Mother Nature says her work is through
Until the day that you are me and I am you"
"2","Isn’t She Lovely","Stevie Wonder","At the Close of a Century","","September 28, 1976","483922","108","21","","https://genius.com/Stevie-wonder-isnt-she-lovely-lyrics","75537","Isn't she lovely?
Isn't she wonderful?
Isn't she precious?
Less than one minute old
I never thought through love, we'd be
Making one as lovely as she
But isn't she lovely? Made from love

Isn't she pretty?
Truly the angel's best
Boy, I'm so happy
We have been heaven blessed
I can't believe what God has done
Through us, He's given life to one
But isn't she lovely? Made from love

Isn't she lovely?
Life and love are the same
Life is Aisha
The meaning of her name
Londie, it could have not been done
Without you who conceived the one
That's so very lovely, made from love"
"3","Superstition","Stevie Wonder","At the Close of a Century","","October 24, 1972","480702","152","37","","https://genius.com/Stevie-wonder-superstition-lyrics","51650","Very superstitious
Writing's on the wall
Very superstitious
Ladder's 'bout to fall
Thirteen month old baby
Broke the looking glass
Seven years of bad luck
The good things in your past

When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way, yeah

Ooh, very superstitious
Wash your face and hands
Rid me of the problem
Do all that you can
Keep me in a daydream
Keep me going strong
You don't want to save me
Sad is my song

When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way, yeah

Very superstitious
Nothing more to say
Very superstitious
The devil's on his way
Thirteen month old baby
Broke the looking glass
Seven years of bad luck
Good things in your past

When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way
No, no, no"
"4","I Just Called to Say I Love You","Stevie Wonder","At the Close of a Century","","August 1, 1984","374279","246","30","","https://genius.com/Stevie-wonder-i-just-called-to-say-i-love-you-lyrics","148418","No New Year's Day to celebrate
No chocolate-covered candy hearts to give away
No first of spring, no song to sing
In fact, here's just another ordinary day

No April rain, no flowers bloom
No wedding Saturday within the month of June
But what it is, it's something true
Made up of these three words that I must say to you

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

No summer's high, no warm July
No harvest moon to light one tender August night
No autumn breeze, no falling leaves
Not even time for birds to fly to southern skies

No Libra sun, no Halloween
No giving thanks to all the Christmas joy you bring
But what it is, though old, so new
To fill your heart like no three words could ever do

I just called to say I love you
I just called to say how much I care, I do
I just called to say I love you
And I mean it from the bottom of my heart
I just called to say I love you, yeah
I just called to say how much I care, I do
I just called to say I love you
And I mean it from the bottom of my heart

Of my heart, of my heart
Baby, of my heart"
"5","I Wish","Stevie Wonder","At the Close of a Century","","September 28, 1976","330919","257","29","","https://genius.com/Stevie-wonder-i-wish-lyrics","100256","Looking back on when I was a little nappy-headed boy
Then my only worry was for Christmas, what would be my toy
Even though we sometimes would not get a thing
We were happy with the joy the day would bring
Sneaking out the back door to hang out with those hoodlum friends of mine
Greeted at the back door with, ""Boy, thought I told you not to go outside""
Tryin' your best to bring the water to your eyes
Thinking it might stop her from whoopin' your behind

I wish those days could come back once more
Why did those days ever have to go?
I wish those days could come back once more
Why did those days ever have to go?
'Cause I love them so

Do-do, do-do, do-do-do-do-do, do-do-do
Do-do, do-do, do-do-do-do-do-do

Brother said he's telling 'bout you playin' doctor with that girl
Just don't tell and I'll give you anything you want in this whole wide world
Mama gives you money for Sunday school
You trade yours for candy after church is through
Smokin' cigarettes and writing something nasty on the wall (
You nasty boy
)
Teacher sends you to the principal's office down the hall
You grow up and learn that kind of thing ain't right
But while you were doing it, it sure felt outta sight

I wish those days could come back once more
Why did those days ever have to go?
I wish those days could come back once more
Why did those days ever have to go?"
"6","Sir Duke","Stevie Wonder","At the Close of a Century","","September 28, 1976","270638","273","40","","https://genius.com/Stevie-wonder-sir-duke-lyrics","193792","Music is a world within itself
With a language we all understand
With an equal opportunity
For all to sing, dance, and clap their hands
But just because a record has a groove
Don't make it in the groove
But you can tell right away at letter A
When the people start to move

They can feel it all over
They can feel it all over people
They can feel it all over
They can feel it all over people, go

Music knows it is and always will
Be one of the things that life just won't quit
But here are some of music's pioneers
That time will not allow us to forget, no
For there's Basie, Miller, Satchmo
And the king of all, Sir Duke
And with a voice like Ella's ringing out
There's no way the band can lose

You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people

You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
I can feel it all, all, all-all-all over the people
Can't you feel it all over?
Come on, let's feel it all over people
You can feel it all over
Everybody, all over people, go"
"7","Higher Ground","Stevie Wonder","At the Close of a Century","","August 3, 1973","244626","224","37","","https://genius.com/Stevie-wonder-higher-ground-lyrics","174917","People, keep on learning
Soldiers, keep on warring
World, keep on turning
'Cause it won't be too long

Powers keep on lying
While your people keep on dying
World keep on turning
'Cause it won't be too long

I'm so darn glad He let me try it again
'Cause my last time on Earth, I lived a whole world of sin
I'm so glad that I know more than I knew then
Going to keep on trying
'Til I reach my highest ground

Teachers, keep on teaching
Preachers, keep on preaching
World, keep on turning
'Cause it won't be too long
Oh no

Lovers, keep on loving
Believers, keep on believing
Sleepers, just stop sleeping
'Cause it won't be too long
Oh no

I'm so glad that He let me try it again
'Cause my last time on Earth, I lived a whole world of sin
I'm so glad that I know more than I knew then
Going to keep on trying
'Til I reach my highest ground
Woo

'Til I reach my highest ground
No one's gonna bring me down
Oh no
'Til I reach my highest ground
Don't you let nobody bring you down (They'll sho' 'nuff try)
God is gonna show you highest ground
He's the only friend you'll have around
'Cause the rest of the world will bring you down"
"8","Don’t You Worry ’Bout a Thing","Stevie Wonder","At the Close of a Century","","August 3, 1973","220368","388","64","","https://genius.com/Stevie-wonder-dont-you-worry-bout-a-thing-lyrics","174911","Eee-eee!
Watch this, y'all...
¡Comprende...!
{*fake Spanish gibberish*}
Say, hey, mama, uh, you understand that? (No)
Well, uh, like, huh, I don't understand how you can't
'Cause, like, I've been to, you know, Paris, Beirut...
You know, I mean, uh... Iraq, Iran, Eurasia, you know –
I speak very, very, um... fluent Spanish
Uh, todo 'stá bien chévere – you understand that?
(""Todo 'stá bien chévere"")
Chévere? (Bien) Chévere
Is that right, mama?
'Cause I got my shakin' move, I'm gonna do a little thing...

Everybody's got a thing
But some don't know how to handle it
Always reaching out in vain
Just taking the things not worth having, but

Don't you worry 'bout a thing
Don't you worry 'bout a thing, mama
'Cause I'll be standing on the side
When you check it out

They say your style of life's a drag
And that you must go other places
But just don't you feel too bad
When you get fooled by smiling faces

Don't you worry 'bout a thing
Don't you worry 'bout a thing, mama
'Cause I'll be standing on the side
When you check it out
When you get off your trip

Don't you worry 'bout a thing
Don't you worry 'bout a thing

Don't you worry 'bout a thing
Don't you worry 'bout a thing, mama
'Cause I'll be standing in the side
When you check it out
When you get off your trip

Everybody needs a change
A chance to check out the new
But you're the only one to see
The changes you take yourself through

But don't you worry 'bout a thing
Don't you worry 'bout a thing, pretty mama
'Cause I'll be standing in the wings
When you check it out

Don't you worry 'bout a thing
(Todo 'stá bien chévere)
Don't you worry 'bout a thing
(Todo 'stá bien chévere)
Don't you worry 'bout a thing
(Todo 'stá bien chévere)
Don't you worry 'bout a thing
Yeah
Don't worry 'bout a thing
Don't you worry 'bout a thing, mama
Don't you worry 'bout a thing, sugar
Don't you worry 'bout a thing, mama
Don't you worry 'bout a thing, hey
Don't worry, don't worry, don't worry
Don't you worry 'bout a thing, sugar
Don't you worry 'bout a thing
Don't you worry 'bout a thing
Todo 'stá bien chévere"
"9","Signed, Sealed, Delivered I’m Yours","Stevie Wonder","At the Close of a Century","","August 7, 1970","195036","305","49","","https://genius.com/Stevie-wonder-signed-sealed-delivered-im-yours-lyrics","392977","Hey, hey
Oh yeah, baby

Like a fool, I went and stayed too long
Now I'm wondering if your love's still strong
Ooh baby, here I am
Signed, sealed, delivered, I'm yours, mmm

Then that time I went and said goodbye
Now I'm back and not ashamed to cry
Ooh baby, here I am
Signed, sealed, delivered, I'm yours, ayy

Here I am, baby, oh, oh
(Signed, sealed, delivered, I'm yours)
You got my future in your hands
Ah, here I am, baby, ah, ah
(Signed, sealed, delivered, I'm yours)
You got my future in your hands, hey

I've done a lot of foolish things
That I really didn't mean, ayy, hey, yeah, yeah
Didn't I? Oh, baby

Seen a lot of things in this old world
When I touch them, they mean nothing, girl
Ooh baby, here I am
Signed, sealed, delivered, I'm yours
Ah, I'm yours

Ooh-wee, baby, you set my soul on fire
That's why I know you're my heart's only desire
Ooh baby, here I am
Signed, sealed, delivered, I'm yours, hey

Here I am, baby, whoa
(Signed, sealed, delivered, I'm yours, ah)
You got my future in your hands, baby, hey
Here I am, baby, ah, ah
(Signed, sealed, delivered, I'm yours)
You got my future in your hands, baby, yeah

I've done a lot of foolish things
That I really didn't mean
I could be a broken man
But here, I, ah, with your future, got your future, baby, ah

Here I am, baby
Signed, sealed, delivered, I'm yours
Here I am, baby, ah
Here I am, baby, get it
(Signed, sealed, delivered, I'm yours, yeah)
Get it, get it, get it, oh, baby
Here I am, baby
(Signed, sealed, delivered, I'm yours, yeah)
Hey, hey, hey, hey
Here I am, baby, yeah
(Signed, sealed, delivered, I'm yours, yeah)"
"10","Happy Birthday","Stevie Wonder","At the Close of a Century","","September 29, 1980","177762","423","79","","https://genius.com/Stevie-wonder-happy-birthday-lyrics","98580","You know it doesn't make much sense
There ought to be a law against
Anyone who takes offense
At a day in your celebration
'Cause we all know in our minds
That there ought to be a time
That we can set aside
To show just how much we love you
And I'm sure you would agree
It couldn't fit more perfectly
Than to have a world party on the day you came to be

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

I just never understood
How a man who died for good
Could not have a day that would
Be set aside for his recognition
Because it should never be
Just because some cannot see
The dream as clear as he
That they should make it become an illusion
And we all know everything
That he stood for time will bring
For in peace our hearts will sing
Thanks to Martin Luther King

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

Why has there never been a holiday
Where peace is celebrated
All throughout the world

The time is overdue
For people like me and you
Who know the way to truth
Is love and unity to all God's children
It should be a great event
And the whole day should be spent
In full remembrance
Of those who lived and died for the oneness of all people
So let us all begin
We know that love can win
Let it out, don't hold it in
Sing it loud as you can

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

Happy birthday, happy birthday, happy birthday
Ooh yeah
Happy birthday, happy birthday, happy birthday...

We know the key to unity of all people
Is in the dream that you had so long ago
That lives in all of the hearts of people
That believe in unity
We'll make the dream become a reality
I know we will
Because our hearts tell us so

Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday"
