word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,690,48,"All I Do; All in Love Is Fair; Another Star; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; For Once in My Life; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; If It’s Magic; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); My Cherie Amour; Never Dreamed You’d Leave in Summer; Ngiculela - Es Una Historia - I Am Singing; Ordinary Pain; Overjoyed; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Someday at Christmas; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; Too High; Village Ghetto Land; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World)",14.38,True,1
i,i,PRON,642,43,"All I Do; All in Love Is Fair; Another Star; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; For Once in My Life; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); My Cherie Amour; Never Dreamed You’d Leave in Summer; Ngiculela - Es Una Historia - I Am Singing; Ordinary Pain; Overjoyed; Part-Time Lover; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Visions; You Are the Sunshine of My Life; You and I (We Can Conquer the World)",14.93,True,2
la,la,X,468,4,Another Star; Living for the City; My Cherie Amour; Superwoman (Where Were You When I Needed You),117.0,False,3
the,the,DET,443,46,All I Do; All in Love Is Fair; Another Star; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; If It’s Magic; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); My Cherie Amour; Never Dreamed You’d Leave in Summer; Ordinary Pain; Overjoyed; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Sir Duke; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Village Ghetto Land; Visions; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World),9.63,True,4
do,do,AUX,398,33,All I Do; Another Star; As; Do I Do; Don’t You Worry ’Bout a Thing; Faith; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Just Called to Say I Love You; I Was Made to Love Her; I Wish; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); Ordinary Pain; Overjoyed; Part-Time Lover; Ribbon in the Sky; Rocket Love; Saturn; Sir Duke; Summer Soft; Superstition; Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Visions; You Haven’t Done Nothin’; You and I (We Can Conquer the World),12.06,True,5
to,to,PART,375,49,"All I Do; All in Love Is Fair; Another Star; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; For Once in My Life; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; If It’s Magic; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); Never Dreamed You’d Leave in Summer; Ngiculela - Es Una Historia - I Am Singing; Ordinary Pain; Overjoyed; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Someday at Christmas; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Village Ghetto Land; Visions; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World)",7.65,True,6
a,a,DET,278,45,"All I Do; All in Love Is Fair; Another Star; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Was Made to Love Her; I Wish; If It’s Magic; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); My Cherie Amour; Ngiculela - Es Una Historia - I Am Singing; Ordinary Pain; Overjoyed; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Someday at Christmas; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Village Ghetto Land; Visions; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World)",6.18,True,7
and,and,CCONJ,265,43,"All I Do; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; If It’s Magic; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); Ngiculela - Es Una Historia - I Am Singing; Ordinary Pain; Overjoyed; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Someday at Christmas; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Village Ghetto Land; Visions; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World)",6.16,True,8
s,be,AUX,258,44,"All I Do; All in Love Is Fair; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; For Once in My Life; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; If It’s Magic; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Lately; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); Ngiculela - Es Una Historia - I Am Singing; Ordinary Pain; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Someday at Christmas; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); That Girl; Too High; Village Ghetto Land; Visions; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World)",5.86,True,9
that,that,SCONJ,247,48,"All I Do; All in Love Is Fair; Another Star; As; Black Man; Do I Do; Don’t You Worry ’Bout a Thing; Faith; For Once in My Life; Golden Lady; Happy Birthday; He’s Misstra Know-It-All; Higher Ground; I Believe (When I Fall in Love It Will Be Forever); I Just Called to Say I Love You; I Was Made to Love Her; I Wish; If It’s Magic; Isn’t She Lovely; Joy Inside My Tears; Knocks Me Off My Feet; Living for the City; Love’s in Need of Love Today; Master Blaster (Jammin’); My Cherie Amour; Never Dreamed You’d Leave in Summer; Ordinary Pain; Overjoyed; Part-Time Lover; Pastime Paradise; Ribbon in the Sky; Rocket Love; Saturn; Signed, Sealed, Delivered I’m Yours; Sir Duke; Someday at Christmas; Summer Soft; Superstition; Superwoman (Where Were You When I Needed You); Talkbox Medley (Close to You / Never Can Say Goodbye) [Live on The David Frost Show]; That Girl; They Won’t Go When I Go; Too High; Village Ghetto Land; Visions; You Are the Sunshine of My Life; You Haven’t Done Nothin’; You and I (We Can Conquer the World)",5.15,True,10
