"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Shape of My Heart","Sting","Ten Summoner’s Tales - expanded edition","","March 9, 1993","633324","272","36","","https://genius.com/Sting-shape-of-my-heart-lyrics","162955","He deals the cards as a meditation
And those he plays never suspect
He doesn't play for the money he wins
He doesn't play for respect

He deals the cards to find the answer
The sacred geometry of chance
The hidden law of a probable outcome
The numbers lead a dance

I know that the spades are the swords of a soldier
I know that the clubs are weapons of war
I know that diamonds mean money for this art
But that's not the shape of my heart

He may play the jack of diamonds
He may lay the queen of spades
He may conceal a king in his hand
While a memory of it fades

I know that the spades are the swords of a soldier
I know that the clubs are weapons of war
I know that diamonds mean money for this art
But that's not the shape of my heart

That's not the shape, shape of my heart

​​

And if I told you that I loved you
You'd maybe think there's something wrong
I'm not a man of too many faces
The mask I wear is one

But those who speak know nothing
And find out to their cost
Like those who curse their luck in too many places
And those who fear are lost

I know that the spades are the swords of a soldier
I know that the clubs are weapons of war
I know that diamonds mean money for this art
But that's not the shape of my heart

That's not the shape of my heart
That's not the shape, the shape of my heart"
"2","Englishman in New York","Sting","At the Movies","","October 13, 1987","369541","335","55","","https://genius.com/Sting-englishman-in-new-york-lyrics","211287","I don't drink coffee, I'll take tea my dear
I like my toast done on one side
And you can hear it in my accent when I talk
I'm an Englishman in New York

See me walking down Fifth Avenue
A walking cane here at my side
I take it everywhere I walk
I'm an Englishman in New York

Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York

If ""manners maketh man"" as someone said
Then he's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself, no matter what they say

Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York

Modesty, propriety, can lead to notoriety
You could end up as the only one
Gentleness, sobriety are rare in this society
At night a candle's brighter than the sun

Takes more than combat gear to make a man
Takes more than a license for a gun
Confront your enemies, avoid them when you can
A gentleman will walk but never run

If ""manners maketh man"" as someone said
Then he's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself, no matter what they say
Be yourself, no matter what they say
Be yourself, no matter what they say

Whoa
(Be yourself, no matter what they say)
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
(Be yourself, no matter what they say)
I'm an alien, I'm a legal alien
I'm an Englishman in New York

Whoa
I'm an alien, I'm a legal alien
(Be yourself, no matter what they say)
Whoa
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
(Be yourself, no matter what they say)
I'm an Englishman in New York"
"3","Fragile","Sting","...All This Time","","October 13, 1987","369449","140","17","","https://genius.com/Sting-fragile-lyrics","389122","If blood will flow when flesh and steel are one
Drying in the color of the evening sun
Tomorrow's rain will wash the stains away
But something in our minds will always stay
Perhaps this final act was meant to clinch a lifetime's argument
That nothing comes from violence and nothing ever could
For all those born beneath an angry star
Lest we forget how fragile we are

On and on, the rain will fall
Like tears from a star, like tears from a star
On and on, the rain will say
How fragile we are, how fragile we are

On and on, the rain will fall
Like tears from a star, like tears from a star
On and on, the rain will say
How fragile we are, how fragile we are
How fragile we are, how fragile we are"
"4","Desert Rose","Sting","Brand New Day (Expanded Edition)","","September 24, 1999","273723","335","47","Cheb Mami","https://genius.com/Sting-desert-rose-lyrics","166696","ليلي، ليلي، اوه
هذي مدة طويلة
وأنا نحوس أنا وعلى غزالتي
وأنا نحوس أنا وعلى غزالتي
وأنا نحوس أنا وعلى غزالي

I dream of rain, ya leil, ya leil
I dream of gardens in the desert sand
I wake in vain, ya leil, ya leil
I dream of love as time runs through my hand

I dream of fire, ya leil, ya leil
Those dreams are tied to a horse that will never tire
And in the flames, ya leil, ya leil
Her shadows play in the shape of a man's desire
This desert rose, ya leil, ya leil
Each of her veils, a secret promise
This desert flower, ya leil, ya leil
No sweet perfume ever tortured me more than this
And as she turns, ya leil, ya leil
This way she moves in the logic of all my dreams
This fire burns, ya leil, ya leil
I realize that nothing's as it seems

I dream of rain, ya leil, ya leil
I dream of gardens in the desert sand
I wake in vain, ya leil, ya leil
I dream of love as time runs through my hand

I dream of rain, ya leil, ya leil
I lift my gaze to empty skies above
I close my eyes, ya leil, ya leil
This rare perfume is the sweet intoxication of her love

امان، امان، امان، امان، امان
عمري فيك نتيا
ما غير نتيا
ما غير نتيا

I dream of rain, ya leil, ya leil
I dream of gardens in the desert sand
I wake in vain, ya leil, ya leil
I dream of love as time runs through my hand

Sweet desert rose, ya leil, ya leil
Each of her veils, a secret promise
This desert flower, ya leil, ya leil
No sweet perfume ever tortured me more than this
Sweet desert rose
This memory of Eden haunts us all
This desert flower, ya leil, ya leil
This rare perfume, is the sweet intoxication of the fall

يا ليلي، يا ليل
يا ليلي، يا"
"5","Fields of Gold","Sting","Ten Summoner’s Tales - expanded edition","","March 9, 1993","219669","218","31","","https://genius.com/Sting-fields-of-gold-lyrics","113141","You'll remember me when the west wind moves
Upon the fields of barley
You'll forget the sun in his jealous sky
As we walk in fields of gold

So she took her love for to gaze awhile
Upon the fields of barley
In his arms, she fell as her hair came down
Among the fields of gold

Will you stay with me? Will you be my love?
Among the fields of barley
We'll forget the sun in his jealous sky
As we lie in fields of gold

See the west wind move like a lover so
Upon the fields of barley
Feel her body rise when you kiss her mouth
Among the fields of gold

I never made promises lightly
And there have been some that I've broken
But I swear in the days still left
We'll walk in fields of gold
We'll walk in fields of gold

Many years have passed since those summer days
Among the fields of barley
See the children run as the sun goes down
Among the fields of gold

You'll remember me when the west wind moves
Upon the fields of barley
You can tell the sun in his jealous sky
When we walked in fields of gold
When we walked in fields of gold
When we walked in fields of gold"
"6","What Could Have Been","Sting","Arcane League of Legends (Soundtrack from the Animated Series)","","November 20, 2021","135860","184","23","Ray Chen","https://genius.com/Sting-what-could-have-been-lyrics","7326820","I am the monster you created
You ripped out all my parts
And worst of all, for me to live, I gotta kill the part of me that saw
That I needed you more

I hope you know we had everything
And you broke me and left these pieces
I want you to hurt like you hurt me today and
I want you to lose like I lose when I play
What could have been
Oh, what could have been

Why don't you love who I am?
What we could have been

I am your ghost, a fallen angel
You ripped out all my parts
I couldn't care what invention you made me
'Cause I, I was meant to be yours

I hope you know we had everything
And you broke me and left these pieces
I want you to hurt like you hurt me today and
I want you to lose like I lose when I play—

I want you to hurt like you hurt me today and
I want you to lose like I lose when I play
What could have been"
"7","Russians","Sting","The Very Best of Sting & The Police","","June 17, 1985","133566","186","28","","https://genius.com/Sting-russians-lyrics","173900","In Europe and America
There's a growing feeling of hysteria
Conditioned to respond to all the threats
In the rhetorical speeches of the Soviets
Mr. Khrushchev said, ""We will bury you""
I don't subscribe to this point of view
It would be such an ignorant thing to do
If the Russians love their children too

How can I save my little boy
From Oppenheimer's deadly toy?
There is no monopoly of common sense
On either side of the political fence

We share the same biology
Regardless of ideology
Believe me when I say to you
I hope the Russians love their children too

There is no historical precedent
To put the words in the mouth of the president
There's no such thing as a winnable war
It's a lie we don't believe anymore
Mr. Reagan says, ""We will protect you""
I don't subscribe to this point of view
Believe me when I say to you
I hope the Russians love their children too

We share the same biology
Regardless of ideology
What might save us, me and you
Is if the Russians love their children too"
"8","It’s Probably Me","Sting"," Duets","","June 23, 1992","65020","301","38","Eric Clapton","https://genius.com/Sting-its-probably-me-lyrics","389323","If the night turned cold and the stars looked down
And you hug yourself on the cold cold ground
You wake the morning in a stranger's coat
No one would you see
You ask yourself, who's watched for me
My only friend, who could it be
It's hard to say it
I hate to say it, but it's probably me

When your belly's empty and the hunger's so real
And you're too proud to beg and too dumb to steal
You search the city for your only friend
No one would you see
You ask yourself, who's watched for me
A solitary voice to speak out and set me free
I had to say it
I hate to say it, but it's probably me

You're not the easiest person I ever got to know
And it's hard for us both to let our feelings show
Some would say I should let you go your way
You'll only make me cry
If there's one guy, just one guy
Who'd lay down his life for you and die
I Hate to say It
I hate to say it, but it's probably me

When the world's gone crazy and it makes no sense
There's only one voice that comes to your defense
And the jury's out and your eyes search the room
And one friendly face is all you need to see
If there's one guy, just one guy
Who'd lay down his life for you and die
I Hate to say it
I hate to say it, but it's probably me

I hate to say it
I hate to say it, but it's probably me
I hate to say it
I hate to say it, but it's probably me
I hate to say it
I hate to say it, but it's probably me"
"9","Mad About You","Sting","The Soul Cages (Expanded Edition)","","January 17, 1991","37724","314","54","","https://genius.com/Sting-mad-about-you-lyrics","199672","A stone's throw from Jerusalem
I walked a lonely mile in the moonlight
And though a million stars were shining
My heart was lost on a distant planet
That whirls around the April moon
Whirling in an arc of sadness
I'm lost without you
I'm lost without you
Though all my kingdoms turn to sand
And fall into the sea
I'm mad about you
I'm mad about you

And from the dark secluded valleys
I heard the ancient songs of sadness
But every step I thought of you
Every footstep only you
And every star a grain of sand
The leavings of a dried up ocean
Tell me, how much longer?
How much longer?

They say a city in the desert lies
The vanity of an ancient king
But the city lies in broken pieces
Where the wind howls and the vultures sing
These are the works of man
This is the sum of our ambition
It would make a prison of my life
If you became another's wife
With every prison blown to dust
My enemies walk free
I'm mad about you
I'm mad about you

And I have never in my life
Felt more alone than I do now
Although I claim dominions over all I see
It means nothing to me
There are no victories
In all our histories, without love

A stone's throw from Jerusalem
I walked a lonely mile in the moonlight
And through a million stars were shining
My heart was lost on a distant planet
That whirls around the April moon
Whirling in an arc of sadness
I'm lost without you
I'm lost without you

And though you hold the keys to ruin
Of everything I see
With every prison blown to dust
My enemies walk free
Though all my kingdoms turn to sand
And fall into the sea
I'm mad about you
I'm mad about you"
"10","If I Ever Lose My Faith in You","Sting","...All This Time","","January 1, 1993","33505","233","28","","https://genius.com/Sting-if-i-ever-lose-my-faith-in-you-lyrics","389286","You could say I lost my faith in science and progress
You could say I lost my belief in the holy church
You would say I lost my sense of direction
Yes, you could say all of this and worse but

If I ever lose my faith in you
There'd be nothing left for me to do

Some would say I was a lost man in a lost world
You could say I lost my faith in the people on TV
You would say I lost my belief in our politicians
They all seem like game show hosts to me

If I ever lose my faith in you
There'd be nothing left for me to do

I could be lost inside their lies without a trace
But every time I close my eyes I see your face

I never saw no miracle of science
That didn't go from a - a blessing to a curse
I never saw no military solution
That didn't always end up as something worse but
Let me say this first

If I ever lose my faith in you
(If I ever lose my faith in you)
There'd be nothing left for me to do
(There'd be nothing left for me to do)
If I ever lose my faith
If I ever lose my faith
If I ever lose my faith
If I ever lose my faith
In you"
