word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,702,48,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Children’s Crusade; Desert Rose; Don’t Make Me Wait; Englishman in New York; Fields of Gold; Fortress Around Your Heart; Fragile; Gabriel’s Message; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Little Wing; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; What Could Have Been; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?; Windmills of Your Mind,14.62,True,1
i,i,PRON,677,43,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Desert Rose; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fields of Gold; Fortress Around Your Heart; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Little Wing; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We’ll Be Together; What Could Have Been; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?,15.74,True,2
you,you,PRON,410,40,A Thousand Years; Be Still My Beating Heart; Brand New Day; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fields of Gold; Fortress Around Your Heart; Ghost Story; I Can’t Stop Thinking About You; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Little Wing; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; What Could Have Been; When We Dance; Why Should I Cry for You?; Windmills of Your Mind,10.25,True,3
a,a,DET,397,50,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Children’s Crusade; Desert Rose; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fields of Gold; Fortress Around Your Heart; Fragile; Gabriel’s Message; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; La Belle Dame Sans Regrets; Little Wing; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; What Could Have Been; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?; Windmills of Your Mind,7.94,True,4
to,to,PART,314,48,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Desert Rose; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fields of Gold; Fortress Around Your Heart; Fragile; Gabriel’s Message; Ghost Story; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; La Belle Dame Sans Regrets; Little Wing; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; What Could Have Been; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?; Windmills of Your Mind,6.54,True,5
and,and,CCONJ,310,46,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Children’s Crusade; Desert Rose; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fields of Gold; Fortress Around Your Heart; Fragile; Gabriel’s Message; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Little Wing; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Rushing Water; Russians; Saint Augustine in Hell; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; What Could Have Been; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?; Windmills of Your Mind,6.74,True,6
of,of,ADP,267,41,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Children’s Crusade; Desert Rose; Don’t Make Me Wait; Englishman in New York; Fields of Gold; Fortress Around Your Heart; Fragile; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; What Could Have Been; When We Dance; Why Should I Cry for You?; Windmills of Your Mind,6.51,True,7
in,in,ADP,240,44,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Children’s Crusade; Desert Rose; Don’t Make Me Wait; Englishman in New York; Fields of Gold; Fortress Around Your Heart; Fragile; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Love Is the Seventh Wave; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; Soul Cake; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?; Windmills of Your Mind,5.45,True,8
my,my,PRON,218,38,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Desert Rose; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fields of Gold; Fortress Around Your Heart; Gabriel’s Message; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If I Ever Lose My Faith in You; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; The Empty Chair; The Hounds of Winter; We’ll Be Together; What Could Have Been; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?,5.74,True,9
s,be,AUX,212,42,A Thousand Years; All This Time; Be Still My Beating Heart; Brand New Day; Children’s Crusade; Desert Rose; Don’t Make Me Wait; Englishman in New York; Every Breath You Take; Fragile; Ghost Story; I Can’t Stop Thinking About You; I Hung My Head; I Love Her But She Loves Someone Else; If It’s Love; If You Love Somebody Set Them Free; It’s Probably Me; I’m So Happy I Can’t Stop Crying; Just One Lifetime; Little Wing; Mad About You; Moon Over Bourbon Street; Morning Is Coming; My Funny Friend and Me; Roxanne (Symphonicities version); Rushing Water; Russians; Saint Augustine in Hell; Seven Days; Shape of My Heart; Sister Moon; The Empty Chair; The Hounds of Winter; The Last Ship; They Dance Alone; Until; We Work the Black Seam; We’ll Be Together; When We Dance; Whenever I Say Your Name; Why Should I Cry for You?; Windmills of Your Mind,5.05,True,10
