"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]","Taylor Swift","Red (Taylor’s Version)","","November 12, 2021","6313709","968","109","","https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics","7076626","I walked through the door with you, the air was cold
But somethin' 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singin' in the car, getting lost upstate
Autumn leaves fallin' down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turnin' red
You used to be a little kid with glasses in a twin-sized bed
And your mother's tellin' stories 'bout you on the tee-ball team
You taught me 'bout your past, thinkin' your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Keychain on the ground, we were always skippin' town
And I was thinkin' on the drive down, ""Any time now
He's gonna say it's love,"" you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearin' it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame

And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah

Well, maybe we got lost in translation, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Runnin' scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of bein' honest
I'm a crumpled-up piece of paper lyin' here
'Cause I remember it all, all, all

They say all's well that ends well, but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age, maybe it would've been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weepin' in a party bathroom
Some actress askin' me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sippin' coffee like you're on a late-night show
But then he watched me watch the front door all night, willin' you to come
And he said, ""It's supposed to be fun turning twenty-one""

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still tryin' to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well

And I was never good at tellin' jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well

Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us) all too well
Wind in my hair, I was there, I was there (I was there)
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there (Oh)
Down the stairs, I was there, I was there (I was there)
Sacred prayer, I was there, I was there
It was rare, you remember it (All too well)
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it"
"2","Wood","Taylor Swift","The Life of a Showgirl (Track by Track Version)","","October 3, 2025","4563663","311","34","","https://genius.com/Taylor-swift-wood-lyrics","12274793","Daisy's bare naked, I was distraught
He loves me not, he loves me not
Penny's unlucky, I took him back
And then stepped on a crack and the black cat laughed

And, baby, I'll admit I've been a little superstitious (Superstitious)
Fingers crossed until you put your hand on mine (Ah)
Seems to be that you and me, we make our own luck
A bad sign is all good, I ain't gotta knock on wood

(Ah) All of that bitchin', wishing on a falling star
Never did me any good, I ain't got to knock on wood
(Ah) It's you and me forever dancing in the dark
All over me, it's understood, I ain't got to knock on wood

Forgive me, it sounds cocky
He ah-matized me and opened my еyes
Redwood tree, it ain't hard to see
His love was thе key that opened my thighs

Girls, I don't need to catch the bouquet, mm
To know a hard rock is on the way

And, baby, I'll admit I've been a little superstitious (Superstitious)
The curse on me was broken by your magic wand (Ah)
Seems to be that you and me, we make our own luck
New Heights (New Heights) of manhood (Manhood), I ain't gotta knock on wood

(Ah) All of that bitchin', wishing on a falling star
Never did me any good, I ain't got to knock on wood
(Ah) It's you and me forever dancing in the dark
All over me, it's understood, I ain't got to knock on wood

Forgive me, it sounds cocky
He ah-matized me and opened my eyes
Redwood tree, it ain't hard to see
His love was the key that opened my thighs
Forgive me, it sounds cocky
He ah-matized me and opened my eyes
Redwood tree, it ain't hard to see
His love was the key that opened my thighs"
"3","All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]","Taylor Swift","","","November 15, 2021","4286581","970","112","","https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-live-acoustic-lyrics","7394358","I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Cause there we are again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You told me 'bout your past, thinking your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Key chain on the ground, we were always skipping town
And I was thinking on the drive down, any time now
He's gonna say it's love, you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearing it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame

And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah

Well, maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all

They say all's well that ends well, but I'm in a new Hell
Every time you double-cross my mind
You said if we had been closer in age maybe it would have been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weeping in a party bathroom
Some actress asking me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sipping coffee like you're on a late-night show
But then he watched me watch the front door all night, willing you to come
And he said, ""It's supposed to be fun turning twenty-one""

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well

And I was never good at telling jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you, too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well

Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us), all too well
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well

I love you guys so much"
"4","Fortnight","Taylor Swift","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY (Target Exclusive)","","April 19, 2024","4209593","319","48","Post Malone","https://genius.com/Taylor-swift-fortnight-lyrics","10024009","I was supposed to be sent away
But they forgot to come and get me
I was a functioning alcoholic
'Til nobody noticed my new aesthetic
All of this to say I hope you're okay
But you're the reason
And no one here's to blame
But what about your quiet treason?

And for a fortnight there, we were forever
Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors
Your wife waters flowers, I wanna kill her

All my mornings are Mondays stuck in an
endless February
I took the miracle move-on drug, the
effects were temporary
And I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, but I touched you

And for a fortnight there,
we were forever
Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors
Your wife waters flowers, I wanna kill her
And for a fortnight there,
we were together
Run into you sometimes, comment on my sweater
Now you're at the mailbox, turned into good neighbors
My husband is cheating, I wanna kill him

I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, I touched you
I love you, it's ruining my life
I love you, it's ruining my life
I touched you for only a fortnight
I touched you, I touched you

Thought of callin' ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida, buy the car you want
But it won't start up 'til you
touch, touch, touch me
Thought of calling ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida,

buy the car you want
But it won't start up 'til I touch, touch, touch you"
"5","The Fate of Ophelia","Taylor Swift","The Life of a Showgirl (Track by Track Version)","","October 3, 2025","3963377","465","64","","https://genius.com/Taylor-swift-the-fate-of-ophelia-lyrics","12287956","I heard you calling on the megaphone
You wanna see me all alone
As legend has it, you are quite the pyro
You light the match to watch it blow

And if you'd never come for me
I might've drowned in the melancholy
I swore my loyalty to me (Me), myself (Myself), and I (I)
Right before you lit my sky up

All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophеlia)

Keep it one hundred on the land (Land), thе sea (Sea), the sky
Pledge allegiance to your hands, your team, your vibes
Don't care where the hell you've been (Been) 'cause now (Now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia

The eldest daughter of a nobleman
Ophelia lived in fantasy
But love was a cold bed full of scorpions
The venom stole her sanity

And if you'd never come for me (Come for me)
I might've lingered in purgatory
You wrap around me like a chain (A chain), a crown (A crown), a vine (A vine)
Pulling me into the fire

All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophelia)

Keep it one hundred on the land (Land), the sea (The sea), the sky
Pledge allegiance to your hands, your team, your vibes
Don't care where the hell you've been (Been) 'cause now (Now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia

'Tis locked inside my memory
And only you possess the key
No longer drowning and deceived
All because you came for me
Locked inside my memory
And only you possess the key
No longer drowning and deceived
All because you came for me

All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (I can see it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophelia)

Keep it one hundred on the land (Land), the sea (The sea), the sky
Pledge allegiance to your hands (Your hands), your team, your vibes
Don't care where the hell you've been (You've been) 'cause now ('Cause now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia

You saved my heart from the fate of Ophelia"
"6","cardigan","Taylor Swift","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","","July 24, 2020","3566735","336","56","","https://genius.com/Taylor-swift-cardigan-lyrics","5793984","Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing

But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothing

But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'

'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing

But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite"
"7","loml","Taylor Swift","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY (Target Exclusive)","","April 19, 2024","3142486","361","54","","https://genius.com/Taylor-swift-loml-lyrics","10024526","Who's gonna stop us from waltzing back into rekindled flames
If we know the steps anyway?
We embroidered the memories of the time I was away
Stitching, ""We were just kids, babe""
I said, ""I don't mind, it takes time""
I thought I was better safe than starry-eyed
I felt aglow like this
Never before and never since

If you know it in one glimpse, it's legendary
You and I go from one kiss to getting married
Still alivе, killing time at the cemеtery
Never quite buried
In your suit and tie, in the nick of time
You low-down boy, you stand-up guy
You Holy Ghost, you told me I'm the love of your life
You said I'm the love of your life
About a million times

Who's gonna tell me the truth when you blew in with the winds of fate
And told me I reformed you?
When your impressionist paintings of heaven turned out to be fakes
Well, you took me to hell too
And all at once, the ink bleeds
A con man sells a fool a get-love-quick scheme
But I've felt a hole like this
Never before and ever since

If you know it in one glimpse, it's legendary
What we thought was for all time was momentary
Still alive, killing time at the cemetery
Never quite buried
You cinephile in black and white
All those plot twists and dynamite
Mr. Steal Your Girl, then make her cry
You said I'm the love of your life

You shit-talked me under the table
Talkin' rings and talkin' cradles
I wish I could un-recall
How we almost had it all
Dancing phantoms on the terrace
Are they second-hand embarrassed
That I can't get out of bed
'Cause something counterfeit's dead?
It was legendary
It was momentary
It was unnecessary
Should've let it stay buried

Oh, what a valiant roar
What a bland goodbye
The coward claimed he was a lion
I'm combing through the braids of lies
""I'll never leave,"" ""Never mind""
Our field of dreams engulfed in fire
Your arson's match, your somber eyes
And I'll still see it until I die
You're the loss of my life"
"8","So Long, London","Taylor Swift","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY (Target Exclusive)","","April 19, 2024","3126767","374","51","","https://genius.com/Taylor-swift-so-long-london-lyrics","10024536","So (So) long (Long), London (London)
So (So) long (Long), London (London)
So (So) long (Long), London (London)

I saw in my mind fairy lights through the mist
I kept calm and carried the weight of the rift
Pulled him in tighter each time he was driftin' away
My spine split from carrying us up the hill
Wet through my clothes, weary bones caught the chill
I stopped tryna make him laugh, stopped tryna drill the safe

Thinkin', ""How much sad did you think I had
Did you think I had in me?""
Oh, the tragedy
So long, London
You'll find someone

I didn't opt in to be your odd man out
I founded the club she's heard great things about
I left all I knew, you left me at the house by the Heath
I stoppеd CPR, after all, it's no use
The spirit was gonе, we would never come to
And I'm pissed off you let me give you all that youth for free

For so long, London
Stitches undone
Two graves, one gun
I'll find someone

And you say I abandoned the ship
But I was going down with it
My white-knuckle dying grip
Holding tight to your quiet resentment
And my friends said it isn't right to be scared
Every day of a love affair
Every breath feels like rarest air
When you're not sure if he wants to be there

So how much sad did you think I had
Did you think I had in me?
How much tragedy?
Just how low did you
Think I'd go 'fore I'd self-implode?
'Fore I'd have to go be free?

You swore that you loved me, but where were the clues?
I died on the altar waitin' for the proof
You sacrificed us to the gods of your bluest days
And I'm just getting color back into my face
I'm just mad as hell 'cause I loved this place for

So (So) long (Long), London (London)
Had (Had) a (A) good (Good) run (Run)
A moment (Moment) of warm sun (Sun)
But I'm (I'm) not (Not) the (The) one (One)
So (So) long (Long), London (London)
Stitches (Stitches) undone (Undone)
Two (Two) graves (Graves) one gun (Gun)
You'll (You'll) find (Find) someone"
"9","The Tortured Poets Department","Taylor Swift","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY (Target Exclusive)","","April 19, 2024","3042483","408","66","","https://genius.com/Taylor-swift-the-tortured-poets-department-lyrics","10024578","You left your typewriter at my apartment
Straight from the tortured poets department
I think some things I never say
Like, ""Who uses typewriters anyway?""
But you're in self-sabotage mode
Throwing spikes down on the road
But I've seen this episode and still loved the show
Who else decodes you?

And who's gonna hold you like me?
And who's gonna know you, if not me?
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we'rе modern idiots""
And who's gonna hold you like me?

Nobody
No-fucking-body
Nobody

You smokеd, then ate seven bars of chocolate
We declared Charlie Puth should be a bigger artist
I scratch your head, you fall asleep
Like a tattooed golden retriever
But you awaken with dread
Pounding nails in your head
But I've read this one where you come undone
I chose this cyclone with you

And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)
And who's gonna know you like me?
(Who's gonna know you?)
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're modern idiots""
And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)

No-fucking-body
(Who's gonna hold you? Who's gonna hold you?)
Nobody
(Who's gonna hold you? Gonna know you? Gonna troll you?)
Nobody

Sometimes, I wonder if you're gonna screw this up with me
But you told Lucy you'd kill yourself if I ever leave
And I had said that to Jack about you, so I felt seen
Everyone we know understands why it's meant to be
'Cause we're crazy
So tell me, who else is gonna know me?
At dinner, you take my ring off my middle finger
And put it on the one people put wedding rings on
And that's the closest I've come to my heart exploding

Who's gonna hold you? (Who?)
Me
Who's gonna know you? (Who?)
Me
And you're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're two idiots
Who's gonna hold you?

Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Gonna know you? Gonna troll you?

You left your typewriter at my apartment
Straight from the tortured poets department
Who else decodes you?"
"10","exile","Taylor Swift","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","","July 24, 2020","2847076","474","74","Bon Iver","https://genius.com/Taylor-swift-exile-lyrics","5793983","I can see you standing, honey
With his arms around your body
Laughin', but the joke's not funny at all
And it took you five whole minutes
To pack us up and leave me with it
Holdin' all this love out here in the hall

I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before

Ooh, ooh, ooh

I can see you starin', honey
Like he's just your understudy
Like you'd get your knuckles bloody for me
Second, third, and hundredth chances
Balancin' on breaking branches
Those eyes add insult to injury

I think I've seen this film before
And I didn't like the ending
I'm not your problem anymore
So who am I offending now?
You were my crown, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leaving out the side door

[Bridge: Justin Vernon,
Taylor Swift
&
Both
]
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (You didn't even hear me out)
You never gave a warning sign (
I gave so many signs
)
All this time
I never learned to read your mind (
Never learned to read my mind
)
I couldn't turn things around (
You never turned things around
)
'Cause you never gave a warning sign (
I gave so many signs
)
So many signs, so many signs
You didn't even see the signs

I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leavin' out the side door

So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (Didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (Never learned to read my mind)
I couldn't turn things around (You never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
You never gave a warning sign (All this time)
(So many signs) I never learned to read your mind
(So many signs) I couldn't turn things around (I couldn't turn things around)
'Cause you never gave a warning sign (You never gave a warning sign)
You never gave a warning sign
Ah, ah"
