word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1119,50,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",22.38,True,1
you,you,PRON,1037,50,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",20.74,True,2
the,the,DET,702,50,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",14.04,True,3
and,and,CCONJ,510,50,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",10.2,True,4
it,it,PRON,495,49,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",10.1,True,5
me,i,PRON,413,49,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",8.43,True,6
my,my,PRON,351,48,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",7.31,True,7
a,a,DET,337,48,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",7.02,True,8
s,'s,PART,301,47,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; I Can Do It With a Broken Heart; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; betty; cardigan; champagne problems; exile; loml; thanK you aIMee; the 1; tolerate it; “Slut!” (Taylor’s Version) [From the Vault]",6.4,True,9
to,to,PART,296,48,"...Ready for It?; Actually Romantic; All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic]; Anti-Hero; Blank Space; But Daddy I Love Him; CANCELLED!; Cruel Summer; Down Bad; Eldest Daughter; Elizabeth Taylor; Father Figure; Florida!!!; Fortnight; Guilty as Sin?; Is It Over Now? (Taylor’s Version) [From the Vault]; Look What You Made Me Do; Love Story; Lover; My Boy Only Breaks His Favorite Toys; Opalite; Ruin The Friendship; So High School; So Long, London; Style; The Alchemy; The Fate of Ophelia; The Life of a Showgirl; The Smallest Man Who Ever Lived; The Tortured Poets Department; We Are Never Ever Getting Back Together; Who’s Afraid of Little Old Me?; Wi$h Li$t; Wood; You Belong With Me; You’re Losing Me (From The Vault); You’re On Your Own, Kid; august; betty; cardigan; champagne problems; exile; loml; my tears ricochet; thanK you aIMee; the 1; “Slut!” (Taylor’s Version) [From the Vault]",6.17,True,10
