"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Yesterday","The Beatles","The Beatles (The Original Studio Recordings)","","September 13, 1965","3693907","128","25","","https://genius.com/The-beatles-yesterday-lyrics","2236","Yesterday
All my troubles seemed so far away
Now it looks as though they're here to stay
Oh, I believe in yesterday

Suddenly
I'm not half the man I used to be
There's a shadow hanging over me
Oh, yesterday came suddenly

Why she had to go
I don't know, she wouldn't say
I said something wrong
Now I long for yesterday

Yesterday
Love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

Why she had to go
I don't know, she wouldn't say
I said something wrong
Now I long for yesterday

Yesterday
Love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

Mmm-mmm-mmm-mmm-mmm, hmm-hmm"
"2","In My Life","The Beatles","The Beatles (The Original Studio Recordings)","","December 3, 1965","2425780","164","35","","https://genius.com/The-beatles-in-my-life-lyrics","71861","There are
places I remember
All my life, though some have changed (
Ooh, ooh, ooh
)
Some
forever, not for better
Some have gone and some remain (Ooh, ooh, ooh)

All these
places had their moments
With lovers and friends, I still can recall
Some are
dead and some are living
In my life, I've loved them all

But of
all these friends and lovers
There is no one compares with you (
Ooh, ooh, ooh
)
And these
memories lose their meaning
When I think of love as something new (
Ooh, ooh, ooh
)

Though I
know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life, I love you more

Though I
know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life, I love you more

In my life, I love you more"
"3","Let It Be","The Beatles","The Beatles (The Original Studio Recordings)","","May 8, 1970","2124625","267","52","","https://genius.com/The-beatles-let-it-be-lyrics","1575","When I find myself in times of trouble
Mother Mary comes to me
Speaking words of wisdom
Let it be
And in my hour of darkness
She is standing right in front of me
Speaking words of wisdom
Let it be

Let it be, let it be
Let it be, let it be
Whisper words of wisdom
Let it be

And when the broken-hearted people
Living in the world agree
There will be an answer
Let it be
For though they may be parted
There is still a chance that they will see
There will be an answer
Let it be

Let it be, let it be
Let it be, let it be
Yeah, there will be an answer
Let it be
Let it be, let it be
Let it be, let it be
Whisper words of wisdom
Let it be

Let it be, let it be
Let it be, yeah, let it be
Whisper words of wisdom
Let it be

And when the night is cloudy
There is still a light that shines on me
Shine until tomorrow
Let it be
I wake up to the sound of music
Mother Mary comes to me
Speaking words of wisdom
Let it be, yeah

Let it be, let it be
Let it be, yeah, let it be
Oh, there will be an answer
Let it be
Let it be, let it be
Let it be, yeah, let it be
Oh, there will be an answer
Let it be
Let it be, let it be
Let it be, yeah, let it be
Whisper words of wisdom
Let it be"
"4","Hey Jude","The Beatles","The Beatles (The Original Studio Recordings)","","August 26, 1968","1666080","350","56","","https://genius.com/The-beatles-hey-jude-lyrics","82381","Hey, Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better

Hey, Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better

And anytime you feel the pain, hey, Jude, refrain
Don't carry the world upon your shoulders
For well you know that it's a fool who plays it cool
By making his world a little colder
Na-na-na-na-na, na-na-na-na

Hey, Jude, don't let me down
You have found her, now go and get her
(Let it out and let it in)
Remember (Hey, Jude) to let her into your heart
Then you can start to make it better

So let it out and let it in, hey, Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you, hey, Jude, you'll do
The movement you need is on your shoulder
Na-na-na-na-na, na-na-na-na, yeah

Hey, Jude, don't make it bad
Take a sad song and make it better
Remember to let her under your skin
Then you'll begin to make it (
Woah, fucking hell
)
Better, better, better, better, better, better, oh

Yeah, yeah-yeah-yeah-yeah-yeah-yeah
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
(Jude, Judy, Judy, Judy, Judy, Judy, ow-wow)
Na-na-na-na-na-na-na (Na-na-na), na-na-na-na, hey, Jude
(Jude, Jude, Jude, Jude, Jude)
Na-na-na-na-na-na-na (Yeah, yeah, yeah), na-na-na-na, hey, Jude
(You know you can make, Jude, Jude, you're not gonna break it)
Na-na (Don't make it bad, Jude) na-na-na-na-na (Take a sad song and make it better), na-na-na-na, hey, Jude
Hey, Jude, hey, Jude wow
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Jude, Jude, Jude, Jude, Jude, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
(Na-na-na-na-na-na-na-na-na-na-na-na)
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na (Make it, Jude), na-na-na-na, hey, Jude
(Yeah-yeah-yeah-yeah, yeah, yeah, yeah)
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
(Go listen to ya ma-ma-ma-ma-ma-ma-ma-ma)
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude
Na-na-na-na-na-na-na, na-na-na-na, hey, Jude"
"5","Come Together","The Beatles","The Beatles (The Original Studio Recordings)","","September 26, 1969","1527975","220","51","","https://genius.com/The-beatles-come-together-lyrics","56218","Shoot me
Shoot me
Shoot me
Shoot me

Here come old flat-top, he come grooving up slowly
He got ju-ju eyeball, he one holy roller
He got hair down to his knee
Got to be a joker, he just do what he please

Shoot me
Shoot me
Shoot me
Shoot me

He wear no shoeshine, he got toe-jam football
He got monkey finger, he shoot Coca-Cola
He say, ""I know you, you know me""
One thing I can tell you is you got to be free

Come together right now
Over me

Shoot me
Shoot me
Shoot me
Shoot me

He bag production, he got walrus gumboot
He got Ono sideboard, he one spinal cracker
He got feet down below his knee
Hold you in his armchair, you can feel his disease

Come together right now
Over me

Shoot me
Right
Come, come, come, come, come

He roller-coaster, he got early warnin'
He got muddy water, he one mojo filter
He say, ""One and one and one is three""
Got to be good-lookin', 'cause he's so hard to see

Come together right now
Over me

Shoot me
Shoot me
Shoot me
Oh

Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Oh
Come together, yeah
Come together, yeah"
"6","Here Comes the Sun","The Beatles","The Beatles (The Original Studio Recordings)","","September 26, 1969","1436804","164","40","","https://genius.com/The-beatles-here-comes-the-sun-lyrics","87577","[Chorus: George Harrison,
George Harrison & Paul McCartney
]
Here comes the sun, doo-d-doo-doo
Here comes the sun
And I say,
""It's alright""

Little darling
It's been a long, cold, lonely winter
Little darling
It feels like years since it's been here

Here comes the sun, doo-d-doo-doo
Here comes the sun
And I say,
""It's alright""

Little darling
The smile's returning to the faces
Little darling
It seems like years since it's been here

Here comes the sun
Here comes the sun
And I say, ""It's alright""

Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes

Little darling
I feel that ice is slowly melting
Little darling
It seems like years since it's been clear

But
here comes the sun, doo-d-doo-doo
Here comes the sun
And I say,
""It's alright""
Here comes the sun, doo-d-doo-doo
Here comes the sun
It's alright
It's alright"
"7","Eleanor Rigby","The Beatles","The Beatles (The Original Studio Recordings)","","August 5, 1966","1433261","209","38","","https://genius.com/The-beatles-eleanor-rigby-lyrics","1577","Ah, look at all the lonely people
Ah, look at all the lonely people

Eleanor Rigby
Picks up the rice in the church where a wedding has been
Lives in a dream
Waits at the window
Wearing the face that she keeps in a jar by the door
Who is it for?

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?

Father McKenzie
Writing the words of a sermon that no one will hear
No one comes near
Look at him working
Darning his socks in the night when there's nobody there
What does he care?

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?

Ah, look at all the lonely people
Ah, look at all the lonely people

Eleanor Rigby
Died in the church and was buried along with her name
Nobody came
Father McKenzie
Wiping the dirt from his hands as he walks from the grave
No one was saved

All the lonely people (
Ah, look at all the lonely people
)
Where do they all come from?
All the lonely people (
Ah, look at all the lonely people
)
Where do they all belong?"
"8","Something","The Beatles","The Beatles (The Original Studio Recordings)","","September 26, 1969","1346941","127","19","","https://genius.com/The-beatles-something-lyrics","87564","Something in the way she moves
Attracts me like no other lover
Something in the way she woos me

I don't want to leave her now
You know I believe and how

Somewhere in her smile, she knows
That I don't need no other lover
Something in her style that shows me

I don't want to leave her now
You know I believe and how

You're asking me, will my love grow?
I don't know, I don't know
You stick around, now, it may show
I don't know, I don't know

Something in the way she knows
And all I have to do is think of her
Something in the things she shows me

I don't want to leave her now
You know I believe and how"
"9","Blackbird","The Beatles","The Beatles (The Original Studio Recordings)","","November 22, 1968","1123077","124","18","","https://genius.com/The-beatles-blackbird-lyrics","1556","Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise

Blackbird singing in the dead of night
Take these sunken eyes and learn to see
All your life
You were only waiting for this moment to be free

Blackbird fly, blackbird fly
Into the light of a dark black night
Blackbird fly, blackbird fly
Into the light of a dark black night

Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise

You were only waiting for this moment to arise
You were only waiting for this moment to arise"
"10","A Day in the Life","The Beatles","The Beatles (The Original Studio Recordings)","","May 26, 1967","1030368","292","43","","https://genius.com/The-beatles-a-day-in-the-life-lyrics","1436","I read the news today, oh, boy
About a lucky man who made the grade
And though the news was rather sad
Well, I just had to laugh
I saw the photograph

He blew his mind out in a car
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure if he was from the House of Lords

I saw a film today, oh, boy
The English Army had just won the war
A crowd of people turned away
But I just had to look
Having read the book

I'd love to turn you on

(One, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty, twenty-one, twenty-two, twenty-three, twenty-four)
(*Alarm clock rings*)

[Bridge: Paul McCartney,
John Lennon & Paul McCartney
]
Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up, I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream
Ah, ah-ah-ah
Ah-ah-ah, ah-ah-ah
Ah-ah-ah, ah, ah-ah-ah
Ah-ah-ah, ah-ah

I read the news today, oh, boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall

I'd love to turn you on

(One, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty, twenty-one, twenty-two, twenty-three, twenty-four)

(*Laughter*)
(…been so high)
(Never could see any other way) (Ba-ba-ba-ba-ba)"
"11","While My Guitar Gently Weeps","The Beatles","The Beatles (The Original Studio Recordings)","","November 22, 1968","973354","157","25","","https://genius.com/The-beatles-while-my-guitar-gently-weeps-lyrics","75670","I look at you all, see the love there that's sleeping
While my guitar gently weeps
I look at the floor and I see it needs sweeping
Still, my guitar gently weeps

I don't know why nobody told you
How to unfold your love
I don't know how someone controlled you
They bought and sold you

I look at the world and I notice it's turning
While my guitar gently weeps
With every mistake, we must surely be learning
Still, my guitar gently weeps

I don't know how you were diverted
You were perverted, too
I don't know how you were inverted
No one alerted you

I look at you all, see the love there that's sleeping
While my guitar gently weeps
(I look) Look at you all
Still, my guitar gently weeps

Oh, oh
Oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, oh, ooh"
